Original Name	New Name	Seq Length	 Seq GC
CDC35_RS21510_WP_096724669.1	096724669_Contig_3410_Len387	387	34.6253229974
CDC35_RS02150_WP_096717761.1	096717761_Contig_1321_Len1101	1101	39.3278837421
CDC35_RS11110_WP_096720623.1	096720623_Contig_1992_Len831	831	38.3874849579
CDC35_RS20275_WP_096724282.1	096724282_Contig_3397_Len390	390	35.8974358974
CDC35_RS11035_WP_096723765.1	096723765_Contig_1960_Len843	843	40.8066429419
CDC35_RS19100_WP_096723481.1	096723481_Contig_1491_Len1029	1029	35.0826044704
CDC35_RS21440_WP_096724645.1	096724645_Contig_1820_Len894	894	32.8859060403
CDC35_RS13875_WP_096721602.1	096721602_Contig_3671_Len312	312	42.6282051282
CDC35_RS17775_WP_096723013.1	096723013_Contig_2681_Len609	609	42.2003284072
CDC35_RS17170_WP_096722797.1	096722797_Contig_869_Len1353	1353	39.3939393939
CDC35_RS00075_WP_096717039.1	096717039_Contig_2482_Len669	669	37.3692077728
CDC35_RS00275_WP_096717113.1	096717113_Contig_3089_Len477	477	40.4612159329
CDC35_RS03930_WP_096718354.1	096718354_Contig_32_Len3783	3783	40.0740153317
CDC35_RS11140_WP_096720635.1	096720635_Contig_804_Len1392	1392	39.5114942529
CDC35_RS19125_WP_096723489.1	096723489_Contig_3702_Len303	303	41.5841584158
CDC35_RS08180_WP_096719623.1	096719623_Contig_704_Len1467	1467	39.8091342877
CDC35_RS09135_WP_096719948.1	096719948_Contig_2160_Len774	774	38.7596899225
CDC35_RS08845_WP_096719837.1	096719837_Contig_3178_Len450	450	36.6666666667
CDC35_RS09410_WP_096723737.1	096723737_Contig_1958_Len843	843	40.4507710558
CDC35_RS03300_WP_096718173.1	096718173_Contig_2675_Len609	609	41.0509031199
CDC35_RS00740_WP_096717289.1	096717289_Contig_300_Len2025	2025	39.6543209877
CDC35_RS06865_WP_096719272.1	096719272_Contig_4034_Len213	213	33.8028169014
CDC35_RS21480_WP_096724659.1	096724659_Contig_4058_Len207	207	36.231884058
CDC35_RS18855_WP_096723391.1	096723391_Contig_2363_Len714	714	35.7142857143
CDC35_RS21275_WP_096724591.1	096724591_Contig_2354_Len717	717	42.119944212
CDC35_RS21715_WP_096724774.1	096724774_Contig_2515_Len663	663	43.7405731523
CDC35_RS13085_WP_096721304.1	096721304_Contig_1422_Len1062	1062	37.4764595104
CDC35_RS12340_WP_096721046.1	096721046_Contig_2845_Len552	552	34.4202898551
CDC35_RS14045_WP_096721662.1	096721662_Contig_1029_Len1260	1260	38.0158730159
CDC35_RS19800_WP_096724091.1	096724091_Contig_4171_Len153	153	40.522875817
CDC35_RS21575_WP_096724721.1	096724721_Contig_624_Len1542	1542	43.5149156939
CDC35_RS07055_WP_096719307.1	096719307_Contig_3265_Len420	420	39.0476190476
CDC35_RS14515_WP_096721837.1	096721837_Contig_3248_Len426	426	36.3849765258
CDC35_RS10145_WP_096720281.1	096720281_Contig_1339_Len1095	1095	39.7260273973
CDC35_RS17050_WP_096722752.1	096722752_Contig_3445_Len375	375	36.8
CDC35_RS04535_WP_096718502.1	096718502_Contig_2732_Len591	591	39.0862944162
CDC35_RS09650_WP_096720100.1	096720100_Contig_650_Len1506	1506	39.3094289509
CDC35_RS04990_WP_096718665.1	096718665_Contig_4140_Len183	183	45.9016393443
CDC35_RS20350_WP_096724308.1	096724308_Contig_2648_Len618	618	34.3042071197
CDC35_RS03625_WP_096718293.1	096718293_Contig_1621_Len975	975	40.2051282051
CDC35_RS15400_WP_096722167.1	096722167_Contig_2574_Len642	642	40.6542056075
CDC35_RS07165_WP_096719327.1	096719327_Contig_1916_Len855	855	38.8304093567
CDC35_RS14935_WP_096721999.1	096721999_Contig_1473_Len1038	1038	30.3468208092
CDC35_RS04525_WP_096718498.1	096718498_Contig_1930_Len852	852	38.4976525822
CDC35_RS10900_WP_096720546.1	096720546_Contig_319_Len1977	1977	30.1972685888
CDC35_RS01230_WP_096717413.1	096717413_Contig_355_Len1905	1905	37.8477690289
CDC35_RS19415_WP_096723961.1	096723961_Contig_2647_Len618	618	47.2491909385
CDC35_RS16135_WP_096723852.1	096723852_Contig_4070_Len204	204	40.1960784314
CDC35_RS10800_WP_096723763.1	096723763_Contig_1675_Len954	954	38.4696016771
CDC35_RS17115_WP_096722777.1	096722777_Contig_3940_Len234	234	36.3247863248
CDC35_RS01240_WP_096717415.1	096717415_Contig_2185_Len765	765	38.431372549
CDC35_RS06615_WP_096719229.1	096719229_Contig_2128_Len780	780	37.1794871795
CDC35_RS17960_WP_096723075.1	096723075_Contig_2849_Len552	552	35.8695652174
CDC35_RS02900_WP_096718027.1	096718027_Contig_4017_Len216	216	39.3518518519
CDC35_RS18475_WP_096723267.1	096723267_Contig_3982_Len225	225	37.3333333333
CDC35_RS12165_WP_096720980.1	096720980_Contig_1414_Len1065	1065	35.7746478873
CDC35_RS02205_WP_096717781.1	096717781_Contig_3797_Len276	276	35.8695652174
CDC35_RS01620_WP_096717559.1	096717559_Contig_244_Len2175	2175	29.9770114943
CDC35_RS20155_WP_096724236.1	096724236_Contig_2743_Len588	588	34.693877551
CDC35_RS03245_WP_096723603.1	096723603_Contig_3999_Len219	219	27.8538812785
CDC35_RS20000_WP_096724160.1	096724160_Contig_3199_Len444	444	35.5855855856
CDC35_RS05860_WP_096718977.1	096718977_Contig_347_Len1920	1920	38.8541666667
CDC35_RS20950_WP_096724493.1	096724493_Contig_2553_Len651	651	37.7880184332
CDC35_RS19655_WP_096724050.1	096724050_Contig_806_Len1392	1392	41.5948275862
CDC35_RS08780_WP_096719810.1	096719810_Contig_3907_Len243	243	39.5061728395
CDC35_RS12290_WP_096721028.1	096721028_Contig_1765_Len912	912	29.9342105263
CDC35_RS02765_WP_096717979.1	096717979_Contig_1597_Len984	984	38.0081300813
CDC35_RS09885_WP_096720186.1	096720186_Contig_526_Len1653	1653	39.3829401089
CDC35_RS18070_WP_096723120.1	096723120_Contig_101_Len2895	2895	39.896373057
CDC35_RS00610_WP_096717240.1	096717240_Contig_845_Len1368	1368	33.8450292398
CDC35_RS10910_WP_096720550.1	096720550_Contig_2549_Len651	651	41.0138248848
CDC35_RS04630_WP_096723637.1	096723637_Contig_790_Len1401	1401	41.8986438258
CDC35_RS02125_WP_096717755.1	096717755_Contig_3959_Len228	228	35.0877192982
CDC35_RS20090_WP_096724194.1	096724194_Contig_479_Len1716	1716	46.2121212121
CDC35_RS21695_WP_096724766.1	096724766_Contig_3882_Len252	252	35.7142857143
CDC35_RS19465_WP_096723977.1	096723977_Contig_518_Len1665	1665	38.3783783784
CDC35_RS12335_WP_096721044.1	096721044_Contig_1661_Len960	960	41.4583333333
CDC35_RS09595_WP_096720079.1	096720079_Contig_4036_Len213	213	38.9671361502
CDC35_RS09190_WP_096719962.1	096719962_Contig_3353_Len399	399	39.0977443609
CDC35_RS01180_WP_096717397.1	096717397_Contig_2138_Len777	777	38.0952380952
CDC35_RS04715_WP_096718570.1	096718570_Contig_2112_Len786	786	35.368956743
CDC35_RS16200_WP_096722457.1	096722457_Contig_1408_Len1068	1068	37.6404494382
CDC35_RS02350_WP_096717829.1	096717829_Contig_784_Len1407	1407	41.2935323383
