,am,ba,ee,ex,op,pl,sr,za,
OG5_133518,5,352,4,0,0,10,18,7,
OG5_149273,4,81,1,0,0,12,21,0,
OG5_132176,1,260,0,0,1,32,21,5,
OG5_153412,3,101,4,0,0,14,8,0,
OG5_137578,3,140,3,0,1,8,24,0,
OG5_156566,1,99,2,0,0,13,2,0,
OG5_133572,8,260,5,1,0,30,13,1,
OG5_144909,1,77,1,0,0,35,12,0,
OG5_147141,2,80,5,0,0,19,3,0,
OG5_134412,3,77,5,0,4,8,14,8,
OG5_131288,4,193,5,0,1,12,23,8,
OG5_147314,8,84,3,0,1,13,27,0,
OG5_130643,1,426,2,0,1,12,15,0,
OG5_176797,8,119,4,2,0,10,26,8,
OG5_178447,4,103,0,2,0,7,0,0,
OG5_131028,9,181,5,2,2,12,26,3,
OG5_144897,1,97,4,0,0,11,15,0,
OG5_149634,1,123,2,0,0,9,15,1,
OG5_135249,1,258,0,0,0,12,2,0,
OG5_132080,6,401,1,1,0,14,17,0,
OG5_136946,2,68,1,0,1,8,11,6,
OG5_139231,2,93,0,0,0,10,22,9,
OG5_159911,2,66,5,0,0,8,18,6,
OG5_144900,1,95,1,0,0,15,2,0,
OG5_131865,1,80,0,0,4,8,2,4,
OG5_136933,2,117,2,0,1,14,22,0,
OG5_131749,0,448,0,0,0,10,2,0,
OG5_138538,0,114,0,0,0,15,0,0,
OG5_152142,0,78,0,0,0,9,3,5,
OG5_131372,0,520,3,1,0,13,25,0,
OG5_131505,0,497,1,0,0,10,10,0,
OG5_130460,0,514,1,0,0,13,12,0,
OG5_136935,0,308,1,0,0,21,23,3,
OG5_131344,0,505,0,0,0,8,6,0,
OG5_141283,0,112,0,0,0,9,0,0,
OG5_138771,0,185,1,0,0,10,2,0,
OG5_130961,0,379,3,0,2,10,4,0,
OG5_147321,0,74,1,0,0,9,5,2,
OG5_137938,0,67,0,0,1,11,2,0,
OG5_131894,0,239,0,0,1,13,2,8,
OG5_134777,0,357,0,0,0,24,7,0,
OG5_146439,0,149,0,0,0,7,1,0,
OG5_142674,0,131,0,0,0,10,2,0,
OG5_137456,0,134,0,0,0,11,3,2,
OG5_137545,0,83,0,0,0,8,9,0,
OG5_135721,0,213,0,0,1,10,2,7,
OG5_147239,0,119,0,0,0,9,6,0,
OG5_135823,0,67,0,0,0,7,0,0,
OG5_147229,0,110,0,0,0,10,0,0,
OG5_142333,0,120,2,0,0,9,0,1,
OG5_164496,0,105,0,0,0,8,1,0,
OG5_150224,0,101,0,0,0,14,1,4,
OG5_164717,0,100,0,0,0,7,1,0,
OG5_152555,0,102,0,0,0,12,0,0,
OG5_153304,0,92,1,0,0,8,3,0,
OG5_147294,0,72,1,0,2,15,8,0,
OG5_165869,0,97,1,0,0,18,2,0,
OG5_144998,0,78,0,0,0,13,0,0,
OG5_165872,0,98,5,1,0,15,15,0,
OG5_147313,0,93,0,1,0,11,2,0,
OG5_171675,0,99,0,0,0,9,21,0,
OG5_144981,0,94,2,0,0,21,11,0,
OG5_145000,0,92,0,0,0,14,1,0,
OG5_141320,0,112,0,0,0,25,13,0,
OG5_147251,0,76,0,0,0,12,1,0,
OG5_172384,0,100,4,0,0,10,3,0,
OG5_139567,0,87,0,0,0,21,5,0,
OG5_170390,0,81,1,0,0,8,1,0,
OG5_147136,0,93,1,0,0,12,1,0,
OG5_153251,0,97,0,0,0,13,1,0,
OG5_153406,0,87,1,1,0,26,4,0,
OG5_138094,0,132,0,0,0,12,14,0,
OG5_156589,0,94,3,0,0,8,3,0,
OG5_170746,0,69,0,0,0,8,0,0,
