Original Name	New Name	Seq Length	 Seq GC
AM228_RS12015_WP_072160746.1	072160746_Contig_4075_Len378	378	34.9206349206
AM228_RS05805_WP_054465150.1	054465150_Contig_2088_Len951	951	43.5331230284
AM228_RS29775_WP_082348920.1	082348920_Contig_1360_Len1245	1245	39.1967871486
AM228_RS04075_WP_054464828.1	054464828_Contig_2253_Len891	891	43.2098765432
AM228_RS09435_WP_054465874.1	054465874_Contig_2154_Len927	927	51.1326860841
AM228_RS03010_WP_054464709.1	054464709_Contig_4587_Len279	279	43.3691756272
AM228_RS11615_WP_054466278.1	054466278_Contig_1177_Len1347	1347	48.0326651819
AM228_RS19240_WP_054468253.1	054468253_Contig_4523_Len291	291	44.6735395189
AM228_RS25180_WP_054469675.1	054469675_Contig_2203_Len909	909	34.7634763476
AM228_RS09280_WP_054465847.1	054465847_Contig_1604_Len1131	1131	53.6693191866
AM228_RS14190_WP_054466765.1	054466765_Contig_4984_Len225	225	38.6666666667
AM228_RS22570_WP_054469198.1	054469198_Contig_1878_Len1032	1032	42.4418604651
AM228_RS23800_WP_054469425.1	054469425_Contig_3402_Len546	546	45.4212454212
AM228_RS01700_WP_054464368.1	054464368_Contig_4534_Len291	291	37.4570446735
AM228_RS13365_WP_054466608.1	054466608_Contig_4873_Len237	237	43.4599156118
AM228_RS06740_WP_054465323.1	054465323_Contig_4429_Len312	312	49.358974359
AM228_RS10790_WP_054466121.1	054466121_Contig_2617_Len783	783	43.8058748404
AM228_RS07740_WP_054465555.1	054465555_Contig_1004_Len1440	1440	42.5
AM228_RS03435_WP_054464682.1	054464682_Contig_2188_Len915	915	49.6174863388
AM228_RS28460_WP_054470397.1	054470397_Contig_1454_Len1203	1203	51.7040731505
AM228_RS28870_WP_082349249.1	082349249_Contig_1650_Len1118	1118	37.3881932021
AM228_RS14470_WP_054466817.1	054466817_Contig_1820_Len1050	1050	45.619047619
AM228_RS09425_WP_082348814.1	082348814_Contig_1642_Len1119	1119	48.9722966935
AM228_RS29890_WP_072160835.1	072160835_Contig_5379_Len183	183	33.8797814208
AM228_RS07055_WP_054465426.1	054465426_Contig_2534_Len810	810	48.5185185185
AM228_RS15200_WP_054466942.1	054466942_Contig_5230_Len198	198	40.404040404
AM228_RS04885_WP_054464986.1	054464986_Contig_2597_Len789	789	42.2053231939
AM228_RS16820_WP_054467305.1	054467305_Contig_3295_Len570	570	45.0877192982
AM228_RS25910_WP_054469805.1	054469805_Contig_27_Len4995	4995	43.7637637638
AM228_RS21340_WP_054468970.1	054468970_Contig_822_Len1590	1590	31.9496855346
AM228_RS27805_WP_054470200.1	054470200_Contig_2425_Len840	840	47.619047619
AM228_RS01170_WP_054464247.1	054464247_Contig_228_Len2664	2664	40.0900900901
AM228_RS10185_WP_054466006.1	054466006_Contig_4136_Len366	366	41.8032786885
AM228_RS16145_WP_072160797.1	072160797_Contig_3257_Len582	582	38.3161512027
AM228_RS08475_WP_054465691.1	054465691_Contig_4293_Len336	336	47.9166666667
AM228_RS20980_WP_054468898.1	054468898_Contig_3373_Len552	552	41.847826087
AM228_RS11790_WP_054466309.1	054466309_Contig_4397_Len318	318	48.1132075472
AM228_RS21485_WP_054468999.1	054468999_Contig_4945_Len228	228	45.1754385965
AM228_RS15035_WP_054466918.1	054466918_Contig_2630_Len777	777	32.5611325611
AM228_RS26365_WP_054469890.1	054469890_Contig_4570_Len282	282	49.2907801418
AM228_RS06625_WP_054465301.1	054465301_Contig_3934_Len408	408	44.6078431373
AM228_RS01200_WP_054464253.1	054464253_Contig_4121_Len366	366	41.8032786885
AM228_RS01345_WP_054464311.1	054464311_Contig_777_Len1629	1629	47.6979742173
AM228_RS24105_WP_054469482.1	054469482_Contig_5179_Len204	204	41.1764705882
AM228_RS22235_WP_054469137.1	054469137_Contig_3258_Len582	582	48.7972508591
AM228_RS08080_WP_054465627.1	054465627_Contig_4096_Len372	372	48.9247311828
AM228_RS02385_WP_054464490.1	054464490_Contig_495_Len1995	1995	41.5538847118
AM228_RS18595_WP_054468000.1	054468000_Contig_1426_Len1221	1221	42.588042588
AM228_RS17365_WP_054467534.1	054467534_Contig_1357_Len1248	1248	39.4230769231
AM228_RS24920_WP_054469641.1	054469641_Contig_2432_Len837	837	40.5017921147
AM228_RS09960_WP_054465966.1	054465966_Contig_936_Len1497	1497	46.9605878424
AM228_RS26425_WP_054469901.1	054469901_Contig_3293_Len570	570	39.298245614
AM228_RS18775_WP_054468055.1	054468055_Contig_4359_Len324	324	45.0617283951
AM228_RS04485_WP_054464918.1	054464918_Contig_4702_Len261	261	44.061302682
AM228_RS08015_WP_054465615.1	054465615_Contig_5283_Len195	195	41.0256410256
AM228_RS14985_WP_054466948.1	054466948_Contig_698_Len1719	1719	44.0954043048
AM228_RS12510_WP_054466537.1	054466537_Contig_2659_Len768	768	45.3125
AM228_RS22740_WP_054469228.1	054469228_Contig_1748_Len1080	1080	41.0185185185
AM228_RS11195_WP_054466202.1	054466202_Contig_5233_Len198	198	47.4747474747
AM228_RS23345_WP_054469339.1	054469339_Contig_162_Len3033	3033	44.1806791955
AM228_RS09730_WP_054465920.1	054465920_Contig_5173_Len204	204	60.7843137255
AM228_RS20905_WP_054468877.1	054468877_Contig_1237_Len1314	1314	36.2252663623
AM228_RS17180_WP_054467452.1	054467452_Contig_92_Len3555	3555	41.3783403657
AM228_RS17480_WP_054467577.1	054467577_Contig_4174_Len357	357	36.1344537815
AM228_RS06380_WP_054465260.1	054465260_Contig_169_Len2997	2997	44.5779112446
AM228_RS16485_WP_054467206.1	054467206_Contig_5199_Len201	201	37.8109452736
AM228_RS11825_WP_082348850.1	082348850_Contig_2916_Len687	687	47.30713246
AM228_RS14730_WP_054466858.1	054466858_Contig_844_Len1563	1563	44.8496481126
AM228_RS20850_WP_054468858.1	054468858_Contig_4712_Len258	258	51.9379844961
AM228_RS23595_WP_054469384.1	054469384_Contig_3877_Len420	420	43.5714285714
AM228_RS04460_WP_082348742.1	082348742_Contig_1506_Len1182	1182	44.5008460237
AM228_RS08915_WP_054465772.1	054465772_Contig_1100_Len1386	1386	49.7113997114
AM228_RS05695_WP_054465129.1	054465129_Contig_3353_Len558	558	47.6702508961
AM228_RS05140_WP_054465025.1	054465025_Contig_4095_Len372	372	41.3978494624
AM228_RS04205_WP_054464848.1	054464848_Contig_5279_Len195	195	38.4615384615
AM228_RS28160_WP_054470308.1	054470308_Contig_3394_Len549	549	46.9945355191
AM228_RS28790_WP_054470488.1	054470488_Contig_4965_Len225	225	40.4444444444
AM228_RS03840_WP_054464786.1	054464786_Contig_3929_Len408	408	40.6862745098
AM228_RS02095_WP_054464438.1	054464438_Contig_4617_Len276	276	37.6811594203
AM228_RS08960_WP_054465780.1	054465780_Contig_736_Len1680	1680	50.119047619
AM228_RS05785_WP_054465146.1	054465146_Contig_3418_Len543	543	40.3314917127
AM228_RS13465_WP_054466620.1	054466620_Contig_1434_Len1218	1218	49.4252873563
AM228_RS19625_WP_054468391.1	054468391_Contig_1101_Len1386	1386	48.0519480519
AM228_RS15755_WP_082348901.1	082348901_Contig_2753_Len735	735	44.0816326531
AM228_RS06915_WP_054465402.1	054465402_Contig_2978_Len669	669	43.3482810164
AM228_RS05240_WP_054465041.1	054465041_Contig_1647_Len1119	1119	49.7765862377
AM228_RS24180_WP_054469496.1	054469496_Contig_2755_Len735	735	45.8503401361
AM228_RS05720_WP_054465134.1	054465134_Contig_2255_Len891	891	41.5263748597
AM228_RS10655_WP_054466099.1	054466099_Contig_804_Len1605	1605	51.0280373832
