Original Name	New Name	Seq Length	 Seq GC
GEI7105_RS33700_WP_017662045.1	017662045_Contig_1324_Len1203	1203	47.7140482128
GEI7105_RS0101025_WP_017658630.1	017658630_Contig_544_Len1806	1806	56.4784053156
GEI7105_RS0116850_WP_017661606.1	017661606_Contig_1521_Len1125	1125	56.2666666667
GEI7105_RS0105385_WP_083862323.1	083862323_Contig_1418_Len1167	1167	57.3264781491
GEI7105_RS0113230_WP_017660935.1	017660935_Contig_367_Len2136	2136	55.4775280899
GEI7105_RS33140_WP_051044116.1	051044116_Contig_1448_Len1155	1155	58.4415584416
GEI7105_RS0127005_WP_017663479.1	017663479_Contig_439_Len1977	1977	48.6090035407
GEI7105_RS0121785_WP_017662531.1	017662531_Contig_3623_Len438	438	57.0776255708
GEI7105_RS28745_WP_017658908.1	017658908_Contig_3464_Len480	480	48.5416666667
GEI7105_RS0107420_WP_017659838.1	017659838_Contig_1589_Len1098	1098	56.5573770492
GEI7105_RS0101005_WP_017658626.1	017658626_Contig_4250_Len270	270	58.1481481481
GEI7105_RS0125475_WP_017663198.1	017663198_Contig_3500_Len471	471	50.9554140127
GEI7105_RS35135_WP_017661695.1	017661695_Contig_4779_Len171	171	46.1988304094
GEI7105_RS0109360_WP_017660216.1	017660216_Contig_3372_Len507	507	52.2682445759
GEI7105_RS0117770_WP_017661782.1	017661782_Contig_1241_Len1245	1245	56.7871485944
GEI7105_RS32410_WP_035494017.1	035494017_Contig_4314_Len258	258	58.1395348837
GEI7105_RS0123680_WP_017662885.1	017662885_Contig_2804_Len669	669	55.3064275037
GEI7105_RS0108180_WP_017659988.1	017659988_Contig_61_Len3879	3879	54.4212425883
GEI7105_RS0112430_WP_017660784.1	017660784_Contig_4105_Len306	306	55.5555555556
GEI7105_RS36020_WP_083862447.1	083862447_Contig_2540_Len756	756	53.4391534392
GEI7105_RS0102175_WP_017658849.1	017658849_Contig_937_Len1413	1413	51.9462137297
GEI7105_RS0104305_WP_017659260.1	017659260_Contig_3615_Len438	438	54.7945205479
GEI7105_RS32205_WP_017662924.1	017662924_Contig_782_Len1533	1533	38.8127853881
