Original Name	New Name	Seq Length	 Seq GC
LEPTO7104_RS36545_WP_017296719.1	017296719_Contig_2036_Len1017	1017	62.4385447394
LEPTO7104_RS0118720_WP_017300117.1	017300117_Contig_2119_Len993	993	60.3222557905
LEPTO7104_RS32130_WP_083886974.1	083886974_Contig_229_Len2514	2514	53.1424025457
LEPTO7104_RS0117755_WP_017299928.1	017299928_Contig_974_Len1449	1449	61.4216701173
LEPTO7104_RS0120630_WP_017300489.1	017300489_Contig_659_Len1710	1710	62.5730994152
LEPTO7104_RS0101195_WP_017296713.1	017296713_Contig_1587_Len1164	1164	60.7388316151
LEPTO7104_RS35845_WP_017302023.1	017302023_Contig_1147_Len1362	1362	60.7929515419
LEPTO7104_RS0108720_WP_017298179.1	017298179_Contig_2149_Len981	981	62.8950050968
LEPTO7104_RS0121655_WP_017300687.1	017300687_Contig_721_Len1647	1647	58.773527626
LEPTO7104_RS0103770_WP_026072345.1	026072345_Contig_5267_Len300	300	59.3333333333
LEPTO7104_RS0128650_WP_017302018.1	017302018_Contig_27_Len4038	4038	58.4447746409
LEPTO7104_RS0117060_WP_026072796.1	026072796_Contig_5398_Len276	276	52.8985507246
LEPTO7104_RS0112050_WP_017298831.1	017298831_Contig_3477_Len651	651	57.1428571429
LEPTO7104_RS0107850_WP_017298008.1	017298008_Contig_1839_Len1077	1077	55.896007428
LEPTO7104_RS0107485_WP_017297939.1	017297939_Contig_654_Len1716	1716	59.4405594406
LEPTO7104_RS0104320_WP_017297321.1	017297321_Contig_3364_Len672	672	60.2678571429
LEPTO7104_RS33870_WP_017299231.1	017299231_Contig_3966_Len543	543	61.3259668508
LEPTO7104_RS0104330_WP_071527183.1	071527183_Contig_2440_Len897	897	58.3054626533
LEPTO7104_RS0100670_WP_017296610.1	017296610_Contig_2835_Len792	792	56.9444444444
LEPTO7104_RS0111180_WP_017298666.1	017298666_Contig_4444_Len447	447	52.1252796421
LEPTO7104_RS0113565_WP_017299126.1	017299126_Contig_3085_Len735	735	58.231292517
LEPTO7104_RS0118380_WP_051158512.1	051158512_Contig_2301_Len936	936	64.1025641026
LEPTO7104_RS0116770_WP_017299740.1	017299740_Contig_1175_Len1350	1350	52.6666666667
