Original Name	New Name	Seq Length	 Seq GC
MAE_RS00325_WP_041803581.1	041803581_Contig_3179_Len492	492	41.8699186992
MAE_RS20490_WP_012267262.1	012267262_Contig_3148_Len501	501	31.7365269461
MAE_RS15605_WP_002798258.1	002798258_Contig_3510_Len408	408	42.1568627451
MAE_RS22695_WP_012267605.1	012267605_Contig_2692_Len648	648	36.4197530864
MAE_RS14420_WP_012266245.1	012266245_Contig_2390_Len756	756	41.5343915344
MAE_RS12350_WP_002798941.1	002798941_Contig_2707_Len642	642	35.8255451713
MAE_RS04305_WP_012264478.1	012264478_Contig_548_Len1581	1581	47.881087919
MAE_RS22905_WP_012267637.1	012267637_Contig_2001_Len870	870	47.4712643678
MAE_RS30255_WP_012266340.1	012266340_Contig_4526_Len240	240	42.9166666667
MAE_RS24555_WP_012267908.1	012267908_Contig_4963_Len195	195	44.6153846154
MAE_RS30640_WP_012263822.1	012263822_Contig_4867_Len204	204	46.568627451
MAE_RS07060_WP_012264593.1	012264593_Contig_1393_Len1092	1092	34.5238095238
MAE_RS17770_WP_012266804.1	012266804_Contig_2688_Len648	648	33.1790123457
MAE_RS16535_WP_041804839.1	041804839_Contig_3989_Len315	315	33.9682539683
MAE_RS06005_WP_012264780.1	012264780_Contig_1187_Len1182	1182	44.6700507614
MAE_RS07480_WP_002798772.1	002798772_Contig_4230_Len276	276	38.4057971014
MAE_RS14415_WP_012266244.1	012266244_Contig_1533_Len1044	1044	35.3448275862
MAE_RS14765_WP_012266312.1	012266312_Contig_3242_Len474	474	52.9535864979
MAE_RS06660_WP_012264891.1	012264891_Contig_345_Len1854	1854	47.3570658037
MAE_RS28480_WP_080506933.1	080506933_Contig_4630_Len225	225	34.2222222222
MAE_RS15435_WP_012266418.1	012266418_Contig_424_Len1695	1695	42.8318584071
MAE_RS07185_WP_002798743.1	002798743_Contig_4794_Len207	207	40.0966183575
MAE_RS19495_WP_004162670.1	004162670_Contig_1913_Len906	906	37.1964679912
MAE_RS06800_WP_041803893.1	041803893_Contig_2293_Len783	783	39.3358876117
MAE_RS23980_WP_041804362.1	041804362_Contig_4783_Len210	210	48.5714285714
MAE_RS21895_WP_041804281.1	041804281_Contig_721_Len1431	1431	46.5408805031
MAE_RS20810_WP_002733426.1	002733426_Contig_3845_Len342	342	54.6783625731
MAE_RS24735_WP_012267935.1	012267935_Contig_2626_Len669	669	48.8789237668
MAE_RS21370_WP_002797201.1	002797201_Contig_1272_Len1152	1152	44.4444444444
MAE_RS16410_WP_002758270.1	002758270_Contig_4738_Len213	213	47.4178403756
MAE_RS26195_WP_012268173.1	012268173_Contig_60_Len3297	3297	41.6135881104
MAE_RS20755_WP_002732232.1	002732232_Contig_4027_Len309	309	33.6569579288
MAE_RS04390_WP_041803799.1	041803799_Contig_4131_Len291	291	50.1718213058
MAE_RS05320_WP_012264653.1	012264653_Contig_3896_Len333	333	42.042042042
MAE_RS13160_WP_012266004.1	012266004_Contig_2517_Len702	702	33.7606837607
MAE_RS25195_WP_012267991.1	012267991_Contig_13_Len5271	5271	44.7732878012
MAE_RS03875_WP_012264404.1	012264404_Contig_3693_Len366	366	37.4316939891
MAE_RS00950_WP_080506917.1	080506917_Contig_4082_Len297	297	30.9764309764
MAE_RS20335_WP_043999193.1	043999193_Contig_2872_Len591	591	45.6852791878
MAE_RS16510_WP_002797027.1	002797027_Contig_4739_Len213	213	31.9248826291
MAE_RS24075_WP_002796279.1	002796279_Contig_3807_Len348	348	52.8735632184
MAE_RS03250_WP_002763635.1	002763635_Contig_4150_Len288	288	45.8333333333
MAE_RS17410_WP_002799399.1	002799399_Contig_4556_Len237	237	45.1476793249
MAE_RS30875_WP_012264307.1	012264307_Contig_2097_Len849	849	38.7514723204
MAE_RS02025_WP_041803677.1	041803677_Contig_4451_Len246	246	30.487804878
MAE_RS26940_WP_012268290.1	012268290_Contig_2610_Len675	675	43.1111111111
MAE_RS10630_WP_002796685.1	002796685_Contig_2303_Len780	780	44.2307692308
MAE_RS19115_WP_012267033.1	012267033_Contig_4092_Len297	297	36.7003367003
MAE_RS22010_WP_002795895.1	002795895_Contig_552_Len1578	1578	49.6831432193
MAE_RS24550_WP_012267907.1	012267907_Contig_1144_Len1191	1191	50.2938706969
MAE_RS21830_WP_012267474.1	012267474_Contig_4054_Len303	303	42.5742574257
MAE_RS22725_WP_002760089.1	002760089_Contig_1184_Len1185	1185	45.3164556962
MAE_RS16800_WP_002797081.1	002797081_Contig_3784_Len351	351	41.3105413105
MAE_RS30695_WP_080507108.1	080507108_Contig_4355_Len261	261	31.8007662835
MAE_RS25925_WP_012268122.1	012268122_Contig_2579_Len684	684	44.298245614
MAE_RS17430_WP_012266741.1	012266741_Contig_143_Len2526	2526	48.2185273159
MAE_RS18470_WP_012266922.1	012266922_Contig_474_Len1659	1659	40.5666063894
MAE_RS08605_WP_012265227.1	012265227_Contig_1614_Len1008	1008	48.1150793651
MAE_RS05335_WP_012264656.1	012264656_Contig_1180_Len1185	1185	42.6160337553
MAE_RS28635_WP_071821325.1	071821325_Contig_4886_Len201	201	48.7562189055
MAE_RS24005_WP_041804364.1	041804364_Contig_4308_Len267	267	30.3370786517
MAE_RS21190_WP_050766313.1	050766313_Contig_387_Len1761	1761	39.3526405451
MAE_RS31290_WP_012268390.1	012268390_Contig_4723_Len216	216	38.4259259259
MAE_RS02750_WP_004163062.1	004163062_Contig_2414_Len747	747	39.8929049531
MAE_RS03290_WP_012264305.1	012264305_Contig_4033_Len306	306	40.522875817
MAE_RS29520_WP_012265813.1	012265813_Contig_4513_Len240	240	41.25
MAE_RS05230_WP_004163380.1	004163380_Contig_2992_Len555	555	53.3333333333
MAE_RS14995_WP_012266348.1	012266348_Contig_4296_Len267	267	43.4456928839
MAE_RS26950_WP_012268293.1	012268293_Contig_2221_Len807	807	45.6009913259
MAE_RS30915_WP_080507051.1	080507051_Contig_5181_Len117	117	57.264957265
MAE_RS21755_WP_002795845.1	002795845_Contig_3409_Len432	432	48.8425925926
MAE_RS17120_WP_002739245.1	002739245_Contig_4240_Len276	276	45.2898550725
MAE_RS00775_WP_041804488.1	041804488_Contig_405_Len1728	1728	46.9907407407
MAE_RS11655_WP_012265754.1	012265754_Contig_420_Len1710	1710	44.7953216374
MAE_RS06305_WP_012264842.1	012264842_Contig_75_Len3033	3033	55.4566435872
MAE_RS07435_WP_002798768.1	002798768_Contig_1884_Len918	918	46.4052287582
MAE_RS03350_WP_002750657.1	002750657_Contig_4197_Len282	282	48.5815602837
