Original Name	New Name	Seq Length	 Seq GC
AA650_RS08340_WP_015080101.1	015080101_Contig_4570_Len222	222	33.3333333333
AA650_RS18110_WP_053540080.1	053540080_Contig_1646_Len990	990	44.6464646465
AA650_RS26640_WP_081424229.1	081424229_Contig_4886_Len162	162	28.3950617284
AA650_RS21400_WP_053540582.1	053540582_Contig_1574_Len1020	1020	35.2941176471
AA650_RS14450_WP_053539543.1	053539543_Contig_4594_Len219	219	34.2465753425
AA650_RS10320_WP_027400925.1	027400925_Contig_2833_Len594	594	42.2558922559
AA650_RS00960_WP_053537607.1	053537607_Contig_359_Len1893	1893	34.6011621764
AA650_RS16190_WP_053539790.1	053539790_Contig_750_Len1434	1434	35.4951185495
AA650_RS11300_WP_053539094.1	053539094_Contig_1322_Len1125	1125	34.3111111111
AA650_RS11125_WP_015080223.1	015080223_Contig_975_Len1290	1290	43.023255814
AA650_RS09885_WP_053538888.1	053538888_Contig_3678_Len384	384	38.8020833333
AA650_RS22660_WP_053541384.1	053541384_Contig_1153_Len1200	1200	37.0
AA650_RS18100_WP_053540078.1	053540078_Contig_968_Len1296	1296	47.299382716
AA650_RS10860_WP_053539036.1	053539036_Contig_1675_Len978	978	31.799591002
AA650_RS24260_WP_081424323.1	081424323_Contig_764_Len1419	1419	40.8738548273
AA650_RS09995_WP_081424197.1	081424197_Contig_802_Len1389	1389	37.2930165587
AA650_RS21195_WP_027404639.1	027404639_Contig_3563_Len408	408	43.6274509804
AA650_RS21950_WP_039200413.1	039200413_Contig_4212_Len276	276	41.6666666667
AA650_RS22655_WP_053540760.1	053540760_Contig_199_Len2352	2352	42.4319727891
AA650_RS12540_WP_027403832.1	027403832_Contig_2991_Len555	555	43.0630630631
AA650_RS09735_WP_053538864.1	053538864_Contig_2669_Len642	642	41.1214953271
AA650_RS22410_WP_053540722.1	053540722_Contig_1692_Len975	975	35.8974358974
AA650_RS19240_WP_053541348.1	053541348_Contig_4319_Len258	258	33.7209302326
AA650_RS20620_WP_053540467.1	053540467_Contig_4211_Len276	276	34.0579710145
AA650_RS04225_WP_053538084.1	053538084_Contig_2660_Len645	645	40.6201550388
AA650_RS18105_WP_053540079.1	053540079_Contig_1224_Len1170	1170	44.0170940171
AA650_RS24705_WP_027402862.1	027402862_Contig_4511_Len231	231	38.961038961
AA650_RS23465_WP_053540872.1	053540872_Contig_2993_Len555	555	41.4414414414
AA650_RS01575_WP_027403642.1	027403642_Contig_4701_Len204	204	39.2156862745
AA650_RS18900_WP_053540204.1	053540204_Contig_530_Len1626	1626	45.0799507995
AA650_RS10955_WP_053539049.1	053539049_Contig_2690_Len636	636	35.6918238994
AA650_RS19260_WP_053540263.1	053540263_Contig_4438_Len240	240	40.4166666667
AA650_RS13040_WP_053539342.1	053539342_Contig_3015_Len546	546	41.0256410256
AA650_RS05655_WP_053538307.1	053538307_Contig_2528_Len687	687	43.231441048
AA650_RS09705_WP_053538861.1	053538861_Contig_2006_Len855	855	37.6608187135
AA650_RS21925_WP_039200415.1	039200415_Contig_2760_Len615	615	42.1138211382
AA650_RS07225_WP_039201081.1	039201081_Contig_3745_Len369	369	34.6883468835
AA650_RS20315_WP_015083562.1	015083562_Contig_3505_Len420	420	29.5238095238
AA650_RS05325_WP_053538260.1	053538260_Contig_4053_Len306	306	39.5424836601
AA650_RS07815_WP_053538585.1	053538585_Contig_2874_Len582	582	40.7216494845
AA650_RS22155_WP_053540684.1	053540684_Contig_3246_Len477	477	37.3165618449
AA650_RS18075_WP_053541329.1	053541329_Contig_27_Len4164	4164	51.032660903
AA650_RS02765_WP_027404869.1	027404869_Contig_864_Len1350	1350	42.1481481481
AA650_RS06545_WP_027402067.1	027402067_Contig_3715_Len375	375	33.0666666667
