Original Name	New Name	Seq Length	 Seq GC
OSCCYDRAFT_RS15170_WP_009767736.1	009767736_Contig_876_Len1425	1425	50.6666666667
OSCCYDRAFT_RS12145_WP_009556795.1	009556795_Contig_2214_Len849	849	50.8833922261
OSCCYDRAFT_RS16775_WP_009768048.1	009768048_Contig_270_Len2289	2289	51.4198339886
OSCCYDRAFT_RS16550_WP_009768008.1	009768008_Contig_3991_Len357	357	42.8571428571
OSCCYDRAFT_RS14765_WP_009767655.1	009767655_Contig_972_Len1368	1368	50.5116959064
OSCCYDRAFT_RS20635_WP_009768795.1	009768795_Contig_3016_Len612	612	49.1830065359
OSCCYDRAFT_RS19215_WP_009768513.1	009768513_Contig_106_Len2991	2991	49.6489468405
OSCCYDRAFT_RS14940_WP_009767691.1	009767691_Contig_2231_Len846	846	45.7446808511
OSCCYDRAFT_RS19780_WP_009768626.1	009768626_Contig_1001_Len1353	1353	50.480413895
OSCCYDRAFT_RS10470_WP_009556461.1	009556461_Contig_1090_Len1329	1329	49.5861550038
OSCCYDRAFT_RS22715_WP_009769187.1	009769187_Contig_1628_Len1071	1071	40.8963585434
OSCCYDRAFT_RS06470_WP_009555693.1	009555693_Contig_20_Len4743	4743	52.2875816993
OSCCYDRAFT_RS19930_WP_009768657.1	009768657_Contig_1777_Len1008	1008	43.8492063492
OSCCYDRAFT_RS20100_WP_009768689.1	009768689_Contig_3223_Len549	549	46.6302367942
OSCCYDRAFT_RS11510_WP_009556667.1	009556667_Contig_1702_Len1044	1044	50.0957854406
OSCCYDRAFT_RS01135_WP_009554211.1	009554211_Contig_1730_Len1029	1029	43.7317784257
OSCCYDRAFT_RS15475_WP_009767796.1	009767796_Contig_2321_Len819	819	46.0317460317
OSCCYDRAFT_RS09275_WP_009556226.1	009556226_Contig_4098_Len324	324	48.4567901235
OSCCYDRAFT_RS24180_WP_036615393.1	036615393_Contig_4675_Len189	189	44.4444444444
OSCCYDRAFT_RS20490_WP_009768767.1	009768767_Contig_2177_Len861	861	49.3612078978
OSCCYDRAFT_RS09790_WP_009556327.1	009556327_Contig_3790_Len402	402	48.7562189055
OSCCYDRAFT_RS17640_WP_009768209.1	009768209_Contig_3100_Len591	591	52.1150592217
OSCCYDRAFT_RS15310_WP_009767765.1	009767765_Contig_814_Len1470	1470	51.0204081633
OSCCYDRAFT_RS04260_WP_009555159.1	009555159_Contig_2736_Len693	693	45.4545454545
OSCCYDRAFT_RS16920_WP_036614998.1	036614998_Contig_3711_Len423	423	41.6075650118
OSCCYDRAFT_RS18080_WP_009768286.1	009768286_Contig_2428_Len786	786	50.3816793893
OSCCYDRAFT_RS16235_WP_009767945.1	009767945_Contig_1735_Len1029	1029	47.619047619
OSCCYDRAFT_RS24195_WP_009769466.1	009769466_Contig_3354_Len510	510	50.1960784314
OSCCYDRAFT_RS09825_WP_036614671.1	036614671_Contig_3033_Len606	606	49.3399339934
OSCCYDRAFT_RS26225_WP_009557259.1	009557259_Contig_3312_Len522	522	53.6398467433
OSCCYDRAFT_RS08640_WP_009556101.1	009556101_Contig_323_Len2142	2142	50.0466853408
OSCCYDRAFT_RS20105_WP_009768690.1	009768690_Contig_3211_Len552	552	48.3695652174
OSCCYDRAFT_RS07785_WP_009555935.1	009555935_Contig_485_Len1812	1812	47.7924944812
OSCCYDRAFT_RS15620_WP_009767819.1	009767819_Contig_2112_Len879	879	48.1228668942
OSCCYDRAFT_RS14005_WP_009557151.1	009557151_Contig_943_Len1389	1389	49.9640028798
OSCCYDRAFT_RS20995_WP_009768860.1	009768860_Contig_1754_Len1023	1023	48.7781036168
OSCCYDRAFT_RS01590_WP_036615593.1	036615593_Contig_4136_Len315	315	42.5396825397
OSCCYDRAFT_RS02500_WP_009554677.1	009554677_Contig_3556_Len453	453	45.9161147903
OSCCYDRAFT_RS17285_WP_009768147.1	009768147_Contig_2758_Len690	690	41.884057971
OSCCYDRAFT_RS22795_WP_009553992.1	009553992_Contig_3628_Len444	444	44.1441441441
OSCCYDRAFT_RS19035_WP_009554115.1	009554115_Contig_1059_Len1341	1341	51.7524235645
OSCCYDRAFT_RS07905_WP_009555958.1	009555958_Contig_1834_Len984	984	48.4756097561
OSCCYDRAFT_RS03740_WP_009553992.1	009553992_Contig_3600_Len444	444	44.1441441441
OSCCYDRAFT_RS01720_WP_009554381.1	009554381_Contig_3248_Len540	540	48.7037037037
OSCCYDRAFT_RS09350_WP_009556242.1	009556242_Contig_2807_Len672	672	48.9583333333
OSCCYDRAFT_RS06440_WP_009555688.1	009555688_Contig_3519_Len462	462	46.5367965368
OSCCYDRAFT_RS21630_WP_009768981.1	009768981_Contig_2208_Len852	852	47.7699530516
OSCCYDRAFT_RS00535_WP_009554107.1	009554107_Contig_4680_Len183	183	45.9016393443
OSCCYDRAFT_RS09035_WP_009556176.1	009556176_Contig_1415_Len1155	1155	51.2554112554
OSCCYDRAFT_RS17445_WP_009554115.1	009554115_Contig_1055_Len1341	1341	51.677852349
OSCCYDRAFT_RS08675_WP_009556106.1	009556106_Contig_4638_Len195	195	47.1794871795
OSCCYDRAFT_RS22160_WP_036617728.1	036617728_Contig_2863_Len660	660	48.3333333333
OSCCYDRAFT_RS17615_WP_009768203.1	009768203_Contig_4433_Len237	237	44.3037974684
OSCCYDRAFT_RS04690_WP_009555245.1	009555245_Contig_1346_Len1188	1188	49.8316498316
OSCCYDRAFT_RS00025_WP_009553974.1	009553974_Contig_3474_Len474	474	46.835443038
OSCCYDRAFT_RS18345_WP_009768342.1	009768342_Contig_3520_Len462	462	45.670995671
OSCCYDRAFT_RS04970_WP_009555299.1	009555299_Contig_1303_Len1209	1209	49.4623655914
OSCCYDRAFT_RS11355_WP_009556638.1	009556638_Contig_4234_Len288	288	50.0
OSCCYDRAFT_RS24520_WP_009555037.1	009555037_Contig_2773_Len684	684	38.3040935673
OSCCYDRAFT_RS08130_WP_036614611.1	036614611_Contig_4251_Len282	282	48.9361702128
OSCCYDRAFT_RS13675_WP_009557089.1	009557089_Contig_4035_Len345	345	45.2173913043
OSCCYDRAFT_RS04280_WP_009555163.1	009555163_Contig_3240_Len543	543	48.6187845304
OSCCYDRAFT_RS24860_WP_009556882.1	009556882_Contig_2971_Len624	624	43.108974359
OSCCYDRAFT_RS00245_WP_009554047.1	009554047_Contig_2766_Len687	687	45.8515283843
