Original Name	New Name	Seq Length	 Seq GC
ANACY_RS24045_WP_015216833.1	015216833_Contig_2873_Len768	768	43.75
ANACY_RS21640_WP_015216354.1	015216354_Contig_5057_Len294	294	31.2925170068
ANACY_RS02810_WP_015212815.1	015212815_Contig_2524_Len858	858	42.1911421911
ANACY_RS08985_WP_015213965.1	015213965_Contig_1342_Len1263	1263	42.2802850356
ANACY_RS00040_WP_015212278.1	015212278_Contig_1886_Len1053	1053	30.7692307692
ANACY_RS26315_WP_015217276.1	015217276_Contig_5684_Len195	195	36.4102564103
ANACY_RS15940_WP_015215244.1	015215244_Contig_239_Len2619	2619	41.4662084765
ANACY_RS06320_WP_081593736.1	081593736_Contig_5047_Len294	294	43.8775510204
ANACY_RS19035_WP_015215849.1	015215849_Contig_1534_Len1182	1182	35.5329949239
ANACY_RS29945_WP_015217830.1	015217830_Contig_229_Len2661	2661	38.3690341977
ANACY_RS07725_WP_015213719.1	015213719_Contig_4571_Len384	384	31.5104166667
ANACY_RS25165_WP_015217056.1	015217056_Contig_695_Len1689	1689	39.3132030787
ANACY_RS27545_WP_015217524.1	015217524_Contig_4461_Len405	405	37.7777777778
ANACY_RS30320_WP_015217880.1	015217880_Contig_1202_Len1335	1335	38.0524344569
ANACY_RS10560_WP_015214255.1	015214255_Contig_5471_Len225	225	39.5555555556
ANACY_RS13575_WP_015214807.1	015214807_Contig_4347_Len423	423	39.243498818
ANACY_RS21250_WP_015216278.1	015216278_Contig_5752_Len183	183	38.2513661202
ANACY_RS30605_WP_015215703.1	015215703_Contig_169_Len2907	2907	41.4860681115
ANACY_RS21530_WP_015216333.1	015216333_Contig_5268_Len258	258	43.7984496124
ANACY_RS26800_WP_015217375.1	015217375_Contig_227_Len2664	2664	42.1921921922
ANACY_RS02295_WP_015212720.1	015212720_Contig_1629_Len1149	1149	42.3846823325
ANACY_RS03270_WP_015212905.1	015212905_Contig_3867_Len528	528	41.8560606061
ANACY_RS15450_WP_015215155.1	015215155_Contig_3451_Len624	624	39.1025641026
ANACY_RS00440_WP_015212357.1	015212357_Contig_92_Len3591	3591	35.3661932609
ANACY_RS22750_WP_015216573.1	015216573_Contig_2736_Len798	798	36.0902255639
ANACY_RS28625_WP_015364274.1	015364274_Contig_1719_Len1113	1113	48.427672956
ANACY_RS19820_WP_015215995.1	015215995_Contig_585_Len1830	1830	43.0601092896
ANACY_RS14990_WP_015215068.1	015215068_Contig_247_Len2580	2580	43.4496124031
ANACY_RS18130_WP_015080100.1	015080100_Contig_5404_Len237	237	32.9113924051
ANACY_RS24980_WP_015217021.1	015217021_Contig_1400_Len1236	1236	37.5404530744
ANACY_RS16210_WP_015215296.1	015215296_Contig_3523_Len606	606	37.7887788779
ANACY_RS03910_WP_015213026.1	015213026_Contig_4691_Len363	363	31.4049586777
ANACY_RS20360_WP_015216101.1	015216101_Contig_3586_Len591	591	36.717428088
ANACY_RS21810_WP_015216386.1	015216386_Contig_3829_Len540	540	35.3703703704
ANACY_RS08825_WP_015213932.1	015213932_Contig_2171_Len963	963	44.6521287643
ANACY_RS16865_WP_015215427.1	015215427_Contig_1402_Len1233	1233	41.6869424169
ANACY_RS18575_WP_015215759.1	015215759_Contig_3567_Len597	597	41.8760469012
ANACY_RS15025_WP_015215075.1	015215075_Contig_2951_Len747	747	44.3105756359
ANACY_RS15465_WP_015215158.1	015215158_Contig_3697_Len567	567	34.2151675485
