,am,ba,ee,ex,op,pl,sr,za,
OG5_141485,0.807,0,0.366,0.71,0.575,0.233,0.291,0,
OG5_127854,0.039,0,0.048,0.235,0.13,0.138,0.027,0,
OG5_164044,0.239,0.667,0.255,0.738,0.227,0.266,0.335,0,
OG5_130851,0.451,1.0,0.077,0.526,0.176,0.273,0.1,0,
OG5_127869,0.031,0,0.044,0.13,0.061,0.038,0.016,0,
OG5_128940,0.222,0,0.094,0.167,0.083,0.115,0.028,0,
OG5_127251,0.04,0,0.101,0.182,0.143,0.092,0.021,0,
OG5_135403,0.202,0,0.158,0.333,0.167,0.074,0.349,0,
OG5_135286,0.04,0,0.087,0,0.222,0.25,0.04,0,
OG5_135051,0.52,0,0.1,0.273,0.217,0.156,0.199,0,
OG5_128785,0.029,0.075,0.071,0.4,0.176,0.171,0.031,0,
OG5_128253,0.033,0,0.043,0.208,0.133,0.088,0.016,0,
OG5_129886,0.166,0.25,0.118,0.473,0.132,0.1,0.33,1.0,
OG5_129476,0.041,0.2,0.067,0.333,0.069,0.143,0.031,0,
OG5_127065,0.169,0.016,0.13,0.3,0.367,0.435,0.16,0.258,
OG5_131029,0.755,0,0.09,0.301,0.336,0.174,0.212,0,
OG5_128737,0.075,0,0.143,0.182,0.286,0.154,0.056,0,
OG5_129145,0.025,0,0.05,0.143,0.048,0.136,0.03,0,
OG5_135159,0.041,0,0.244,0.392,0.225,0.5,0.105,0,
OG5_129156,0.808,0.009,0.238,0.5,0.167,0.375,0.095,0.024,
OG5_128283,0.204,0.5,0.151,0.446,0.304,0.066,0.505,0,
OG5_135657,0.2,0.023,0.074,0.545,1.0,0.333,0.049,1.0,
OG5_128154,0.047,0,0.098,0.176,0.244,0.381,0.043,0,
OG5_127887,0.052,0.007,0.105,0.352,0.102,0.06,0.02,0.048,
OG5_127450,0.031,0,0.047,0.208,0.071,0.185,0.024,0,
OG5_149618,0.101,0.021,0.111,0.2,0.6,0.4,0.167,0.139,
OG5_127800,0.063,1.0,0.081,0.324,0.098,0.083,0.057,0,
OG5_137115,0.36,0,0.167,0.462,0.4,0.125,0.059,0,
OG5_129337,0.041,0,0.063,0.5,0.095,0.174,0.073,0,
OG5_133358,0.266,1.0,0.067,0.185,0.111,0.159,0.045,1.0,
OG5_131900,0.042,0,0.048,0.526,0.143,0.19,0.077,0,
OG5_128538,0.047,0,0.046,0.3,0.159,0.175,0.035,0,
OG5_133543,0.265,0,0.231,0.5,0.611,0.749,0.468,0,
OG5_127149,0.036,0.053,0.045,0.115,0.068,0.089,0.019,0.049,
OG5_127118,0.045,0,0.056,0.25,0.1,0.202,0.032,0,
OG5_128391,0.039,0,0.078,0.2,0.061,0.238,0.044,0,
OG5_132891,0.06,0,0.081,0.575,0.292,0.19,0.049,0,
OG5_130414,0.042,0,0.065,0.2,0.167,0.125,0.28,0,
OG5_128369,0.031,0,0.058,0.172,0.047,0.108,0.025,0,
OG5_150385,0.061,0.086,0.107,0.333,0.5,0.25,0.094,0,
OG5_129277,0.098,0.2,0.071,0.346,0.143,0.146,0.023,0,
OG5_127331,0.028,0,0.056,0.121,0.086,0.1,0.021,0,
OG5_130267,0.069,0,0.045,0.214,0.393,0.095,0.026,0,
OG5_127327,0.038,0.008,0.067,0.176,0.079,0.185,0.024,0.027,
OG5_133609,0.048,0,0.25,0.286,0.415,0.667,0.231,0,
OG5_146335,0.041,0.039,0.076,0.307,0.321,0.18,0.032,0.133,
OG5_132466,0.127,0,0.1,0.286,0.176,0.5,0.081,0,
OG5_136758,0.286,0.044,0.5,0.25,1.0,0,0.4,0,
OG5_127758,0.039,0,0.05,0.125,0.081,0.093,0.017,0,
OG5_135776,0.173,0,0.222,1.0,0.5,1.0,0.143,0,
OG5_127189,0.053,0.027,0.066,0.238,0.094,0.128,0.022,0.074,
OG5_128447,0.043,0,0.1,0.095,0.071,0.132,0.025,0,
OG5_130251,0.034,0.333,0.166,0.275,0.783,0.142,0.033,0,
OG5_149295,0.052,1.0,0.102,0.5,0.5,0.164,0.034,0,
OG5_133875,0.036,0,0.063,0.25,0.143,0.333,0.026,0,
OG5_129336,0.067,0,0.232,0.403,0.106,0.429,0.077,0,
OG5_127387,0.035,0,0.067,0.093,0.08,0.103,0.015,0,
OG5_127737,0.103,0,0.06,0.077,0.125,0.14,0.134,0,
OG5_127514,0.035,0,0.067,0.111,0.056,0.077,0.026,1.0,
OG5_126558,0.109,0,0.078,0.148,0.299,0.145,0.039,0,
OG5_135287,0.306,0,0.107,0.182,0.13,0.095,0.058,0,
OG5_129701,0.038,0,0.079,0.083,0.125,0.064,0.018,0.25,
OG5_127027,0.043,0.007,0.051,0.19,0.033,0.042,0.023,0.077,
OG5_128905,0.114,0.01,0.055,0.118,0,0.083,0.02,0.053,
OG5_127111,0.031,0,0.055,0.208,0.103,0.109,0.029,0,
OG5_132074,0.08,0,0.159,1.0,0.5,0.333,0.161,0,
OG5_127779,0.031,0,0.044,0.143,0.069,0.133,0.018,1.0,
OG5_129504,0.075,0,0.184,0.4,0.043,0.05,0.039,0,
OG5_130637,0.25,0,0.2,0,0,0.5,0.091,0,
OG5_131527,0.047,0.154,0.078,0.16,0.143,0.093,0.031,0,
OG5_128025,0.043,0,0.055,0.15,0.071,0.098,0.022,0,
OG5_149917,0.083,0,0.105,0.25,1.0,0.222,0.024,0,
OG5_127151,0.038,0.004,0.042,0.105,0.071,0.064,0.033,0.02,
OG5_129306,0.143,0.035,0.25,0.667,0.333,0.704,0.095,0.136,
OG5_128039,0.022,0,0.038,0.125,0.07,0.129,0.017,0,
OG5_136795,0.118,0.063,0.119,0.721,0.178,0.197,0.269,0.167,
OG5_129440,0.077,0,0.125,0.286,0.091,0.154,0.023,0,
OG5_127123,0.061,0,0.065,0.19,0.137,0.102,0.033,0,
OG5_134442,0.076,0.2,0.064,0.2,0.2,0.105,0.024,0,
OG5_127875,0.029,0,0.063,0.143,0.125,0.225,0.02,0,
OG5_127652,0.04,0,0.052,0.136,0.061,0.127,0.024,0,
OG5_137718,0.167,0,0.111,0.286,1.0,0.143,0.042,0,
OG5_132068,0.04,0.015,0.073,0.125,0.125,0.047,0.034,0.087,
OG5_127287,0.048,0,0.066,0.167,0.119,0.226,0.024,0,
OG5_146660,0.073,0.167,0.123,0.25,0.333,0.167,0.043,0,
OG5_129276,0.041,0,0.106,0.129,0.051,0.074,0.03,0,
OG5_138549,0.167,0.06,0.077,0,1.0,0.143,0.125,0.182,
OG5_132774,0.055,0.5,0.1,0.229,0.421,0.6,0.042,0,
OG5_130927,0.033,0,0.25,0.333,0.083,0.158,0.133,0,
OG5_130315,0.286,0,0.059,0.2,0.143,0.067,0.015,0,
OG5_131086,0.032,0,0.044,0.2,0.087,0.074,0.055,0,
OG5_144916,0.141,0,0.111,0.417,0.2,0.138,0.115,0,
OG5_129897,0.068,0,0.214,0.667,0.333,1.0,0.148,0,
OG5_130273,0.06,0.017,0.065,0.16,0.077,0.08,0.034,0.05,
OG5_134361,0.125,0,0.2,0.333,0.5,1.0,0.143,0,
OG5_130099,0.035,0.143,0.115,0.097,0.071,0.429,0.029,0.333,
OG5_128666,0.04,0.023,0.15,0.3,0.217,0.234,0.036,0.071,
OG5_132716,0.091,0,0.089,0.378,0.086,0.108,0.053,0,
OG5_127312,0.029,0.111,0.053,0.308,0.064,0.088,0.019,0.022,
OG5_129442,0.046,0,0.106,0.154,0.182,0.061,0.051,0,
OG5_127593,0.039,0,0.043,0.111,0.044,0.147,0.02,0.048,
OG5_155117,0.075,1.0,0.132,0.161,0.286,0.16,0.054,0.25,
OG5_129860,0.043,0,0.125,0.222,0.23,0.094,0.056,1.0,
OG5_150225,0.174,1.0,0.378,0.345,0.8,0.388,0.171,0,
OG5_129740,0.034,0,0.043,0.133,0.069,0.108,0.02,0,
OG5_135654,0.15,0,0.057,0.52,1.0,0.118,0.171,0,
OG5_127292,0.167,0.024,0.4,0.5,1.0,0.5,0.237,0.143,
OG5_129462,0.04,0,0.036,0.188,0.111,0.06,0.026,0,
OG5_127091,0.107,0.028,0.108,0.415,0.795,0.198,0.132,0,
OG5_136954,0.059,0,0.182,0.286,0.375,0.208,0.031,0,
OG5_127380,0.053,0.05,0.065,0.111,0.122,0.098,0.022,0.053,
OG5_139576,0.04,0,0.098,0.282,0.54,0.125,0.045,0,
OG5_130348,0.057,0,0.25,0.25,0.083,0.103,0.444,0,
OG5_130943,0.047,0.056,0.05,0.211,0.107,0.156,0.022,0,
OG5_127519,0.152,0,0.214,0.5,0.5,1.0,0.066,0,
OG5_128272,0.035,0,0.057,0.294,0.148,0.078,0.021,1.0,
OG5_130086,0.05,0.333,0.051,0.211,0.167,0.079,0.029,0,
OG5_131142,0.038,0,0.059,0.25,0.111,0.15,0.023,0,
OG5_128442,0.04,0,0.087,0.2,0.14,0.133,0.043,0,
OG5_130070,0.045,0,0.107,0.185,0.5,0.253,0.043,0,
OG5_126895,0.039,0.005,0.064,0.19,0.067,0.077,0.042,0.038,
OG5_149691,0.068,0.1,0.19,0.286,0.333,0.286,0.207,0,
OG5_126800,0.056,0.25,0.055,0.096,0.211,0.134,0.022,0,
OG5_128416,0.037,0.119,0.078,0.24,0.222,0.145,0.034,0,
OG5_131002,0.063,0,0.182,0.5,0.125,0.158,0.088,0,
OG5_126599,0.03,0.008,0.061,0.095,0.071,0.126,0.015,0,
