Original Name	New Name	Seq Length	 Seq GC
MC7420_RS16670_WP_006101841.1	006101841_Contig_2519_Len1002	1002	43.7125748503
MC7420_RS20765_WP_006102718.1	006102718_Contig_1346_Len1416	1416	49.1525423729
MC7420_RS24960_WP_044209600.1	044209600_Contig_4924_Len435	435	44.8275862069
MC7420_RS28055_WP_006104785.1	006104785_Contig_2021_Len1152	1152	42.1006944444
MC7420_RS25995_WP_006104205.1	006104205_Contig_3079_Len861	861	47.3867595819
MC7420_RS34975_WP_052307442.1	052307442_Contig_2996_Len879	879	46.8714448237
MC7420_RS18395_WP_006102188.1	006102188_Contig_6467_Len192	192	35.4166666667
MC7420_RS01830_WP_006097863.1	006097863_Contig_1992_Len1167	1167	48.1576692374
MC7420_RS29545_WP_044210492.1	044210492_Contig_511_Len2229	2229	51.5477792732
MC7420_RS28665_WP_006104974.1	006104974_Contig_5911_Len264	264	46.2121212121
MC7420_RS24700_WP_006103737.1	006103737_Contig_3725_Len699	699	38.912732475
MC7420_RS30010_WP_044210598.1	044210598_Contig_6396_Len201	201	49.2537313433
MC7420_RS24225_WP_083799151.1	083799151_Contig_4762_Len468	468	47.8632478632
MC7420_RS25875_WP_006104150.1	006104150_Contig_5465_Len342	342	43.8596491228
MC7420_RS14380_WP_006101072.1	006101072_Contig_1326_Len1434	1434	44.1422594142
MC7420_RS18440_WP_006102157.1	006102157_Contig_6125_Len234	234	41.8803418803
MC7420_RS27650_WP_006104773.1	006104773_Contig_3006_Len876	876	47.8310502283
MC7420_RS32695_WP_083799247.1	083799247_Contig_2649_Len969	969	51.4963880289
MC7420_RS12015_WP_006100500.1	006100500_Contig_1812_Len1227	1227	46.1287693562
MC7420_RS21235_WP_044208755.1	044208755_Contig_3272_Len810	810	49.2592592593
MC7420_RS14600_WP_006101058.1	006101058_Contig_3215_Len825	825	52.0
MC7420_RS24980_WP_006103970.1	006103970_Contig_2506_Len1005	1005	41.3930348259
MC7420_RS25660_WP_083799176.1	083799176_Contig_3242_Len819	819	42.2466422466
MC7420_RS22780_WP_006103168.1	006103168_Contig_339_Len2661	2661	47.2754603533
MC7420_RS05695_WP_006098902.1	006098902_Contig_1715_Len1269	1269	49.2513790386
MC7420_RS06905_WP_006099454.1	006099454_Contig_2087_Len1134	1134	44.9735449735
MC7420_RS16315_WP_006101707.1	006101707_Contig_4162_Len603	603	44.4444444444
MC7420_RS27260_WP_044210086.1	044210086_Contig_4696_Len483	483	46.1697722567
MC7420_RS00670_WP_006097898.1	006097898_Contig_1589_Len1323	1323	44.8223733938
MC7420_RS05690_WP_006098939.1	006098939_Contig_3574_Len738	738	50.6775067751
MC7420_RS08885_WP_006099888.1	006099888_Contig_1856_Len1212	1212	49.2574257426
MC7420_RS14780_WP_006101410.1	006101410_Contig_3558_Len741	741	47.0985155196
MC7420_RS03945_WP_006098455.1	006098455_Contig_5419_Len351	351	45.0142450142
MC7420_RS06225_WP_044205454.1	044205454_Contig_4841_Len453	453	46.357615894
MC7420_RS01740_WP_006098228.1	006098228_Contig_1260_Len1473	1473	41.2084181942
MC7420_RS31300_WP_006105748.1	006105748_Contig_6103_Len237	237	45.5696202532
MC7420_RS23690_WP_006103696.1	006103696_Contig_804_Len1809	1809	49.6406854616
MC7420_RS24990_WP_006103899.1	006103899_Contig_1187_Len1512	1512	46.164021164
MC7420_RS29005_WP_006105042.1	006105042_Contig_1181_Len1515	1515	50.297029703
MC7420_RS08285_WP_006099908.1	006099908_Contig_3086_Len861	861	46.3414634146
MC7420_RS15410_WP_006101541.1	006101541_Contig_341_Len2658	2658	46.3130173062
MC7420_RS21190_WP_006102895.1	006102895_Contig_5810_Len282	282	42.1985815603
MC7420_RS23210_WP_006103508.1	006103508_Contig_2570_Len990	990	50.202020202
MC7420_RS02785_WP_044204901.1	044204901_Contig_2074_Len1140	1140	45.6140350877
MC7420_RS24165_WP_006103570.1	006103570_Contig_584_Len2103	2103	46.2196861626
MC7420_RS33615_WP_006106302.1	006106302_Contig_5840_Len276	276	42.0289855072
MC7420_RS26705_WP_006104406.1	006104406_Contig_2206_Len1098	1098	49.1803278689
MC7420_RS34670_WP_006106662.1	006106662_Contig_5852_Len273	273	44.3223443223
MC7420_RS27870_WP_006104710.1	006104710_Contig_4225_Len588	588	46.4285714286
MC7420_RS26365_WP_071777259.1	071777259_Contig_3618_Len726	726	50.5509641873
MC7420_RS29445_WP_006105229.1	006105229_Contig_5626_Len312	312	52.2435897436
MC7420_RS29090_WP_006105052.1	006105052_Contig_2786_Len930	930	51.2903225806
MC7420_RS15900_WP_006101375.1	006101375_Contig_5736_Len294	294	51.7006802721
MC7420_RS23665_WP_044209324.1	044209324_Contig_4020_Len627	627	48.3253588517
MC7420_RS06570_WP_044205648.1	044205648_Contig_1416_Len1386	1386	48.3405483405
MC7420_RS16915_WP_006101647.1	006101647_Contig_2119_Len1125	1125	47.9111111111
MC7420_RS37965_WP_006100356.1	006100356_Contig_6432_Len198	198	44.9494949495
MC7420_RS02015_WP_006098122.1	006098122_Contig_154_Len3513	3513	43.3817250213
MC7420_RS22705_WP_006103245.1	006103245_Contig_4428_Len543	543	36.4640883978
MC7420_RS21840_WP_006103023.1	006103023_Contig_6404_Len201	201	38.8059701493
MC7420_RS26945_WP_006104503.1	006104503_Contig_1479_Len1359	1359	38.7049300957
MC7420_RS28465_WP_006104822.1	006104822_Contig_1254_Len1473	1473	44.8065173116
MC7420_RS13545_WP_006101192.1	006101192_Contig_5530_Len333	333	39.6396396396
MC7420_RS00600_WP_083798891.1	083798891_Contig_2583_Len987	987	34.6504559271
MC7420_RS03080_WP_006098502.1	006098502_Contig_1161_Len1527	1527	48.4610347086
MC7420_RS29525_WP_063712034.1	063712034_Contig_4680_Len488	488	42.6229508197
MC7420_RS14740_WP_044207520.1	044207520_Contig_2229_Len1092	1092	46.6117216117
MC7420_RS26435_WP_006104247.1	006104247_Contig_3968_Len636	636	40.7232704403
MC7420_RS06495_WP_044205480.1	044205480_Contig_2002_Len1161	1161	48.9233419466
MC7420_RS13255_WP_044206986.1	044206986_Contig_5477_Len342	342	47.9532163743
MC7420_RS08990_WP_006099979.1	006099979_Contig_1385_Len1398	1398	48.2832618026
MC7420_RS15125_WP_006101387.1	006101387_Contig_1267_Len1467	1467	45.2624403545
MC7420_RS32045_WP_006105892.1	006105892_Contig_5037_Len414	414	46.6183574879
MC7420_RS09805_WP_006100339.1	006100339_Contig_5327_Len369	369	44.4444444444
MC7420_RS00235_WP_006097942.1	006097942_Contig_2547_Len996	996	46.7871485944
MC7420_RS09100_WP_006099959.1	006099959_Contig_5492_Len339	339	42.7728613569
MC7420_RS21600_WP_006102887.1	006102887_Contig_4750_Len471	471	47.5583864119
MC7420_RS03320_WP_006098365.1	006098365_Contig_272_Len2871	2871	47.3005921282
MC7420_RS08465_WP_044205880.1	044205880_Contig_4452_Len540	540	42.5925925926
MC7420_RS21345_WP_044208773.1	044208773_Contig_4000_Len630	630	43.1746031746
MC7420_RS33295_WP_006106236.1	006106236_Contig_5196_Len387	387	47.8036175711
MC7420_RS35665_WP_006104001.1	006104001_Contig_356_Len2634	2634	49.8861047836
MC7420_RS35095_WP_052307457.1	052307457_Contig_4144_Len606	606	49.504950495
MC7420_RS31340_WP_083799229.1	083799229_Contig_3057_Len864	864	40.0462962963
MC7420_RS14270_WP_006101146.1	006101146_Contig_4732_Len474	474	46.6244725738
MC7420_RS05060_WP_044205293.1	044205293_Contig_4949_Len432	432	48.8425925926
MC7420_RS19255_WP_006102425.1	006102425_Contig_2993_Len879	879	44.141069397
MC7420_RS02935_WP_006098602.1	006098602_Contig_3147_Len843	843	48.6358244365
MC7420_RS16460_WP_006101739.1	006101739_Contig_1222_Len1491	1491	45.9423205902
MC7420_RS27205_WP_006104602.1	006104602_Contig_2113_Len1125	1125	49.8666666667
MC7420_RS32365_WP_006105991.1	006105991_Contig_2537_Len996	996	39.3574297189
MC7420_RS22540_WP_044209009.1	044209009_Contig_1873_Len1206	1206	39.2205638474
MC7420_RS12080_WP_006100596.1	006100596_Contig_873_Len1743	1743	42.1686746988
MC7420_RS14800_WP_006101449.1	006101449_Contig_3307_Len801	801	43.9450686642
MC7420_RS27950_WP_006104799.1	006104799_Contig_5677_Len303	303	39.9339933993
MC7420_RS35310_WP_052307492.1	052307492_Contig_308_Len2754	2754	46.1873638344
MC7420_RS09065_WP_006099874.1	006099874_Contig_3419_Len777	777	43.758043758
MC7420_RS33670_WP_006106356.1	006106356_Contig_2679_Len960	960	45.4166666667
MC7420_RS06100_WP_006099214.1	006099214_Contig_108_Len4014	4014	52.0179372197
MC7420_RS26165_WP_006104301.1	006104301_Contig_3409_Len777	777	48.3912483912
MC7420_RS06175_WP_006099152.1	006099152_Contig_1039_Len1614	1614	46.7162329616
MC7420_RS02805_WP_044204904.1	044204904_Contig_911_Len1716	1716	52.0979020979
MC7420_RS32350_WP_006106000.1	006106000_Contig_465_Len2328	2328	42.0103092784
MC7420_RS00785_WP_006097825.1	006097825_Contig_158_Len3489	3489	46.5176268272
MC7420_RS05015_WP_006098935.1	006098935_Contig_431_Len2400	2400	47.7916666667
MC7420_RS18315_WP_006102335.1	006102335_Contig_614_Len2058	2058	48.0563654033
MC7420_RS29965_WP_006105469.1	006105469_Contig_3610_Len729	729	47.1879286694
MC7420_RS19250_WP_006102423.1	006102423_Contig_5430_Len348	348	42.2413793103
MC7420_RS18625_WP_006102309.1	006102309_Contig_5321_Len369	369	49.0514905149
MC7420_RS21820_WP_006102975.1	006102975_Contig_4237_Len585	585	45.811965812
MC7420_RS33740_WP_044211245.1	044211245_Contig_5291_Len372	372	46.2365591398
MC7420_RS37395_WP_006104592.1	006104592_Contig_6588_Len162	162	47.5308641975
MC7420_RS09220_WP_044206125.1	044206125_Contig_3507_Len756	756	39.6825396825
MC7420_RS01400_WP_006098035.1	006098035_Contig_470_Len2307	2307	47.8977026441
MC7420_RS38120_WP_006101155.1	006101155_Contig_6579_Len171	171	52.0467836257
MC7420_RS07440_WP_006099199.1	006099199_Contig_3466_Len768	768	47.265625
MC7420_RS29240_WP_044210415.1	044210415_Contig_5501_Len336	336	48.2142857143
MC7420_RS19355_WP_052307506.1	052307506_Contig_5473_Len342	342	48.8304093567
MC7420_RS03600_WP_052307417.1	052307417_Contig_4223_Len591	591	44.1624365482
MC7420_RS23195_WP_006103399.1	006103399_Contig_1584_Len1323	1323	45.0491307634
MC7420_RS04520_WP_006098983.1	006098983_Contig_4612_Len504	504	48.4126984127
MC7420_RS29295_WP_044210470.1	044210470_Contig_2574_Len987	987	49.3414387031
MC7420_RS19860_WP_006102412.1	006102412_Contig_1920_Len1191	1191	43.9966414777
MC7420_RS21460_WP_044208782.1	044208782_Contig_1672_Len1284	1284	43.4579439252
MC7420_RS21795_WP_006102844.1	006102844_Contig_3461_Len768	768	36.328125
MC7420_RS31170_WP_044210804.1	044210804_Contig_6081_Len240	240	56.6666666667
MC7420_RS27275_WP_006104565.1	006104565_Contig_2173_Len1107	1107	45.7994579946
MC7420_RS10280_WP_006100281.1	006100281_Contig_4781_Len465	465	43.4408602151
MC7420_RS19345_WP_006102518.1	006102518_Contig_3686_Len708	708	43.9265536723
MC7420_RS04850_WP_006099021.1	006099021_Contig_2798_Len930	930	49.7849462366
MC7420_RS14900_WP_044207414.1	044207414_Contig_5753_Len291	291	49.1408934708
MC7420_RS38375_WP_083799115.1	083799115_Contig_6423_Len198	198	46.4646464646
MC7420_RS27330_WP_006104562.1	006104562_Contig_5447_Len345	345	51.0144927536
MC7420_RS19150_WP_006102151.1	006102151_Contig_2371_Len1050	1050	49.1428571429
MC7420_RS02170_WP_006097878.1	006097878_Contig_2586_Len987	987	49.5440729483
MC7420_RS27220_WP_044210039.1	044210039_Contig_3762_Len690	690	45.2173913043
MC7420_RS06795_WP_006099540.1	006099540_Contig_5480_Len342	342	36.8421052632
MC7420_RS24125_WP_006103564.1	006103564_Contig_6293_Len213	213	36.6197183099
MC7420_RS00955_WP_006098253.1	006098253_Contig_3660_Len717	717	48.3960948396
MC7420_RS28375_WP_006104986.1	006104986_Contig_3029_Len870	870	45.9770114943
MC7420_RS22910_WP_006103420.1	006103420_Contig_5892_Len267	267	47.191011236
MC7420_RS26800_WP_006104527.1	006104527_Contig_2602_Len981	981	48.2161060143
MC7420_RS20000_WP_044208388.1	044208388_Contig_1502_Len1350	1350	39.4814814815
MC7420_RS00005_WP_006098041.1	006098041_Contig_1145_Len1539	1539	41.4554905783
MC7420_RS16435_WP_006101715.1	006101715_Contig_1176_Len1518	1518	45.5862977602
MC7420_RS34825_WP_006098669.1	006098669_Contig_3471_Len768	768	43.0989583333
MC7420_RS00385_WP_006098108.1	006098108_Contig_3208_Len828	828	43.961352657
MC7420_RS35670_WP_006104105.1	006104105_Contig_541_Len2151	2151	42.8637842864
MC7420_RS36960_WP_006101355.1	006101355_Contig_6623_Len117	117	39.3162393162
MC7420_RS05250_WP_044205174.1	044205174_Contig_5688_Len303	303	31.0231023102
MC7420_RS37765_WP_083798905.1	083798905_Contig_6440_Len198	198	45.9595959596
MC7420_RS02420_WP_006098357.1	006098357_Contig_35_Len5493	5493	42.253777535
MC7420_RS35775_WP_052307562.1	052307562_Contig_207_Len3180	3180	48.3018867925
MC7420_RS38480_WP_083799159.1	083799159_Contig_6444_Len195	195	44.1025641026
MC7420_RS32780_WP_006106093.1	006106093_Contig_3494_Len759	759	48.0895915679
MC7420_RS18755_WP_071777234.1	071777234_Contig_5337_Len366	366	42.349726776
MC7420_RS19475_WP_006102379.1	006102379_Contig_3290_Len804	804	45.3980099502
MC7420_RS04905_WP_006099092.1	006099092_Contig_6387_Len204	204	48.0392156863
MC7420_RS34805_WP_006098654.1	006098654_Contig_33_Len5568	5568	45.9949712644
MC7420_RS29025_WP_006105060.1	006105060_Contig_3165_Len837	837	38.8291517324
MC7420_RS00520_WP_006098179.1	006098179_Contig_807_Len1809	1809	48.3692647872
MC7420_RS28425_WP_006104969.1	006104969_Contig_5597_Len318	318	51.8867924528
MC7420_RS16040_WP_006101723.1	006101723_Contig_628_Len2031	2031	52.8803545052
