Original Name	New Name	Seq Length	 Seq GC
A8707_RS24965_WP_068820022.1	068820022_Contig_3444_Len477	477	42.1383647799
A8707_RS05140_WP_068815729.1	068815729_Contig_2617_Len693	693	52.8138528139
A8707_RS16715_WP_068818376.1	068818376_Contig_4105_Len327	327	52.2935779817
A8707_RS20485_WP_068819067.1	068819067_Contig_786_Len1404	1404	53.3475783476
A8707_RS17440_WP_068818484.1	068818484_Contig_2500_Len726	726	48.4848484848
A8707_RS03530_WP_068815175.1	068815175_Contig_3546_Len450	450	50.0
A8707_RS08100_WP_068816297.1	068816297_Contig_2671_Len678	678	52.5073746313
A8707_RS02965_WP_068814966.1	068814966_Contig_4319_Len282	282	45.7446808511
A8707_RS07155_WP_068816121.1	068816121_Contig_3951_Len360	360	43.8888888889
A8707_RS19275_WP_068818831.1	068818831_Contig_1839_Len933	933	49.8392282958
A8707_RS13855_WP_068817843.1	068817843_Contig_2846_Len630	630	54.126984127
A8707_RS10175_WP_068816698.1	068816698_Contig_2203_Len813	813	54.3665436654
A8707_RS20235_WP_068819014.1	068819014_Contig_2029_Len870	870	52.8735632184
A8707_RS19600_WP_082906439.1	082906439_Contig_334_Len1950	1950	47.5384615385
A8707_RS25240_WP_068820104.1	068820104_Contig_2887_Len621	621	50.4025764895
A8707_RS23880_WP_068819682.1	068819682_Contig_4249_Len297	297	46.4646464646
A8707_RS11170_WP_068816963.1	068816963_Contig_4705_Len219	219	42.9223744292
A8707_RS15945_WP_068818289.1	068818289_Contig_3230_Len534	534	47.7528089888
A8707_RS24945_WP_068820014.1	068820014_Contig_1351_Len1107	1107	51.4001806685
A8707_RS22795_WP_068819479.1	068819479_Contig_2402_Len756	756	48.1481481481
A8707_RS23680_WP_068819643.1	068819643_Contig_3600_Len435	435	44.367816092
A8707_RS03290_WP_068815070.1	068815070_Contig_4865_Len195	195	48.2051282051
A8707_RS22330_WP_068819395.1	068819395_Contig_452_Len1749	1749	54.0880503145
A8707_RS13335_WP_068817736.1	068817736_Contig_2554_Len711	711	46.835443038
A8707_RS14875_WP_068818033.1	068818033_Contig_4025_Len348	348	49.1379310345
A8707_RS17195_WP_068818436.1	068818436_Contig_4710_Len219	219	46.5753424658
A8707_RS23160_WP_068819548.1	068819548_Contig_4760_Len213	213	46.0093896714
A8707_RS04825_WP_068815688.1	068815688_Contig_3001_Len591	591	49.7461928934
A8707_RS14490_WP_068817961.1	068817961_Contig_695_Len1470	1470	51.4965986395
A8707_RS16510_WP_068818328.1	068818328_Contig_2939_Len606	606	51.9801980198
A8707_RS10560_WP_068816776.1	068816776_Contig_910_Len1329	1329	51.9187358916
A8707_RS17935_WP_068818610.1	068818610_Contig_3489_Len465	465	49.247311828
A8707_RS19640_WP_068818903.1	068818903_Contig_97_Len2910	2910	53.9175257732
A8707_RS09930_WP_068816658.1	068816658_Contig_2598_Len699	699	49.356223176
A8707_RS03030_WP_068814989.1	068814989_Contig_1140_Len1203	1203	49.9584372402
A8707_RS03970_WP_068815332.1	068815332_Contig_64_Len3210	3210	46.5109034268
A8707_RS13280_WP_068817727.1	068817727_Contig_1959_Len891	891	50.7295173962
A8707_RS23700_WP_068819647.1	068819647_Contig_2053_Len861	861	50.987224158
A8707_RS07855_WP_068816254.1	068816254_Contig_2794_Len642	642	50.6230529595
A8707_RS21000_WP_068819166.1	068819166_Contig_1826_Len936	936	52.0299145299
A8707_RS26585_WP_068820481.1	068820481_Contig_3706_Len414	414	39.1304347826
A8707_RS15195_WP_068818097.1	068818097_Contig_4120_Len324	324	51.8518518519
A8707_RS19845_WP_068818944.1	068818944_Contig_1325_Len1119	1119	49.4191242181
A8707_RS03640_WP_068815210.1	068815210_Contig_2901_Len615	615	50.243902439
A8707_RS24195_WP_068819763.1	068819763_Contig_3655_Len423	423	50.3546099291
A8707_RS19755_WP_068818927.1	068818927_Contig_4106_Len327	327	45.5657492355
A8707_RS23975_WP_082906488.1	082906488_Contig_2819_Len636	636	49.0566037736
A8707_RS20795_WP_068819127.1	068819127_Contig_4775_Len210	210	45.7142857143
A8707_RS25235_WP_068820102.1	068820102_Contig_4404_Len270	270	55.1851851852
A8707_RS19485_WP_068818873.1	068818873_Contig_354_Len1911	1911	53.5845107274
A8707_RS13645_WP_068817800.1	068817800_Contig_2106_Len843	843	52.1945432977
A8707_RS24955_WP_068820018.1	068820018_Contig_1745_Len966	966	52.1739130435
A8707_RS17730_WP_068818537.1	068818537_Contig_151_Len2541	2541	51.751279024
A8707_RS19565_WP_068818886.1	068818886_Contig_3392_Len489	489	44.5807770961
A8707_RS25390_WP_068820155.1	068820155_Contig_4273_Len294	294	45.9183673469
A8707_RS23040_WP_068819526.1	068819526_Contig_4899_Len192	192	44.7916666667
A8707_RS14725_WP_068817999.1	068817999_Contig_1969_Len888	888	51.1261261261
A8707_RS15155_WP_068818089.1	068818089_Contig_4942_Len183	183	45.3551912568
A8707_RS14155_WP_068817897.1	068817897_Contig_2115_Len840	840	54.5238095238
A8707_RS00770_WP_068814361.1	068814361_Contig_3565_Len444	444	37.1621621622
A8707_RS23390_WP_082906477.1	082906477_Contig_893_Len1341	1341	50.6338553318
A8707_RS17755_WP_068818542.1	068818542_Contig_1914_Len909	909	48.6248624862
