Original Name	New Name	Seq Length	 Seq GC
C7B79_RS24240_WP_106168945.1	106168945_Contig_2843_Len816	816	43.3823529412
C7B79_RS29665_WP_106169628.1	106169628_Contig_5469_Len297	297	44.4444444444
C7B79_RS08740_WP_015153626.1	015153626_Contig_3404_Len696	696	47.4137931034
C7B79_RS25350_WP_015154889.1	015154889_Contig_5445_Len300	300	45.0
C7B79_RS15310_WP_015155165.1	015155165_Contig_2693_Len852	852	42.4882629108
C7B79_RS16450_WP_106167999.1	106167999_Contig_3201_Len741	741	37.6518218623
C7B79_RS04845_WP_106166471.1	106166471_Contig_1965_Len1041	1041	50.144092219
C7B79_RS08195_WP_106166874.1	106166874_Contig_1050_Len1362	1362	46.4757709251
C7B79_RS11575_WP_106167403.1	106167403_Contig_2241_Len966	966	44.099378882
C7B79_RS10905_WP_106167292.1	106167292_Contig_6012_Len213	213	42.7230046948
C7B79_RS00895_WP_106165914.1	106165914_Contig_5398_Len309	309	48.2200647249
C7B79_RS26525_WP_106169223.1	106169223_Contig_1182_Len1305	1305	37.0881226054
C7B79_RS14030_WP_106167699.1	106167699_Contig_3770_Len615	615	43.7398373984
C7B79_RS29715_WP_015153171.1	015153171_Contig_1448_Len1203	1203	47.2984206151
C7B79_RS19450_WP_106168369.1	106168369_Contig_1154_Len1320	1320	50.4545454545
C7B79_RS08155_WP_106166869.1	106166869_Contig_4333_Len495	495	47.6767676768
C7B79_RS24505_WP_015156340.1	015156340_Contig_2007_Len1032	1032	48.4496124031
C7B79_RS03475_WP_106166266.1	106166266_Contig_5336_Len321	321	44.5482866044
C7B79_RS07915_WP_015155626.1	015155626_Contig_4736_Len420	420	43.0952380952
C7B79_RS12015_WP_106167455.1	106167455_Contig_1863_Len1074	1074	45.9962756052
C7B79_RS18990_WP_106168307.1	106168307_Contig_5281_Len330	330	49.0909090909
C7B79_RS36435_WP_041463315.1	041463315_Contig_4231_Len516	516	49.2248062016
C7B79_RS02660_WP_106166153.1	106166153_Contig_606_Len1662	1662	46.329723225
C7B79_RS21060_WP_106168583.1	106168583_Contig_5902_Len228	228	42.9824561404
C7B79_RS19060_WP_106168318.1	106168318_Contig_4618_Len441	441	38.7755102041
C7B79_RS28045_WP_106169417.1	106169417_Contig_581_Len1684	1684	44.9524940618
C7B79_RS28320_WP_106169449.1	106169449_Contig_486_Len1800	1800	48.6111111111
C7B79_RS02280_WP_106166091.1	106166091_Contig_4934_Len387	387	42.8940568475
C7B79_RS32015_WP_015154806.1	015154806_Contig_1183_Len1305	1305	40.9195402299
C7B79_RS33795_WP_106170808.1	106170808_Contig_2073_Len1008	1008	47.619047619
C7B79_RS34295_WP_106170942.1	106170942_Contig_1391_Len1221	1221	42.1785421785
C7B79_RS12915_WP_106167556.1	106167556_Contig_4265_Len510	510	47.6470588235
C7B79_RS04425_WP_106166408.1	106166408_Contig_5256_Len336	336	38.9880952381
C7B79_RS18360_WP_041462394.1	041462394_Contig_3342_Len711	711	42.8973277075
C7B79_RS03400_WP_106166278.1	106166278_Contig_1620_Len1149	1149	46.2140992167
C7B79_RS34085_WP_015152636.1	015152636_Contig_6059_Len207	207	42.9951690821
C7B79_RS31040_WP_106170022.1	106170022_Contig_1077_Len1350	1350	43.7037037037
C7B79_RS01940_WP_015152346.1	015152346_Contig_848_Len1470	1470	46.7346938776
C7B79_RS06345_WP_015152271.1	015152271_Contig_5872_Len231	231	41.1255411255
C7B79_RS06810_WP_106166712.1	106166712_Contig_3402_Len696	696	44.2528735632
C7B79_RS26155_WP_106169179.1	106169179_Contig_2887_Len807	807	38.5377942999
C7B79_RS21355_WP_015156504.1	015156504_Contig_5440_Len300	300	44.6666666667
C7B79_RS25250_WP_106169075.1	106169075_Contig_729_Len1551	1551	46.7440361057
C7B79_RS27600_WP_106169354.1	106169354_Contig_1059_Len1359	1359	51.5084621045
C7B79_RS15680_WP_106167901.1	106167901_Contig_583_Len1683	1683	50.3267973856
C7B79_RS14955_WP_106167814.1	106167814_Contig_3003_Len784	784	48.3418367347
C7B79_RS03760_WP_106166308.1	106166308_Contig_2452_Len909	909	44.4444444444
C7B79_RS12960_WP_106167561.1	106167561_Contig_2900_Len804	804	43.407960199
C7B79_RS24370_WP_041462375.1	041462375_Contig_6206_Len186	186	42.4731182796
C7B79_RS13435_WP_106167628.1	106167628_Contig_1086_Len1347	1347	40.1633259094
C7B79_RS11120_WP_106167321.1	106167321_Contig_5167_Len348	348	43.9655172414
C7B79_RS14145_WP_106167720.1	106167720_Contig_347_Len2061	2061	45.5604075691
C7B79_RS24510_WP_106168981.1	106168981_Contig_1867_Len1074	1074	47.6722532588
C7B79_RS10860_WP_106167287.1	106167287_Contig_3338_Len711	711	50.6329113924
C7B79_RS08575_WP_106166923.1	106166923_Contig_2074_Len1008	1008	47.5198412698
C7B79_RS02835_WP_106166191.1	106166191_Contig_2613_Len870	870	47.0114942529
C7B79_RS15690_WP_106167903.1	106167903_Contig_846_Len1470	1470	47.9591836735
C7B79_RS13905_WP_015154720.1	015154720_Contig_3406_Len696	696	43.5344827586
C7B79_RS26505_WP_106169221.1	106169221_Contig_3367_Len705	705	41.134751773
C7B79_RS24635_WP_106168991.1	106168991_Contig_2518_Len891	891	37.3737373737
C7B79_RS11790_WP_106167427.1	106167427_Contig_6_Len4941	4941	47.4802671524
C7B79_RS02860_WP_039717311.1	039717311_Contig_5319_Len324	324	39.1975308642
C7B79_RS00320_WP_106165804.1	106165804_Contig_868_Len1458	1458	47.6680384088
C7B79_RS30185_WP_015157451.1	015157451_Contig_4213_Len522	522	36.5900383142
C7B79_RS04650_WP_106166435.1	106166435_Contig_4378_Len486	486	43.0041152263
C7B79_RS27780_WP_106169386.1	106169386_Contig_1509_Len1182	1182	47.1235194585
C7B79_RS01745_WP_015154093.1	015154093_Contig_5402_Len309	309	49.8381877023
C7B79_RS09600_WP_015155265.1	015155265_Contig_5740_Len252	252	36.9047619048
C7B79_RS15390_WP_106167857.1	106167857_Contig_818_Len1491	1491	38.0281690141
C7B79_RS28875_WP_106169517.1	106169517_Contig_1474_Len1194	1194	41.0385259631
C7B79_RS07355_WP_015156745.1	015156745_Contig_2767_Len834	834	41.6067146283
C7B79_RS07425_WP_106166774.1	106166774_Contig_1607_Len1152	1152	46.7013888889
C7B79_RS12720_WP_106167534.1	106167534_Contig_2916_Len801	801	37.7028714107
C7B79_RS03175_WP_106166220.1	106166220_Contig_5159_Len351	351	50.7122507123
C7B79_RS06280_WP_015152282.1	015152282_Contig_6302_Len114	114	37.7192982456
C7B79_RS12570_WP_106167509.1	106167509_Contig_4451_Len475	475	53.2631578947
C7B79_RS05560_WP_106166568.1	106166568_Contig_493_Len1791	1791	38.4701284199
C7B79_RS03700_WP_106166297.1	106166297_Contig_1450_Len1203	1203	44.7215295096
C7B79_RS17110_WP_106168089.1	106168089_Contig_2904_Len804	804	42.5373134328
C7B79_RS09360_WP_106167038.1	106167038_Contig_3648_Len642	642	41.9003115265
C7B79_RS21075_WP_015157254.1	015157254_Contig_4485_Len468	468	41.2393162393
C7B79_RS18330_WP_106168245.1	106168245_Contig_69_Len3177	3177	44.8221592698
C7B79_RS11105_WP_015155583.1	015155583_Contig_1445_Len1203	1203	49.293433084
C7B79_RS28265_WP_015153741.1	015153741_Contig_5051_Len369	369	41.1924119241
C7B79_RS19625_WP_106168397.1	106168397_Contig_4600_Len444	444	38.963963964
C7B79_RS23845_WP_106168897.1	106168897_Contig_3343_Len711	711	41.9127988748
C7B79_RS28950_WP_106169522.1	106169522_Contig_2576_Len879	879	44.5961319681
C7B79_RS10145_WP_106167203.1	106167203_Contig_2583_Len876	876	44.6347031963
C7B79_RS24805_WP_015157212.1	015157212_Contig_6249_Len180	180	40.5555555556
C7B79_RS19135_WP_106168327.1	106168327_Contig_367_Len2025	2025	44.5432098765
C7B79_RS32815_WP_106170506.1	106170506_Contig_3417_Len696	696	46.6954022989
C7B79_RS12305_WP_015154771.1	015154771_Contig_3649_Len642	642	49.2211838006
C7B79_RS02175_WP_106166072.1	106166072_Contig_113_Len2841	2841	40.2675114396
C7B79_RS29805_WP_106169676.1	106169676_Contig_6086_Len204	204	29.9019607843
C7B79_RS10885_WP_106167290.1	106167290_Contig_763_Len1524	1524	46.8503937008
C7B79_RS13845_WP_106167681.1	106167681_Contig_4974_Len381	381	45.9317585302
C7B79_RS15455_WP_106167864.1	106167864_Contig_3963_Len576	576	45.4861111111
C7B79_RS16270_WP_015157319.1	015157319_Contig_5080_Len363	363	41.3223140496
C7B79_RS23635_WP_106168870.1	106168870_Contig_1056_Len1359	1359	42.7520235467
C7B79_RS00045_WP_106165782.1	106165782_Contig_11_Len4614	4614	39.4234937148
C7B79_RS10030_WP_106167189.1	106167189_Contig_254_Len2241	2241	43.9535921464
C7B79_RS01340_WP_106165963.1	106165963_Contig_1583_Len1161	1161	43.3247200689
C7B79_RS36940_WP_106171653.1	106171653_Contig_4667_Len432	432	46.0648148148
C7B79_RS05290_WP_106166535.1	106166535_Contig_3127_Len756	756	44.9735449735
C7B79_RS29270_WP_106169558.1	106169558_Contig_4730_Len423	423	47.9905437352
C7B79_RS28885_WP_106169519.1	106169519_Contig_4828_Len405	405	49.1358024691
C7B79_RS13935_WP_041463110.1	041463110_Contig_5898_Len228	228	40.350877193
C7B79_RS30810_WP_106169959.1	106169959_Contig_6265_Len166	166	39.7590361446
C7B79_RS03485_WP_106166268.1	106166268_Contig_696_Len1578	1578	48.5424588086
C7B79_RS34895_WP_106171112.1	106171112_Contig_2629_Len864	864	44.5601851852
C7B79_RS14365_WP_106167744.1	106167744_Contig_3042_Len777	777	37.9665379665
C7B79_RS14875_WP_106167796.1	106167796_Contig_182_Len2508	2508	50.3588516746
C7B79_RS24595_WP_015153324.1	015153324_Contig_5249_Len336	336	49.4047619048
C7B79_RS21085_WP_041463549.1	041463549_Contig_4088_Len546	546	47.619047619
C7B79_RS34000_WP_106170857.1	106170857_Contig_751_Len1530	1530	49.6078431373
C7B79_RS00350_WP_106165798.1	106165798_Contig_4669_Len432	432	41.2037037037
C7B79_RS15525_WP_106167879.1	106167879_Contig_3561_Len660	660	52.7272727273
C7B79_RS32450_WP_015155294.1	015155294_Contig_5520_Len288	288	51.7361111111
C7B79_RS11235_WP_106167342.1	106167342_Contig_282_Len2196	2196	49.3624772313
C7B79_RS32925_WP_106170534.1	106170534_Contig_4395_Len486	486	37.4485596708
C7B79_RS06860_WP_106166715.1	106166715_Contig_3932_Len579	579	43.5233160622
C7B79_RS04195_WP_106166373.1	106166373_Contig_3508_Len675	675	44.1481481481
C7B79_RS24930_WP_015156260.1	015156260_Contig_5365_Len315	315	35.873015873
C7B79_RS05795_WP_015154218.1	015154218_Contig_4562_Len450	450	44.0
C7B79_RS01315_WP_106165960.1	106165960_Contig_5115_Len357	357	41.7366946779
C7B79_RS14790_WP_106167783.1	106167783_Contig_329_Len2097	2097	46.3042441583
C7B79_RS05325_WP_106166532.1	106166532_Contig_5009_Len375	375	38.4
C7B79_RS28640_WP_106169491.1	106169491_Contig_6264_Len168	168	41.0714285714
C7B79_RS31760_WP_106170232.1	106170232_Contig_4204_Len525	525	53.9047619048
C7B79_RS06415_WP_041463076.1	041463076_Contig_1834_Len1080	1080	37.037037037
C7B79_RS11775_WP_106167424.1	106167424_Contig_2352_Len933	933	50.0535905681
C7B79_RS25950_WP_106169150.1	106169150_Contig_5771_Len249	249	44.1767068273
C7B79_RS21930_WP_106168681.1	106168681_Contig_1788_Len1095	1095	43.2876712329
C7B79_RS29585_WP_106169605.1	106169605_Contig_715_Len1560	1560	50.7051282051
C7B79_RS19310_WP_106168352.1	106168352_Contig_6081_Len204	204	42.1568627451
C7B79_RS07670_WP_015152195.1	015152195_Contig_5494_Len291	291	46.0481099656
C7B79_RS24860_WP_106169026.1	106169026_Contig_4299_Len504	504	47.2222222222
C7B79_RS15150_WP_015154539.1	015154539_Contig_4384_Len486	486	49.5884773663
C7B79_RS27800_WP_015152729.1	015152729_Contig_3742_Len621	621	42.1900161031
C7B79_RS15175_WP_106167831.1	106167831_Contig_1762_Len1104	1104	46.0144927536
C7B79_RS19425_WP_015156855.1	015156855_Contig_5129_Len354	354	49.4350282486
C7B79_RS07450_WP_106166778.1	106166778_Contig_2135_Len990	990	36.3636363636
C7B79_RS33415_WP_106170681.1	106170681_Contig_3624_Len645	645	39.8449612403
C7B79_RS00315_WP_106165805.1	106165805_Contig_3224_Len735	735	46.6666666667
C7B79_RS21690_WP_015154949.1	015154949_Contig_4591_Len447	447	48.5458612975
C7B79_RS16865_WP_106168059.1	106168059_Contig_711_Len1563	1563	47.2808701216
C7B79_RS36125_WP_106171458.1	106171458_Contig_806_Len1497	1497	43.8209752839
C7B79_RS07845_WP_106166825.1	106166825_Contig_613_Len1653	1653	45.6745311555
C7B79_RS05745_WP_106166592.1	106166592_Contig_1933_Len1050	1050	40.0
C7B79_RS08870_WP_015154399.1	015154399_Contig_3349_Len708	708	40.395480226
C7B79_RS16715_WP_106168038.1	106168038_Contig_6018_Len213	213	35.6807511737
C7B79_RS12495_WP_015156712.1	015156712_Contig_4740_Len420	420	48.0952380952
C7B79_RS26005_WP_106169159.1	106169159_Contig_5004_Len378	378	48.4126984127
C7B79_RS21580_WP_106168634.1	106168634_Contig_1135_Len1326	1326	49.245852187
C7B79_RS28205_WP_106169439.1	106169439_Contig_3810_Len606	606	46.8646864686
C7B79_RS11070_WP_106167316.1	106167316_Contig_2942_Len795	795	45.0314465409
C7B79_RS25810_WP_015153065.1	015153065_Contig_2540_Len885	885	49.7175141243
C7B79_RS08115_WP_106166864.1	106166864_Contig_3199_Len741	741	37.7867746289
C7B79_RS09000_WP_106166987.1	106166987_Contig_5985_Len216	216	39.8148148148
C7B79_RS26300_WP_106169197.1	106169197_Contig_872_Len1458	1458	45.7475994513
C7B79_RS18480_WP_015157347.1	015157347_Contig_2471_Len903	903	48.5049833887
C7B79_RS22700_WP_106168764.1	106168764_Contig_3378_Len702	702	39.886039886
C7B79_RS36785_WP_106171626.1	106171626_Contig_4752_Len419	419	47.2553699284
C7B79_RS01630_WP_015154116.1	015154116_Contig_2555_Len882	882	42.1768707483
C7B79_RS14990_WP_106167810.1	106167810_Contig_2404_Len918	918	48.3660130719
C7B79_RS12010_WP_015152383.1	015152383_Contig_179_Len2514	2514	47.1758154336
C7B79_RS07705_WP_015153510.1	015153510_Contig_3911_Len582	582	45.8762886598
C7B79_RS34255_WP_106170926.1	106170926_Contig_2826_Len819	819	46.398046398
C7B79_RS08340_WP_106166890.1	106166890_Contig_2914_Len801	801	42.6966292135
C7B79_RS25060_WP_015155446.1	015155446_Contig_912_Len1437	1437	41.5448851775
C7B79_RS23610_WP_106168866.1	106168866_Contig_921_Len1434	1434	50.4881450488
C7B79_RS10895_WP_106167291.1	106167291_Contig_3239_Len732	732	37.8415300546
