Original Name	New Name	Seq Length	 Seq GC
IJ00_RS14620_WP_035154158.1	035154158_Contig_3497_Len552	552	38.5869565217
IJ00_RS09675_WP_052754414.1	052754414_Contig_4595_Len300	300	31.3333333333
IJ00_RS05135_WP_035158455.1	035158455_Contig_4084_Len414	414	41.3043478261
IJ00_RS02560_WP_035149769.1	035149769_Contig_2682_Len774	774	43.5400516796
IJ00_RS05245_WP_035150723.1	035150723_Contig_1426_Len1194	1194	33.2495812395
IJ00_RS04035_WP_035150347.1	035150347_Contig_2582_Len798	798	41.7293233083
IJ00_RS14815_WP_035154215.1	035154215_Contig_1075_Len1353	1353	44.1980783444
IJ00_RS10100_WP_035152636.1	035152636_Contig_4622_Len294	294	52.0408163265
IJ00_RS16585_WP_035154661.1	035154661_Contig_3203_Len633	633	39.9684044234
IJ00_RS26225_WP_046814924.1	046814924_Contig_4452_Len330	330	42.7272727273
IJ00_RS26820_WP_035160017.1	035160017_Contig_4341_Len354	354	40.1129943503
IJ00_RS03505_WP_035150095.1	035150095_Contig_2_Len7089	7089	31.1609535901
IJ00_RS01080_WP_035149162.1	035149162_Contig_3318_Len600	600	37.5
IJ00_RS16325_WP_035159155.1	035159155_Contig_1947_Len996	996	43.0722891566
IJ00_RS12750_WP_035153597.1	035153597_Contig_2773_Len750	750	34.5333333333
IJ00_RS14740_WP_035154189.1	035154189_Contig_47_Len4065	4065	47.5030750308
IJ00_RS03320_WP_035150032.1	035150032_Contig_2450_Len840	840	43.9285714286
IJ00_RS09120_WP_035152285.1	035152285_Contig_2770_Len750	750	45.7333333333
IJ00_RS20530_WP_035159393.1	035159393_Contig_2421_Len852	852	39.2018779343
IJ00_RS19070_WP_035155588.1	035155588_Contig_1612_Len1119	1119	42.1805183199
IJ00_RS18825_WP_035159311.1	035159311_Contig_2054_Len963	963	45.0674974039
IJ00_RS08570_WP_035152056.1	035152056_Contig_674_Len1647	1647	39.4049787492
IJ00_RS10250_WP_035152704.1	035152704_Contig_1058_Len1362	1362	35.0220264317
IJ00_RS25990_WP_035158177.1	035158177_Contig_76_Len3576	3576	45.7774049217
IJ00_RS02635_WP_046814697.1	046814697_Contig_72_Len3606	3606	46.6444814199
IJ00_RS18845_WP_035159313.1	035159313_Contig_214_Len2559	2559	44.3141852286
IJ00_RS11195_WP_035153036.1	035153036_Contig_153_Len2850	2850	43.1929824561
IJ00_RS19715_WP_035155833.1	035155833_Contig_3157_Len645	645	44.8062015504
IJ00_RS13520_WP_035153827.1	035153827_Contig_4105_Len411	411	33.5766423358
IJ00_RS19235_WP_008232935.1	008232935_Contig_4507_Len318	318	44.3396226415
IJ00_RS14900_WP_035154247.1	035154247_Contig_2954_Len702	702	45.8689458689
IJ00_RS03100_WP_082127245.1	082127245_Contig_351_Len2184	2184	44.4139194139
IJ00_RS19835_WP_035155881.1	035155881_Contig_1393_Len1206	1206	38.3913764511
IJ00_RS05385_WP_035150763.1	035150763_Contig_57_Len3846	3846	44.357774311
IJ00_RS21405_WP_035156516.1	035156516_Contig_4350_Len351	351	46.7236467236
IJ00_RS20785_WP_046814884.1	046814884_Contig_1581_Len1131	1131	41.2024756852
IJ00_RS05080_WP_035158450.1	035158450_Contig_1388_Len1206	1206	42.2056384743
IJ00_RS03985_WP_035150323.1	035150323_Contig_1825_Len1038	1038	42.774566474
IJ00_RS17565_WP_035155016.1	035155016_Contig_2695_Len774	774	45.6072351421
IJ00_RS15230_WP_035154333.1	035154333_Contig_986_Len1407	1407	41.6488983653
IJ00_RS07785_WP_035151701.1	035151701_Contig_3562_Len537	537	49.9068901304
IJ00_RS18430_WP_035155358.1	035155358_Contig_2511_Len822	822	43.6739659367
IJ00_RS27795_WP_082127335.1	082127335_Contig_5215_Len126	126	44.4444444444
IJ00_RS01575_WP_035149354.1	035149354_Contig_4284_Len366	366	37.9781420765
IJ00_RS10695_WP_035152831.1	035152831_Contig_2584_Len798	798	44.2355889724
IJ00_RS21080_WP_035156364.1	035156364_Contig_3394_Len582	582	41.5807560137
IJ00_RS10135_WP_035152646.1	035152646_Contig_3399_Len579	579	43.0051813472
IJ00_RS21755_WP_035156658.1	035156658_Contig_4052_Len423	423	38.061465721
IJ00_RS00145_WP_035148897.1	035148897_Contig_873_Len1482	1482	44.0620782726
IJ00_RS17080_WP_035154821.1	035154821_Contig_1270_Len1260	1260	45.2380952381
IJ00_RS20575_WP_035156183.1	035156183_Contig_3596_Len528	528	44.3181818182
IJ00_RS11080_WP_035152986.1	035152986_Contig_2076_Len957	957	44.4096133751
IJ00_RS02840_WP_035149878.1	035149878_Contig_287_Len2328	2328	44.0721649485
IJ00_RS14530_WP_035154132.1	035154132_Contig_5111_Len195	195	35.8974358974
IJ00_RS08120_WP_035151856.1	035151856_Contig_4455_Len327	327	38.2262996942
IJ00_RS22775_WP_035157054.1	035157054_Contig_505_Len1884	1884	41.5074309979
IJ00_RS10690_WP_035152829.1	035152829_Contig_2254_Len897	897	46.0423634337
IJ00_RS17055_WP_035154808.1	035154808_Contig_4481_Len324	324	43.8271604938
IJ00_RS21795_WP_035156666.1	035156666_Contig_4646_Len291	291	41.5807560137
IJ00_RS15920_WP_035159136.1	035159136_Contig_4893_Len237	237	43.8818565401
IJ00_RS16735_WP_035154694.1	035154694_Contig_1899_Len1011	1011	40.8506429278
IJ00_RS05580_WP_035150819.1	035150819_Contig_1313_Len1236	1236	40.6957928803
IJ00_RS18350_WP_035155333.1	035155333_Contig_3508_Len549	549	40.8014571949
IJ00_RS16760_WP_035154702.1	035154702_Contig_2645_Len783	783	42.5287356322
IJ00_RS17910_WP_035155153.1	035155153_Contig_803_Len1539	1539	45.0292397661
IJ00_RS11370_WP_035153106.1	035153106_Contig_2066_Len960	960	43.75
IJ00_RS07410_WP_035151545.1	035151545_Contig_3210_Len630	630	45.873015873
IJ00_RS01750_WP_035149430.1	035149430_Contig_3020_Len678	678	43.0678466077
IJ00_RS17480_WP_035154977.1	035154977_Contig_2576_Len801	801	42.4469413233
IJ00_RS20320_WP_035156087.1	035156087_Contig_105_Len3186	3186	42.9064657878
IJ00_RS11480_WP_035153147.1	035153147_Contig_4794_Len258	258	42.6356589147
IJ00_RS12840_WP_035153623.1	035153623_Contig_197_Len2619	2619	45.8571974036
IJ00_RS15815_WP_035154508.1	035154508_Contig_2928_Len708	708	47.5988700565
IJ00_RS26940_WP_052754383.1	052754383_Contig_4015_Len429	429	42.1911421911
IJ00_RS03555_WP_035150115.1	035150115_Contig_2915_Len711	711	42.6160337553
IJ00_RS23420_WP_035157306.1	035157306_Contig_4543_Len312	312	41.0256410256
IJ00_RS18745_WP_035155463.1	035155463_Contig_1599_Len1125	1125	41.7777777778
IJ00_RS05335_WP_035150750.1	035150750_Contig_594_Len1728	1728	45.0231481481
IJ00_RS26010_WP_035158181.1	035158181_Contig_810_Len1533	1533	48.4670580561
IJ00_RS26220_WP_035158217.1	035158217_Contig_3662_Len513	513	37.6218323587
IJ00_RS09510_WP_052754434.1	052754434_Contig_4086_Len414	414	47.3429951691
IJ00_RS08500_WP_035152031.1	035152031_Contig_3989_Len435	435	42.0689655172
IJ00_RS27450_WP_082127238.1	082127238_Contig_5204_Len165	165	44.8484848485
IJ00_RS26040_WP_035158186.1	035158186_Contig_5139_Len192	192	40.1041666667
IJ00_RS14590_WP_035154153.1	035154153_Contig_2168_Len927	927	46.3861920173
