Original Name	New Name	Seq Length	 Seq GC
DMC47_RS03280_WP_110149304.1	110149304_Contig_975_Len1629	1629	66.175567833
DMC47_RS03555_WP_110149352.1	110149352_Contig_6640_Len441	441	68.7074829932
DMC47_RS25710_WP_110153571.1	110153571_Contig_151_Len2760	2760	65.7971014493
DMC47_RS28360_WP_110154039.1	110154039_Contig_8087_Len204	204	65.1960784314
DMC47_RS20990_WP_110152746.1	110152746_Contig_5651_Len585	585	67.0085470085
DMC47_RS27805_WP_110153953.1	110153953_Contig_8125_Len198	198	57.5757575758
DMC47_RS28745_WP_110154093.1	110154093_Contig_3485_Len929	929	68.3530678149
DMC47_RS44760_WP_110157018.1	110157018_Contig_2010_Len1233	1233	66.6666666667
DMC47_RS28490_WP_110154057.1	110154057_Contig_8103_Len201	201	46.2686567164
DMC47_RS37535_WP_110155685.1	110155685_Contig_6455_Len465	465	66.2365591398
DMC47_RS22585_WP_110153018.1	110153018_Contig_8120_Len198	198	41.9191919192
DMC47_RS22530_WP_110153006.1	110153006_Contig_5021_Len684	684	69.0058479532
DMC47_RS18200_WP_110152256.1	110152256_Contig_5156_Len666	666	66.5165165165
DMC47_RS17205_WP_110152105.1	110152105_Contig_1116_Len1545	1545	69.2556634304
DMC47_RS02760_WP_110149210.1	110149210_Contig_211_Len2580	2580	70.4651162791
DMC47_RS11020_WP_110150996.1	110150996_Contig_5813_Len561	561	69.696969697
DMC47_RS19005_WP_110152415.1	110152415_Contig_101_Len3024	3024	65.9060846561
DMC47_RS03770_WP_110149393.1	110149393_Contig_6756_Len426	426	65.0234741784
DMC47_RS23170_WP_110153123.1	110153123_Contig_5438_Len618	618	64.5631067961
DMC47_RS12425_WP_110151204.1	110151204_Contig_620_Len1932	1932	66.8219461698
DMC47_RS41720_WP_110156480.1	110156480_Contig_1983_Len1242	1242	73.8325281804
DMC47_RS40420_WP_110156227.1	110156227_Contig_907_Len1677	1677	67.084078712
DMC47_RS21850_WP_066689620.1	066689620_Contig_5994_Len534	534	62.3595505618
DMC47_RS36140_WP_110155427.1	110155427_Contig_2465_Len1131	1131	67.6392572944
DMC47_RS04035_WP_110149443.1	110149443_Contig_470_Len2118	2118	64.0698772427
DMC47_RS29080_WP_110154149.1	110154149_Contig_2498_Len1123	1123	68.6553873553
DMC47_RS18640_WP_110152347.1	110152347_Contig_5221_Len654	654	70.6422018349
DMC47_RS04625_WP_110149559.1	110149559_Contig_2734_Len1062	1062	65.065913371
DMC47_RS37735_WP_110155721.1	110155721_Contig_4768_Len729	729	68.4499314129
DMC47_RS19775_WP_110152547.1	110152547_Contig_2529_Len1116	1116	66.0394265233
DMC47_RS11885_WP_110151097.1	110151097_Contig_1630_Len1344	1344	65.2529761905
DMC47_RS33355_WP_110154900.1	110154900_Contig_5403_Len624	624	66.5064102564
DMC47_RS38760_WP_110155907.1	110155907_Contig_643_Len1911	1911	67.3469387755
DMC47_RS20755_WP_110152709.1	110152709_Contig_2401_Len1143	1143	68.3289588801
DMC47_RS09310_WP_110150637.1	110150637_Contig_779_Len1791	1791	69.8492462312
DMC47_RS12215_WP_110151162.1	110151162_Contig_7650_Len288	288	62.8472222222
DMC47_RS42140_WP_110156557.1	110156557_Contig_24_Len4053	4053	65.3836664199
DMC47_RS09350_WP_110150643.1	110150643_Contig_5561_Len600	600	68.0
DMC47_RS44495_WP_110156975.1	110156975_Contig_2642_Len1087	1087	70.7451701932
DMC47_RS22335_WP_110152972.1	110152972_Contig_6767_Len423	423	62.6477541371
DMC47_RS08750_WP_110150536.1	110150536_Contig_6347_Len480	480	65.8333333333
DMC47_RS12550_WP_110151223.1	110151223_Contig_5827_Len558	558	69.1756272401
DMC47_RS30090_WP_110154307.1	110154307_Contig_416_Len2202	2202	62.3069936421
DMC47_RS04735_WP_110149579.1	110149579_Contig_1172_Len1515	1515	64.8844884488
DMC47_RS16690_WP_110151985.1	110151985_Contig_2667_Len1080	1080	65.7407407407
DMC47_RS08745_WP_110150535.1	110150535_Contig_72_Len3231	3231	68.1522748375
DMC47_RS07275_WP_110150298.1	110150298_Contig_502_Len2076	2076	66.9556840077
DMC47_RS34975_WP_110155206.1	110155206_Contig_3928_Len861	861	66.0859465738
DMC47_RS03370_WP_110149321.1	110149321_Contig_7738_Len273	273	69.9633699634
DMC47_RS00860_WP_110148860.1	110148860_Contig_1234_Len1494	1494	64.7255689424
DMC47_RS24950_WP_110153441.1	110153441_Contig_4146_Len822	822	69.7080291971
DMC47_RS31995_WP_110154652.1	110154652_Contig_5249_Len651	651	71.5821812596
DMC47_RS02310_WP_110149128.1	110149128_Contig_5721_Len576	576	65.9722222222
DMC47_RS14855_WP_110151653.1	110151653_Contig_1185_Len1509	1509	66.4015904573
DMC47_RS08725_WP_110150532.1	110150532_Contig_423_Len2193	2193	67.7154582763
DMC47_RS37890_WP_110155752.1	110155752_Contig_6749_Len426	426	69.9530516432
DMC47_RS05565_WP_110149824.1	110149824_Contig_2336_Len1155	1155	66.7532467532
DMC47_RS14405_WP_110151571.1	110151571_Contig_5449_Len615	615	65.2032520325
DMC47_RS19225_WP_110152455.1	110152455_Contig_6484_Len459	459	68.6274509804
DMC47_RS01005_WP_110148885.1	110148885_Contig_735_Len1821	1821	65.2937946183
DMC47_RS30445_WP_110154368.1	110154368_Contig_2300_Len1164	1164	66.4089347079
DMC47_RS14090_WP_110151515.1	110151515_Contig_578_Len1977	1977	68.4370257967
DMC47_RS04920_WP_110149616.1	110149616_Contig_1175_Len1512	1512	70.6349206349
DMC47_RS36450_WP_110155481.1	110155481_Contig_577_Len1980	1980	66.1111111111
DMC47_RS30135_WP_110154315.1	110154315_Contig_3555_Len918	918	58.7145969499
DMC47_RS00285_WP_110148756.1	110148756_Contig_1245_Len1488	1488	69.7580645161
DMC47_RS24190_WP_110153300.1	110153300_Contig_7905_Len234	234	72.2222222222
DMC47_RS15155_WP_110151704.1	110151704_Contig_1713_Len1317	1317	69.9316628702
DMC47_RS44230_WP_110156926.1	110156926_Contig_2261_Len1173	1173	66.8371696505
DMC47_RS05005_WP_110149633.1	110149633_Contig_3269_Len960	960	64.4791666667
DMC47_RS43780_WP_110156846.1	110156846_Contig_988_Len1617	1617	70.5627705628
DMC47_RS03115_WP_110149290.1	110149290_Contig_4125_Len828	828	62.5603864734
DMC47_RS09100_WP_110150598.1	110150598_Contig_143_Len2808	2808	60.8262108262
DMC47_RS40975_WP_110156334.1	110156334_Contig_2665_Len1083	1083	68.1440443213
DMC47_RS19120_WP_110152436.1	110152436_Contig_4286_Len795	795	70.9433962264
DMC47_RS05715_WP_110149900.1	110149900_Contig_7498_Len312	312	71.1538461538
DMC47_RS34700_WP_110155153.1	110155153_Contig_3418_Len939	939	69.3290734824
DMC47_RS45270_WP_110157117.1	110157117_Contig_6641_Len441	441	67.1201814059
DMC47_RS36485_WP_110155488.1	110155488_Contig_1475_Len1401	1401	63.2405424697
DMC47_RS25680_WP_110153559.1	110153559_Contig_4927_Len699	699	61.9456366237
DMC47_RS33980_WP_110155029.1	110155029_Contig_2020_Len1230	1230	67.4796747967
DMC47_RS03095_WP_110149268.1	110149268_Contig_3161_Len984	984	60.7723577236
DMC47_RS12800_WP_110151275.1	110151275_Contig_1816_Len1287	1287	67.8321678322
DMC47_RS02610_WP_110149183.1	110149183_Contig_6628_Len441	441	62.358276644
DMC47_RS18155_WP_110152249.1	110152249_Contig_6932_Len399	399	64.1604010025
DMC47_RS10170_WP_110150792.1	110150792_Contig_7373_Len330	330	56.3636363636
DMC47_RS41225_WP_110156378.1	110156378_Contig_2212_Len1185	1185	67.6793248945
DMC47_RS45265_WP_110157116.1	110157116_Contig_8147_Len195	195	58.4615384615
DMC47_RS33485_WP_110154925.1	110154925_Contig_406_Len2220	2220	66.1261261261
DMC47_RS02540_WP_110149169.1	110149169_Contig_3591_Len912	912	56.0307017544
DMC47_RS05700_WP_110149894.1	110149894_Contig_5053_Len678	678	65.0442477876
DMC47_RS11730_WP_110151071.1	110151071_Contig_4107_Len828	828	59.2995169082
DMC47_RS10290_WP_110150813.1	110150813_Contig_2485_Len1125	1125	67.6444444444
DMC47_RS19325_WP_110152470.1	110152470_Contig_5189_Len660	660	68.4848484848
DMC47_RS30560_WP_110154397.1	110154397_Contig_5616_Len591	591	64.9746192893
DMC47_RS33130_WP_110154859.1	110154859_Contig_7346_Len336	336	71.4285714286
DMC47_RS10150_WP_110150788.1	110150788_Contig_2045_Len1221	1221	64.5372645373
DMC47_RS39350_WP_110156005.1	110156005_Contig_1262_Len1485	1485	68.4175084175
DMC47_RS00645_WP_110148820.1	110148820_Contig_8055_Len210	210	59.5238095238
DMC47_RS13280_WP_110151365.1	110151365_Contig_3961_Len855	855	64.9122807018
DMC47_RS18285_WP_110152270.1	110152270_Contig_1143_Len1530	1530	66.2091503268
DMC47_RS32175_WP_110154697.1	110154697_Contig_165_Len2712	2712	58.7758112094
DMC47_RS39400_WP_110156014.1	110156014_Contig_1725_Len1314	1314	69.1780821918
DMC47_RS07015_WP_110150281.1	110150281_Contig_2768_Len1053	1053	63.6277302944
DMC47_RS31990_WP_110154636.1	110154636_Contig_1136_Len1533	1533	68.6888454012
DMC47_RS03395_WP_110149325.1	110149325_Contig_3019_Len1008	1008	67.9563492063
DMC47_RS12940_WP_110151299.1	110151299_Contig_3239_Len966	966	69.2546583851
DMC47_RS38700_WP_110155899.1	110155899_Contig_227_Len2532	2532	52.6461295419
DMC47_RS39615_WP_110156051.1	110156051_Contig_1608_Len1353	1353	66.8883961567
DMC47_RS19020_WP_110152418.1	110152418_Contig_7861_Len243	243	71.6049382716
DMC47_RS17550_WP_110152146.1	110152146_Contig_2243_Len1176	1176	67.0068027211
DMC47_RS22405_WP_110152986.1	110152986_Contig_365_Len2274	2274	67.5901495163
DMC47_RS13660_WP_110151436.1	110151436_Contig_3892_Len867	867	65.2825836217
DMC47_RS08240_WP_110150441.1	110150441_Contig_4142_Len822	822	65.6934306569
DMC47_RS15710_WP_110151810.1	110151810_Contig_412_Len2211	2211	68.1592039801
DMC47_RS05095_WP_110149661.1	110149661_Contig_6197_Len501	501	65.2694610778
DMC47_RS10555_WP_110150858.1	110150858_Contig_4059_Len837	837	64.3966547192
DMC47_RS39935_WP_110156133.1	110156133_Contig_1277_Len1476	1476	70.8672086721
DMC47_RS02700_WP_110149200.1	110149200_Contig_5226_Len654	654	65.4434250765
DMC47_RS17300_WP_110152091.1	110152091_Contig_5814_Len561	561	68.9839572193
DMC47_RS31555_WP_110154556.1	110154556_Contig_7664_Len288	288	66.3194444444
DMC47_RS20610_WP_110152689.1	110152689_Contig_213_Len2574	2574	64.8795648796
DMC47_RS11675_WP_110151062.1	110151062_Contig_2999_Len1008	1008	63.5912698413
DMC47_RS33595_WP_110154946.1	110154946_Contig_2019_Len1230	1230	68.7804878049
DMC47_RS15675_WP_110151803.1	110151803_Contig_1852_Len1281	1281	70.1014832162
DMC47_RS06015_WP_110150003.1	110150003_Contig_2043_Len1221	1221	61.6707616708
DMC47_RS43135_WP_110156734.1	110156734_Contig_7723_Len276	276	70.652173913
DMC47_RS34175_WP_110155055.1	110155055_Contig_1213_Len1500	1500	66.3333333333
DMC47_RS36400_WP_110155472.1	110155472_Contig_7710_Len279	279	57.3476702509
DMC47_RS24385_WP_110153331.1	110153331_Contig_6721_Len429	429	66.4335664336
DMC47_RS19200_WP_110152456.1	110152456_Contig_1498_Len1392	1392	71.5517241379
DMC47_RS21730_WP_110152870.1	110152870_Contig_4424_Len777	777	65.3796653797
DMC47_RS20675_WP_110152695.1	110152695_Contig_7201_Len360	360	63.3333333333
DMC47_RS17105_WP_110152060.1	110152060_Contig_3536_Len921	921	66.8838219327
DMC47_RS31590_WP_110154562.1	110154562_Contig_5801_Len564	564	64.3617021277
DMC47_RS37410_WP_110155661.1	110155661_Contig_2006_Len1233	1233	64.3146796431
DMC47_RS02375_WP_110149140.1	110149140_Contig_3243_Len966	966	67.2877846791
DMC47_RS18540_WP_110152329.1	110152329_Contig_3629_Len906	906	68.9845474614
DMC47_RS38970_WP_110155941.1	110155941_Contig_6319_Len486	486	62.1399176955
DMC47_RS18935_WP_110152395.1	110152395_Contig_521_Len2040	2040	67.4019607843
DMC47_RS32495_WP_110154773.1	110154773_Contig_687_Len1866	1866	68.756698821
DMC47_RS23575_WP_110153189.1	110153189_Contig_1233_Len1494	1494	60.843373494
DMC47_RS06880_WP_110150228.1	110150228_Contig_2411_Len1140	1140	65.7894736842
DMC47_RS22460_WP_056452175.1	056452175_Contig_6305_Len486	486	59.0534979424
DMC47_RS01875_WP_110149066.1	110149066_Contig_2601_Len1098	1098	65.664845173
DMC47_RS32975_WP_110154819.1	110154819_Contig_388_Len2253	2253	64.1367066134
DMC47_RS35635_WP_110155333.1	110155333_Contig_1759_Len1303	1303	68.6108979279
DMC47_RS33315_WP_110154893.1	110154893_Contig_627_Len1926	1926	67.497403946
DMC47_RS19655_WP_110152526.1	110152526_Contig_178_Len2670	2670	65.4307116105
DMC47_RS13555_WP_110151419.1	110151419_Contig_7653_Len288	288	64.5833333333
DMC47_RS20850_WP_110152731.1	110152731_Contig_4684_Len741	741	65.4520917679
DMC47_RS32335_WP_110154704.1	110154704_Contig_4711_Len738	738	70.7317073171
DMC47_RS27290_WP_110153866.1	110153866_Contig_1450_Len1407	1407	63.8237384506
DMC47_RS30525_WP_110154386.1	110154386_Contig_7523_Len309	309	61.4886731392
DMC47_RS31615_WP_110154566.1	110154566_Contig_4993_Len690	690	66.231884058
DMC47_RS24810_WP_110153406.1	110153406_Contig_2163_Len1194	1194	70.1842546064
DMC47_RS16985_WP_110152038.1	110152038_Contig_7098_Len375	375	60.5333333333
DMC47_RS38950_WP_110155939.1	110155939_Contig_7114_Len375	375	66.4
DMC47_RS12545_WP_110151222.1	110151222_Contig_7743_Len270	270	61.4814814815
DMC47_RS37340_WP_110155643.1	110155643_Contig_1008_Len1608	1608	72.3258706468
DMC47_RS40710_WP_110156277.1	110156277_Contig_2902_Len1029	1029	65.5976676385
DMC47_RS11875_WP_110151096.1	110151096_Contig_2148_Len1197	1197	68.0033416876
DMC47_RS08395_WP_110150470.1	110150470_Contig_6120_Len516	516	64.7286821705
DMC47_RS18730_WP_110152362.1	110152362_Contig_6015_Len531	531	60.0753295669
DMC47_RS32880_WP_110154801.1	110154801_Contig_4595_Len753	753	67.197875166
DMC47_RS43415_WP_110156798.1	110156798_Contig_6116_Len519	519	71.8689788054
DMC47_RS20470_WP_110152658.1	110152658_Contig_4310_Len792	792	67.4242424242
DMC47_RS18180_WP_110152253.1	110152253_Contig_722_Len1833	1833	64.21167485
DMC47_RS11775_WP_110151079.1	110151079_Contig_3128_Len990	990	66.0606060606
DMC47_RS39635_WP_110156054.1	110156054_Contig_5326_Len639	639	67.7621283255
DMC47_RS23405_WP_110153167.1	110153167_Contig_1968_Len1245	1245	65.0602409639
DMC47_RS30555_WP_110154392.1	110154392_Contig_6786_Len420	420	65.2380952381
DMC47_RS06515_WP_110150156.1	110150156_Contig_8007_Len216	216	59.7222222222
DMC47_RS06415_WP_110150136.1	110150136_Contig_137_Len2844	2844	64.8734177215
DMC47_RS08765_WP_110150539.1	110150539_Contig_2839_Len1038	1038	66.859344894
DMC47_RS39455_WP_110156022.1	110156022_Contig_3164_Len984	984	63.5162601626
DMC47_RS35035_WP_110155217.1	110155217_Contig_57_Len3339	3339	66.3372267146
DMC47_RS05445_WP_110149778.1	110149778_Contig_2031_Len1224	1224	62.3366013072
DMC47_RS12845_WP_110151283.1	110151283_Contig_97_Len3060	3060	60.9477124183
DMC47_RS23095_WP_110153116.1	110153116_Contig_6785_Len420	420	63.8095238095
DMC47_RS25725_WP_110153574.1	110153574_Contig_3147_Len987	987	66.3627152989
DMC47_RS43440_WP_110156788.1	110156788_Contig_2421_Len1140	1140	65.6140350877
DMC47_RS29785_WP_110154260.1	110154260_Contig_6896_Len405	405	69.3827160494
DMC47_RS10090_WP_110150778.1	110150778_Contig_2011_Len1230	1230	66.0975609756
DMC47_RS27990_WP_110153990.1	110153990_Contig_250_Len2490	2490	66.9879518072
DMC47_RS44635_WP_110156997.1	110156997_Contig_264_Len2475	2475	63.797979798
DMC47_RS43600_WP_110156816.1	110156816_Contig_4188_Len816	816	64.3382352941
DMC47_RS44645_WP_110156998.1	110156998_Contig_5234_Len654	654	64.5259938838
DMC47_RS25670_WP_110153557.1	110153557_Contig_791_Len1785	1785	68.9635854342
DMC47_RS26330_WP_110153755.1	110153755_Contig_327_Len2328	2328	68.7714776632
DMC47_RS38035_WP_110155779.1	110155779_Contig_4567_Len759	759	70.882740448
DMC47_RS38270_WP_110155820.1	110155820_Contig_4598_Len753	753	66.6666666667
DMC47_RS13715_WP_110151447.1	110151447_Contig_2092_Len1209	1209	66.6666666667
DMC47_RS12285_WP_110151174.1	110151174_Contig_709_Len1848	1848	66.8831168831
DMC47_RS25225_WP_110153481.1	110153481_Contig_6249_Len495	495	73.7373737374
DMC47_RS38770_WP_110155909.1	110155909_Contig_2977_Len1014	1014	64.6942800789
DMC47_RS15285_WP_110151731.1	110151731_Contig_531_Len2034	2034	66.6175024582
DMC47_RS20420_WP_110152662.1	110152662_Contig_5714_Len576	576	65.7986111111
DMC47_RS30950_WP_110154465.1	110154465_Contig_3610_Len909	909	68.2068206821
DMC47_RS30010_WP_110154292.1	110154292_Contig_4335_Len789	789	67.680608365
DMC47_RS23655_WP_110153204.1	110153204_Contig_3232_Len969	969	67.9050567595
DMC47_RS02630_WP_110149186.1	110149186_Contig_7837_Len249	249	70.6827309237
DMC47_RS39235_WP_110155986.1	110155986_Contig_6751_Len426	426	65.2582159624
DMC47_RS07605_WP_110150349.1	110150349_Contig_4502_Len765	765	67.8431372549
DMC47_RS34465_WP_110155104.1	110155104_Contig_2899_Len1029	1029	59.0864917396
DMC47_RS06935_WP_110150237.1	110150237_Contig_737_Len1818	1818	65.0165016502
DMC47_RS10925_WP_110150925.1	110150925_Contig_7374_Len330	330	62.1212121212
DMC47_RS26665_WP_110153736.1	110153736_Contig_1697_Len1326	1326	67.1191553544
DMC47_RS10265_WP_110150808.1	110150808_Contig_924_Len1659	1659	60.4581072936
DMC47_RS23990_WP_110153257.1	110153257_Contig_3431_Len936	936	69.3376068376
DMC47_RS11225_WP_110150973.1	110150973_Contig_4828_Len717	717	65.4114365411
DMC47_RS07805_WP_082746205.1	082746205_Contig_7187_Len363	363	66.6666666667
DMC47_RS44185_WP_110156919.1	110156919_Contig_5557_Len603	603	65.008291874
DMC47_RS00765_WP_110148842.1	110148842_Contig_7761_Len267	267	67.7902621723
