Original Name	New Name	Seq Length	 Seq GC
OSC10802_RS0119035_WP_017718367.1	017718367_Contig_2466_Len966	966	53.0020703934
OSC10802_RS0109320_WP_026098329.1	026098329_Contig_6321_Len192	192	58.3333333333
OSC10802_RS0106900_WP_017716055.1	017716055_Contig_219_Len2943	2943	60.4485219164
OSC10802_RS0134560_WP_017721332.1	017721332_Contig_1607_Len1272	1272	46.6981132075
OSC10802_RS0116220_WP_017717826.1	017717826_Contig_788_Len1806	1806	55.4263565891
OSC10802_RS41995_WP_017719886.1	017719886_Contig_723_Len1872	1872	58.7606837607
OSC10802_RS0106440_WP_017715966.1	017715966_Contig_4592_Len423	423	52.7186761229
OSC10802_RS0106820_WP_017716040.1	017716040_Contig_2338_Len999	999	52.6526526527
OSC10802_RS0108065_WP_017716282.1	017716282_Contig_5669_Len249	249	53.0120481928
OSC10802_RS0132735_WP_017720989.1	017720989_Contig_1903_Len1146	1146	54.1012216405
OSC10802_RS0135265_WP_017721472.1	017721472_Contig_3352_Len717	717	57.6011157601
OSC10802_RS0110440_WP_017716732.1	017716732_Contig_6291_Len195	195	47.6923076923
OSC10802_RS0129440_WP_017720371.1	017720371_Contig_5827_Len234	234	50.8547008547
OSC10802_RS0100835_WP_017714883.1	017714883_Contig_2918_Len828	828	57.8502415459
OSC10802_RS0133345_WP_044172159.1	044172159_Contig_4195_Len510	510	52.5490196078
OSC10802_RS44665_WP_017718970.1	017718970_Contig_1299_Len1407	1407	56.8585643213
OSC10802_RS0104630_WP_017715618.1	017715618_Contig_1321_Len1395	1395	54.6953405018
OSC10802_RS0127695_WP_017720030.1	017720030_Contig_251_Len2793	2793	58.933046903
OSC10802_RS0102365_WP_017715184.1	017715184_Contig_438_Len2316	2316	58.2037996546
OSC10802_RS0112245_WP_017717057.1	017717057_Contig_4143_Len519	519	51.2524084778
OSC10802_RS40825_WP_044171204.1	044171204_Contig_3962_Len558	558	61.4695340502
OSC10802_RS39135_WP_017716207.1	017716207_Contig_642_Len1974	1974	53.7993920973
OSC10802_RS0117620_WP_017718087.1	017718087_Contig_5674_Len249	249	50.2008032129
OSC10802_RS0135420_WP_017721497.1	017721497_Contig_6090_Len213	213	44.1314553991
OSC10802_RS0124220_WP_017719358.1	017719358_Contig_3018_Len801	801	57.8027465668
OSC10802_RS0105525_WP_017715785.1	017715785_Contig_1106_Len1515	1515	53.597359736
OSC10802_RS0136725_WP_017721750.1	017721750_Contig_3481_Len681	681	54.919236417
OSC10802_RS0124430_WP_017719400.1	017719400_Contig_678_Len1920	1920	59.1666666667
OSC10802_RS0111855_WP_017716983.1	017716983_Contig_285_Len2667	2667	55.6805399325
OSC10802_RS0100400_WP_017714799.1	017714799_Contig_1522_Len1308	1308	40.749235474
OSC10802_RS0122930_WP_017719111.1	017719111_Contig_5103_Len330	330	56.6666666667
OSC10802_RS0113160_WP_017717229.1	017717229_Contig_2487_Len960	960	58.125
OSC10802_RS0128155_WP_017720121.1	017720121_Contig_1034_Len1575	1575	52.0
OSC10802_RS0124085_WP_026098755.1	026098755_Contig_6341_Len192	192	46.3541666667
OSC10802_RS0124370_WP_026098760.1	026098760_Contig_4680_Len408	408	48.5294117647
OSC10802_RS0120920_WP_017718720.1	017718720_Contig_3987_Len552	552	53.2608695652
OSC10802_RS0115565_WP_026098516.1	026098516_Contig_876_Len1704	1704	56.6901408451
OSC10802_RS41540_WP_017719310.1	017719310_Contig_2543_Len942	942	40.5520169851
OSC10802_RS0103940_WP_071593271.1	071593271_Contig_922_Len1668	1668	46.2230215827
OSC10802_RS0112735_WP_017717153.1	017717153_Contig_829_Len1767	1767	55.2348613469
OSC10802_RS0112400_WP_017717090.1	017717090_Contig_3837_Len588	588	38.0952380952
OSC10802_RS0105270_WP_026098187.1	026098187_Contig_4180_Len513	513	54.9707602339
OSC10802_RS0114200_WP_017717431.1	017717431_Contig_2972_Len813	813	58.5485854859
OSC10802_RS0113960_WP_017717385.1	017717385_Contig_564_Len2097	2097	53.1235097759
OSC10802_RS0123990_WP_017719318.1	017719318_Contig_1723_Len1218	1218	60.26272578
OSC10802_RS0136380_WP_017721679.1	017721679_Contig_1182_Len1473	1473	50.3733876443
OSC10802_RS0108880_WP_017716432.1	017716432_Contig_4181_Len513	513	51.2670565302
OSC10802_RS0124645_WP_044171500.1	044171500_Contig_6343_Len192	192	48.9583333333
OSC10802_RS0135670_WP_017721547.1	017721547_Contig_1071_Len1548	1548	58.0103359173
OSC10802_RS0114960_WP_017717578.1	017717578_Contig_5098_Len330	330	50.6060606061
OSC10802_RS0111180_WP_017716856.1	017716856_Contig_5220_Len309	309	53.074433657
OSC10802_RS0133285_WP_017721090.1	017721090_Contig_1305_Len1404	1404	59.6153846154
OSC10802_RS0101445_WP_017715006.1	017715006_Contig_4306_Len483	483	53.0020703934
OSC10802_RS0123580_WP_017719234.1	017719234_Contig_3108_Len777	777	58.4298584299
OSC10802_RS40790_WP_044170164.1	044170164_Contig_3925_Len567	567	54.6737213404
OSC10802_RS0116635_WP_017717905.1	017717905_Contig_4935_Len360	360	60.0
OSC10802_RS0109785_WP_017716603.1	017716603_Contig_4394_Len462	462	55.4112554113
OSC10802_RS0113995_WP_017717392.1	017717392_Contig_2195_Len1041	1041	56.3880883766
OSC10802_RS0124835_WP_017719477.1	017719477_Contig_4616_Len420	420	50.9523809524
OSC10802_RS0105645_WP_017715810.1	017715810_Contig_865_Len1713	1713	50.1459427904
OSC10802_RS0104185_WP_017715531.1	017715531_Contig_3813_Len594	594	54.3771043771
OSC10802_RS0131455_WP_017720744.1	017720744_Contig_4063_Len537	537	54.1899441341
OSC10802_RS0121005_WP_017718737.1	017718737_Contig_5330_Len294	294	59.8639455782
OSC10802_RS0110835_WP_017716791.1	017716791_Contig_6024_Len216	216	50.0
OSC10802_RS0120370_WP_017718615.1	017718615_Contig_2219_Len1035	1035	46.9565217391
OSC10802_RS0131580_WP_044172263.1	044172263_Contig_4714_Len402	402	56.4676616915
OSC10802_RS0129080_WP_017720300.1	017720300_Contig_3390_Len708	708	55.790960452
OSC10802_RS0106995_WP_017716073.1	017716073_Contig_3282_Len732	732	54.781420765
OSC10802_RS0120680_WP_026098673.1	026098673_Contig_2352_Len996	996	53.2128514056
OSC10802_RS44650_WP_052334321.1	052334321_Contig_4002_Len549	549	57.5591985428
OSC10802_RS38920_WP_044169989.1	044169989_Contig_454_Len2280	2280	57.3245614035
OSC10802_RS0127225_WP_017719943.1	017719943_Contig_5106_Len330	330	53.3333333333
OSC10802_RS0109005_WP_026098317.1	026098317_Contig_3910_Len570	570	50.350877193
OSC10802_RS0129240_WP_017720331.1	017720331_Contig_4793_Len387	387	57.6227390181
OSC10802_RS0114840_WP_017717556.1	017717556_Contig_5372_Len288	288	59.375
OSC10802_RS0102870_WP_017715279.1	017715279_Contig_2851_Len846	846	58.5106382979
OSC10802_RS48260_WP_017721247.1	017721247_Contig_5748_Len243	243	41.975308642
OSC10802_RS0137855_WP_017721969.1	017721969_Contig_2445_Len975	975	46.2564102564
OSC10802_RS45105_WP_017720960.1	017720960_Contig_2763_Len870	870	54.7126436782
OSC10802_RS0109645_WP_017716573.1	017716573_Contig_3894_Len573	573	49.5636998255
OSC10802_RS0110785_WP_026098367.1	026098367_Contig_2819_Len855	855	59.649122807
OSC10802_RS0130775_WP_017720611.1	017720611_Contig_2253_Len1023	1023	53.7634408602
OSC10802_RS0131670_WP_017720785.1	017720785_Contig_156_Len3246	3246	58.1947011707
OSC10802_RS0116605_WP_017717899.1	017717899_Contig_117_Len3609	3609	56.663895816
OSC10802_RS0125160_WP_017719541.1	017719541_Contig_4028_Len543	543	59.4843462247
OSC10802_RS0137195_WP_017721836.1	017721836_Contig_2982_Len810	810	49.1358024691
OSC10802_RS41400_WP_017719171.1	017719171_Contig_83_Len4044	4044	57.0474777448
OSC10802_RS0106495_WP_017715976.1	017715976_Contig_4911_Len363	363	55.3719008264
OSC10802_RS44285_WP_017716952.1	017716952_Contig_2757_Len870	870	57.7011494253
OSC10802_RS44065_WP_017716068.1	017716068_Contig_64_Len4326	4326	58.8534442903
OSC10802_RS0120465_WP_017718634.1	017718634_Contig_401_Len2406	2406	58.7281795511
OSC10802_RS0102465_WP_017715200.1	017715200_Contig_439_Len2316	2316	50.8635578584
OSC10802_RS0134480_WP_017721318.1	017721318_Contig_2435_Len978	978	58.691206544
OSC10802_RS0120855_WP_017718708.1	017718708_Contig_3939_Len564	564	56.2056737589
OSC10802_RS44160_WP_082218269.1	082218269_Contig_18_Len6003	6003	56.1885723805
OSC10802_RS0110965_WP_017716819.1	017716819_Contig_1811_Len1179	1179	55.4707379135
OSC10802_RS0131600_WP_017720772.1	017720772_Contig_6455_Len183	183	46.4480874317
OSC10802_RS0136335_WP_017721669.1	017721669_Contig_5467_Len276	276	50.7246376812
OSC10802_RS48430_WP_082218502.1	082218502_Contig_5757_Len243	243	46.9135802469
OSC10802_RS0134205_WP_026099058.1	026099058_Contig_4908_Len366	366	53.2786885246
OSC10802_RS0102235_WP_017715159.1	017715159_Contig_5661_Len249	249	56.2248995984
OSC10802_RS0125580_WP_017719626.1	017719626_Contig_4696_Len405	405	55.0617283951
OSC10802_RS0132625_WP_017720967.1	017720967_Contig_4248_Len498	498	47.9919678715
OSC10802_RS0118665_WP_017718295.1	017718295_Contig_5995_Len219	219	56.6210045662
OSC10802_RS0134930_WP_017721405.1	017721405_Contig_4541_Len435	435	59.0804597701
OSC10802_RS0127545_WP_017720005.1	017720005_Contig_5423_Len282	282	50.7092198582
OSC10802_RS42415_WP_017720394.1	017720394_Contig_5271_Len303	303	56.1056105611
OSC10802_RS0102615_WP_017715228.1	017715228_Contig_2743_Len873	873	53.9518900344
OSC10802_RS0104095_WP_017715517.1	017715517_Contig_3649_Len636	636	49.213836478
