Original Name	New Name	Seq Length	 Seq GC
XM38_RS02145_WP_088428939.1	088428939_Contig_971_Len1293	1293	57.2312451663
XM38_RS02970_WP_080809184.1	080809184_Contig_2357_Len738	738	49.0514905149
XM38_RS07145_WP_080807324.1	080807324_Contig_4167_Len267	267	61.0486891386
XM38_RS06750_WP_080813542.1	080813542_Contig_509_Len1698	1698	57.5382803298
XM38_RS25230_WP_080812471.1	080812471_Contig_3087_Len525	525	53.9047619048
XM38_RS22635_WP_088431140.1	088431140_Contig_3527_Len417	417	57.5539568345
XM38_RS02135_WP_088428937.1	088428937_Contig_4271_Len246	246	51.6260162602
XM38_RS13330_WP_088430128.1	088430128_Contig_4461_Len216	216	46.7592592593
XM38_RS24945_WP_088431420.1	088431420_Contig_3323_Len468	468	52.7777777778
XM38_RS06285_WP_080807478.1	080807478_Contig_1648_Len990	990	46.2626262626
XM38_RS01430_WP_080810744.1	080810744_Contig_4529_Len198	198	52.0202020202
XM38_RS18365_WP_080805834.1	080805834_Contig_1839_Len921	921	52.3344191097
XM38_RS20785_WP_080805949.1	080805949_Contig_1695_Len975	975	57.1282051282
XM38_RS18450_WP_088430661.1	088430661_Contig_2028_Len846	846	55.7919621749
XM38_RS15515_WP_080804909.1	080804909_Contig_4187_Len264	264	59.0909090909
XM38_RS12840_WP_088431677.1	088431677_Contig_2152_Len804	804	58.4577114428
XM38_RS17255_WP_088430530.1	088430530_Contig_861_Len1365	1365	55.5311355311
XM38_RS08400_WP_080811321.1	080811321_Contig_2702_Len633	633	51.9747235387
XM38_RS07500_WP_088431575.1	088431575_Contig_1146_Len1188	1188	55.6397306397
XM38_RS14560_WP_080808702.1	080808702_Contig_4428_Len222	222	59.9099099099
XM38_RS06345_WP_080807506.1	080807506_Contig_3722_Len372	372	56.9892473118
XM38_RS21280_WP_088430999.1	088430999_Contig_2924_Len576	576	59.8958333333
XM38_RS15535_WP_080804915.1	080804915_Contig_925_Len1320	1320	59.0151515152
XM38_RS21540_WP_080813738.1	080813738_Contig_3637_Len393	393	50.6361323155
XM38_RS14745_WP_080810198.1	080810198_Contig_1083_Len1224	1224	54.8202614379
XM38_RS12555_WP_080811533.1	080811533_Contig_3928_Len327	327	49.2354740061
XM38_RS19505_WP_080810065.1	080810065_Contig_2960_Len567	567	54.3209876543
XM38_RS06110_WP_080810464.1	080810464_Contig_4294_Len243	243	46.9135802469
XM38_RS04360_WP_080809381.1	080809381_Contig_3299_Len471	471	53.9278131635
XM38_RS09750_WP_088429679.1	088429679_Contig_1716_Len966	966	60.248447205
XM38_RS12620_WP_088430032.1	088430032_Contig_2738_Len621	621	56.8438003221
XM38_RS23235_WP_080811706.1	080811706_Contig_2685_Len639	639	55.5555555556
XM38_RS05345_WP_080806205.1	080806205_Contig_2459_Len705	705	44.1134751773
XM38_RS17390_WP_080810251.1	080810251_Contig_173_Len2562	2562	46.9164715066
XM38_RS14355_WP_080808592.1	080808592_Contig_1103_Len1212	1212	52.9702970297
XM38_RS14065_WP_080807875.1	080807875_Contig_4230_Len255	255	54.5098039216
XM38_RS02640_WP_080806493.1	080806493_Contig_3717_Len372	372	52.688172043
XM38_RS04505_WP_088429200.1	088429200_Contig_2479_Len699	699	52.5035765379
XM38_RS19270_WP_080809962.1	080809962_Contig_4543_Len198	198	54.5454545455
XM38_RS17495_WP_080810284.1	080810284_Contig_1552_Len1023	1023	57.0869990225
XM38_RS06175_WP_080810443.1	080810443_Contig_940_Len1311	1311	39.8932112891
XM38_RS01420_WP_080810747.1	080810747_Contig_4077_Len288	288	55.9027777778
XM38_RS15145_WP_080804785.1	080804785_Contig_1700_Len972	972	50.0
XM38_RS04415_WP_080809363.1	080809363_Contig_2857_Len588	588	52.5510204082
XM38_RS19865_WP_080813865.1	080813865_Contig_2599_Len660	660	60.0
XM38_RS07600_WP_080808138.1	080808138_Contig_1467_Len1056	1056	60.8901515152
XM38_RS24430_WP_080805006.1	080805006_Contig_4577_Len192	192	48.4375
XM38_RS11680_WP_088429927.1	088429927_Contig_701_Len1467	1467	62.5085207907
XM38_RS04920_WP_088429244.1	088429244_Contig_2088_Len822	822	60.3406326034
XM38_RS23410_WP_080811766.1	080811766_Contig_434_Len1809	1809	57.9878385849
XM38_RS11885_WP_080806748.1	080806748_Contig_2137_Len807	807	56.009913259
XM38_RS07645_WP_080808109.1	080808109_Contig_2387_Len729	729	51.3031550069
XM38_RS06950_WP_080807405.1	080807405_Contig_4591_Len186	186	53.7634408602
XM38_RS08970_WP_080811043.1	080811043_Contig_1353_Len1095	1095	52.7853881279
XM38_RS11535_WP_088429901.1	088429901_Contig_4170_Len267	267	54.3071161049
XM38_RS05105_WP_080806354.1	080806354_Contig_4257_Len249	249	53.8152610442
XM38_RS20420_WP_088430898.1	088430898_Contig_2578_Len666	666	53.6036036036
XM38_RS04075_WP_080809496.1	080809496_Contig_4273_Len246	246	51.2195121951
XM38_RS08790_WP_080811981.1	080811981_Contig_62_Len3333	3333	52.7152715272
XM38_RS02520_WP_080806464.1	080806464_Contig_790_Len1413	1413	58.4571832979
XM38_RS19960_WP_088430838.1	088430838_Contig_3590_Len402	402	54.4776119403
XM38_RS07095_WP_088429403.1	088429403_Contig_689_Len1476	1476	56.5718157182
XM38_RS22905_WP_080805444.1	080805444_Contig_2732_Len624	624	59.4551282051
XM38_RS16000_WP_080814145.1	080814145_Contig_2027_Len846	846	42.31678487
XM38_RS12615_WP_088431669.1	088431669_Contig_3614_Len396	396	58.8383838384
XM38_RS19275_WP_080809965.1	080809965_Contig_1862_Len912	912	56.0307017544
XM38_RS10630_WP_088429792.1	088429792_Contig_1418_Len1071	1071	49.4864612512
XM38_RS18895_WP_080808334.1	080808334_Contig_3433_Len438	438	51.598173516
XM38_RS13170_WP_080812137.1	080812137_Contig_2957_Len567	567	55.0264550265
XM38_RS24150_WP_080805101.1	080805101_Contig_3947_Len324	324	55.5555555556
XM38_RS13535_WP_088430146.1	088430146_Contig_279_Len2169	2169	59.2899953896
XM38_RS22995_WP_080805421.1	080805421_Contig_4597_Len186	186	50.5376344086
XM38_RS22290_WP_080811930.1	080811930_Contig_4236_Len255	255	49.0196078431
XM38_RS03300_WP_088429076.1	088429076_Contig_168_Len2574	2574	61.4607614608
XM38_RS12245_WP_088429996.1	088429996_Contig_267_Len2202	2202	51.1807447775
XM38_RS16415_WP_080812295.1	080812295_Contig_1728_Len963	963	51.4018691589
XM38_RS10840_WP_088429817.1	088429817_Contig_1018_Len1263	1263	59.4615993666
XM38_RS19215_WP_088430758.1	088430758_Contig_212_Len2382	2382	55.5415617128
XM38_RS09685_WP_088429671.1	088429671_Contig_2196_Len792	792	60.101010101
XM38_RS11020_WP_088429829.1	088429829_Contig_3586_Len402	402	55.7213930348
XM38_RS18815_WP_088430692.1	088430692_Contig_2995_Len555	555	49.3693693694
XM38_RS15525_WP_080804913.1	080804913_Contig_3462_Len432	432	59.4907407407
XM38_RS23980_WP_080805171.1	080805171_Contig_2344_Len744	744	58.6021505376
XM38_RS02165_WP_088428941.1	088428941_Contig_1655_Len987	987	56.3323201621
XM38_RS20490_WP_080805866.1	080805866_Contig_1315_Len1113	1113	57.9514824798
XM38_RS07910_WP_080806045.1	080806045_Contig_1966_Len867	867	58.246828143
XM38_RS18370_WP_080805855.1	080805855_Contig_312_Len2061	2061	54.051431344
XM38_RS22825_WP_080805464.1	080805464_Contig_1071_Len1230	1230	56.2601626016
XM38_RS04245_WP_080809431.1	080809431_Contig_4494_Len207	207	47.3429951691
XM38_RS21505_WP_080813778.1	080813778_Contig_135_Len2742	2742	55.288110868
XM38_RS17425_WP_080810262.1	080810262_Contig_673_Len1494	1494	50.4016064257
XM38_RS15470_WP_088430305.1	088430305_Contig_1237_Len1149	1149	56.9190600522
XM38_RS01225_WP_088428861.1	088428861_Contig_911_Len1326	1326	57.3906485671
XM38_RS07795_WP_088429454.1	088429454_Contig_1023_Len1260	1260	52.1428571429
XM38_RS21880_WP_088431058.1	088431058_Contig_386_Len1908	1908	60.3249475891
XM38_RS15640_WP_088430329.1	088430329_Contig_381_Len1914	1914	58.5684430512
XM38_RS03875_WP_080808756.1	080808756_Contig_3506_Len420	420	60.0
XM38_RS00625_WP_088428821.1	088428821_Contig_1362_Len1092	1092	58.9743589744
XM38_RS19550_WP_080810092.1	080810092_Contig_3583_Len405	405	50.3703703704
XM38_RS23905_WP_088431294.1	088431294_Contig_450_Len1785	1785	56.974789916
XM38_RS15935_WP_080814150.1	080814150_Contig_2986_Len558	558	60.2150537634
XM38_RS03910_WP_080809504.1	080809504_Contig_1176_Len1173	1173	55.3282182438
XM38_RS13560_WP_080807631.1	080807631_Contig_68_Len3285	3285	49.3150684932
XM38_RS06620_WP_080814262.1	080814262_Contig_3843_Len345	345	55.652173913
XM38_RS02255_WP_080814403.1	080814403_Contig_3453_Len432	432	59.0277777778
XM38_RS24470_WP_088431362.1	088431362_Contig_3853_Len345	345	49.8550724638
XM38_RS16445_WP_088431733.1	088431733_Contig_1943_Len876	876	56.3926940639
XM38_RS18305_WP_080806988.1	080806988_Contig_2035_Len840	840	37.9761904762
XM38_RS12450_WP_080811562.1	080811562_Contig_2876_Len585	585	56.2393162393
XM38_RS01820_WP_080812856.1	080812856_Contig_2964_Len564	564	56.0283687943
XM38_RS03405_WP_080808968.1	080808968_Contig_292_Len2130	2130	42.3004694836
XM38_RS10230_WP_080809797.1	080809797_Contig_2520_Len687	687	55.0218340611
XM38_RS11230_WP_080813109.1	080813109_Contig_1849_Len915	915	47.5409836066
XM38_RS14855_WP_080807041.1	080807041_Contig_1412_Len1074	1074	59.3109869646
XM38_RS17695_WP_080809825.1	080809825_Contig_65_Len3303	3303	52.2858007872
XM38_RS14935_WP_080807058.1	080807058_Contig_1581_Len1011	1011	57.4678536103
XM38_RS08765_WP_080811986.1	080811986_Contig_1093_Len1218	1218	59.4417077176
XM38_RS18000_WP_080806902.1	080806902_Contig_4570_Len192	192	51.0416666667
XM38_RS08150_WP_080814114.1	080814114_Contig_4183_Len264	264	47.3484848485
XM38_RS04165_WP_088429160.1	088429160_Contig_1394_Len1080	1080	58.5185185185
XM38_RS24205_WP_080805082.1	080805082_Contig_4250_Len252	252	50.3968253968
XM38_RS01810_WP_080812860.1	080812860_Contig_347_Len1989	1989	58.5218702866
XM38_RS13005_WP_080812091.1	080812091_Contig_4136_Len276	276	50.7246376812
XM38_RS18095_WP_080806929.1	080806929_Contig_2969_Len564	564	53.9007092199
XM38_RS16775_WP_080806643.1	080806643_Contig_4058_Len297	297	54.5454545455
