Original Name	New Name	Seq Length	 Seq GC
BZZ01_RS12350_WP_087540133.1	087540133_Contig_1338_Len1344	1344	45.3125
BZZ01_RS14745_WP_087541034.1	087541034_Contig_800_Len1644	1644	37.8345498783
BZZ01_RS11360_WP_087539748.1	087539748_Contig_4178_Len561	561	33.6898395722
BZZ01_RS26845_WP_087543458.1	087543458_Contig_4936_Len399	399	42.8571428571
BZZ01_RS00040_WP_087545819.1	087545819_Contig_2315_Len1029	1029	48.1049562682
BZZ01_RS01740_WP_087537849.1	087537849_Contig_1900_Len1146	1146	45.2006980803
BZZ01_RS24100_WP_087542607.1	087542607_Contig_2231_Len1053	1053	41.5954415954
BZZ01_RS21920_WP_087542241.1	087542241_Contig_3692_Len678	678	48.0825958702
BZZ01_RS27940_WP_087543883.1	087543883_Contig_5194_Len348	348	41.9540229885
BZZ01_RS01130_WP_087537743.1	087537743_Contig_62_Len4101	4101	46.0131675201
BZZ01_RS31845_WP_087545393.1	087545393_Contig_5813_Len228	228	45.1754385965
BZZ01_RS21185_WP_087542117.1	087542117_Contig_4707_Len450	450	32.0
BZZ01_RS27100_WP_087543553.1	087543553_Contig_3453_Len735	735	45.7142857143
BZZ01_RS15400_WP_087541150.1	087541150_Contig_56_Len4218	4218	41.4414414414
BZZ01_RS30985_WP_087545064.1	087545064_Contig_857_Len1596	1596	44.3609022556
BZZ01_RS00625_WP_087537653.1	087537653_Contig_3624_Len690	690	43.9130434783
BZZ01_RS31095_WP_087545101.1	087545101_Contig_2686_Len927	927	45.4153182309
BZZ01_RS28940_WP_087544292.1	087544292_Contig_5352_Len315	315	44.4444444444
BZZ01_RS31290_WP_087545179.1	087545179_Contig_6080_Len186	186	37.6344086022
BZZ01_RS17025_WP_087541413.1	087541413_Contig_5142_Len357	357	41.7366946779
BZZ01_RS31840_WP_087545391.1	087545391_Contig_1498_Len1281	1281	47.2287275566
BZZ01_RS19935_WP_087541912.1	087541912_Contig_5968_Len201	201	33.3333333333
BZZ01_RS31575_WP_087545295.1	087545295_Contig_1848_Len1164	1164	45.7903780069
BZZ01_RS03055_WP_087538071.1	087538071_Contig_608_Len1863	1863	45.1959205582
BZZ01_RS02720_WP_087538016.1	087538016_Contig_2432_Len990	990	38.5858585859
BZZ01_RS08365_WP_087538973.1	087538973_Contig_3878_Len633	633	41.5481832543
BZZ01_RS13170_WP_087546163.1	087546163_Contig_2759_Len906	906	43.7086092715
BZZ01_RS32265_WP_087545626.1	087545626_Contig_3409_Len747	747	46.3186077644
BZZ01_RS01095_WP_087537737.1	087537737_Contig_4036_Len594	594	43.0976430976
BZZ01_RS13535_WP_087540576.1	087540576_Contig_3797_Len651	651	43.7788018433
BZZ01_RS24695_WP_087542710.1	087542710_Contig_5388_Len306	306	38.5620915033
BZZ01_RS11675_WP_087539865.1	087539865_Contig_1438_Len1299	1299	43.4949961509
BZZ01_RS26970_WP_087543502.1	087543502_Contig_778_Len1662	1662	44.7051744886
BZZ01_RS12925_WP_087540339.1	087540339_Contig_5415_Len300	300	46.0
BZZ01_RS07205_WP_087538774.1	087538774_Contig_77_Len3816	3816	41.8238993711
BZZ01_RS26770_WP_087543431.1	087543431_Contig_655_Len1797	1797	39.2320534224
BZZ01_RS03540_WP_087538150.1	087538150_Contig_5442_Len291	291	41.2371134021
BZZ01_RS12700_WP_087546154.1	087546154_Contig_1389_Len1320	1320	36.3636363636
BZZ01_RS10515_WP_087539441.1	087539441_Contig_777_Len1662	1662	35.8604091456
BZZ01_RS11310_WP_087539727.1	087539727_Contig_2962_Len855	855	44.9122807018
BZZ01_RS13230_WP_087540458.1	087540458_Contig_3602_Len696	696	47.1264367816
BZZ01_RS26345_WP_087546390.1	087546390_Contig_1087_Len1455	1455	44.6735395189
BZZ01_RS05280_WP_087538447.1	087538447_Contig_4863_Len414	414	44.9275362319
BZZ01_RS29745_WP_087544580.1	087544580_Contig_5196_Len348	348	47.7011494253
BZZ01_RS31380_WP_087545212.1	087545212_Contig_5355_Len315	315	53.9682539683
BZZ01_RS15060_WP_087541097.1	087541097_Contig_6029_Len192	192	40.1041666667
BZZ01_RS26830_WP_087543453.1	087543453_Contig_3044_Len837	837	44.5639187575
BZZ01_RS22725_WP_087542380.1	087542380_Contig_4166_Len564	564	43.2624113475
BZZ01_RS32740_WP_087546520.1	087546520_Contig_457_Len2133	2133	42.8973277075
BZZ01_RS16460_WP_087541325.1	087541325_Contig_5777_Len234	234	43.5897435897
BZZ01_RS28410_WP_087544075.1	087544075_Contig_100_Len3564	3564	47.0258136925
BZZ01_RS03970_WP_087538224.1	087538224_Contig_3353_Len759	759	42.0289855072
BZZ01_RS17310_WP_087541466.1	087541466_Contig_477_Len2100	2100	45.4761904762
BZZ01_RS04920_WP_087538387.1	087538387_Contig_3748_Len663	663	51.5837104072
BZZ01_RS11810_WP_087537560.1	087537560_Contig_1920_Len1143	1143	34.9081364829
BZZ01_RS21035_WP_087542096.1	087542096_Contig_1861_Len1158	1158	46.0276338515
BZZ01_RS16540_WP_087541338.1	087541338_Contig_3195_Len798	798	45.1127819549
BZZ01_RS18470_WP_087541662.1	087541662_Contig_5938_Len207	207	44.9275362319
BZZ01_RS01035_WP_087537726.1	087537726_Contig_2211_Len1056	1056	37.5
BZZ01_RS20975_WP_087542086.1	087542086_Contig_2161_Len1071	1071	46.8720821662
BZZ01_RS00720_WP_087537670.1	087537670_Contig_1725_Len1188	1188	44.9494949495
