Original Name	New Name	Seq Length	 Seq GC
CA741_RS27150_WP_045872103.1	045872103_Contig_6250_Len360	360	45.8333333333
CA741_RS22210_WP_045868778.1	045868778_Contig_3690_Len813	813	40.467404674
CA741_RS14385_WP_081583914.1	081583914_Contig_4905_Len579	579	42.1416234888
CA741_RS00870_WP_045870617.1	045870617_Contig_4205_Len708	708	41.1016949153
CA741_RS21805_WP_045873384.1	045873384_Contig_6269_Len357	357	42.5770308123
CA741_RS12875_WP_045871219.1	045871219_Contig_750_Len2034	2034	40.3638151426
CA741_RS40090_WP_045874851.1	045874851_Contig_7571_Len186	186	34.4086021505
CA741_RS07255_WP_052335206.1	052335206_Contig_6045_Len387	387	40.3100775194
CA741_RS26360_WP_045871973.1	045871973_Contig_2222_Len1182	1182	43.8240270728
CA741_RS30795_WP_045869069.1	045869069_Contig_1198_Len1599	1599	43.0894308943
CA741_RS18155_WP_045868903.1	045868903_Contig_1442_Len1461	1461	41.4784394251
CA741_RS04530_WP_045869755.1	045869755_Contig_5284_Len507	507	40.4339250493
CA741_RS01535_WP_045870421.1	045870421_Contig_3314_Len894	894	43.8478747204
CA741_RS40110_WP_045874848.1	045874848_Contig_2469_Len1113	1113	42.2282120395
CA741_RS37835_WP_045871621.1	045871621_Contig_5552_Len462	462	39.1774891775
CA741_RS01495_WP_045870426.1	045870426_Contig_2843_Len1008	1008	41.4682539683
CA741_RS02015_WP_045870530.1	045870530_Contig_1196_Len1599	1599	47.5922451532
CA741_RS32740_WP_045874463.1	045874463_Contig_6004_Len393	393	39.9491094148
CA741_RS28505_WP_045872485.1	045872485_Contig_7187_Len222	222	45.045045045
CA741_RS36220_WP_045873706.1	045873706_Contig_3915_Len771	771	41.504539559
CA741_RS36325_WP_045873688.1	045873688_Contig_4139_Len723	723	38.4508990318
CA741_RS23870_WP_045867805.1	045867805_Contig_2522_Len1098	1098	41.5300546448
CA741_RS08910_WP_045871557.1	045871557_Contig_6449_Len327	327	29.6636085627
CA741_RS28265_WP_081584094.1	081584094_Contig_5955_Len399	399	29.0726817043
CA741_RS17490_WP_045868454.1	045868454_Contig_3170_Len930	930	40.752688172
CA741_RS11080_WP_045870830.1	045870830_Contig_5355_Len495	495	46.0606060606
CA741_RS15410_WP_045872290.1	045872290_Contig_1924_Len1284	1284	43.5358255452
CA741_RS38465_WP_045873619.1	045873619_Contig_7346_Len207	207	42.9951690821
CA741_RS06155_WP_045871082.1	045871082_Contig_5971_Len396	396	36.3636363636
CA741_RS06220_WP_045873874.1	045873874_Contig_4741_Len609	609	38.0952380952
CA741_RS35375_WP_082720529.1	082720529_Contig_3665_Len819	819	43.5897435897
CA741_RS02380_WP_045870279.1	045870279_Contig_6291_Len351	351	43.0199430199
CA741_RS28405_WP_045872500.1	045872500_Contig_4324_Len687	687	40.3202328967
CA741_RS12120_WP_045873105.1	045873105_Contig_1686_Len1362	1362	44.5668135095
CA741_RS01285_WP_045870463.1	045870463_Contig_3592_Len831	831	46.8110709988
CA741_RS31925_WP_045869499.1	045869499_Contig_838_Len1899	1899	36.7035281727
CA741_RS33830_WP_045872875.1	045872875_Contig_1102_Len1668	1668	31.7745803357
CA741_RS11175_WP_045870815.1	045870815_Contig_2835_Len1011	1011	37.5865479723
CA741_RS32625_WP_045869850.1	045869850_Contig_6234_Len363	363	39.6694214876
CA741_RS12505_WP_045871279.1	045871279_Contig_2342_Len1149	1149	42.1235857267
CA741_RS14030_WP_045868711.1	045868711_Contig_4903_Len579	579	50.7772020725
CA741_RS24260_WP_045869406.1	045869406_Contig_350_Len2799	2799	41.9078242229
CA741_RS38555_WP_052335508.1	052335508_Contig_3456_Len861	861	40.7665505226
CA741_RS24160_WP_045867852.1	045867852_Contig_896_Len1833	1833	43.6988543372
CA741_RS27830_WP_045872597.1	045872597_Contig_956_Len1782	1782	39.7306397306
CA741_RS23295_WP_096621957.1	096621957_Contig_7421_Len198	198	45.4545454545
CA741_RS39030_WP_045874287.1	045874287_Contig_5703_Len438	438	44.5205479452
CA741_RS15625_WP_045872253.1	045872253_Contig_1148_Len1632	1632	42.5245098039
CA741_RS28285_WP_045872519.1	045872519_Contig_2526_Len1098	1098	44.5355191257
CA741_RS07890_WP_052335175.1	052335175_Contig_5443_Len480	480	36.4583333333
CA741_RS04490_WP_052335146.1	052335146_Contig_5471_Len474	474	42.8270042194
CA741_RS23085_WP_045867678.1	045867678_Contig_2268_Len1170	1170	41.7948717949
CA741_RS05360_WP_045867459.1	045867459_Contig_5492_Len471	471	39.2781316348
CA741_RS17965_WP_045868908.1	045868908_Contig_3675_Len816	816	39.4607843137
CA741_RS33945_WP_045872855.1	045872855_Contig_1186_Len1608	1608	37.5
CA741_RS02955_WP_045874348.1	045874348_Contig_3078_Len951	951	39.8527865405
CA741_RS02335_WP_045870288.1	045870288_Contig_5036_Len555	555	38.1981981982
CA741_RS16350_WP_096621848.1	096621848_Contig_1414_Len1473	1473	42.1588594705
CA741_RS04235_WP_045869801.1	045869801_Contig_7259_Len213	213	38.0281690141
CA741_RS13365_WP_045871063.1	045871063_Contig_443_Len2586	2586	38.437741686
CA741_RS24690_WP_045869951.1	045869951_Contig_5629_Len447	447	45.8612975391
CA741_RS05760_WP_045874629.1	045874629_Contig_5142_Len537	537	39.47858473
CA741_RS02635_WP_045874405.1	045874405_Contig_4617_Len633	633	36.1769352291
CA741_RS02195_WP_045870313.1	045870313_Contig_5470_Len474	474	36.7088607595
CA741_RS01540_WP_045870420.1	045870420_Contig_1968_Len1266	1266	41.9431279621
CA741_RS34905_WP_045871429.1	045871429_Contig_3312_Len897	897	43.4782608696
CA741_RS39810_WP_045874689.1	045874689_Contig_4999_Len564	564	37.5886524823
CA741_RS19485_WP_096621910.1	096621910_Contig_3106_Len948	948	40.7172995781
CA741_RS34505_WP_045872753.1	045872753_Contig_1254_Len1563	1563	41.650671785
CA741_RS22450_WP_045868784.1	045868784_Contig_2751_Len1032	1032	40.8914728682
CA741_RS19305_WP_045868146.1	045868146_Contig_6055_Len387	387	42.6356589147
CA741_RS20330_WP_045867983.1	045867983_Contig_5342_Len498	498	34.5381526104
CA741_RS20725_WP_052335045.1	052335045_Contig_965_Len1773	1773	43.1472081218
CA741_RS34025_WP_045872840.1	045872840_Contig_2981_Len975	975	43.0769230769
CA741_RS18105_WP_045868905.1	045868905_Contig_7551_Len186	186	51.6129032258
CA741_RS19025_WP_096621905.1	096621905_Contig_2465_Len1113	1113	45.1931716083
CA741_RS22495_WP_045867574.1	045867574_Contig_366_Len2748	2748	40.6113537118
CA741_RS09205_WP_045871513.1	045871513_Contig_6936_Len252	252	42.4603174603
CA741_RS05570_WP_045867496.1	045867496_Contig_1520_Len1425	1425	45.0526315789
CA741_RS06540_WP_045873925.1	045873925_Contig_1409_Len1473	1473	38.9680923286
CA741_RS06690_WP_045873952.1	045873952_Contig_5750_Len429	429	32.8671328671
CA741_RS38155_WP_045871077.1	045871077_Contig_5919_Len405	405	39.5061728395
CA741_RS26410_WP_045871981.1	045871981_Contig_4972_Len567	567	40.7407407407
CA741_RS35870_WP_071846793.1	071846793_Contig_1453_Len1455	1455	40.824742268
CA741_RS28860_WP_045869392.1	045869392_Contig_5984_Len396	396	42.6767676768
CA741_RS38330_WP_045873601.1	045873601_Contig_2379_Len1137	1137	36.4995602463
CA741_RS28030_WP_081584091.1	081584091_Contig_309_Len2937	2937	43.8202247191
CA741_RS35900_WP_045873756.1	045873756_Contig_5383_Len492	492	43.0894308943
CA741_RS09330_WP_045871496.1	045871496_Contig_2674_Len1053	1053	33.6182336182
CA741_RS16370_WP_045870554.1	045870554_Contig_1670_Len1368	1368	41.7397660819
CA741_RS12085_WP_045873112.1	045873112_Contig_3000_Len969	969	41.4860681115
CA741_RS17115_WP_045868509.1	045868509_Contig_2219_Len1182	1182	37.9018612521
CA741_RS06935_WP_045870757.1	045870757_Contig_5525_Len465	465	45.8064516129
CA741_RS39950_WP_045874717.1	045874717_Contig_5324_Len501	501	40.119760479
CA741_RS19205_WP_045868163.1	045868163_Contig_430_Len2613	2613	45.9624952162
CA741_RS37700_WP_045871717.1	045871717_Contig_1666_Len1371	1371	44.9307075128
CA741_RS21360_WP_045873310.1	045873310_Contig_2533_Len1095	1095	36.3470319635
CA741_RS30830_WP_096622049.1	096622049_Contig_1359_Len1500	1500	44.0666666667
CA741_RS35475_WP_045873818.1	045873818_Contig_6408_Len336	336	50.0
CA741_RS07820_WP_045870193.1	045870193_Contig_6196_Len366	366	38.7978142077
CA741_RS34920_WP_045871432.1	045871432_Contig_6741_Len282	282	45.0354609929
CA741_RS22265_WP_045867536.1	045867536_Contig_6327_Len348	348	40.5172413793
CA741_RS34350_WP_045872782.1	045872782_Contig_6482_Len324	324	37.962962963
CA741_RS29070_WP_045869359.1	045869359_Contig_3789_Len795	795	35.2201257862
CA741_RS05885_WP_096621648.1	096621648_Contig_5082_Len549	549	45.9016393443
CA741_RS40720_WP_045873535.1	045873535_Contig_5509_Len471	471	47.5583864119
CA741_RS11800_WP_045873151.1	045873151_Contig_1277_Len1545	1545	48.1553398058
CA741_RS06275_WP_045873980.1	045873980_Contig_3358_Len882	882	43.7641723356
CA741_RS20025_WP_045868026.1	045868026_Contig_1578_Len1404	1404	43.9458689459
CA741_RS04105_WP_045869824.1	045869824_Contig_7502_Len189	189	44.9735449735
CA741_RS34140_WP_045872821.1	045872821_Contig_1780_Len1329	1329	38.8261851016
CA741_RS40415_WP_045874673.1	045874673_Contig_999_Len1749	1749	42.538593482
CA741_RS38810_WP_045875012.1	045875012_Contig_7436_Len198	198	44.9494949495
CA741_RS08300_WP_045874128.1	045874128_Contig_7510_Len189	189	38.6243386243
CA741_RS08175_WP_045870246.1	045870246_Contig_3749_Len801	801	41.1985018727
CA741_RS11540_WP_045873053.1	045873053_Contig_160_Len3588	3588	40.1616499443
CA741_RS05385_WP_045868772.1	045868772_Contig_2685_Len1050	1050	45.5238095238
CA741_RS11760_WP_045873145.1	045873145_Contig_7606_Len180	180	39.4444444444
CA741_RS33965_WP_045872851.1	045872851_Contig_1718_Len1350	1350	41.7777777778
CA741_RS09545_WP_071989494.1	071989494_Contig_5333_Len498	498	43.7751004016
CA741_RS30610_WP_052335118.1	052335118_Contig_2669_Len1056	1056	47.5378787879
CA741_RS04065_WP_045869832.1	045869832_Contig_2019_Len1248	1248	48.3173076923
CA741_RS21120_WP_045873277.1	045873277_Contig_6738_Len282	282	38.2978723404
CA741_RS23090_WP_045867679.1	045867679_Contig_6379_Len339	339	49.5575221239
CA741_RS02060_WP_045870336.1	045870336_Contig_2408_Len1125	1125	35.7333333333
CA741_RS17985_WP_045868372.1	045868372_Contig_2645_Len1062	1062	42.4670433145
CA741_RS01795_WP_045870379.1	045870379_Contig_2567_Len1083	1083	48.4764542936
CA741_RS27635_WP_045872628.1	045872628_Contig_6719_Len285	285	43.5087719298
CA741_RS39280_WP_045874250.1	045874250_Contig_2699_Len1050	1050	37.4285714286
CA741_RS20140_WP_045868009.1	045868009_Contig_7450_Len195	195	43.0769230769
CA741_RS07180_WP_045870708.1	045870708_Contig_1494_Len1434	1434	44.5606694561
CA741_RS05415_WP_045867468.1	045867468_Contig_6617_Len300	300	39.3333333333
CA741_RS33225_WP_045872981.1	045872981_Contig_224_Len3288	3288	41.6666666667
CA741_RS01180_WP_052335194.1	052335194_Contig_310_Len2934	2934	37.2188139059
CA741_RS27835_WP_045872596.1	045872596_Contig_7369_Len204	204	42.1568627451
CA741_RS02250_WP_045870304.1	045870304_Contig_5035_Len555	555	41.6216216216
CA741_RS31595_WP_045869553.1	045869553_Contig_563_Len2277	2277	42.5999121651
CA741_RS38915_WP_096622378.1	096622378_Contig_54_Len5376	5376	43.3779761905
CA741_RS02855_WP_045874365.1	045874365_Contig_4631_Len630	630	46.1904761905
CA741_RS35880_WP_045873759.1	045873759_Contig_4916_Len579	579	45.5958549223
CA741_RS07315_WP_096621693.1	096621693_Contig_6046_Len387	387	43.1524547804
CA741_RS11835_WP_045873156.1	045873156_Contig_7381_Len201	201	35.3233830846
CA741_RS11235_WP_045870805.1	045870805_Contig_3686_Len813	813	43.5424354244
CA741_RS30730_WP_045869081.1	045869081_Contig_3840_Len786	786	44.7837150127
CA741_RS31745_WP_045869529.1	045869529_Contig_4337_Len684	684	39.9122807018
CA741_RS39220_WP_045874259.1	045874259_Contig_4701_Len618	618	36.7313915858
CA741_RS13830_WP_045868739.1	045868739_Contig_6509_Len318	318	38.9937106918
CA741_RS21660_WP_045873356.1	045873356_Contig_6394_Len336	336	43.1547619048
CA741_RS24395_WP_045869427.1	045869427_Contig_6923_Len255	255	40.7843137255
