Original Name	New Name	Seq Length	 Seq GC
CRC_RS13625_WP_006278442.1	006278442_Contig_200_Len2067	2067	39.4291243348
CRC_RS06865_WP_006276941.1	006276941_Contig_872_Len1188	1188	39.3097643098
CRC_RS06580_WP_006276878.1	006276878_Contig_529_Len1467	1467	38.854805726
CRC_RS00495_WP_006275636.1	006275636_Contig_3077_Len204	204	42.6470588235
CRC_RS16175_WP_040010235.1	040010235_Contig_2849_Len285	285	38.2456140351
CRC_RS08960_WP_006277411.1	006277411_Contig_1256_Len987	987	41.9452887538
CRC_RS03185_WP_040008247.1	040008247_Contig_440_Len1554	1554	41.8918918919
CRC_RS15240_WP_006278773.1	006278773_Contig_1660_Len786	786	38.9312977099
CRC_RS16000_WP_040010207.1	040010207_Contig_1617_Len801	801	42.4469413233
CRC_RS11590_WP_040009530.1	040009530_Contig_2134_Len600	600	38.8333333333
CRC_RS18455_WP_081454719.1	081454719_Contig_2904_Len261	261	47.1264367816
CRC_RS09655_WP_006277574.1	006277574_Contig_1611_Len807	807	42.9987608426
CRC_RS00415_WP_006275620.1	006275620_Contig_2884_Len270	270	46.6666666667
CRC_RS06195_WP_006276799.1	006276799_Contig_2921_Len258	258	38.7596899225
CRC_RS03220_WP_006276190.1	006276190_Contig_1467_Len873	873	42.6116838488
CRC_RS15745_WP_006278882.1	006278882_Contig_1842_Len726	726	41.5977961433
CRC_RS14950_WP_006278715.1	006278715_Contig_715_Len1299	1299	47.2671285604
CRC_RS06895_WP_006276947.1	006276947_Contig_3065_Len207	207	42.5120772947
CRC_RS08400_WP_006277275.1	006277275_Contig_1913_Len693	693	39.1053391053
CRC_RS00670_WP_006275673.1	006275673_Contig_2841_Len291	291	43.2989690722
CRC_RS14620_WP_006278647.1	006278647_Contig_2474_Len447	447	38.0313199105
CRC_RS07660_WP_006277113.1	006277113_Contig_2712_Len345	345	41.1594202899
CRC_RS12630_WP_006278227.1	006278227_Contig_1709_Len774	774	44.315245478
CRC_RS13110_WP_074404716.1	074404716_Contig_1419_Len894	894	37.1364653244
CRC_RS14415_WP_040010015.1	040010015_Contig_1805_Len738	738	40.9214092141
CRC_RS12290_WP_006278158.1	006278158_Contig_392_Len1602	1602	35.6429463171
CRC_RS15855_WP_100068188.1	100068188_Contig_3040_Len216	216	41.6666666667
CRC_RS08570_WP_006277314.1	006277314_Contig_2888_Len267	267	43.4456928839
CRC_RS07185_WP_006277011.1	006277011_Contig_2232_Len549	549	41.7122040073
CRC_RS00475_WP_040007867.1	040007867_Contig_1148_Len1038	1038	44.1233140655
CRC_RS04370_WP_006276428.1	006276428_Contig_208_Len2046	2046	42.5219941349
CRC_RS01435_WP_006275834.1	006275834_Contig_2708_Len348	348	37.6436781609
CRC_RS09725_WP_006277590.1	006277590_Contig_2412_Len468	468	34.8290598291
CRC_RS12680_WP_006278237.1	006278237_Contig_2557_Len411	411	41.3625304136
CRC_RS09230_WP_006277476.1	006277476_Contig_3052_Len213	213	41.3145539906
CRC_RS03825_WP_006276314.1	006276314_Contig_2099_Len618	618	38.6731391586
CRC_RS12930_WP_006278292.1	006278292_Contig_2765_Len324	324	37.6543209877
CRC_RS07090_WP_006276991.1	006276991_Contig_2991_Len234	234	38.8888888889
CRC_RS14160_WP_006278554.1	006278554_Contig_2374_Len483	483	41.6149068323
CRC_RS01660_WP_040007966.1	040007966_Contig_1259_Len987	987	42.2492401216
CRC_RS17825_WP_071985094.1	071985094_Contig_3103_Len195	195	45.641025641
CRC_RS13305_WP_006278378.1	006278378_Contig_1492_Len858	858	41.958041958
CRC_RS09675_WP_006277578.1	006277578_Contig_2297_Len516	516	39.9224806202
CRC_RS07865_WP_006277153.1	006277153_Contig_2479_Len447	447	44.2953020134
CRC_RS06040_WP_040008673.1	040008673_Contig_830_Len1215	1215	40.9053497942
CRC_RS14705_WP_006278665.1	006278665_Contig_1023_Len1098	1098	36.7941712204
CRC_RS16935_WP_006279114.1	006279114_Contig_3056_Len210	210	41.9047619048
CRC_RS07935_WP_006277168.1	006277168_Contig_1672_Len783	783	40.7407407407
CRC_RS15775_WP_006278886.1	006278886_Contig_2385_Len477	477	48.427672956
CRC_RS12530_WP_006278208.1	006278208_Contig_701_Len1311	1311	41.647597254
CRC_RS02005_WP_006275949.1	006275949_Contig_1176_Len1020	1020	42.2549019608
CRC_RS12765_WP_006278257.1	006278257_Contig_3001_Len228	228	40.7894736842
CRC_RS07800_WP_006277141.1	006277141_Contig_420_Len1572	1572	44.3384223919
CRC_RS01870_WP_040008060.1	040008060_Contig_1274_Len978	978	41.2065439673
CRC_RS01180_WP_006275780.1	006275780_Contig_2456_Len453	453	44.8123620309
CRC_RS07400_WP_006277058.1	006277058_Contig_1005_Len1110	1110	45.6756756757
CRC_RS09395_WP_006277509.1	006277509_Contig_2975_Len237	237	42.194092827
CRC_RS04965_WP_006276547.1	006276547_Contig_1422_Len894	894	45.5257270694
CRC_RS10490_WP_006277788.1	006277788_Contig_1757_Len756	756	41.2698412698
CRC_RS16850_WP_006279097.1	006279097_Contig_936_Len1158	1158	41.0189982729
CRC_RS11765_WP_006278048.1	006278048_Contig_60_Len3060	3060	39.0522875817
CRC_RS01820_WP_006275912.1	006275912_Contig_2170_Len588	588	43.0272108844
CRC_RS02940_WP_006276137.1	006276137_Contig_1092_Len1068	1068	42.6966292135
