Original Name	New Name	Seq Length	 Seq GC
BV106_RS35635_WP_051945891.1	051945891_Contig_721_Len2031	2031	62.136878385
BV106_RS09555_WP_038163844.1	038163844_Contig_43_Len5109	5109	60.2466236054
BV106_RS13595_WP_038165517.1	038165517_Contig_3799_Len765	765	66.4052287582
BV106_RS16135_WP_038166404.1	038166404_Contig_3037_Len933	933	57.0203644159
BV106_RS09605_WP_038163884.1	038163884_Contig_593_Len2202	2202	62.4886466848
BV106_RS13480_WP_038165425.1	038165425_Contig_2589_Len1047	1047	64.0878701051
BV106_RS28425_WP_038170416.1	038170416_Contig_6623_Len198	198	54.5454545455
BV106_RS23330_WP_081892160.1	081892160_Contig_3_Len12735	12735	56.8983117393
BV106_RS14145_WP_081891725.1	081891725_Contig_1516_Len1407	1407	60.1990049751
BV106_RS28865_WP_081892412.1	081892412_Contig_50_Len4941	4941	61.6879174256
BV106_RS17500_WP_038166851.1	038166851_Contig_1289_Len1503	1503	61.9427811045
BV106_RS28670_WP_038170485.1	038170485_Contig_2334_Len1122	1122	58.0213903743
BV106_RS23820_WP_081892187.1	081892187_Contig_2597_Len1044	1044	58.4291187739
BV106_RS09420_WP_038163795.1	038163795_Contig_2772_Len999	999	61.3613613614
BV106_RS17960_WP_051946014.1	051946014_Contig_2389_Len1107	1107	64.4083107498
BV106_RS35345_WP_081891633.1	081891633_Contig_838_Len1875	1875	59.9466666667
BV106_RS30150_WP_038171092.1	038171092_Contig_2794_Len990	990	62.9292929293
BV106_RS11990_WP_038164795.1	038164795_Contig_6373_Len267	267	63.670411985
BV106_RS33310_WP_051946838.1	051946838_Contig_508_Len2352	2352	58.7159863946
BV106_RS16635_WP_038166531.1	038166531_Contig_3173_Len906	906	61.3686534216
BV106_RS11050_WP_038164448.1	038164448_Contig_5668_Len417	417	56.5947242206
BV106_RS04035_WP_038160871.1	038160871_Contig_5914_Len375	375	58.1333333333
BV106_RS30300_WP_038171121.1	038171121_Contig_730_Len2010	2010	61.9900497512
BV106_RS31570_WP_038171586.1	038171586_Contig_4302_Len663	663	61.9909502262
BV106_RS18635_WP_038167152.1	038167152_Contig_27_Len5757	5757	60.2397081813
BV106_RS08555_WP_038163393.1	038163393_Contig_1663_Len1350	1350	60.6666666667
BV106_RS21440_WP_038168111.1	038168111_Contig_2658_Len1031	1031	61.9786614937
BV106_RS25065_WP_081892247.1	081892247_Contig_3436_Len846	846	64.8936170213
BV106_RS26880_WP_038169928.1	038169928_Contig_1651_Len1353	1353	59.0539541759
BV106_RS12345_WP_038164949.1	038164949_Contig_6365_Len270	270	63.3333333333
BV106_RS32420_WP_038171860.1	038171860_Contig_6466_Len240	240	60.4166666667
BV106_RS02130_WP_038159767.1	038159767_Contig_1187_Len1572	1572	60.6234096692
BV106_RS31850_WP_051946670.1	051946670_Contig_5224_Len483	483	61.4906832298
BV106_RS24545_WP_038169159.1	038169159_Contig_3316_Len876	876	60.9589041096
BV106_RS25185_WP_038169311.1	038169311_Contig_3340_Len870	870	53.6781609195
BV106_RS18160_WP_038167045.1	038167045_Contig_3868_Len750	750	62.0
BV106_RS29895_WP_038170945.1	038170945_Contig_1741_Len1320	1320	62.8787878788
BV106_RS15010_WP_038165999.1	038165999_Contig_4738_Len576	576	61.2847222222
BV106_RS20260_WP_038167586.1	038167586_Contig_2986_Len942	942	49.2569002123
BV106_RS35225_WP_051945356.1	051945356_Contig_5120_Len504	504	54.9603174603
BV106_RS21350_WP_038168045.1	038168045_Contig_2541_Len1062	1062	65.5367231638
BV106_RS26000_WP_081892285.1	081892285_Contig_3962_Len729	729	53.9094650206
BV106_RS18540_WP_038167140.1	038167140_Contig_3237_Len894	894	58.836689038
BV106_RS33410_WP_051946850.1	051946850_Contig_71_Len4287	4287	61.6048518778
BV106_RS33180_WP_038172196.1	038172196_Contig_645_Len2133	2133	62.2597280825
BV106_RS07985_WP_038163058.1	038163058_Contig_3192_Len903	903	63.8981173865
BV106_RS26915_WP_051946382.1	051946382_Contig_5005_Len525	525	64.0
BV106_RS20405_WP_038167621.1	038167621_Contig_4808_Len564	564	56.2056737589
BV106_RS04440_WP_081891515.1	081891515_Contig_1095_Len1641	1641	63.5588056063
BV106_RS06065_WP_081891548.1	081891548_Contig_4233_Len678	678	62.2418879056
BV106_RS07430_WP_038162761.1	038162761_Contig_3113_Len918	918	62.091503268
BV106_RS36245_WP_051946328.1	051946328_Contig_130_Len3711	3711	62.7324171382
BV106_RS10690_WP_038164302.1	038164302_Contig_4250_Len675	675	65.037037037
BV106_RS31515_WP_038171551.1	038171551_Contig_1725_Len1326	1326	63.7254901961
BV106_RS03815_WP_051944981.1	051944981_Contig_1076_Len1662	1662	63.8387484958
BV106_RS24255_WP_081892201.1	081892201_Contig_6130_Len324	324	62.962962963
BV106_RS31050_WP_051946606.1	051946606_Contig_1248_Len1527	1527	64.9639816634
BV106_RS15740_WP_038166229.1	038166229_Contig_139_Len3630	3630	59.0358126722
BV106_RS26990_WP_038169967.1	038169967_Contig_47_Len4989	4989	59.8717177791
BV106_RS37070_WP_081891523.1	081891523_Contig_4777_Len570	570	65.2631578947
BV106_RS02890_WP_038160235.1	038160235_Contig_2757_Len1005	1005	65.3731343284
BV106_RS30555_WP_038171233.1	038171233_Contig_5902_Len375	375	62.6666666667
BV106_RS24390_WP_081892209.1	081892209_Contig_5262_Len477	477	61.4255765199
BV106_RS23185_WP_081892150.1	081892150_Contig_1762_Len1311	1311	49.885583524
BV106_RS18360_WP_038167106.1	038167106_Contig_4970_Len531	531	50.0941619586
BV106_RS15125_WP_038166036.1	038166036_Contig_6337_Len276	276	57.6086956522
BV106_RS18705_WP_038167273.1	038167273_Contig_4295_Len666	666	59.3093093093
BV106_RS18740_WP_038167275.1	038167275_Contig_5778_Len399	399	58.8972431078
BV106_RS14415_WP_038165736.1	038165736_Contig_6587_Len210	210	57.1428571429
BV106_RS27535_WP_038170151.1	038170151_Contig_6403_Len258	258	62.7906976744
BV106_RS09360_WP_051945504.1	051945504_Contig_461_Len2457	2457	66.625966626
BV106_RS08370_WP_081891614.1	081891614_Contig_810_Len1893	1893	66.6666666667
BV106_RS34125_WP_081892558.1	081892558_Contig_1732_Len1323	1323	57.671957672
BV106_RS21485_WP_038168123.1	038168123_Contig_2912_Len960	960	61.1458333333
BV106_RS14390_WP_009959822.1	009959822_Contig_6597_Len207	207	61.3526570048
BV106_RS08535_WP_038163385.1	038163385_Contig_6637_Len195	195	52.8205128205
BV106_RS03420_WP_038160517.1	038160517_Contig_4312_Len663	663	61.5384615385
BV106_RS22865_WP_038168606.1	038168606_Contig_3077_Len924	924	58.4415584416
BV106_RS28250_WP_051946436.1	051946436_Contig_1410_Len1449	1449	59.2132505176
BV106_RS16975_WP_081891830.1	081891830_Contig_2988_Len942	942	62.101910828
BV106_RS35495_WP_081891699.1	081891699_Contig_5627_Len423	423	61.938534279
BV106_RS34215_WP_081892576.1	081892576_Contig_4382_Len648	648	59.1049382716
BV106_RS03370_WP_051944929.1	051944929_Contig_4298_Len666	666	64.5645645646
BV106_RS37050_WP_081891511.1	081891511_Contig_3440_Len846	846	56.2647754137
BV106_RS06705_WP_038162369.1	038162369_Contig_1377_Len1461	1461	64.2710472279
BV106_RS03435_WP_038160523.1	038160523_Contig_6149_Len321	321	56.3862928349
BV106_RS21970_WP_038168281.1	038168281_Contig_5051_Len516	516	60.2713178295
BV106_RS31255_WP_081892485.1	081892485_Contig_5021_Len522	522	55.1724137931
BV106_RS30025_WP_038171053.1	038171053_Contig_5990_Len357	357	57.1428571429
BV106_RS27890_WP_038170278.1	038170278_Contig_4339_Len657	657	52.5114155251
BV106_RS31250_WP_038171448.1	038171448_Contig_3640_Len798	798	61.2781954887
BV106_RS21890_WP_038168254.1	038168254_Contig_2648_Len1032	1032	58.2364341085
BV106_RS17925_WP_009960814.1	009960814_Contig_6239_Len303	303	59.4059405941
BV106_RS08840_WP_081891616.1	081891616_Contig_4394_Len648	648	56.3271604938
BV106_RS35480_WP_051945701.1	051945701_Contig_2101_Len1197	1197	64.4110275689
BV106_RS18020_WP_038167013.1	038167013_Contig_6143_Len321	321	55.4517133956
BV106_RS15640_WP_038166206.1	038166206_Contig_5721_Len408	408	56.3725490196
BV106_RS09005_WP_038163609.1	038163609_Contig_6575_Len213	213	54.9295774648
BV106_RS04135_WP_038160909.1	038160909_Contig_777_Len1950	1950	63.4358974359
BV106_RS37370_WP_081891850.1	081891850_Contig_4359_Len654	654	57.4923547401
BV106_RS09275_WP_051945498.1	051945498_Contig_3226_Len897	897	54.8494983278
BV106_RS23430_WP_038168827.1	038168827_Contig_1734_Len1323	1323	59.9395313681
BV106_RS28685_WP_081892391.1	081892391_Contig_3836_Len756	756	62.962962963
BV106_RS10835_WP_038164347.1	038164347_Contig_4352_Len657	657	63.6225266362
BV106_RS20850_WP_038167814.1	038167814_Contig_1338_Len1476	1476	61.8563685637
BV106_RS33160_WP_038172189.1	038172189_Contig_6526_Len222	222	63.5135135135
BV106_RS28015_WP_038170308.1	038170308_Contig_2367_Len1113	1113	63.16262354
BV106_RS04930_WP_038161391.1	038161391_Contig_2994_Len942	942	67.4097664544
BV106_RS05890_WP_038161937.1	038161937_Contig_2079_Len1206	1206	59.1210613599
BV106_RS01580_WP_038159471.1	038159471_Contig_2171_Len1173	1173	61.8073316283
BV106_RS33990_WP_038172561.1	038172561_Contig_354_Len2634	2634	65.1860288535
BV106_RS16075_WP_038166388.1	038166388_Contig_5421_Len456	456	60.3070175439
BV106_RS06560_WP_038162284.1	038162284_Contig_863_Len1848	1848	58.5497835498
BV106_RS19085_WP_038167231.1	038167231_Contig_3064_Len927	927	60.6256742179
BV106_RS19885_WP_081891977.1	081891977_Contig_2804_Len987	987	63.5258358663
BV106_RS08490_WP_038163362.1	038163362_Contig_1166_Len1587	1587	63.0119722747
BV106_RS37720_WP_081892464.1	081892464_Contig_16_Len6522	6522	56.6697332107
BV106_RS08250_WP_038163244.1	038163244_Contig_1015_Len1713	1713	66.433158202
BV106_RS15895_WP_038166259.1	038166259_Contig_4571_Len609	609	53.6945812808
BV106_RS11265_WP_038164514.1	038164514_Contig_1470_Len1425	1425	62.3859649123
BV106_RS27695_WP_081892341.1	081892341_Contig_340_Len2676	2676	67.1150971599
BV106_RS18790_WP_081891918.1	081891918_Contig_1594_Len1377	1377	63.6165577342
BV106_RS13955_WP_038165608.1	038165608_Contig_1376_Len1461	1461	63.1074606434
BV106_RS26055_WP_051946349.1	051946349_Contig_4986_Len528	528	53.9772727273
BV106_RS07400_WP_038162750.1	038162750_Contig_1496_Len1416	1416	61.2994350282
BV106_RS14305_WP_038165701.1	038165701_Contig_410_Len2538	2538	60.8747044917
BV106_RS21655_WP_081892081.1	081892081_Contig_4833_Len558	558	60.9318996416
BV106_RS20045_WP_038167531.1	038167531_Contig_1897_Len1266	1266	61.2164296998
BV106_RS31025_WP_038171398.1	038171398_Contig_1665_Len1347	1347	61.7668893838
BV106_RS29395_WP_009963521.1	009963521_Contig_6456_Len243	243	50.6172839506
BV106_RS27710_WP_038170211.1	038170211_Contig_4628_Len597	597	63.3165829146
BV106_RS00595_WP_038158880.1	038158880_Contig_4235_Len678	678	60.9144542773
BV106_RS01575_WP_038159468.1	038159468_Contig_1380_Len1461	1461	60.0273785079
BV106_RS35650_WP_051945902.1	051945902_Contig_2017_Len1224	1224	61.1928104575
BV106_RS14865_WP_038165863.1	038165863_Contig_1556_Len1389	1389	62.0590352772
BV106_RS01820_WP_038159613.1	038159613_Contig_4638_Len597	597	64.824120603
BV106_RS29570_WP_051946475.1	051946475_Contig_2963_Len948	948	55.6962025316
BV106_RS23045_WP_038168709.1	038168709_Contig_924_Len1791	1791	61.6973757677
BV106_RS01850_WP_038159628.1	038159628_Contig_5916_Len375	375	59.2
BV106_RS23190_WP_038168764.1	038168764_Contig_6670_Len183	183	54.6448087432
BV106_RS11080_WP_038164459.1	038164459_Contig_493_Len2400	2400	62.0833333333
BV106_RS29670_WP_038170880.1	038170880_Contig_2408_Len1101	1101	61.0354223433
BV106_RS05355_WP_038161581.1	038161581_Contig_371_Len2607	2607	63.2144227081
BV106_RS11985_WP_038164792.1	038164792_Contig_6273_Len294	294	61.5646258503
BV106_RS11835_WP_038164739.1	038164739_Contig_5574_Len432	432	66.2037037037
BV106_RS28390_WP_051946453.1	051946453_Contig_4411_Len642	642	60.2803738318
BV106_RS03940_WP_038160794.1	038160794_Contig_3333_Len873	873	65.2920962199
BV106_RS01700_WP_038159560.1	038159560_Contig_3833_Len759	759	59.5520421607
BV106_RS11700_WP_038164684.1	038164684_Contig_3800_Len765	765	59.3464052288
BV106_RS28535_WP_038170439.1	038170439_Contig_801_Len1908	1908	64.0985324948
BV106_RS17285_WP_038166767.1	038166767_Contig_720_Len2031	2031	55.0467749877
BV106_RS08090_WP_038163108.1	038163108_Contig_4173_Len690	690	63.6231884058
BV106_RS36595_WP_051946730.1	051946730_Contig_2427_Len1092	1092	64.9267399267
BV106_RS19020_WP_038167219.1	038167219_Contig_4246_Len675	675	55.8518518519
BV106_RS30460_WP_038171208.1	038171208_Contig_387_Len2568	2568	64.4080996885
BV106_RS17415_WP_038166818.1	038166818_Contig_41_Len5118	5118	58.0890973036
BV106_RS08060_WP_038163096.1	038163096_Contig_2337_Len1122	1122	62.6559714795
BV106_RS06580_WP_051945270.1	051945270_Contig_4760_Len573	573	64.9214659686
BV106_RS29665_WP_081892426.1	081892426_Contig_231_Len3096	3096	55.5555555556
BV106_RS03835_WP_038160748.1	038160748_Contig_479_Len2433	2433	63.0497328401
BV106_RS23620_WP_038168917.1	038168917_Contig_3294_Len882	882	61.9047619048
BV106_RS35640_WP_081891762.1	081891762_Contig_4863_Len552	552	58.6956521739
BV106_RS28750_WP_038170511.1	038170511_Contig_6267_Len294	294	61.5646258503
BV106_RS36275_WP_081892287.1	081892287_Contig_362_Len2622	2622	65.5606407323
BV106_RS22685_WP_038168541.1	038168541_Contig_5396_Len459	459	60.1307189542
BV106_RS25605_WP_038169451.1	038169451_Contig_5538_Len438	438	59.8173515982
BV106_RS13020_WP_038165259.1	038165259_Contig_405_Len2541	2541	64.3447461629
BV106_RS35005_WP_051944972.1	051944972_Contig_5377_Len462	462	63.4199134199
BV106_RS04450_WP_038161094.1	038161094_Contig_6462_Len243	243	56.7901234568
BV106_RS14595_WP_038165794.1	038165794_Contig_1880_Len1272	1272	60.0628930818
BV106_RS13700_WP_038165507.1	038165507_Contig_637_Len2142	2142	64.6591970121
BV106_RS12280_WP_051945693.1	051945693_Contig_3469_Len840	840	50.7142857143
BV106_RS33280_WP_038172221.1	038172221_Contig_6475_Len237	237	58.6497890295
BV106_RS23200_WP_051946228.1	051946228_Contig_1345_Len1473	1473	61.5750169722
BV106_RS02970_WP_038160272.1	038160272_Contig_4331_Len660	660	59.0909090909
BV106_RS37325_WP_081891717.1	081891717_Contig_5779_Len399	399	65.1629072682
BV106_RS07970_WP_038163049.1	038163049_Contig_2861_Len975	975	63.8974358974
BV106_RS29220_WP_051946466.1	051946466_Contig_3903_Len741	741	66.2618083671
BV106_RS22840_WP_038168597.1	038168597_Contig_5036_Len519	519	61.4643545279
BV106_RS20500_WP_038167645.1	038167645_Contig_149_Len3525	3525	60.1985815603
BV106_RS28650_WP_038170478.1	038170478_Contig_6580_Len210	210	62.8571428571
BV106_RS08985_WP_051945462.1	051945462_Contig_3312_Len879	879	61.7747440273
BV106_RS25335_WP_038169347.1	038169347_Contig_3821_Len759	759	60.8695652174
BV106_RS00040_WP_038158558.1	038158558_Contig_5617_Len426	426	59.1549295775
BV106_RS32270_WP_038171820.1	038171820_Contig_1841_Len1281	1281	64.7150663544
BV106_RS12915_WP_038165229.1	038165229_Contig_274_Len2883	2883	67.4991328477
BV106_RS14555_WP_038165783.1	038165783_Contig_156_Len3468	3468	62.8316032295
BV106_RS08510_WP_038163373.1	038163373_Contig_4140_Len696	696	64.367816092
BV106_RS36380_WP_051946441.1	051946441_Contig_919_Len1797	1797	59.3210907067
BV106_RS26415_WP_081892311.1	081892311_Contig_731_Len2010	2010	66.815920398
BV106_RS13420_WP_038165407.1	038165407_Contig_2025_Len1221	1221	61.9164619165
BV106_RS01285_WP_009965182.1	009965182_Contig_6345_Len276	276	61.5942028986
BV106_RS12495_WP_038165078.1	038165078_Contig_5332_Len468	468	58.9743589744
BV106_RS01625_WP_038159515.1	038159515_Contig_635_Len2145	2145	60.6526806527
BV106_RS06985_WP_038162507.1	038162507_Contig_4680_Len588	588	63.0952380952
BV106_RS10390_WP_081891643.1	081891643_Contig_2681_Len1026	1026	65.5945419103
BV106_RS26340_WP_038169769.1	038169769_Contig_221_Len3135	3135	61.307814992
BV106_RS32580_WP_038171895.1	038171895_Contig_5138_Len498	498	57.0281124498
BV106_RS01790_WP_051944770.1	051944770_Contig_3351_Len870	870	61.0344827586
BV106_RS07960_WP_038163042.1	038163042_Contig_5727_Len408	408	61.0294117647
BV106_RS19350_WP_038167338.1	038167338_Contig_6504_Len231	231	57.1428571429
BV106_RS24515_WP_038169109.1	038169109_Contig_3686_Len789	789	62.1039290241
BV106_RS25105_WP_038169284.1	038169284_Contig_377_Len2601	2601	62.2068435217
BV106_RS20100_WP_063767967.1	063767967_Contig_977_Len1749	1749	59.748427673
BV106_RS00770_WP_038158958.1	038158958_Contig_3553_Len819	819	63.4920634921
BV106_RS28770_WP_038170518.1	038170518_Contig_4538_Len615	615	56.2601626016
BV106_RS35025_WP_051945031.1	051945031_Contig_4010_Len723	723	59.8893499308
BV106_RS09015_WP_038163612.1	038163612_Contig_6122_Len327	327	58.7155963303
BV106_RS20000_WP_038167518.1	038167518_Contig_1577_Len1383	1383	61.5328994939
BV106_RS33750_WP_051946898.1	051946898_Contig_1602_Len1371	1371	54.412837345
BV106_RS07775_WP_038162923.1	038162923_Contig_990_Len1737	1737	63.3275762809
BV106_RS18445_WP_038167125.1	038167125_Contig_4358_Len654	654	59.1743119266
BV106_RS27350_WP_063768006.1	063768006_Contig_3735_Len777	777	62.0334620335
BV106_RS20365_WP_038167609.1	038167609_Contig_3048_Len930	930	57.6344086022
BV106_RS03575_WP_038160593.1	038160593_Contig_4285_Len669	669	59.043348281
BV106_RS06930_WP_038162479.1	038162479_Contig_1820_Len1290	1290	64.1085271318
BV106_RS25750_WP_038169499.1	038169499_Contig_1359_Len1467	1467	60.0545330607
BV106_RS20830_WP_038167808.1	038167808_Contig_1548_Len1392	1392	64.2959770115
BV106_RS05110_WP_081891524.1	081891524_Contig_251_Len2988	2988	62.9518072289
BV106_RS16460_WP_038166488.1	038166488_Contig_2872_Len972	972	60.6995884774
BV106_RS35970_WP_051946123.1	051946123_Contig_5199_Len489	489	61.145194274
BV106_RS26030_WP_038169622.1	038169622_Contig_4370_Len651	651	62.2119815668
BV106_RS12865_WP_038165321.1	038165321_Contig_3255_Len891	891	64.1975308642
