Original Name	New Name	Seq Length	 Seq GC
CYAGR_RS03605_WP_015108415.1	015108415_Contig_1017_Len1044	1044	74.0421455939
CYAGR_RS01620_WP_015108015.1	015108015_Contig_653_Len1272	1272	63.0503144654
CYAGR_RS05880_WP_015108871.1	015108871_Contig_1482_Len819	819	72.6495726496
CYAGR_RS04390_WP_043326435.1	043326435_Contig_1087_Len1017	1017	67.0599803343
CYAGR_RS12260_WP_015110148.1	015110148_Contig_2613_Len372	372	70.1612903226
CYAGR_RS10265_WP_015109739.1	015109739_Contig_690_Len1248	1248	70.5929487179
CYAGR_RS01405_WP_015107975.1	015107975_Contig_2846_Len276	276	69.9275362319
CYAGR_RS04665_WP_015108628.1	015108628_Contig_729_Len1215	1215	68.5596707819
CYAGR_RS10130_WP_015109715.1	015109715_Contig_243_Len1836	1836	63.5620915033
CYAGR_RS09790_WP_043326975.1	043326975_Contig_3121_Len195	195	68.2051282051
CYAGR_RS02360_WP_015108163.1	015108163_Contig_1119_Len1005	1005	68.6567164179
CYAGR_RS13695_WP_015110437.1	015110437_Contig_1703_Len723	723	75.9336099585
CYAGR_RS11500_WP_015109987.1	015109987_Contig_1945_Len621	621	73.5909822866
CYAGR_RS14650_WP_015110623.1	015110623_Contig_2855_Len276	276	70.652173913
CYAGR_RS14590_WP_015110611.1	015110611_Contig_2218_Len507	507	68.4418145957
CYAGR_RS00285_WP_015107738.1	015107738_Contig_792_Len1170	1170	67.094017094
CYAGR_RS04050_WP_015108507.1	015108507_Contig_128_Len2202	2202	74.7048138056
CYAGR_RS06850_WP_015109073.1	015109073_Contig_1825_Len675	675	73.6296296296
CYAGR_RS06180_WP_015108935.1	015108935_Contig_3176_Len138	138	73.9130434783
CYAGR_RS04295_WP_083891345.1	083891345_Contig_1206_Len963	963	67.7050882658
CYAGR_RS12235_WP_015110142.1	015110142_Contig_3154_Len183	183	55.1912568306
CYAGR_RS12880_WP_015110270.1	015110270_Contig_1963_Len615	615	74.9593495935
CYAGR_RS11795_WP_015110051.1	015110051_Contig_133_Len2190	2190	73.4246575342
CYAGR_RS05905_WP_015108876.1	015108876_Contig_621_Len1296	1296	76.2345679012
CYAGR_RS05350_WP_015108764.1	015108764_Contig_1306_Len912	912	50.8771929825
CYAGR_RS11080_WP_015109901.1	015109901_Contig_89_Len2469	2469	72.1749696233
CYAGR_RS10690_WP_015109825.1	015109825_Contig_1312_Len909	909	70.4070407041
CYAGR_RS09615_WP_015109610.1	015109610_Contig_2065_Len573	573	57.9406631763
CYAGR_RS07010_WP_015109103.1	015109103_Contig_1169_Len981	981	74.9235474006
CYAGR_RS15015_WP_015110695.1	015110695_Contig_2478_Len417	417	73.6211031175
CYAGR_RS06120_WP_015108923.1	015108923_Contig_1748_Len705	705	74.609929078
CYAGR_RS08195_WP_015109335.1	015109335_Contig_2984_Len240	240	66.25
CYAGR_RS15140_WP_015110720.1	015110720_Contig_1913_Len639	639	72.7699530516
CYAGR_RS04190_WP_015108531.1	015108531_Contig_2839_Len282	282	68.085106383
CYAGR_RS11650_WP_083891388.1	083891388_Contig_1072_Len1023	1023	75.6598240469
CYAGR_RS00005_WP_015107681.1	015107681_Contig_474_Len1437	1437	69.0327070285
CYAGR_RS01785_WP_015108047.1	015108047_Contig_662_Len1266	1266	71.8799368088
CYAGR_RS02005_WP_015108090.1	015108090_Contig_19_Len3531	3531	67.233078448
CYAGR_RS03585_WP_015108411.1	015108411_Contig_1027_Len1038	1038	76.8786127168
CYAGR_RS11900_WP_015110071.1	015110071_Contig_1972_Len612	612	75.6535947712
CYAGR_RS08965_WP_015109482.1	015109482_Contig_1078_Len1020	1020	66.568627451
CYAGR_RS15085_WP_015110709.1	015110709_Contig_1492_Len816	816	78.6764705882
CYAGR_RS05040_WP_015108704.1	015108704_Contig_2103_Len552	552	65.9420289855
CYAGR_RS14780_WP_015110649.1	015110649_Contig_1253_Len945	945	75.5555555556
CYAGR_RS09570_WP_015109603.1	015109603_Contig_829_Len1149	1149	69.8868581375
CYAGR_RS17720_WP_043325462.1	043325462_Contig_208_Len1944	1944	74.3312757202
CYAGR_RS13910_WP_015110478.1	015110478_Contig_1211_Len963	963	70.8203530633
CYAGR_RS13715_WP_015110441.1	015110441_Contig_559_Len1353	1353	71.4708056171
CYAGR_RS05505_WP_015108797.1	015108797_Contig_859_Len1131	1131	76.7462422635
CYAGR_RS07455_WP_043326803.1	043326803_Contig_2570_Len384	384	66.1458333333
CYAGR_RS02590_WP_015108207.1	015108207_Contig_2555_Len387	387	69.5090439276
CYAGR_RS13930_WP_015110482.1	015110482_Contig_2573_Len384	384	69.53125
CYAGR_RS04615_WP_043326463.1	043326463_Contig_3015_Len231	231	70.5627705628
CYAGR_RS01790_WP_043326186.1	043326186_Contig_143_Len2157	2157	72.3690310617
CYAGR_RS15160_WP_015110724.1	015110724_Contig_309_Len1668	1668	63.6091127098
CYAGR_RS13710_WP_015110440.1	015110440_Contig_1117_Len1008	1008	72.9166666667
