Original Name	New Name	Seq Length	 Seq GC
C7B80_RS04910_WP_015154892.1	015154892_Contig_4085_Len588	588	39.9659863946
C7B80_RS16655_WP_015156591.1	015156591_Contig_156_Len2901	2901	51.0168907273
C7B80_RS24675_WP_106218231.1	106218231_Contig_3194_Len798	798	44.8621553885
C7B80_RS33750_WP_015156277.1	015156277_Contig_3469_Len732	732	49.4535519126
C7B80_RS32185_WP_106218851.1	106218851_Contig_5316_Len342	342	40.6432748538
C7B80_RS10945_WP_106217066.1	106217066_Contig_1506_Len1263	1263	52.8899445764
C7B80_RS00335_WP_106216012.1	106216012_Contig_3264_Len780	780	38.7179487179
C7B80_RS05600_WP_106216624.1	106216624_Contig_1001_Len1485	1485	44.7811447811
C7B80_RS08555_WP_106216850.1	106216850_Contig_2761_Len888	888	43.2432432432
C7B80_RS26580_WP_106218401.1	106218401_Contig_6286_Len177	177	38.418079096
C7B80_RS33445_WP_106218988.1	106218988_Contig_1187_Len1392	1392	48.7068965517
C7B80_RS26450_WP_106218381.1	106218381_Contig_4900_Len414	414	46.3768115942
C7B80_RS24935_WP_106218255.1	106218255_Contig_931_Len1524	1524	36.8766404199
C7B80_RS01580_WP_106216113.1	106216113_Contig_4912_Len414	414	49.5169082126
C7B80_RS01770_WP_106216144.1	106216144_Contig_4963_Len402	402	50.9950248756
C7B80_RS25575_WP_015156676.1	015156676_Contig_4826_Len429	429	47.3193473193
C7B80_RS25720_WP_015154758.1	015154758_Contig_5982_Len225	225	47.5555555556
C7B80_RS14015_WP_106170673.1	106170673_Contig_2840_Len873	873	50.1718213058
C7B80_RS27855_WP_015153625.1	015153625_Contig_2200_Len1038	1038	44.6050096339
C7B80_RS07565_WP_106216774.1	106216774_Contig_2819_Len876	876	41.5525114155
C7B80_RS04895_WP_015154895.1	015154895_Contig_2794_Len882	882	43.8775510204
C7B80_RS08095_WP_015152141.1	015152141_Contig_3234_Len786	786	42.7480916031
C7B80_RS04520_WP_041462517.1	041462517_Contig_1097_Len1434	1434	46.3040446304
C7B80_RS04950_WP_015154884.1	015154884_Contig_4327_Len537	537	42.8305400372
C7B80_RS05465_WP_106216571.1	106216571_Contig_3021_Len831	831	40.7942238267
C7B80_RS28495_WP_015153830.1	015153830_Contig_1563_Len1239	1239	43.8256658596
C7B80_RS01460_WP_106216096.1	106216096_Contig_803_Len1602	1602	48.127340824
C7B80_RS10405_WP_106217007.1	106217007_Contig_4104_Len582	582	49.6563573883
C7B80_RS05630_WP_106216591.1	106216591_Contig_1446_Len1284	1284	40.8099688474
C7B80_RS18130_WP_015153565.1	015153565_Contig_5872_Len246	246	46.7479674797
C7B80_RS33325_WP_015156654.1	015156654_Contig_2487_Len963	963	49.94807892
C7B80_RS07495_WP_106216769.1	106216769_Contig_492_Len2013	2013	49.6274217586
C7B80_RS11450_WP_106217098.1	106217098_Contig_1055_Len1452	1452	43.870523416
C7B80_RS10075_WP_106216971.1	106216971_Contig_1111_Len1425	1425	46.8070175439
C7B80_RS12800_WP_106217265.1	106217265_Contig_3364_Len756	756	49.0740740741
C7B80_RS21950_WP_015156115.1	015156115_Contig_5130_Len375	375	39.7333333333
C7B80_RS10580_WP_041462826.1	041462826_Contig_775_Len1632	1632	42.5857843137
C7B80_RS04390_WP_106216511.1	106216511_Contig_1088_Len1437	1437	48.0862908838
C7B80_RS18065_WP_015153578.1	015153578_Contig_4566_Len483	483	33.1262939959
C7B80_RS21845_WP_106218015.1	106218015_Contig_1509_Len1263	1263	46.3182897862
C7B80_RS32455_WP_106218880.1	106218880_Contig_1196_Len1386	1386	39.3217893218
C7B80_RS00340_WP_106216013.1	106216013_Contig_5172_Len366	366	35.7923497268
C7B80_RS32405_WP_106218874.1	106218874_Contig_4485_Len498	498	35.5421686747
C7B80_RS30290_WP_106218712.1	106218712_Contig_3116_Len810	810	41.975308642
C7B80_RS23350_WP_015152688.1	015152688_Contig_5210_Len360	360	47.2222222222
C7B80_RS28055_WP_106218507.1	106218507_Contig_61_Len3675	3675	44.7891156463
C7B80_RS21565_WP_106217990.1	106217990_Contig_3657_Len684	684	46.783625731
C7B80_RS08425_WP_106216848.1	106216848_Contig_3190_Len798	798	46.2406015038
C7B80_RS05810_WP_106216617.1	106216617_Contig_949_Len1512	1512	43.4523809524
C7B80_RS23720_WP_015153819.1	015153819_Contig_1067_Len1449	1449	46.3768115942
C7B80_RS01160_WP_106216073.1	106216073_Contig_5243_Len354	354	38.7005649718
C7B80_RS29930_WP_106218660.1	106218660_Contig_186_Len2757	2757	45.0852375771
C7B80_RS15085_WP_015155495.1	015155495_Contig_1358_Len1320	1320	45.6818181818
C7B80_RS16220_WP_015156991.1	015156991_Contig_4148_Len576	576	49.6527777778
C7B80_RS26900_WP_106218428.1	106218428_Contig_1579_Len1233	1233	52.7169505272
C7B80_RS09085_WP_015156050.1	015156050_Contig_177_Len2793	2793	48.2993197279
C7B80_RS18730_WP_015153085.1	015153085_Contig_4567_Len483	483	47.8260869565
C7B80_RS16640_WP_015156594.1	015156594_Contig_3826_Len645	645	48.5271317829
C7B80_RS31490_WP_106218795.1	106218795_Contig_2037_Len1089	1089	47.1074380165
C7B80_RS08830_WP_106216872.1	106216872_Contig_5622_Len285	285	47.7192982456
C7B80_RS12095_WP_106217189.1	106217189_Contig_98_Len3291	3291	42.7225767244
C7B80_RS08970_WP_015156027.1	015156027_Contig_3644_Len687	687	45.1237263464
C7B80_RS25935_WP_106218332.1	106218332_Contig_397_Len2184	2184	46.7032967033
C7B80_RS21490_WP_015157253.1	015157253_Contig_1194_Len1389	1389	45.0683945284
C7B80_RS00900_WP_015154615.1	015154615_Contig_960_Len1506	1506	47.7423638778
C7B80_RS27690_WP_015154906.1	015154906_Contig_652_Len1755	1755	48.2621082621
C7B80_RS03960_WP_106216496.1	106216496_Contig_2665_Len915	915	52.0218579235
C7B80_RS18685_WP_015153094.1	015153094_Contig_977_Len1497	1497	48.0961923848
C7B80_RS14540_WP_015153234.1	015153234_Contig_746_Len1650	1650	48.5454545455
C7B80_RS00150_WP_106216047.1	106216047_Contig_4781_Len438	438	44.5205479452
C7B80_RS02940_WP_106216293.1	106216293_Contig_5753_Len264	264	49.6212121212
C7B80_RS29990_WP_106218667.1	106218667_Contig_451_Len2079	2079	40.8369408369
C7B80_RS17470_WP_106217665.1	106217665_Contig_3614_Len696	696	44.2528735632
C7B80_RS14525_WP_015153237.1	015153237_Contig_258_Len2520	2520	47.1428571429
C7B80_RS25875_WP_106218330.1	106218330_Contig_1718_Len1185	1185	48.2700421941
C7B80_RS32755_WP_039710019.1	039710019_Contig_5853_Len249	249	53.0120481928
C7B80_RS32485_WP_015152593.1	015152593_Contig_3497_Len726	726	46.2809917355
C7B80_RS01010_WP_015154636.1	015154636_Contig_1198_Len1386	1386	44.4444444444
C7B80_RS15320_WP_106217459.1	106217459_Contig_2254_Len1025	1025	46.5365853659
C7B80_RS26265_WP_106218367.1	106218367_Contig_968_Len1503	1503	44.9767132402
C7B80_RS03285_WP_106216356.1	106216356_Contig_4202_Len564	564	45.390070922
C7B80_RS03555_WP_015154970.1	015154970_Contig_341_Len2298	2298	44.2123585727
C7B80_RS26960_WP_015153996.1	015153996_Contig_2034_Len1089	1089	45.7300275482
C7B80_RS23740_WP_106218170.1	106218170_Contig_3178_Len801	801	39.7003745318
C7B80_RS02280_WP_015153382.1	015153382_Contig_2075_Len1077	1077	45.0324976787
C7B80_RS27215_WP_084739137.1	084739137_Contig_5730_Len267	267	43.8202247191
C7B80_RS07150_WP_015157155.1	015157155_Contig_1207_Len1380	1380	41.1594202899
C7B80_RS33030_WP_106218937.1	106218937_Contig_3365_Len756	756	49.6031746032
