Original Name	New Name	Seq Length	 Seq GC
PCC7418_RS16170_WP_015227264.1	015227264_Contig_2319_Len615	615	42.9268292683
PCC7418_RS17195_WP_015227459.1	015227459_Contig_280_Len2001	2001	45.4772613693
PCC7418_RS05395_WP_015225161.1	015225161_Contig_1748_Len840	840	44.7619047619
PCC7418_RS18870_WP_015227782.1	015227782_Contig_1679_Len870	870	45.1724137931
PCC7418_RS13435_WP_015226731.1	015226731_Contig_3341_Len276	276	47.4637681159
PCC7418_RS07640_WP_015225602.1	015225602_Contig_2959_Len393	393	47.3282442748
PCC7418_RS11665_WP_015226389.1	015226389_Contig_2219_Len654	654	45.7186544343
PCC7418_RS11720_WP_015226401.1	015226401_Contig_1976_Len753	753	41.567065073
PCC7418_RS13555_WP_015226754.1	015226754_Contig_2708_Len480	480	37.7083333333
PCC7418_RS00880_WP_015224287.1	015224287_Contig_381_Len1773	1773	46.3620981387
PCC7418_RS14130_WP_015226864.1	015226864_Contig_1265_Len1065	1065	43.7558685446
PCC7418_RS08755_WP_015225812.1	015225812_Contig_1936_Len765	765	46.0130718954
PCC7418_RS08405_WP_015225745.1	015225745_Contig_2458_Len567	567	40.5643738977
PCC7418_RS02270_WP_015224554.1	015224554_Contig_834_Len1293	1293	48.2598607889
PCC7418_RS12835_WP_015226618.1	015226618_Contig_2239_Len645	645	46.976744186
PCC7418_RS02485_WP_015224597.1	015224597_Contig_1805_Len816	816	42.5245098039
PCC7418_RS16030_WP_015227237.1	015227237_Contig_1260_Len1068	1068	36.0486891386
PCC7418_RS08225_WP_015225711.1	015225711_Contig_977_Len1212	1212	28.5478547855
PCC7418_RS19190_WP_071880246.1	071880246_Contig_1375_Len1008	1008	37.8968253968
PCC7418_RS09495_WP_015225958.1	015225958_Contig_1598_Len903	903	46.6223698782
PCC7418_RS10040_WP_015226064.1	015226064_Contig_2119_Len699	699	46.7811158798
PCC7418_RS12105_WP_015226476.1	015226476_Contig_1662_Len876	876	46.6894977169
PCC7418_RS18565_WP_015227724.1	015227724_Contig_536_Len1536	1536	42.6432291667
PCC7418_RS05700_WP_015225225.1	015225225_Contig_1140_Len1122	1122	41.265597148
PCC7418_RS07830_WP_015225637.1	015225637_Contig_917_Len1248	1248	46.3942307692
PCC7418_RS06840_WP_015225452.1	015225452_Contig_1958_Len759	759	47.9578392622
PCC7418_RS15245_WP_015227085.1	015227085_Contig_2950_Len396	396	46.7171717172
PCC7418_RS06600_WP_015225403.1	015225403_Contig_3329_Len279	279	41.5770609319
PCC7418_RS14615_WP_041596283.1	041596283_Contig_1343_Len1029	1029	46.8415937804
PCC7418_RS17385_WP_015227496.1	015227496_Contig_2164_Len681	681	45.8149779736
PCC7418_RS03355_WP_015224765.1	015224765_Contig_2749_Len465	465	26.2365591398
PCC7418_RS15605_WP_015227151.1	015227151_Contig_1726_Len849	849	48.8810365135
PCC7418_RS14255_WP_015226890.1	015226890_Contig_759_Len1353	1353	46.3414634146
PCC7418_RS10715_WP_015226200.1	015226200_Contig_1200_Len1095	1095	47.3059360731
PCC7418_RS11735_WP_015226404.1	015226404_Contig_746_Len1362	1362	40.3817914831
PCC7418_RS05440_WP_015225170.1	015225170_Contig_311_Len1917	1917	46.218049035
PCC7418_RS16420_WP_041596304.1	041596304_Contig_1334_Len1032	1032	44.7674418605
PCC7418_RS12055_WP_015226466.1	015226466_Contig_2720_Len477	477	39.2033542977
PCC7418_RS08645_WP_015225789.1	015225789_Contig_1190_Len1101	1101	48.3197093551
PCC7418_RS09625_WP_015225983.1	015225983_Contig_908_Len1254	1254	42.9824561404
PCC7418_RS15600_WP_015227150.1	015227150_Contig_3108_Len351	351	46.4387464387
PCC7418_RS18005_WP_015227617.1	015227617_Contig_2952_Len396	396	36.1111111111
PCC7418_RS06090_WP_015225306.1	015225306_Contig_3010_Len375	375	44.8
PCC7418_RS08365_WP_015225737.1	015225737_Contig_1148_Len1119	1119	47.0062555853
PCC7418_RS10260_WP_015226110.1	015226110_Contig_1541_Len930	930	48.3870967742
PCC7418_RS00440_WP_015224214.1	015224214_Contig_2595_Len513	513	47.1734892788
PCC7418_RS00460_WP_015224219.1	015224219_Contig_1409_Len996	996	46.8875502008
PCC7418_RS12210_WP_015226497.1	015226497_Contig_3330_Len279	279	36.5591397849
PCC7418_RS07475_WP_015225571.1	015225571_Contig_682_Len1404	1404	48.9316239316
PCC7418_RS01695_WP_015224445.1	015224445_Contig_559_Len1509	1509	47.6474486415
PCC7418_RS01445_WP_015224399.1	015224399_Contig_487_Len1599	1599	43.9649781113
PCC7418_RS06480_WP_015225382.1	015225382_Contig_3187_Len324	324	38.5802469136
PCC7418_RS12730_WP_015226596.1	015226596_Contig_2428_Len576	576	38.1944444444
PCC7418_RS15160_WP_015227068.1	015227068_Contig_1523_Len939	939	47.1778487753
PCC7418_RS03400_WP_015224774.1	015224774_Contig_1826_Len807	807	41.0161090458
PCC7418_RS09215_WP_015225903.1	015225903_Contig_1923_Len771	771	38.1322957198
PCC7418_RS01195_WP_015224350.1	015224350_Contig_2534_Len537	537	42.644320298
PCC7418_RS02415_WP_015224582.1	015224582_Contig_1783_Len825	825	47.1515151515
PCC7418_RS18630_WP_015227735.1	015227735_Contig_899_Len1260	1260	44.6031746032
