Original Name	New Name	Seq Length	 Seq GC
B1A85_RS09140_WP_104546593.1	104546593_Contig_2139_Len843	843	40.8066429419
B1A85_RS14550_WP_104547633.1	104547633_Contig_4355_Len180	180	38.8888888889
B1A85_RS15705_WP_104547828.1	104547828_Contig_1549_Len1047	1047	44.2215854823
B1A85_RS19565_WP_104548416.1	104548416_Contig_265_Len2148	2148	45.3445065177
B1A85_RS13810_WP_104547485.1	104547485_Contig_3575_Len420	420	45.9523809524
B1A85_RS02915_WP_104545406.1	104545406_Contig_3183_Len528	528	49.053030303
B1A85_RS15340_WP_104547774.1	104547774_Contig_138_Len2607	2607	47.5642500959
B1A85_RS10715_WP_104546908.1	104546908_Contig_1095_Len1254	1254	50.2392344498
B1A85_RS16170_WP_015328586.1	015328586_Contig_2509_Len732	732	48.6338797814
B1A85_RS01090_WP_104545095.1	104545095_Contig_4286_Len195	195	50.7692307692
B1A85_RS10505_WP_104546870.1	104546870_Contig_386_Len1851	1851	43.0037817396
B1A85_RS00585_WP_104545008.1	104545008_Contig_2479_Len741	741	46.5587044534
B1A85_RS04085_WP_104545613.1	104545613_Contig_2937_Len603	603	42.951907131
B1A85_RS12370_WP_104547208.1	104547208_Contig_1478_Len1068	1068	47.7528089888
B1A85_RS06670_WP_104546082.1	104546082_Contig_3191_Len525	525	48.7619047619
B1A85_RS10620_WP_104546893.1	104546893_Contig_2472_Len744	744	46.6397849462
B1A85_RS00590_WP_104545009.1	104545009_Contig_1964_Len897	897	40.8026755853
B1A85_RS20315_WP_104548549.1	104548549_Contig_3160_Len537	537	42.0856610801
B1A85_RS07825_WP_104546363.1	104546363_Contig_3228_Len516	516	45.7364341085
B1A85_RS03685_WP_104545543.1	104545543_Contig_1387_Len1104	1104	47.1014492754
B1A85_RS18950_WP_104548296.1	104548296_Contig_815_Len1404	1404	45.9401709402
B1A85_RS03650_WP_104545537.1	104545537_Contig_143_Len2589	2589	45.5774430282
B1A85_RS03910_WP_104545584.1	104545584_Contig_1957_Len900	900	45.4444444444
B1A85_RS19655_WP_104548486.1	104548486_Contig_712_Len1479	1479	47.599729547
B1A85_RS06690_WP_104546323.1	104546323_Contig_3809_Len351	351	44.4444444444
B1A85_RS06195_WP_104546000.1	104546000_Contig_966_Len1320	1320	42.803030303
B1A85_RS13230_WP_104547383.1	104547383_Contig_1340_Len1128	1128	44.5921985816
B1A85_RS10085_WP_104546758.1	104546758_Contig_1906_Len918	918	46.7320261438
B1A85_RS18455_WP_104548202.1	104548202_Contig_464_Len1728	1728	48.1481481481
B1A85_RS05290_WP_104545834.1	104545834_Contig_4346_Len180	180	36.1111111111
B1A85_RS13335_WP_104547402.1	104547402_Contig_504_Len1680	1680	47.4404761905
B1A85_RS02905_WP_104545404.1	104545404_Contig_976_Len1314	1314	45.5098934551
B1A85_RS07740_WP_104546350.1	104546350_Contig_2371_Len774	774	43.5400516796
B1A85_RS15190_WP_104547797.1	104547797_Contig_2924_Len609	609	45.1559934319
B1A85_RS20525_WP_104548584.1	104548584_Contig_2465_Len744	744	46.1021505376
B1A85_RS10725_WP_104546910.1	104546910_Contig_2655_Len690	690	42.3188405797
B1A85_RS08915_WP_104546554.1	104546554_Contig_1028_Len1287	1287	41.4918414918
B1A85_RS03185_WP_104545453.1	104545453_Contig_3140_Len543	543	35.7274401473
B1A85_RS21655_WP_104548796.1	104548796_Contig_492_Len1689	1689	47.5429248076
B1A85_RS22620_WP_015188606.1	015188606_Contig_2704_Len672	672	45.9821428571
B1A85_RS04975_WP_104546305.1	104546305_Contig_1605_Len1020	1020	46.4705882353
B1A85_RS15640_WP_104547816.1	104547816_Contig_3690_Len387	387	44.4444444444
B1A85_RS22800_WP_104549009.1	104549009_Contig_3794_Len354	354	44.0677966102
B1A85_RS09705_WP_104546694.1	104546694_Contig_3281_Len498	498	44.1767068273
B1A85_RS16210_WP_015328594.1	015328594_Contig_2723_Len669	669	44.5440956652
B1A85_RS02240_WP_104546278.1	104546278_Contig_424_Len1776	1776	45.6644144144
B1A85_RS01120_WP_104546265.1	104546265_Contig_2951_Len597	597	40.0335008375
B1A85_RS22440_WP_104548947.1	104548947_Contig_1412_Len1092	1092	47.5274725275
B1A85_RS15870_WP_104547858.1	104547858_Contig_11_Len4242	4242	46.6525223951
B1A85_RS04305_WP_104546297.1	104546297_Contig_4322_Len186	186	46.2365591398
B1A85_RS00625_WP_104546258.1	104546258_Contig_3124_Len546	546	45.6043956044
B1A85_RS00420_WP_104544980.1	104544980_Contig_1305_Len1146	1146	45.6369982548
B1A85_RS05780_WP_104545926.1	104545926_Contig_2831_Len639	639	44.4444444444
B1A85_RS00205_WP_104544941.1	104544941_Contig_2117_Len849	849	45.7008244994
B1A85_RS16465_WP_041919577.1	041919577_Contig_3261_Len504	504	49.8015873016
B1A85_RS12805_WP_104547286.1	104547286_Contig_3530_Len432	432	37.2685185185
B1A85_RS20970_WP_104548667.1	104548667_Contig_1157_Len1212	1212	38.201320132
B1A85_RS13115_WP_104547364.1	104547364_Contig_2281_Len798	798	49.1228070175
B1A85_RS02945_WP_104545412.1	104545412_Contig_3739_Len369	369	47.6964769648
B1A85_RS21015_WP_104548675.1	104548675_Contig_1021_Len1290	1290	49.7674418605
B1A85_RS10575_WP_104546884.1	104546884_Contig_2019_Len882	882	47.2789115646
B1A85_RS21660_WP_104548797.1	104548797_Contig_3485_Len444	444	44.8198198198
