Original Name	New Name	Seq Length	 Seq GC
CRI9333_RS24985_WP_015203822.1	015203822_Contig_579_Len1686	1686	41.28113879
CRI9333_RS07585_WP_015202579.1	015202579_Contig_680_Len1578	1578	46.3244613435
CRI9333_RS22000_WP_015205360.1	015205360_Contig_2812_Len633	633	41.7061611374
CRI9333_RS15965_WP_015204203.1	015204203_Contig_4678_Len180	180	42.7777777778
CRI9333_RS18520_WP_015204700.1	015204700_Contig_570_Len1695	1695	42.5958702065
CRI9333_RS24260_WP_015205627.1	015205627_Contig_1792_Len981	981	31.9062181448
CRI9333_RS07340_WP_015202533.1	015202533_Contig_3465_Len447	447	42.9530201342
CRI9333_RS17165_WP_015204443.1	015204443_Contig_3439_Len453	453	41.5011037528
CRI9333_RS00130_WP_041225800.1	041225800_Contig_2690_Len669	669	43.9461883408
CRI9333_RS13155_WP_041226046.1	041226046_Contig_762_Len1509	1509	43.4724983433
CRI9333_RS22450_WP_015205452.1	015205452_Contig_86_Len3270	3270	45.5351681957
CRI9333_RS20315_WP_015205034.1	015205034_Contig_3533_Len432	432	44.4444444444
CRI9333_RS19375_WP_015204863.1	015204863_Contig_3773_Len378	378	42.8571428571
CRI9333_RS08725_WP_015202799.1	015202799_Contig_825_Len1455	1455	43.3676975945
CRI9333_RS08215_WP_015202701.1	015202701_Contig_1548_Len1077	1077	43.1754874652
CRI9333_RS19905_WP_015204964.1	015204964_Contig_373_Len1980	1980	42.4747474747
CRI9333_RS05445_WP_015202161.1	015202161_Contig_4139_Len297	297	46.8013468013
CRI9333_RS04305_WP_015201936.1	015201936_Contig_442_Len1863	1863	41.6532474503
CRI9333_RS21340_WP_015205236.1	015205236_Contig_1974_Len909	909	39.7139713971
CRI9333_RS21485_WP_015205262.1	015205262_Contig_3326_Len480	480	36.6666666667
CRI9333_RS07920_WP_015202646.1	015202646_Contig_2696_Len669	669	44.245142003
CRI9333_RS10440_WP_015203136.1	015203136_Contig_1830_Len963	963	36.240913811
CRI9333_RS16015_WP_015204213.1	015204213_Contig_4023_Len324	324	35.1851851852
CRI9333_RS17425_WP_015204495.1	015204495_Contig_2327_Len792	792	45.9595959596
CRI9333_RS19385_WP_015204865.1	015204865_Contig_4319_Len255	255	42.3529411765
CRI9333_RS07260_WP_015202516.1	015202516_Contig_3891_Len351	351	41.5954415954
CRI9333_RS00385_WP_041226183.1	041226183_Contig_2502_Len732	732	44.1256830601
CRI9333_RS14615_WP_041226066.1	041226066_Contig_1739_Len996	996	36.7469879518
CRI9333_RS18710_WP_015204737.1	015204737_Contig_576_Len1689	1689	35.2279455299
CRI9333_RS06350_WP_015202339.1	015202339_Contig_911_Len1398	1398	44.3490701001
