,am,ba,ee,ex,op,pl,sr,za,
OG5_127854,Am_di_Sreg,,EE_ce_Acsp,Ex_pa_Tfoe,Op_me_Hrob,Pl_gr_Ntab,Sr_rh_Sspa,,
OG5_127251,Am_ar_Meil,,EE_ce_Acsp,Ex_he_Pkir,Op_me_Hrob,Pl_gr_Hann,Sr_di_Aspi,,
OG5_135286,Am_is_Vant,,EE_ap_Nlon,,Op_ic_Cowc,Pl_gr_Corb,Sr_ci_Br01,,
OG5_128785,Am_di_Acas,Ba_cy_Amar,EE_ap_Ttra,Ex_pa_Tfoe,Op_me_Cgig,Pl_gr_Ntab,Sr_ci_Ptet,,
OG5_127065,Am_di_Acas,Ba_cy_Cfri,EE_ce_Reri,Ex_he_Ngru,Op_fu_Spun,Pl_gr_Knit,Sr_ci_Ptet,Za_em_Mtin,
OG5_129145,Am_ar_Mbal,,EE_ap_Rram,Ex_eu_Lpyr,Op_fu_Amac,Pl_gr_Ntab,Sr_di_Cfus,,
OG5_135159,Am_di_Acas,,EE_ap_Ttra,Ex_he_Ngru,Op_me_Cgig,,Sr_rh_Rfil,,
OG5_135657,Am_ar_Mbal,Ba_ba_Prum,EE_ha_Crot,Ex_pa_Tfoe,Op_me_Lbai,Pl_gl_Cglo,Sr_di_Pbei,Za_as_Heib,
OG5_127450,Am_di_Ppem,,EE_cr_Gspa,Ex_pa_Tfoe,Op_fu_Lcor,Pl_gr_Ntab,Sr_di_Cfus,,
OG5_127800,Am_ar_Mbal,Ba_ba_Nkor,EE_cr_Gspb,Ex_he_Ngru,Op_ch_Mova,Pl_gl_Cglo,Sr_ci_Br01,,
OG5_131900,Am_is_Fcit,,EE_ap_Ttra,Ex_pa_Tfoe,Op_fu_Amac,Pl_gr_Hann,Sr_di_Pspp,,
OG5_128538,Am_ar_Meil,,EE_cr_Crsp,Ex_ja_Sinc,Op_ch_Mova,Pl_gr_Atri,Sr_ci_Cl01,,
OG5_127118,Am_di_Dalg,,EE_ce_Chsp,Ex_he_Ngru,Op_me_Avir,Pl_gr_Ntab,Sr_di_Dbal,,
OG5_128391,Am_tu_Aspl,,EE_ce_Acsp,Ex_ja_Rame,Op_me_Cgig,Pl_gr_Ntab,Sr_st_Ainv,,
OG5_130414,Am_my_Crec,,EE_ha_Crot,Ex_ja_Agod,Op_fu_Amac,Pl_gr_Mpol,Sr_rh_Eupl,,
OG5_128369,Am_di_Ppem,,EE_ha_Cpol,Ex_eu_Scul,Op_fu_Amac,Pl_gr_Ntab,Sr_ci_Efoc,,
OG5_150385,Am_ar_Mabd,Ba_ba_Sspa,EE_br_Stet,Ex_fo_Ssal,Op_fu_Gpro,Pl_gl_Cglo,Sr_ci_Ptet,,
OG5_133609,Am_di_Acas,,EE_ap_Ttra,Ex_he_Smar,Op_me_Cgig,Pl_gl_Gwit,Sr_rh_Eupl,,
OG5_146335,Am_di_Acas,Ba_le_Lara,EE_cr_Gthe,Ex_ox_Mono,Op_me_Cgig,Pl_gr_Hann,Sr_di_Smic,Za_eh_Htur,
OG5_132466,Am_di_Mcan,,EE_ap_Rram,Ex_he_Ngru,Op_me_Cgig,Pl_gr_Npyr,Sr_ci_Br01,,
OG5_127758,Am_tu_Aspl,,EE_ha_Crot,Ex_eu_Scul,Op_ic_Sarc,Pl_gr_Hann,Sr_ci_Cl01,,
OG5_128447,Am_ar_Mbal,,EE_ce_Chsp,Ex_eu_Scul,Op_fu_Rirr,Pl_gr_Ntab,Sr_rh_Sspa,,
OG5_130251,Am_di_Sreg,Ba_cy_Hysp,EE_cr_Gpac,Ex_ma_Goke,Op_fu_Rirr,Pl_gr_Ntab,Sr_di_Plim,,
OG5_149295,Am_my_Pnoc,Ba_fc_Bpro,EE_cr_Crsp,Ex_ox_Mono,Op_fu_Scom,Pl_gr_Csti,Sr_di_Aspi,,
OG5_129336,Am_tu_Aint,,EE_ap_Ttra,Ex_he_Ngru,Op_me_Cgig,Pl_gl_Glwi,Sr_rh_Trpl,,
