Original Name	New Name	Seq Length	 Seq GC
SP67_RS22130_WP_044451520.1	044451520_Contig_2553_Len822	822	27.9805352798
SP67_RS23215_WP_044451616.1	044451616_Contig_827_Len1426	1426	43.7587657784
SP67_RS25900_WP_044452051.1	044452051_Contig_1118_Len1281	1281	38.5636221702
SP67_RS19535_WP_044451183.1	044451183_Contig_1655_Len1074	1074	39.9441340782
SP67_RS26535_WP_044452134.1	044452134_Contig_4359_Len390	390	42.5641025641
SP67_RS39240_WP_072047296.1	072047296_Contig_2521_Len831	831	69.0734055355
SP67_RS12530_WP_044449994.1	044449994_Contig_5083_Len243	243	40.7407407407
SP67_RS39350_WP_082068583.1	082068583_Contig_4325_Len396	396	70.9595959596
SP67_RS06670_WP_044448212.1	044448212_Contig_2940_Len720	720	42.5
SP67_RS32320_WP_044453006.1	044453006_Contig_4633_Len333	333	41.7417417417
SP67_RS17190_WP_044450808.1	044450808_Contig_3482_Len585	585	35.5555555556
SP67_RS38670_WP_072047207.1	072047207_Contig_2678_Len789	789	70.8491761724
SP67_RS34620_WP_072046602.1	072046602_Contig_4788_Len303	303	67.6567656766
SP67_RS11310_WP_052508314.1	052508314_Contig_1182_Len1248	1248	38.6217948718
SP67_RS14380_WP_044450299.1	044450299_Contig_627_Len1581	1581	44.8450347881
SP67_RS10760_WP_052508291.1	052508291_Contig_10_Len5593	5593	41.4446629716
SP67_RS10470_WP_044449534.1	044449534_Contig_723_Len1500	1500	34.4666666667
SP67_RS31185_WP_017310539.1	017310539_Contig_271_Len2166	2166	41.5974145891
SP67_RS13155_WP_044450060.1	044450060_Contig_3480_Len585	585	38.8034188034
SP67_RS10090_WP_017310506.1	017310506_Contig_1751_Len1041	1041	43.5158501441
SP67_RS28990_WP_044452502.1	044452502_Contig_2834_Len750	750	37.3333333333
SP67_RS03110_WP_017312639.1	017312639_Contig_666_Len1551	1551	42.1018697614
SP67_RS20070_WP_017311698.1	017311698_Contig_5171_Len225	225	38.6666666667
SP67_RS20035_WP_044451239.1	044451239_Contig_2081_Len945	945	44.8677248677
SP67_RS32680_WP_044453060.1	044453060_Contig_1446_Len1149	1149	42.1235857267
SP67_RS25715_WP_017309267.1	017309267_Contig_2512_Len834	834	33.6930455635
SP67_RS17805_WP_017311441.1	017311441_Contig_2955_Len717	717	40.5857740586
SP67_RS29655_WP_017311145.1	017311145_Contig_696_Len1521	1521	46.614069691
SP67_RS30810_WP_082068588.1	082068588_Contig_1239_Len1221	1221	64.7010647011
SP67_RS32830_WP_044453141.1	044453141_Contig_1689_Len1065	1065	41.5023474178
SP67_RS35685_WP_072046752.1	072046752_Contig_3048_Len693	693	70.7070707071
SP67_RS31080_WP_017311514.1	017311514_Contig_4848_Len288	288	43.75
SP67_RS21625_WP_044451458.1	044451458_Contig_2757_Len770	770	43.3766233766
SP67_RS16330_WP_044450650.1	044450650_Contig_207_Len2331	2331	45.2166452166
SP67_RS13485_WP_044450147.1	044450147_Contig_1329_Len1188	1188	69.696969697
SP67_RS24275_WP_044451724.1	044451724_Contig_944_Len1361	1361	43.7178545187
SP67_RS05635_WP_044447907.1	044447907_Contig_269_Len2175	2175	36.0
SP67_RS15800_WP_044450563.1	044450563_Contig_4024_Len459	459	69.0631808279
SP67_RS39175_WP_072047286.1	072047286_Contig_845_Len1413	1413	63.6942675159
SP67_RS35240_WP_072046697.1	072046697_Contig_3011_Len705	705	65.8156028369
SP67_RS33035_WP_044453100.1	044453100_Contig_1900_Len996	996	42.2690763052
SP67_RS33615_WP_077166412.1	077166412_Contig_1758_Len1038	1038	37.8612716763
SP67_RS03100_WP_017312634.1	017312634_Contig_965_Len1350	1350	46.4444444444
SP67_RS35420_WP_072046719.1	072046719_Contig_2100_Len942	942	66.9851380042
SP67_RS15780_WP_044450559.1	044450559_Contig_2910_Len729	729	70.6447187929
SP67_RS29340_WP_044452540.1	044452540_Contig_3774_Len519	519	41.6184971098
SP67_RS31045_WP_017311503.1	017311503_Contig_3697_Len537	537	39.2923649907
SP67_RS06815_WP_016862699.1	016862699_Contig_5092_Len240	240	42.9166666667
SP67_RS39265_WP_072047300.1	072047300_Contig_4475_Len366	366	68.306010929
SP67_RS30880_WP_044452810.1	044452810_Contig_5346_Len201	201	42.7860696517
SP67_RS22595_WP_052508439.1	052508439_Contig_5003_Len255	255	39.6078431373
SP67_RS13695_WP_072046972.1	072046972_Contig_4929_Len273	273	67.7655677656
SP67_RS35090_WP_072046666.1	072046666_Contig_5268_Len210	210	65.7142857143
SP67_RS23955_WP_044451689.1	044451689_Contig_4546_Len348	348	38.2183908046
SP67_RS21280_WP_044451430.1	044451430_Contig_1094_Len1287	1287	41.4918414918
SP67_RS23100_WP_044451605.1	044451605_Contig_1708_Len1056	1056	41.9507575758
SP67_RS20815_WP_044451326.1	044451326_Contig_1589_Len1099	1099	41.9472247498
SP67_RS31010_WP_017311495.1	017311495_Contig_4275_Len405	405	41.2345679012
SP67_RS06275_WP_017310696.1	017310696_Contig_2212_Len912	912	41.0087719298
SP67_RS05610_WP_044447901.1	044447901_Contig_590_Len1614	1614	41.4498141264
