Original Name	New Name	Seq Length	 Seq GC
AMD24_RS02755_WP_082383078.1	082383078_Contig_143_Len1374	1374	49.2721979622
AMD24_RS04045_WP_062100771.1	062100771_Contig_29_Len2472	2472	45.5906148867
AMD24_RS03685_WP_062100711.1	062100711_Contig_566_Len576	576	50.3472222222
AMD24_RS01465_WP_062100355.1	062100355_Contig_671_Len360	360	46.3888888889
AMD24_RS04305_WP_062100814.1	062100814_Contig_784_Len204	204	48.0392156863
AMD24_RS02330_WP_062100494.1	062100494_Contig_495_Len690	690	48.4057971014
AMD24_RS02530_WP_062100526.1	062100526_Contig_447_Len768	768	48.4375
AMD24_RS01700_WP_062100393.1	062100393_Contig_184_Len1284	1284	47.4299065421
AMD24_RS00305_WP_062100160.1	062100160_Contig_352_Len942	942	49.3630573248
AMD24_RS01420_WP_062100348.1	062100348_Contig_417_Len822	822	49.0267639903
AMD24_RS01805_WP_062100411.1	062100411_Contig_721_Len270	270	41.4814814815
AMD24_RS00490_WP_082382977.1	082382977_Contig_285_Len1044	1044	49.7126436782
AMD24_RS02710_WP_062100552.1	062100552_Contig_571_Len564	564	48.2269503546
AMD24_RS02595_WP_062100536.1	062100536_Contig_759_Len231	231	50.6493506494
AMD24_RS03840_WP_062100906.1	062100906_Contig_65_Len1845	1845	46.8834688347
AMD24_RS00800_WP_062100833.1	062100833_Contig_50_Len2010	2010	51.0447761194
AMD24_RS03020_WP_062100602.1	062100602_Contig_798_Len183	183	51.3661202186
AMD24_RS01565_WP_062100373.1	062100373_Contig_464_Len747	747	47.3895582329
AMD24_RS02605_WP_062100538.1	062100538_Contig_165_Len1323	1323	49.3575207861
AMD24_RS02255_WP_062100865.1	062100865_Contig_602_Len492	492	49.7967479675
AMD24_RS01440_WP_062100351.1	062100351_Contig_529_Len627	627	51.5151515152
AMD24_RS00015_WP_062100117.1	062100117_Contig_744_Len246	246	42.2764227642
AMD24_RS02065_WP_062100454.1	062100454_Contig_436_Len777	777	46.4607464607
AMD24_RS03165_WP_062100625.1	062100625_Contig_775_Len207	207	44.4444444444
AMD24_RS03705_WP_062100903.1	062100903_Contig_572_Len564	564	46.8085106383
AMD24_RS00505_WP_082382978.1	082382978_Contig_243_Len1134	1134	49.0299823633
AMD24_RS00575_WP_062100209.1	062100209_Contig_333_Len975	975	49.0256410256
AMD24_RS03320_WP_082383047.1	082383047_Contig_275_Len1077	1077	48.6536675952
AMD24_RS03520_WP_062100684.1	062100684_Contig_537_Len618	618	49.5145631068
AMD24_RS02075_WP_062100456.1	062100456_Contig_735_Len255	255	46.2745098039
AMD24_RS03445_WP_082383051.1	082383051_Contig_138_Len1404	1404	49.0740740741
AMD24_RS04040_WP_062100770.1	062100770_Contig_171_Len1302	1302	47.0814132104
AMD24_RS00875_WP_062100258.1	062100258_Contig_548_Len600	600	46.1666666667
AMD24_RS00125_WP_062100129.1	062100129_Contig_130_Len1419	1419	47.1458773784
AMD24_RS02775_WP_062100565.1	062100565_Contig_772_Len207	207	44.4444444444
AMD24_RS02055_WP_062100453.1	062100453_Contig_70_Len1806	1806	48.5603543743
AMD24_RS02575_WP_062100533.1	062100533_Contig_694_Len327	327	47.4006116208
AMD24_RS00995_WP_082382988.1	082382988_Contig_167_Len1317	1317	47.8359908884
AMD24_RS03940_WP_062100751.1	062100751_Contig_288_Len1044	1044	45.1149425287
AMD24_RS02215_WP_062100477.1	062100477_Contig_251_Len1113	1113	46.4510332435
AMD24_RS04250_WP_062100804.1	062100804_Contig_186_Len1281	1281	49.8048399688
AMD24_RS01160_WP_062100305.1	062100305_Contig_732_Len258	258	48.0620155039
AMD24_RS00425_WP_062100181.1	062100181_Contig_239_Len1143	1143	46.0192475941
