,Am,Ba,EE,Ex,Op,Pl,Sr,Za,
OG5_130027,56,185,31,11,16,17,211,6,
OG5_130020,66,0,36,12,11,26,148,7,
OG5_130021,50,0,35,4,21,26,85,0,
OG5_131515,24,445,16,1,2,18,57,14,
OG5_131516,32,50,13,6,10,9,43,0,
OG5_129019,74,0,43,13,26,36,170,0,
OG5_129018,57,0,20,10,18,25,130,2,
OG5_133272,7,0,13,1,1,1,20,0,
OG5_160676,46,18,27,6,0,4,79,1,
OG5_129015,58,64,23,11,15,27,81,0,
OG5_129014,73,1,42,12,24,41,187,0,
OG5_129017,55,0,27,13,17,30,134,5,
OG5_129016,60,0,20,10,22,34,139,0,
OG5_126688,93,509,50,30,46,57,251,93,
OG5_130112,36,0,5,6,21,19,14,0,
OG5_130113,46,0,14,4,20,14,70,0,
OG5_130116,19,0,37,15,15,16,165,0,
OG5_130115,47,0,14,8,20,18,50,0,
OG5_133114,34,109,19,9,7,9,91,2,
OG5_131024,23,1,36,17,10,20,176,0,
OG5_136455,43,0,32,2,4,10,91,0,
OG5_141451,73,0,36,7,7,30,68,0,
OG5_130332,65,10,43,10,24,30,121,0,
OG5_144932,43,0,21,5,0,36,27,0,
OG5_136988,59,2,35,6,2,33,108,1,
OG5_144936,46,4,28,4,7,29,79,0,
OG5_130335,73,117,22,7,13,19,22,10,
OG5_146377,92,0,28,8,28,1,83,0,
OG5_132573,15,413,6,3,2,11,29,0,
OG5_176377,35,42,19,10,9,9,111,5,
OG5_138100,3,46,0,0,0,0,3,0,
OG5_159022,66,77,47,15,19,47,199,2,
OG5_137580,83,0,9,5,10,3,16,0,
OG5_137583,10,0,16,3,5,10,54,0,
OG5_131887,53,87,32,10,17,24,214,0,
OG5_137113,45,0,7,2,4,0,0,0,
OG5_129793,71,0,41,5,21,33,110,0,
OG5_129011,63,0,40,8,21,39,114,0,
OG5_147155,42,0,20,0,0,24,59,0,
OG5_144629,2,67,2,0,1,4,15,1,
OG5_137214,72,57,44,11,19,41,196,2,
OG5_137211,22,1,16,2,2,17,134,0,
OG5_159916,19,79,1,2,4,10,42,1,
OG5_127947,76,0,36,7,22,15,101,0,
OG5_134927,67,0,35,6,7,12,80,0,
OG5_128604,95,5,43,21,30,31,189,0,
OG5_126577,87,3,46,15,40,44,201,0,
OG5_126574,89,16,45,17,33,53,237,0,
OG5_126573,90,0,44,22,34,52,250,0,
