Original Name	New Name	Seq Length	 Seq GC
DACSA_RS05105_WP_015228728.1	015228728_Contig_3294_Len195	195	43.5897435897
DACSA_RS11210_WP_041235458.1	041235458_Contig_3090_Len231	231	57.1428571429
DACSA_RS04680_WP_041235690.1	041235690_Contig_1730_Len690	690	43.3333333333
DACSA_RS08530_WP_015229366.1	015229366_Contig_1722_Len696	696	42.6724137931
DACSA_RS13335_WP_015230258.1	015230258_Contig_1759_Len678	678	36.7256637168
DACSA_RS17465_WP_015231012.1	015231012_Contig_2750_Len309	309	46.925566343
DACSA_RS13655_WP_015230318.1	015230318_Contig_1829_Len645	645	47.5968992248
DACSA_RS20020_WP_083874503.1	083874503_Contig_2272_Len471	471	52.4416135881
DACSA_RS05855_WP_015228864.1	015228864_Contig_2872_Len276	276	35.8695652174
DACSA_RS02705_WP_015228307.1	015228307_Contig_873_Len1119	1119	47.5424486148
DACSA_RS07625_WP_015229200.1	015229200_Contig_2660_Len336	336	44.3452380952
DACSA_RS19450_WP_083874458.1	083874458_Contig_3304_Len195	195	51.7948717949
DACSA_RS12855_WP_041235484.1	041235484_Contig_1_Len13206	13206	47.645009844
DACSA_RS09565_WP_015229557.1	015229557_Contig_1479_Len804	804	45.6467661692
DACSA_RS18440_WP_015230991.1	015230991_Contig_2242_Len483	483	44.3064182195
DACSA_RS02005_WP_015228175.1	015228175_Contig_1239_Len918	918	41.6122004357
DACSA_RS02790_WP_041235277.1	041235277_Contig_2520_Len375	375	45.0666666667
DACSA_RS08135_WP_015229291.1	015229291_Contig_3017_Len246	246	36.5853658537
DACSA_RS05140_WP_041235696.1	041235696_Contig_2463_Len396	396	46.4646464646
DACSA_RS16915_WP_015230912.1	015230912_Contig_2320_Len453	453	38.1898454746
DACSA_RS03335_WP_015228422.1	015228422_Contig_639_Len1302	1302	38.2488479263
DACSA_RS14570_WP_041235517.1	041235517_Contig_1161_Len963	963	36.7601246106
DACSA_RS08125_WP_015229289.1	015229289_Contig_2344_Len444	444	43.9189189189
DACSA_RS07535_WP_015229180.1	015229180_Contig_1015_Len1044	1044	38.9846743295
DACSA_RS12745_WP_015230148.1	015230148_Contig_793_Len1173	1173	43.7340153453
DACSA_RS10080_WP_015229655.1	015229655_Contig_1140_Len975	975	35.8974358974
DACSA_RS16800_WP_015230891.1	015230891_Contig_1961_Len588	588	43.537414966
DACSA_RS08695_WP_015229397.1	015229397_Contig_2042_Len561	561	45.8110516934
DACSA_RS01795_WP_015228142.1	015228142_Contig_269_Len1821	1821	46.0735859418
DACSA_RS11770_WP_041235469.1	041235469_Contig_2990_Len252	252	44.4444444444
DACSA_RS01400_WP_015228066.1	015228066_Contig_3037_Len240	240	37.9166666667
DACSA_RS12575_WP_015230111.1	015230111_Contig_1682_Len717	717	48.8145048815
DACSA_RS14235_WP_015230421.1	015230421_Contig_2939_Len261	261	46.3601532567
DACSA_RS01665_WP_015228116.1	015228116_Contig_2009_Len570	570	41.4035087719
DACSA_RS11170_WP_015229858.1	015229858_Contig_30_Len4173	4173	46.3695183321
DACSA_RS17085_WP_015230941.1	015230941_Contig_3331_Len189	189	39.6825396825
DACSA_RS12945_WP_015230188.1	015230188_Contig_1504_Len792	792	40.1515151515
DACSA_RS02090_WP_015228190.1	015228190_Contig_3053_Len237	237	37.1308016878
DACSA_RS07755_WP_015229225.1	015229225_Contig_1325_Len876	876	46.00456621
DACSA_RS11400_WP_041235462.1	041235462_Contig_3344_Len186	186	44.0860215054
DACSA_RS11065_WP_015229836.1	015229836_Contig_1107_Len993	993	45.720040282
DACSA_RS11480_WP_015229915.1	015229915_Contig_1251_Len915	915	40.9836065574
DACSA_RS02315_WP_015228235.1	015228235_Contig_1907_Len615	615	39.512195122
DACSA_RS01035_WP_015228000.1	015228000_Contig_2007_Len570	570	41.4035087719
DACSA_RS06050_WP_015228903.1	015228903_Contig_2204_Len492	492	39.837398374
DACSA_RS02665_WP_015228299.1	015228299_Contig_433_Len1527	1527	46.82383759
DACSA_RS09145_WP_015229478.1	015229478_Contig_1215_Len933	933	45.3376205788
DACSA_RS04645_WP_015228650.1	015228650_Contig_2682_Len330	330	43.6363636364
DACSA_RS19080_WP_071880309.1	071880309_Contig_2911_Len267	267	47.9400749064
DACSA_RS01375_WP_015228060.1	015228060_Contig_2285_Len465	465	36.1290322581
DACSA_RS15385_WP_015230634.1	015230634_Contig_3005_Len249	249	42.1686746988
DACSA_RS09340_WP_015229516.1	015229516_Contig_1654_Len729	729	46.6392318244
DACSA_RS09390_WP_015229525.1	015229525_Contig_1910_Len615	615	39.512195122
DACSA_RS13380_WP_015230267.1	015230267_Contig_1055_Len1023	1023	44.477028348
DACSA_RS14825_WP_015230528.1	015230528_Contig_1651_Len732	732	44.262295082
DACSA_RS11405_WP_015229900.1	015229900_Contig_764_Len1194	1194	38.1072026801
DACSA_RS00275_WP_015227855.1	015227855_Contig_1939_Len597	597	49.0787269682
DACSA_RS00265_WP_041235227.1	041235227_Contig_3349_Len183	183	40.4371584699
DACSA_RS16395_WP_015230818.1	015230818_Contig_2826_Len288	288	37.1527777778
DACSA_RS12370_WP_015230071.1	015230071_Contig_380_Len1608	1608	41.9154228856
DACSA_RS15300_WP_015230618.1	015230618_Contig_1227_Len927	927	41.5318230852
DACSA_RS07670_WP_015229213.1	015229213_Contig_506_Len1431	1431	44.5842068484
DACSA_RS01455_WP_015228075.1	015228075_Contig_1685_Len714	714	40.3361344538
DACSA_RS06265_WP_015228943.1	015228943_Contig_2000_Len573	573	40.6631762653
DACSA_RS14030_WP_015230390.1	015230390_Contig_950_Len1080	1080	45.7407407407
