Original Name	New Name	Seq Length	 Seq GC
APPUASWS_RS03850_WP_014276248.1	014276248_Contig_3159_Len561	561	42.2459893048
APPUASWS_RS29455_WP_050856809.1	050856809_Contig_3767_Len414	414	35.0241545894
APPUASWS_RS14945_WP_006616416.1	006616416_Contig_373_Len2013	2013	55.8867362146
APPUASWS_RS27040_WP_014275005.1	014275005_Contig_4331_Len306	306	44.1176470588
APPUASWS_RS15140_WP_006616400.1	006616400_Contig_566_Len1725	1725	43.884057971
APPUASWS_RS31435_WP_081471146.1	081471146_Contig_4678_Len249	249	51.0040160643
APPUASWS_RS24865_WP_014276712.1	014276712_Contig_4723_Len246	246	43.4959349593
APPUASWS_RS19560_WP_006616523.1	006616523_Contig_118_Len2979	2979	46.894931185
APPUASWS_RS24305_WP_014277368.1	014277368_Contig_4491_Len279	279	44.8028673835
APPUASWS_RS26955_WP_014274983.1	014274983_Contig_2897_Len633	633	51.3428120063
APPUASWS_RS29595_WP_014276141.1	014276141_Contig_5101_Len225	225	46.2222222222
APPUASWS_RS29930_WP_006620176.1	006620176_Contig_4507_Len276	276	40.9420289855
APPUASWS_RS02000_WP_006617273.1	006617273_Contig_2183_Len861	861	38.7921022067
APPUASWS_RS35610_WP_035736718.1	035736718_Contig_191_Len2496	2496	49.4791666667
APPUASWS_RS10635_WP_014274427.1	014274427_Contig_5030_Len225	225	43.5555555556
APPUASWS_RS25625_WP_006619539.1	006619539_Contig_316_Len2142	2142	45.9383753501
APPUASWS_RS25120_WP_014277233.1	014277233_Contig_4041_Len357	357	32.7731092437
APPUASWS_RS22995_WP_006616324.1	006616324_Contig_4302_Len312	312	38.141025641
APPUASWS_RS24755_WP_006620207.1	006620207_Contig_3066_Len588	588	44.5578231293
APPUASWS_RS35625_WP_014274263.1	014274263_Contig_4322_Len306	306	44.1176470588
APPUASWS_RS12230_WP_006617849.1	006617849_Contig_906_Len1413	1413	47.2753007785
APPUASWS_RS24125_WP_014275852.1	014275852_Contig_2798_Len660	660	48.3333333333
APPUASWS_RS02885_WP_006618531.1	006618531_Contig_200_Len2469	2469	45.4840016201
