Original Name	New Name	Seq Length	 Seq GC
MAS10914_RS0110400_WP_017315873.1	017315873_Contig_397_Len2001	2001	39.9300349825
MAS10914_RS0120270_WP_017317777.1	017317777_Contig_4034_Len438	438	50.4566210046
MAS10914_RS0120985_WP_017317911.1	017317911_Contig_2211_Len921	921	47.4484256243
MAS10914_RS0128160_WP_017319294.1	017319294_Contig_1222_Len1278	1278	46.2441314554
MAS10914_RS31975_WP_017314558.1	017314558_Contig_68_Len3405	3405	48.3406754772
MAS10914_RS0112695_WP_017316318.1	017316318_Contig_1889_Len1017	1017	46.7059980334
MAS10914_RS0117405_WP_017317227.1	017317227_Contig_1482_Len1167	1167	45.8440445587
MAS10914_RS0112480_WP_017316276.1	017316276_Contig_2149_Len933	933	47.6956055734
MAS10914_RS0116165_WP_017316989.1	017316989_Contig_5129_Len210	210	39.0476190476
MAS10914_RS0101520_WP_017314142.1	017314142_Contig_4668_Len294	294	44.5578231293
MAS10914_RS0121050_WP_017317923.1	017317923_Contig_3553_Len552	552	44.5652173913
MAS10914_RS33560_WP_017317110.1	017317110_Contig_5261_Len189	189	42.328042328
MAS10914_RS0128425_WP_017319346.1	017319346_Contig_3093_Len678	678	45.4277286136
MAS10914_RS0102260_WP_017314273.1	017314273_Contig_4646_Len297	297	43.771043771
MAS10914_RS0119000_WP_017317537.1	017317537_Contig_4949_Len240	240	45.4166666667
MAS10914_RS0126260_WP_017318924.1	017318924_Contig_2180_Len927	927	49.1909385113
MAS10914_RS0123825_WP_017318455.1	017318455_Contig_1238_Len1269	1269	43.8928289992
MAS10914_RS0126705_WP_017319010.1	017319010_Contig_290_Len2235	2235	48.0536912752
MAS10914_RS0102360_WP_033365518.1	033365518_Contig_4141_Len414	414	42.270531401
MAS10914_RS0112580_WP_026082523.1	026082523_Contig_2203_Len921	921	45.1682953312
MAS10914_RS0123495_WP_017318393.1	017318393_Contig_1938_Len996	996	48.9959839357
MAS10914_RS0115170_WP_017316793.1	017316793_Contig_4179_Len405	405	41.2345679012
MAS10914_RS0107550_WP_017315309.1	017315309_Contig_1205_Len1281	1281	45.3551912568
MAS10914_RS0112270_WP_017316234.1	017316234_Contig_2104_Len948	948	50.6329113924
MAS10914_RS0128500_WP_017319361.1	017319361_Contig_251_Len2361	2361	46.4210080474
MAS10914_RS0113340_WP_017316439.1	017316439_Contig_1011_Len1380	1380	39.5652173913
MAS10914_RS0106505_WP_026082375.1	026082375_Contig_4825_Len261	261	43.2950191571
MAS10914_RS0101900_WP_017314209.1	017314209_Contig_2380_Len870	870	49.1954022989
MAS10914_RS0101910_WP_017314211.1	017314211_Contig_1930_Len996	996	46.4859437751
MAS10914_RS0110875_WP_017315963.1	017315963_Contig_4299_Len375	375	42.1333333333
MAS10914_RS0111405_WP_017316063.1	017316063_Contig_1361_Len1212	1212	48.8448844884
MAS10914_RS0101130_WP_017314074.1	017314074_Contig_5226_Len192	192	34.8958333333
MAS10914_RS0115165_WP_017316792.1	017316792_Contig_204_Len2520	2520	48.2936507937
MAS10914_RS0106815_WP_017315162.1	017315162_Contig_807_Len1515	1515	34.7854785479
MAS10914_RS0125765_WP_017318831.1	017318831_Contig_769_Len1545	1545	47.9611650485
MAS10914_RS0107260_WP_017315251.1	017315251_Contig_1983_Len981	981	46.7889908257
MAS10914_RS0126955_WP_017319058.1	017319058_Contig_4741_Len279	279	44.0860215054
MAS10914_RS0119680_WP_017317663.1	017317663_Contig_2031_Len969	969	40.0412796698
MAS10914_RS0103265_WP_017314469.1	017314469_Contig_2056_Len960	960	45.3125
MAS10914_RS0120440_WP_017317806.1	017317806_Contig_2330_Len885	885	40.9039548023
MAS10914_RS0126080_WP_017318889.1	017318889_Contig_5312_Len180	180	45.5555555556
MAS10914_RS0122330_WP_017318171.1	017318171_Contig_4813_Len264	264	45.0757575758
MAS10914_RS0110880_WP_017315964.1	017315964_Contig_1841_Len1035	1035	39.7101449275
MAS10914_RS0105250_WP_017314856.1	017314856_Contig_1153_Len1302	1302	34.7158218126
MAS10914_RS0123175_WP_017318336.1	017318336_Contig_4640_Len300	300	45.6666666667
MAS10914_RS0118890_WP_017317515.1	017317515_Contig_1818_Len1044	1044	45.6896551724
MAS10914_RS0127980_WP_017319260.1	017319260_Contig_2422_Len861	861	47.7351916376
MAS10914_RS0127855_WP_017319235.1	017319235_Contig_2128_Len942	942	46.2845010616
MAS10914_RS0110000_WP_017315793.1	017315793_Contig_1879_Len1020	1020	45.0980392157
MAS10914_RS31270_WP_084786429.1	084786429_Contig_2850_Len741	741	31.8488529015
MAS10914_RS0128865_WP_017319430.1	017319430_Contig_2773_Len762	762	46.5879265092
MAS10914_RS0113290_WP_017316429.1	017316429_Contig_1826_Len1041	1041	45.148895293
MAS10914_RS0106980_WP_017315195.1	017315195_Contig_2451_Len849	849	45.347467609
MAS10914_RS30170_WP_033365972.1	033365972_Contig_731_Len1584	1584	44.5707070707
MAS10914_RS0108595_WP_017315516.1	017315516_Contig_1710_Len1080	1080	42.7777777778
MAS10914_RS0117200_WP_017317189.1	017317189_Contig_2977_Len702	702	47.8632478632
MAS10914_RS0122630_WP_017318231.1	017318231_Contig_3059_Len684	684	43.7134502924
MAS10914_RS0100915_WP_017314034.1	017314034_Contig_4679_Len291	291	40.206185567
MAS10914_RS0123540_WP_026082769.1	026082769_Contig_3448_Len579	579	45.9412780656
MAS10914_RS29675_WP_017314979.1	017314979_Contig_2416_Len861	861	40.8826945412
MAS10914_RS0128870_WP_017319431.1	017319431_Contig_2803_Len753	753	44.6215139442
MAS10914_RS0111330_WP_017316048.1	017316048_Contig_1958_Len990	990	43.8383838384
MAS10914_RS0104130_WP_017314638.1	017314638_Contig_3539_Len555	555	43.2432432432
MAS10914_RS0119510_WP_026082676.1	026082676_Contig_4271_Len381	381	44.094488189
MAS10914_RS0113515_WP_017316472.1	017316472_Contig_2555_Len819	819	48.9621489621
MAS10914_RS0117190_WP_026082613.1	026082613_Contig_741_Len1575	1575	50.3492063492
MAS10914_RS0126805_WP_026082843.1	026082843_Contig_4667_Len297	297	45.1178451178
MAS10914_RS0116195_WP_017316995.1	017316995_Contig_1395_Len1194	1194	45.9798994975
MAS10914_RS0123695_WP_017318429.1	017318429_Contig_4872_Len255	255	45.0980392157
MAS10914_RS0113235_WP_017316418.1	017316418_Contig_1825_Len1041	1041	40.441882805
MAS10914_RS0100545_WP_017313963.1	017313963_Contig_2921_Len717	717	42.9567642957
MAS10914_RS0108800_WP_017315557.1	017315557_Contig_1943_Len993	993	41.8932527694
MAS10914_RS0127715_WP_026082862.1	026082862_Contig_2233_Len915	915	43.9344262295
MAS10914_RS0122940_WP_017318294.1	017318294_Contig_338_Len2127	2127	46.732487071
MAS10914_RS0108475_WP_017315493.1	017315493_Contig_1168_Len1293	1293	49.4972931168
MAS10914_RS0112120_WP_017316204.1	017316204_Contig_1329_Len1227	1227	44.4987775061
MAS10914_RS0109365_WP_017315670.1	017315670_Contig_4314_Len372	372	43.8172043011
MAS10914_RS0116480_WP_017317051.1	017317051_Contig_1966_Len987	987	44.4782168186
MAS10914_RS0111440_WP_084786446.1	084786446_Contig_4881_Len252	252	47.619047619
MAS10914_RS0124435_WP_033366513.1	033366513_Contig_3089_Len678	678	47.4926253687
MAS10914_RS30105_WP_017316375.1	017316375_Contig_3017_Len693	693	42.7128427128
MAS10914_RS0109520_WP_017315699.1	017315699_Contig_2953_Len708	708	47.1751412429
MAS10914_RS0109650_WP_017315724.1	017315724_Contig_2796_Len753	753	45.6839309429
MAS10914_RS0113320_WP_017316435.1	017316435_Contig_526_Len1782	1782	46.7452300786
MAS10914_RS0107375_WP_017315274.1	017315274_Contig_1502_Len1161	1161	44.8751076658
MAS10914_RS0127050_WP_017319076.1	017319076_Contig_2222_Len918	918	40.7407407407
MAS10914_RS0103820_WP_017314576.1	017314576_Contig_1765_Len1059	1059	35.5996222852
MAS10914_RS0105655_WP_017314937.1	017314937_Contig_1489_Len1164	1164	47.7663230241
MAS10914_RS0117455_WP_017317237.1	017317237_Contig_1250_Len1260	1260	45.7142857143
MAS10914_RS33260_WP_071599862.1	071599862_Contig_4786_Len270	270	45.1851851852
MAS10914_RS0110385_WP_017315870.1	017315870_Contig_603_Len1677	1677	46.9290399523
MAS10914_RS0118085_WP_017317360.1	017317360_Contig_5054_Len222	222	38.7387387387
MAS10914_RS0128310_WP_017319323.1	017319323_Contig_3285_Len624	624	45.8333333333
MAS10914_RS0101375_WP_017314015.1	017314015_Contig_3760_Len501	501	39.9201596806
MAS10914_RS0128225_WP_017319306.1	017319306_Contig_98_Len3144	3144	37.5318066158
MAS10914_RS0126680_WP_033365463.1	033365463_Contig_4967_Len237	237	47.2573839662
MAS10914_RS0108435_WP_017315485.1	017315485_Contig_2121_Len942	942	43.0997876858
MAS10914_RS0112295_WP_017316239.1	017316239_Contig_3633_Len534	534	44.1947565543
MAS10914_RS0124190_WP_017318528.1	017318528_Contig_4698_Len288	288	35.0694444444
MAS10914_RS0101605_WP_017314158.1	017314158_Contig_1586_Len1125	1125	34.9333333333
MAS10914_RS0128535_WP_084786489.1	084786489_Contig_2503_Len837	837	41.3381123059
MAS10914_RS0124735_WP_017318632.1	017318632_Contig_2769_Len765	765	47.4509803922
MAS10914_RS0113985_WP_033365260.1	033365260_Contig_4537_Len324	324	45.6790123457
MAS10914_RS30495_WP_033364704.1	033364704_Contig_3682_Len525	525	34.4761904762
MAS10914_RS32545_WP_071599792.1	071599792_Contig_5253_Len189	189	38.6243386243
MAS10914_RS0119005_WP_017317538.1	017317538_Contig_558_Len1731	1731	44.5407279029
MAS10914_RS30650_WP_084786384.1	084786384_Contig_4390_Len357	357	32.7731092437
MAS10914_RS0108490_WP_017315496.1	017315496_Contig_2880_Len729	729	46.7764060357
MAS10914_RS0118750_WP_017317487.1	017317487_Contig_2145_Len936	936	47.0085470085
MAS10914_RS0123840_WP_017318458.1	017318458_Contig_2567_Len816	816	42.8921568627
MAS10914_RS0108680_WP_017315532.1	017315532_Contig_1224_Len1275	1275	41.0980392157
MAS10914_RS0125815_WP_017318841.1	017318841_Contig_2909_Len723	723	39.6957123098
MAS10914_RS31220_WP_017319091.1	017319091_Contig_1068_Len1350	1350	45.6296296296
MAS10914_RS0126880_WP_017319044.1	017319044_Contig_3014_Len696	696	43.6781609195
MAS10914_RS0128735_WP_017319405.1	017319405_Contig_1645_Len1101	1101	47.4114441417
MAS10914_RS0121485_WP_017318007.1	017318007_Contig_4795_Len267	267	38.202247191
MAS10914_RS0115835_WP_017316924.1	017316924_Contig_3923_Len462	462	46.7532467532
