Original Name	New Name	Seq Length	 Seq GC
CY51472DRAFT_RS0203450_WP_009543569.1	009543569_Contig_726_Len1542	1542	40.2723735409
CY51472DRAFT_RS0221365_WP_009547598.1	009547598_Contig_4926_Len117	117	35.0427350427
CY51472DRAFT_RS0211505_WP_009544074.1	009544074_Contig_2742_Len672	672	32.5892857143
CY51472DRAFT_RS0209270_WP_009546029.1	009546029_Contig_2874_Len636	636	37.2641509434
CY51472DRAFT_RS0204745_WP_009543315.1	009543315_Contig_1362_Len1161	1161	37.6399655469
CY51472DRAFT_RS0216060_WP_009546921.1	009546921_Contig_295_Len2172	2172	38.1215469613
CY51472DRAFT_RS0218780_WP_009544585.1	009544585_Contig_3657_Len438	438	37.2146118721
CY51472DRAFT_RS0210820_WP_009543939.1	009543939_Contig_337_Len2064	2064	35.5620155039
CY51472DRAFT_RS0222725_WP_009545287.1	009545287_Contig_968_Len1371	1371	37.2720641867
CY51472DRAFT_RS0202290_WP_009543786.1	009543786_Contig_2837_Len645	645	33.023255814
CY51472DRAFT_RS0210890_WP_009543953.1	009543953_Contig_896_Len1416	1416	36.511299435
CY51472DRAFT_RS0212605_WP_012361642.1	012361642_Contig_1906_Len942	942	34.076433121
CY51472DRAFT_RS0204635_WP_009543337.1	009543337_Contig_3461_Len483	483	35.6107660455
CY51472DRAFT_RS0215630_WP_009545881.1	009545881_Contig_1875_Len954	954	44.3396226415
CY51472DRAFT_RS0208295_WP_009546674.1	009546674_Contig_1641_Len1044	1044	33.908045977
CY51472DRAFT_RS0210040_WP_009547149.1	009547149_Contig_48_Len3633	3633	44.7563996697
CY51472DRAFT_RS0208545_WP_009545894.1	009545894_Contig_2731_Len675	675	38.6666666667
CY51472DRAFT_RS0215810_WP_009546873.1	009546873_Contig_1754_Len996	996	45.5823293173
CY51472DRAFT_RS0219160_WP_009544510.1	009544510_Contig_2598_Len720	720	37.3611111111
CY51472DRAFT_RS0220000_WP_009547708.1	009547708_Contig_2378_Len783	783	39.5913154534
CY51472DRAFT_RS0202005_WP_009543842.1	009543842_Contig_1804_Len978	978	40.899795501
CY51472DRAFT_RS0219110_WP_012361971.1	012361971_Contig_2020_Len903	903	35.8803986711
CY51472DRAFT_RS0222220_WP_009545385.1	009545385_Contig_2772_Len663	663	35.2941176471
CY51472DRAFT_RS0201535_WP_009543934.1	009543934_Contig_2934_Len618	618	36.4077669903
CY51472DRAFT_RS0216125_WP_009546933.1	009546933_Contig_1979_Len918	918	33.660130719
CY51472DRAFT_RS0217345_WP_009544868.1	009544868_Contig_725_Len1545	1545	35.9223300971
CY51472DRAFT_RS0202195_WP_024750141.1	024750141_Contig_1060_Len1317	1317	38.1169324222
CY51472DRAFT_RS0212915_WP_009544344.1	009544344_Contig_449_Len1839	1839	36.2153344209
CY51472DRAFT_RS0209515_WP_008275442.1	008275442_Contig_4318_Len288	288	48.2638888889
CY51472DRAFT_RS0219055_WP_009544531.1	009544531_Contig_1990_Len915	915	33.2240437158
CY51472DRAFT_RS0220845_WP_009547479.1	009547479_Contig_1374_Len1158	1158	36.701208981
CY51472DRAFT_RS0208510_WP_009548019.1	009548019_Contig_459_Len1824	1824	41.0087719298
CY51472DRAFT_RS0205220_WP_009543223.1	009543223_Contig_2618_Len711	711	40.5063291139
CY51472DRAFT_RS0207010_WP_009546825.1	009546825_Contig_3893_Len381	381	37.7952755906
CY51472DRAFT_RS0217495_WP_009544840.1	009544840_Contig_442_Len1848	1848	48.2142857143
CY51472DRAFT_RS0207615_WP_009546542.1	009546542_Contig_2989_Len600	600	37.1666666667
CY51472DRAFT_RS0218355_WP_009544670.1	009544670_Contig_154_Len2676	2676	31.8385650224
CY51472DRAFT_RS0213200_WP_009544398.1	009544398_Contig_2538_Len738	738	26.0162601626
CY51472DRAFT_RS0200390_WP_009545098.1	009545098_Contig_510_Len1761	1761	34.0147643384
CY51472DRAFT_RS0212190_WP_009544208.1	009544208_Contig_1751_Len996	996	32.8313253012
CY51472DRAFT_RS0200075_WP_009545160.1	009545160_Contig_4199_Len312	312	35.5769230769
CY51472DRAFT_RS0205630_WP_009543143.1	009543143_Contig_208_Len2451	2451	41.9420644635
CY51472DRAFT_RS0219925_WP_009545072.1	009545072_Contig_1224_Len1221	1221	41.4414414414
CY51472DRAFT_RS0203630_WP_009543532.1	009543532_Contig_1561_Len1074	1074	38.6405959032
CY51472DRAFT_RS0204125_WP_009543436.1	009543436_Contig_287_Len2190	2190	28.2191780822
CY51472DRAFT_RS0218730_WP_009544595.1	009544595_Contig_1822_Len975	975	36.6153846154
CY51472DRAFT_RS0207230_WP_009546467.1	009546467_Contig_1253_Len1209	1209	34.1604631927
CY51472DRAFT_RS0203300_WP_009543599.1	009543599_Contig_4644_Len219	219	36.9863013699
CY51472DRAFT_RS0220600_WP_009547433.1	009547433_Contig_4591_Len231	231	37.6623376623
CY51472DRAFT_RS0223050_WP_009545226.1	009545226_Contig_776_Len1503	1503	30.0731869594
CY51472DRAFT_RS0207800_WP_009546578.1	009546578_Contig_3757_Len411	411	42.8223844282
CY51472DRAFT_RS0208815_WP_009545943.1	009545943_Contig_3630_Len444	444	29.2792792793
CY51472DRAFT_RS0225695_WP_009547728.1	009547728_Contig_49_Len3621	3621	41.8668876001
CY51472DRAFT_RS0211130_WP_009544000.1	009544000_Contig_1919_Len936	936	35.8974358974
CY51472DRAFT_RS0204280_WP_009543406.1	009543406_Contig_4863_Len183	183	28.4153005464
CY51472DRAFT_RS0214810_WP_009545727.1	009545727_Contig_1343_Len1173	1173	40.7502131287
CY51472DRAFT_RS0220275_WP_009547786.1	009547786_Contig_2264_Len822	822	38.9294403893
CY51472DRAFT_RS0211455_WP_009544065.1	009544065_Contig_4796_Len198	198	41.9191919192
CY51472DRAFT_RS0220650_WP_009547442.1	009547442_Contig_1048_Len1326	1326	33.3333333333
CY51472DRAFT_RS0200790_WP_009547193.1	009547193_Contig_103_Len3051	3051	42.8711897738
CY51472DRAFT_RS0209755_WP_009546125.1	009546125_Contig_595_Len1680	1680	44.3452380952
CY51472DRAFT_RS26260_WP_009544347.1	009544347_Contig_4907_Len153	153	42.4836601307
CY51472DRAFT_RS0201135_WP_009547269.1	009547269_Contig_1560_Len1074	1074	33.0540037244
CY51472DRAFT_RS0224120_WP_009547845.1	009547845_Contig_2452_Len762	762	44.3569553806
CY51472DRAFT_RS0218485_WP_009544644.1	009544644_Contig_2370_Len786	786	47.2010178117
CY51472DRAFT_RS0222820_WP_009545270.1	009545270_Contig_2932_Len621	621	32.8502415459
CY51472DRAFT_RS0211720_WP_009544116.1	009544116_Contig_2607_Len714	714	37.5350140056
CY51472DRAFT_RS0200275_WP_009545120.1	009545120_Contig_80_Len3249	3249	39.5198522622
CY51472DRAFT_RS0201920_WP_009543860.1	009543860_Contig_3744_Len414	414	35.9903381643
CY51472DRAFT_RS0220160_WP_009547675.1	009547675_Contig_3349_Len513	513	32.5536062378
CY51472DRAFT_RS0214245_WP_009545622.1	009545622_Contig_2395_Len780	780	45.1282051282
CY51472DRAFT_RS0200800_WP_009547191.1	009547191_Contig_115_Len2991	2991	33.9017051153
CY51472DRAFT_RS0205025_WP_009543260.1	009543260_Contig_702_Len1563	1563	30.8381317978
CY51472DRAFT_RS0201285_WP_009547241.1	009547241_Contig_928_Len1392	1392	41.7385057471
CY51472DRAFT_RS0208265_WP_009546669.1	009546669_Contig_4001_Len360	360	44.1666666667
CY51472DRAFT_RS0211570_WP_009544088.1	009544088_Contig_3932_Len372	372	41.1290322581
CY51472DRAFT_RS0225090_WP_009546391.1	009546391_Contig_2499_Len747	747	39.4912985274
CY51472DRAFT_RS0216395_WP_035857655.1	035857655_Contig_2299_Len813	813	30.5043050431
CY51472DRAFT_RS0220425_WP_009547878.1	009547878_Contig_25_Len4713	4713	42.3085083811
CY51472DRAFT_RS0215760_WP_009546863.1	009546863_Contig_2743_Len672	672	36.1607142857
CY51472DRAFT_RS0206855_WP_009546796.1	009546796_Contig_993_Len1359	1359	43.7821927888
CY51472DRAFT_RS0208310_WP_009546677.1	009546677_Contig_1127_Len1275	1275	43.8431372549
CY51472DRAFT_RS0213345_WP_024750274.1	024750274_Contig_3473_Len480	480	40.8333333333
CY51472DRAFT_RS0205940_WP_009543087.1	009543087_Contig_3978_Len363	363	41.5977961433
CY51472DRAFT_RS0210760_WP_009547011.1	009547011_Contig_667_Len1605	1605	43.1775700935
CY51472DRAFT_RS0209060_WP_009545987.1	009545987_Contig_1797_Len981	981	32.1100917431
CY51472DRAFT_RS0217275_WP_009544881.1	009544881_Contig_3346_Len513	513	38.5964912281
CY51472DRAFT_RS0210440_WP_009547075.1	009547075_Contig_1302_Len1188	1188	44.7811447811
CY51472DRAFT_RS0201595_WP_009543923.1	009543923_Contig_1189_Len1239	1239	38.2566585956
CY51472DRAFT_RS0210045_WP_009547148.1	009547148_Contig_2085_Len882	882	30.1587301587
CY51472DRAFT_RS0217965_WP_009544746.1	009544746_Contig_2067_Len888	888	38.4009009009
CY51472DRAFT_RS0209315_WP_009546038.1	009546038_Contig_1570_Len1071	1071	43.4173669468
CY51472DRAFT_RS0220170_WP_009547673.1	009547673_Contig_2713_Len681	681	35.8296622614
CY51472DRAFT_RS0216500_WP_009547005.1	009547005_Contig_4562_Len237	237	35.4430379747
CY51472DRAFT_RS0214650_WP_009545698.1	009545698_Contig_207_Len2454	2454	44.8655256724
CY51472DRAFT_RS0223910_WP_009546185.1	009546185_Contig_3904_Len378	378	32.5396825397
CY51472DRAFT_RS0219075_WP_009544527.1	009544527_Contig_1489_Len1104	1104	42.8442028986
CY51472DRAFT_RS0224430_WP_012362662.1	012362662_Contig_1843_Len963	963	37.1754932503
CY51472DRAFT_RS0206510_WP_009546730.1	009546730_Contig_382_Len1965	1965	36.1323155216
CY51472DRAFT_RS0209610_WP_009546097.1	009546097_Contig_3093_Len573	573	35.0785340314
CY51472DRAFT_RS0202060_WP_007304701.1	007304701_Contig_4168_Len318	318	40.8805031447
CY51472DRAFT_RS0204955_WP_024750167.1	024750167_Contig_4864_Len183	183	34.4262295082
CY51472DRAFT_RS0209770_WP_009546129.1	009546129_Contig_815_Len1470	1470	32.6530612245
CY51472DRAFT_RS0222155_WP_009545398.1	009545398_Contig_3019_Len594	594	30.1346801347
CY51472DRAFT_RS0214900_WP_009545743.1	009545743_Contig_3727_Len420	420	30.0
CY51472DRAFT_RS0213730_WP_009545522.1	009545522_Contig_88_Len3165	3165	39.9052132701
CY51472DRAFT_RS0219015_WP_009544539.1	009544539_Contig_4479_Len255	255	34.1176470588
CY51472DRAFT_RS0200175_WP_009545140.1	009545140_Contig_2382_Len780	780	45.3846153846
CY51472DRAFT_RS0214995_WP_009545761.1	009545761_Contig_4740_Len207	207	30.4347826087
CY51472DRAFT_RS0217415_WP_009544854.1	009544854_Contig_3270_Len537	537	32.0297951583
CY51472DRAFT_RS0211800_WP_009544134.1	009544134_Contig_3310_Len525	525	40.1904761905
CY51472DRAFT_RS0210680_WP_009547027.1	009547027_Contig_3336_Len516	516	42.8294573643
CY51472DRAFT_RS0204705_WP_009543322.1	009543322_Contig_856_Len1443	1443	38.0457380457
CY51472DRAFT_RS0212100_WP_009544192.1	009544192_Contig_1388_Len1152	1152	37.2395833333
CY51472DRAFT_RS0210070_WP_009547143.1	009547143_Contig_1563_Len1074	1074	45.3445065177
CY51472DRAFT_RS0205010_WP_009543263.1	009543263_Contig_1766_Len990	990	41.4141414141
CY51472DRAFT_RS0223660_WP_009546235.1	009546235_Contig_1436_Len1128	1128	37.5
CY51472DRAFT_RS0218320_WP_009544677.1	009544677_Contig_522_Len1752	1752	43.2648401826
CY51472DRAFT_RS0214470_WP_009545665.1	009545665_Contig_653_Len1617	1617	36.1781076067
CY51472DRAFT_RS0214260_WP_009545625.1	009545625_Contig_4476_Len255	255	47.8431372549
CY51472DRAFT_RS0200655_WP_009545050.1	009545050_Contig_1676_Len1029	1029	37.3177842566
CY51472DRAFT_RS0219610_WP_009547369.1	009547369_Contig_1469_Len1113	1113	41.2398921833
CY51472DRAFT_RS0209495_WP_009546073.1	009546073_Contig_2193_Len846	846	44.4444444444
CY51472DRAFT_RS0203235_WP_009543608.1	009543608_Contig_3993_Len360	360	34.7222222222
CY51472DRAFT_RS0211135_WP_009544001.1	009544001_Contig_2335_Len798	798	31.4536340852
CY51472DRAFT_RS0206010_WP_009543072.1	009543072_Contig_1696_Len1020	1020	44.9019607843
CY51472DRAFT_RS0206260_WP_009548023.1	009548023_Contig_4543_Len240	240	27.9166666667
CY51472DRAFT_RS0202755_WP_009543695.1	009543695_Contig_2923_Len621	621	31.5619967794
CY51472DRAFT_RS0213920_WP_009545559.1	009545559_Contig_2875_Len636	636	29.7169811321
CY51472DRAFT_RS0214740_WP_009545715.1	009545715_Contig_2048_Len894	894	38.9261744966
CY51472DRAFT_RS0212910_WP_009544343.1	009544343_Contig_3445_Len486	486	41.975308642
CY51472DRAFT_RS0217080_WP_083765735.1	083765735_Contig_3912_Len378	378	42.0634920635
CY51472DRAFT_RS0219395_WP_009547325.1	009547325_Contig_4891_Len171	171	30.4093567251
CY51472DRAFT_RS0211550_WP_009544083.1	009544083_Contig_3554_Len462	462	32.4675324675
CY51472DRAFT_RS0205045_WP_009543256.1	009543256_Contig_2689_Len687	687	34.9344978166
CY51472DRAFT_RS0221670_WP_009545494.1	009545494_Contig_3667_Len435	435	29.6551724138
CY51472DRAFT_RS0201330_WP_009547232.1	009547232_Contig_4834_Len189	189	47.619047619
CY51472DRAFT_RS0214555_WP_009545681.1	009545681_Contig_2545_Len735	735	35.3741496599
CY51472DRAFT_RS0202275_WP_009543789.1	009543789_Contig_2511_Len744	744	35.752688172
CY51472DRAFT_RS0221655_WP_008273172.1	008273172_Contig_4153_Len324	324	45.0617283951
CY51472DRAFT_RS0209520_WP_009546077.1	009546077_Contig_1371_Len1158	1158	51.4680483592
CY51472DRAFT_RS0224825_WP_009546444.1	009546444_Contig_156_Len2670	2670	39.8876404494
CY51472DRAFT_RS0216595_WP_009545019.1	009545019_Contig_2622_Len711	711	38.6779184248
CY51472DRAFT_RS0217195_WP_009544899.1	009544899_Contig_579_Len1689	1689	37.3001776199
CY51472DRAFT_RS0211260_WP_009544025.1	009544025_Contig_2147_Len861	861	38.3275261324
CY51472DRAFT_RS0205110_WP_009543244.1	009543244_Contig_2070_Len885	885	35.3672316384
CY51472DRAFT_RS0202160_WP_009543812.1	009543812_Contig_2855_Len639	639	42.8794992175
CY51472DRAFT_RS0203850_WP_009543489.1	009543489_Contig_925_Len1395	1395	44.0860215054
CY51472DRAFT_RS0203725_WP_012362450.1	012362450_Contig_229_Len2352	2352	33.9710884354
CY51472DRAFT_RS0213720_WP_009545520.1	009545520_Contig_4378_Len276	276	30.7971014493
CY51472DRAFT_RS0211500_WP_009544073.1	009544073_Contig_918_Len1401	1401	45.7530335475
CY51472DRAFT_RS0221895_WP_009545450.1	009545450_Contig_1139_Len1269	1269	38.061465721
CY51472DRAFT_RS0223580_WP_009546250.1	009546250_Contig_862_Len1440	1440	46.1111111111
CY51472DRAFT_RS0216700_WP_009544998.1	009544998_Contig_2482_Len753	753	35.0597609562
CY51472DRAFT_RS0211385_WP_009544051.1	009544051_Contig_4107_Len336	336	33.9285714286
CY51472DRAFT_RS27075_WP_009544577.1	009544577_Contig_4888_Len174	174	32.7586206897
CY51472DRAFT_RS0218525_WP_009544636.1	009544636_Contig_4590_Len231	231	45.8874458874
