Original Name	New Name	Seq Length	 Seq GC
BH720_RS03855_WP_069965843.1	069965843_Contig_2838_Len732	732	51.7759562842
BH720_RS22815_WP_069969523.1	069969523_Contig_3225_Len627	627	49.7607655502
BH720_RS17480_WP_069968499.1	069968499_Contig_1498_Len1179	1179	52.3324851569
BH720_RS04260_WP_069965925.1	069965925_Contig_1642_Len1110	1110	56.3963963964
BH720_RS24805_WP_069969914.1	069969914_Contig_1467_Len1191	1191	51.973131822
BH720_RS00805_WP_069965250.1	069965250_Contig_4397_Len309	309	46.6019417476
BH720_RS13780_WP_069967798.1	069967798_Contig_618_Len1788	1788	51.1185682327
BH720_RS23475_WP_069969658.1	069969658_Contig_2893_Len720	720	57.2222222222
BH720_RS02470_WP_083263212.1	083263212_Contig_2206_Len915	915	50.9289617486
BH720_RS16035_WP_083263441.1	083263441_Contig_426_Len2121	2121	50.4479019331
BH720_RS09015_WP_069966859.1	069966859_Contig_874_Len1524	1524	50.3937007874
BH720_RS18690_WP_069968745.1	069968745_Contig_837_Len1566	1566	48.4035759898
BH720_RS00335_WP_069965157.1	069965157_Contig_499_Len1965	1965	53.1297709924
BH720_RS15085_WP_069968087.1	069968087_Contig_3812_Len459	459	49.4553376906
BH720_RS23165_WP_069969622.1	069969622_Contig_3166_Len645	645	47.5968992248
BH720_RS16140_WP_069968250.1	069968250_Contig_4036_Len405	405	49.8765432099
BH720_RS02825_WP_069965642.1	069965642_Contig_219_Len2730	2730	36.2637362637
BH720_RS09000_WP_069966856.1	069966856_Contig_3842_Len453	453	40.3973509934
BH720_RS06335_WP_069966325.1	069966325_Contig_1503_Len1176	1176	46.343537415
BH720_RS16650_WP_069968347.1	069968347_Contig_1691_Len1095	1095	41.5525114155
BH720_RS06100_WP_083263268.1	083263268_Contig_3383_Len579	579	54.5768566494
BH720_RS03990_WP_069965869.1	069965869_Contig_2692_Len774	774	50.0
BH720_RS20265_WP_069969038.1	069969038_Contig_1704_Len1092	1092	52.0146520147
BH720_RS22660_WP_069969495.1	069969495_Contig_1530_Len1167	1167	50.0428449015
BH720_RS13695_WP_069967778.1	069967778_Contig_3130_Len654	654	44.1896024465
BH720_RS21975_WP_069969365.1	069969365_Contig_3858_Len450	450	43.7777777778
BH720_RS14685_WP_069967963.1	069967963_Contig_4549_Len267	267	50.936329588
BH720_RS03740_WP_069965824.1	069965824_Contig_245_Len2601	2601	48.8273740869
BH720_RS22080_WP_083263520.1	083263520_Contig_3792_Len465	465	51.8279569892
BH720_RS14940_WP_069968009.1	069968009_Contig_3958_Len426	426	50.7042253521
BH720_RS23090_WP_069969573.1	069969573_Contig_3913_Len438	438	46.3470319635
BH720_RS12185_WP_069967483.1	069967483_Contig_376_Len2241	2241	50.0669344043
BH720_RS22010_WP_069969374.1	069969374_Contig_2002_Len987	987	40.8308004053
BH720_RS20785_WP_083263504.1	083263504_Contig_1443_Len1203	1203	53.8653366584
BH720_RS02960_WP_069965667.1	069965667_Contig_3097_Len663	663	40.2714932127
BH720_RS02900_WP_069965655.1	069965655_Contig_3541_Len534	534	50.5617977528
BH720_RS21100_WP_069969194.1	069969194_Contig_901_Len1506	1506	50.1328021248
BH720_RS09700_WP_069966991.1	069966991_Contig_2103_Len954	954	48.1132075472
BH720_RS00095_WP_069965119.1	069965119_Contig_4383_Len312	312	54.8076923077
BH720_RS04575_WP_069965998.1	069965998_Contig_621_Len1782	1782	50.1122334456
BH720_RS13620_WP_069967765.1	069967765_Contig_3592_Len522	522	51.1494252874
BH720_RS09820_WP_069967024.1	069967024_Contig_2116_Len948	948	55.3797468354
BH720_RS11085_WP_069967251.1	069967251_Contig_1745_Len1077	1077	51.4391829155
BH720_RS19215_WP_069968844.1	069968844_Contig_2718_Len768	768	50.78125
BH720_RS19515_WP_069968894.1	069968894_Contig_3752_Len474	474	47.0464135021
BH720_RS16820_WP_069968382.1	069968382_Contig_4462_Len291	291	43.9862542955
BH720_RS00740_WP_069965231.1	069965231_Contig_569_Len1860	1860	50.2688172043
BH720_RS02330_WP_069965603.1	069965603_Contig_1764_Len1071	1071	51.2605042017
BH720_RS21570_WP_069969335.1	069969335_Contig_4803_Len207	207	43.4782608696
BH720_RS14340_WP_069967902.1	069967902_Contig_2569_Len813	813	51.0455104551
BH720_RS23545_WP_069969673.1	069969673_Contig_466_Len2049	2049	52.4158125915
BH720_RS00660_WP_069965215.1	069965215_Contig_627_Len1767	1767	48.3305036786
BH720_RS26265_WP_071958209.1	071958209_Contig_4943_Len180	180	53.3333333333
BH720_RS01925_WP_069965460.1	069965460_Contig_1566_Len1146	1146	39.0052356021
BH720_RS25505_WP_069970061.1	069970061_Contig_2065_Len969	969	51.5995872033
BH720_RS12765_WP_069967591.1	069967591_Contig_3966_Len423	423	49.8817966903
BH720_RS08450_WP_069966747.1	069966747_Contig_278_Len2499	2499	49.6598639456
BH720_RS24720_WP_069969899.1	069969899_Contig_4619_Len249	249	43.3734939759
BH720_RS00450_WP_069965177.1	069965177_Contig_1680_Len1098	1098	40.1639344262
BH720_RS17230_WP_069968458.1	069968458_Contig_1340_Len1257	1257	48.6873508353
BH720_RS04240_WP_069965921.1	069965921_Contig_2750_Len756	756	41.2698412698
BH720_RS03655_WP_069965798.1	069965798_Contig_1751_Len1074	1074	44.5065176909
BH720_RS11985_WP_069967442.1	069967442_Contig_405_Len2181	2181	52.6364053187
BH720_RS19920_WP_069968967.1	069968967_Contig_4576_Len261	261	53.2567049808
BH720_RS23570_WP_069969678.1	069969678_Contig_685_Len1706	1706	45.427901524
BH720_RS05105_WP_069966094.1	069966094_Contig_978_Len1452	1452	47.2451790634
BH720_RS08890_WP_069966835.1	069966835_Contig_1398_Len1224	1224	46.7320261438
BH720_RS01100_WP_069965300.1	069965300_Contig_472_Len2037	2037	54.0500736377
BH720_RS02145_WP_069965509.1	069965509_Contig_1633_Len1113	1113	53.1895777179
BH720_RS21315_WP_069969234.1	069969234_Contig_4447_Len297	297	49.4949494949
BH720_RS07745_WP_069966607.1	069966607_Contig_1437_Len1206	1206	49.087893864
BH720_RS11690_WP_069967383.1	069967383_Contig_2410_Len852	852	52.4647887324
BH720_RS20275_WP_069969040.1	069969040_Contig_3994_Len417	417	48.4412470024
BH720_RS22390_WP_069969445.1	069969445_Contig_666_Len1731	1731	49.2201039861
BH720_RS21780_WP_069969314.1	069969314_Contig_4781_Len213	213	40.8450704225
BH720_RS07875_WP_069966638.1	069966638_Contig_4493_Len282	282	47.1631205674
BH720_RS16105_WP_069968243.1	069968243_Contig_2231_Len909	909	50.9350935094
BH720_RS01290_WP_069965369.1	069965369_Contig_1956_Len1002	1002	50.6986027944
BH720_RS24745_WP_069969903.1	069969903_Contig_3806_Len462	462	36.5800865801
BH720_RS10985_WP_069967293.1	069967293_Contig_4635_Len243	243	41.975308642
BH720_RS06195_WP_069966301.1	069966301_Contig_3641_Len504	504	50.0
BH720_RS16155_WP_069968253.1	069968253_Contig_2147_Len939	939	44.4089456869
BH720_RS22385_WP_069969444.1	069969444_Contig_4301_Len336	336	38.0952380952
BH720_RS12730_WP_069967584.1	069967584_Contig_626_Len1770	1770	51.1299435028
BH720_RS08670_WP_069966828.1	069966828_Contig_3825_Len456	456	52.4122807018
BH720_RS08410_WP_069966769.1	069966769_Contig_1060_Len1407	1407	53.091684435
BH720_RS12260_WP_083263375.1	083263375_Contig_3410_Len573	573	50.6108202443
BH720_RS22025_WP_069969387.1	069969387_Contig_881_Len1521	1521	51.5450361604
BH720_RS18595_WP_069968726.1	069968726_Contig_1537_Len1164	1164	52.3195876289
BH720_RS02790_WP_069965636.1	069965636_Contig_2006_Len984	984	53.1504065041
BH720_RS15215_WP_069968072.1	069968072_Contig_4845_Len198	198	50.5050505051
BH720_RS09425_WP_069966938.1	069966938_Contig_3520_Len540	540	50.9259259259
BH720_RS10555_WP_069967161.1	069967161_Contig_2145_Len939	939	51.7571884984
BH720_RS18130_WP_069968637.1	069968637_Contig_2172_Len930	930	44.4086021505
BH720_RS01545_WP_069965392.1	069965392_Contig_1380_Len1233	1233	54.2579075426
BH720_RS25885_WP_071958145.1	071958145_Contig_4896_Len189	189	43.9153439153
BH720_RS20510_WP_083263498.1	083263498_Contig_1880_Len1035	1035	52.270531401
BH720_RS08390_WP_069966736.1	069966736_Contig_1018_Len1431	1431	49.8951781971
BH720_RS14680_WP_069967962.1	069967962_Contig_4171_Len369	369	49.593495935
BH720_RS16370_WP_069968296.1	069968296_Contig_2255_Len900	900	49.5555555556
BH720_RS05515_WP_069966175.1	069966175_Contig_708_Len1686	1686	53.2028469751
BH720_RS09860_WP_069967026.1	069967026_Contig_289_Len2469	2469	46.8610773593
BH720_RS12040_WP_069967453.1	069967453_Contig_871_Len1527	1527	49.9672560576
BH720_RS16045_WP_083263436.1	083263436_Contig_2856_Len729	729	48.6968449931
BH720_RS12910_WP_069967624.1	069967624_Contig_1228_Len1314	1314	42.6940639269
BH720_RS18360_WP_069968676.1	069968676_Contig_356_Len2295	2295	51.1546840959
BH720_RS24785_WP_069969911.1	069969911_Contig_3488_Len552	552	48.731884058
BH720_RS05840_WP_069966238.1	069966238_Contig_1659_Len1104	1104	39.4927536232
BH720_RS03120_WP_069965695.1	069965695_Contig_4439_Len297	297	49.1582491582
BH720_RS17675_WP_069968536.1	069968536_Contig_4436_Len300	300	46.0
BH720_RS07945_WP_069966650.1	069966650_Contig_4494_Len282	282	38.2978723404
BH720_RS16875_WP_069968393.1	069968393_Contig_1536_Len1164	1164	50.6872852234
BH720_RS15430_WP_069968132.1	069968132_Contig_4484_Len285	285	45.9649122807
BH720_RS12895_WP_069967622.1	069967622_Contig_3689_Len489	489	43.9672801636
BH720_RS08650_WP_069966788.1	069966788_Contig_2724_Len765	765	55.1633986928
BH720_RS13135_WP_069967667.1	069967667_Contig_2583_Len807	807	47.70755886
BH720_RS26210_WP_006515950.1	006515950_Contig_4625_Len246	246	53.6585365854
BH720_RS19770_WP_069968938.1	069968938_Contig_3993_Len417	417	47.0023980815
BH720_RS00435_WP_069965174.1	069965174_Contig_1724_Len1083	1083	51.1542012927
BH720_RS00530_WP_069965193.1	069965193_Contig_374_Len2244	2244	50.935828877
BH720_RS26590_WP_083263564.1	083263564_Contig_3881_Len447	447	49.8881431767
BH720_RS01845_WP_069965445.1	069965445_Contig_880_Len1521	1521	43.9842209073
BH720_RS18610_WP_069968729.1	069968729_Contig_4194_Len363	363	50.1377410468
BH720_RS10690_WP_083263349.1	083263349_Contig_875_Len1524	1524	51.6404199475
BH720_RS14655_WP_083263414.1	083263414_Contig_527_Len1929	1929	52.1513737688
BH720_RS16165_WP_083263444.1	083263444_Contig_592_Len1824	1824	51.8640350877
BH720_RS21505_WP_069969268.1	069969268_Contig_4605_Len252	252	48.8095238095
BH720_RS19980_WP_069968977.1	069968977_Contig_1329_Len1263	1263	51.2272367379
BH720_RS19150_WP_069968827.1	069968827_Contig_2651_Len789	789	50.0633713561
BH720_RS06835_WP_069966429.1	069966429_Contig_1073_Len1401	1401	52.3197715917
BH720_RS21195_WP_069969213.1	069969213_Contig_3080_Len669	669	44.6935724963
BH720_RS13245_WP_069967687.1	069967687_Contig_827_Len1575	1575	51.0476190476
BH720_RS22695_WP_069969502.1	069969502_Contig_2833_Len735	735	49.1156462585
BH720_RS09330_WP_069966920.1	069966920_Contig_2579_Len807	807	49.4423791822
BH720_RS15435_WP_069968111.1	069968111_Contig_522_Len1935	1935	50.7493540052
BH720_RS03625_WP_069965794.1	069965794_Contig_2109_Len951	951	49.6319663512
BH720_RS01800_WP_069965436.1	069965436_Contig_4853_Len195	195	52.8205128205
BH720_RS16925_WP_083263461.1	083263461_Contig_145_Len3144	3144	52.3536895674
BH720_RS22330_WP_069969432.1	069969432_Contig_1586_Len1137	1137	49.4283201407
BH720_RS09450_WP_071958139.1	071958139_Contig_1197_Len1335	1335	52.4344569288
BH720_RS22045_WP_069969380.1	069969380_Contig_3151_Len651	651	48.2334869432
BH720_RS15595_WP_069968147.1	069968147_Contig_326_Len2382	2382	52.8967254408
BH720_RS15090_WP_069968050.1	069968050_Contig_1127_Len1374	1374	52.2561863173
BH720_RS12105_WP_069967466.1	069967466_Contig_1588_Len1134	1134	47.1781305115
BH720_RS12050_WP_069967455.1	069967455_Contig_4740_Len219	219	45.2054794521
BH720_RS17875_WP_069968586.1	069968586_Contig_2476_Len834	834	55.1558752998
BH720_RS14725_WP_069967971.1	069967971_Contig_2179_Len927	927	53.8295577131
BH720_RS16285_WP_069968280.1	069968280_Contig_811_Len1590	1590	48.6163522013
BH720_RS09805_WP_069967006.1	069967006_Contig_1429_Len1209	1209	51.2820512821
BH720_RS11525_WP_069967351.1	069967351_Contig_1980_Len993	993	51.0574018127
BH720_RS00465_WP_069965180.1	069965180_Contig_3207_Len630	630	51.746031746
BH720_RS19400_WP_069968880.1	069968880_Contig_4084_Len393	393	50.1272264631
BH720_RS23055_WP_069969567.1	069969567_Contig_205_Len2772	2772	48.088023088
BH720_RS14085_WP_069967855.1	069967855_Contig_2239_Len906	906	44.591611479
BH720_RS01495_WP_083263199.1	083263199_Contig_2327_Len876	876	47.9452054795
BH720_RS24675_WP_069969890.1	069969890_Contig_3634_Len510	510	50.5882352941
BH720_RS06490_WP_069966352.1	069966352_Contig_724_Len1677	1677	47.167561121
BH720_RS00655_WP_069965214.1	069965214_Contig_3316_Len597	597	48.2412060302
BH720_RS21385_WP_069969245.1	069969245_Contig_3134_Len654	654	48.0122324159
BH720_RS08385_WP_069966735.1	069966735_Contig_4670_Len231	231	48.0519480519
BH720_RS15770_WP_069968183.1	069968183_Contig_3772_Len468	468	39.5299145299
BH720_RS16915_WP_069968400.1	069968400_Contig_3351_Len588	588	51.3605442177
BH720_RS15525_WP_069968135.1	069968135_Contig_3085_Len666	666	48.048048048
BH720_RS05440_WP_069966156.1	069966156_Contig_3493_Len549	549	50.0910746812
BH720_RS19160_WP_069968829.1	069968829_Contig_3940_Len432	432	35.6481481481
BH720_RS13060_WP_069967654.1	069967654_Contig_2866_Len726	726	51.652892562
BH720_RS18890_WP_069968779.1	069968779_Contig_4391_Len312	312	48.0769230769
BH720_RS21735_WP_069969306.1	069969306_Contig_3831_Len456	456	51.3157894737
BH720_RS15470_WP_069968118.1	069968118_Contig_3909_Len438	438	49.0867579909
BH720_RS22055_WP_069969382.1	069969382_Contig_2576_Len810	810	49.8765432099
BH720_RS06230_WP_069966308.1	069966308_Contig_2963_Len699	699	52.217453505
BH720_RS22600_WP_069969486.1	069969486_Contig_4231_Len354	354	50.0
BH720_RS10120_WP_069967074.1	069967074_Contig_2901_Len717	717	49.5118549512
BH720_RS18910_WP_069968782.1	069968782_Contig_2745_Len759	759	50.1976284585
BH720_RS20995_WP_069969174.1	069969174_Contig_4929_Len183	183	50.2732240437
BH720_RS23035_WP_069969563.1	069969563_Contig_3509_Len546	546	50.1831501832
BH720_RS23540_WP_069969672.1	069969672_Contig_1141_Len1368	1368	51.9736842105
BH720_RS05015_WP_083263248.1	083263248_Contig_575_Len1851	1851	48.4602917342
BH720_RS07330_WP_069966525.1	069966525_Contig_1922_Len1014	1014	49.9013806706
BH720_RS15265_WP_069968079.1	069968079_Contig_4096_Len390	390	49.4871794872
BH720_RS03015_WP_069965678.1	069965678_Contig_601_Len1809	1809	51.4096185738
BH720_RS07600_WP_069966581.1	069966581_Contig_4142_Len378	378	48.4126984127
BH720_RS13360_WP_069967712.1	069967712_Contig_4285_Len339	339	38.0530973451
BH720_RS05540_WP_069966179.1	069966179_Contig_2288_Len888	888	46.2837837838
BH720_RS07275_WP_069966517.1	069966517_Contig_4593_Len255	255	43.5294117647
BH720_RS19675_WP_069968923.1	069968923_Contig_1083_Len1398	1398	50.5722460658
BH720_RS05230_WP_083263255.1	083263255_Contig_3724_Len480	480	42.2916666667
BH720_RS14450_WP_069967920.1	069967920_Contig_2672_Len780	780	48.2051282051
BH720_RS02865_WP_069965649.1	069965649_Contig_843_Len1557	1557	50.7385998715
BH720_RS04395_WP_069965947.1	069965947_Contig_1509_Len1173	1173	48.8491048593
BH720_RS15680_WP_069968162.1	069968162_Contig_3053_Len678	678	46.7551622419
BH720_RS15555_WP_069968140.1	069968140_Contig_218_Len2733	2733	54.6286132455
