Original Name	New Name	Seq Length	 Seq GC
GlitD10_RS15395_WP_084111699.1	084111699_Contig_2722_Len237	237	42.6160337553
GlitD10_RS14730_WP_071455596.1	071455596_Contig_118_Len2190	2190	50.8219178082
GlitD10_RS00840_WP_071453205.1	071453205_Contig_1176_Len891	891	59.2592592593
GlitD10_RS12170_WP_071455158.1	071455158_Contig_2604_Len273	273	48.7179487179
GlitD10_RS15230_WP_084111513.1	084111513_Contig_2888_Len177	177	57.0621468927
GlitD10_RS03655_WP_071453702.1	071453702_Contig_2286_Len387	387	51.4211886305
GlitD10_RS08200_WP_071454471.1	071454471_Contig_2083_Len465	465	40.0
GlitD10_RS04075_WP_071453769.1	071453769_Contig_469_Len1371	1371	42.3048869438
GlitD10_RS04305_WP_071453804.1	071453804_Contig_23_Len3387	3387	53.97106584
GlitD10_RS10330_WP_071454843.1	071454843_Contig_2420_Len333	333	57.0570570571
GlitD10_RS08980_WP_071454609.1	071454609_Contig_26_Len3288	3288	50.7907542579
GlitD10_RS07325_WP_071454316.1	071454316_Contig_183_Len1905	1905	56.2204724409
GlitD10_RS12800_WP_071455267.1	071455267_Contig_2625_Len267	267	57.6779026217
GlitD10_RS06710_WP_071455766.1	071455766_Contig_1931_Len531	531	62.3352165725
GlitD10_RS05525_WP_071454007.1	071454007_Contig_951_Len1014	1014	52.3668639053
GlitD10_RS07705_WP_071454380.1	071454380_Contig_317_Len1590	1590	54.4025157233
GlitD10_RS07265_WP_071454307.1	071454307_Contig_1834_Len573	573	58.8132635253
GlitD10_RS00910_WP_071453217.1	071453217_Contig_2638_Len261	261	54.0229885057
GlitD10_RS08180_WP_071454467.1	071454467_Contig_2646_Len261	261	54.4061302682
GlitD10_RS11910_WP_084111747.1	084111747_Contig_2352_Len360	360	56.9444444444
GlitD10_RS02115_WP_071453426.1	071453426_Contig_1776_Len591	591	50.9306260575
GlitD10_RS05355_WP_071453975.1	071453975_Contig_1946_Len525	525	55.619047619
GlitD10_RS06110_WP_071455754.1	071455754_Contig_2814_Len207	207	41.0628019324
GlitD10_RS04595_WP_071453851.1	071453851_Contig_2099_Len459	459	56.2091503268
GlitD10_RS15400_WP_084111706.1	084111706_Contig_2874_Len189	189	47.0899470899
GlitD10_RS07855_WP_071454410.1	071454410_Contig_2748_Len228	228	42.9824561404
GlitD10_RS00235_WP_084111383.1	084111383_Contig_2414_Len333	333	50.4504504505
GlitD10_RS11050_WP_071454965.1	071454965_Contig_1531_Len699	699	59.9427753934
GlitD10_RS06700_WP_071454212.1	071454212_Contig_1958_Len519	519	35.4527938343
GlitD10_RS09275_WP_071454663.1	071454663_Contig_2184_Len432	432	59.9537037037
GlitD10_RS11025_WP_071454961.1	071454961_Contig_145_Len2049	2049	52.1229868228
GlitD10_RS09800_WP_071454753.1	071454753_Contig_1695_Len624	624	61.858974359
GlitD10_RS09315_WP_071454671.1	071454671_Contig_88_Len2382	2382	53.1905961377
GlitD10_RS08820_WP_071454579.1	071454579_Contig_896_Len1038	1038	41.5221579961
GlitD10_RS04125_WP_071453777.1	071453777_Contig_35_Len3099	3099	43.7560503388
GlitD10_RS08395_WP_071454506.1	071454506_Contig_1981_Len510	510	62.5490196078
GlitD10_RS08035_WP_071454442.1	071454442_Contig_711_Len1161	1161	58.8285960379
GlitD10_RS04895_WP_071453902.1	071453902_Contig_2154_Len441	441	39.0022675737
GlitD10_RS06035_WP_071454097.1	071454097_Contig_1062_Len954	954	59.748427673
GlitD10_RS03625_WP_071453698.1	071453698_Contig_1810_Len582	582	59.1065292096
GlitD10_RS14645_WP_084111861.1	084111861_Contig_2392_Len348	348	34.4827586207
GlitD10_RS02735_WP_071453539.1	071453539_Contig_1628_Len654	654	42.8134556575
GlitD10_RS05060_WP_071453928.1	071453928_Contig_1698_Len621	621	58.615136876
GlitD10_RS15365_WP_084111673.1	084111673_Contig_1307_Len816	816	48.0392156863
GlitD10_RS13210_WP_071455336.1	071455336_Contig_1925_Len534	534	55.9925093633
GlitD10_RS10250_WP_071454830.1	071454830_Contig_34_Len3159	3159	49.5093383982
GlitD10_RS13780_WP_071455435.1	071455435_Contig_2213_Len420	420	50.7142857143
GlitD10_RS01565_WP_071453331.1	071453331_Contig_510_Len1332	1332	43.8438438438
GlitD10_RS00575_WP_071453162.1	071453162_Contig_1869_Len558	558	50.5376344086
GlitD10_RS14615_WP_071455578.1	071455578_Contig_1806_Len585	585	49.0598290598
GlitD10_RS13315_WP_071455351.1	071455351_Contig_1037_Len966	966	55.2795031056
GlitD10_RS04665_WP_071453863.1	071453863_Contig_354_Len1536	1536	58.203125
GlitD10_RS01355_WP_071453297.1	071453297_Contig_982_Len993	993	38.1671701913
GlitD10_RS06905_WP_071454245.1	071454245_Contig_1933_Len531	531	51.0357815443
GlitD10_RS07080_WP_099092479.1	099092479_Contig_1006_Len981	981	59.7349643221
GlitD10_RS08630_WP_071454546.1	071454546_Contig_937_Len1023	1023	48.8758553275
GlitD10_RS11780_WP_071455087.1	071455087_Contig_1439_Len744	744	32.123655914
GlitD10_RS05975_WP_071454086.1	071454086_Contig_1797_Len585	585	44.9572649573
GlitD10_RS04140_WP_084111464.1	084111464_Contig_2066_Len471	471	33.7579617834
GlitD10_RS15630_WP_099092466.1	099092466_Contig_2903_Len147	147	46.9387755102
GlitD10_RS14690_WP_071455590.1	071455590_Contig_991_Len990	990	56.5656565657
GlitD10_RS05765_WP_099092521.1	099092521_Contig_412_Len1446	1446	48.9626556017
