Original Name	New Name	Seq Length	 Seq GC
CYLST_RS03525_WP_015206326.1	015206326_Contig_1384_Len1299	1299	34.5650500385
CYLST_RS15750_WP_015208716.1	015208716_Contig_117_Len3390	3390	47.4631268437
CYLST_RS16410_WP_015208849.1	015208849_Contig_4464_Len456	456	46.0526315789
CYLST_RS27680_WP_015211046.1	015211046_Contig_2176_Len1026	1026	48.7329434698
CYLST_RS31030_WP_041233187.1	041233187_Contig_4896_Len378	378	38.8888888889
CYLST_RS26580_WP_041233287.1	041233287_Contig_2074_Len1059	1059	44.6647780925
CYLST_RS10505_WP_015207700.1	015207700_Contig_2993_Len786	786	44.2748091603
CYLST_RS07675_WP_015207138.1	015207138_Contig_714_Len1725	1725	46.0869565217
CYLST_RS11160_WP_015207832.1	015207832_Contig_5419_Len279	279	39.7849462366
CYLST_RS26895_WP_015210894.1	015210894_Contig_1954_Len1098	1098	41.5300546448
CYLST_RS16425_WP_015208852.1	015208852_Contig_2655_Len879	879	48.4641638225
CYLST_RS04530_WP_015206527.1	015206527_Contig_914_Len1551	1551	46.9374597034
CYLST_RS21295_WP_015209809.1	015209809_Contig_4809_Len390	390	34.1025641026
CYLST_RS19775_WP_015209511.1	015209511_Contig_826_Len1617	1617	36.4254792826
CYLST_RS12095_WP_015208009.1	015208009_Contig_4277_Len495	495	43.2323232323
CYLST_RS05555_WP_015206730.1	015206730_Contig_3544_Len654	654	42.5076452599
CYLST_RS27770_WP_041233307.1	041233307_Contig_5137_Len333	333	34.5345345345
CYLST_RS04550_WP_015206531.1	015206531_Contig_1091_Len1437	1437	37.5086986778
CYLST_RS23540_WP_015210248.1	015210248_Contig_544_Len1974	1974	39.1084093212
CYLST_RS21660_WP_015209880.1	015209880_Contig_1249_Len1359	1359	45.842531273
CYLST_RS27280_WP_015210971.1	015210971_Contig_5257_Len312	312	46.4743589744
CYLST_RS13870_WP_015208346.1	015208346_Contig_2702_Len864	864	44.3287037037
CYLST_RS25520_WP_015210630.1	015210630_Contig_2257_Len1002	1002	47.50499002
CYLST_RS23255_WP_015210191.1	015210191_Contig_3932_Len576	576	37.8472222222
CYLST_RS15965_WP_015208760.1	015208760_Contig_2938_Len804	804	46.3930348259
CYLST_RS16345_WP_015208837.1	015208837_Contig_2581_Len900	900	42.3333333333
CYLST_RS19135_WP_041233170.1	041233170_Contig_1587_Len1224	1224	36.8464052288
CYLST_RS00895_WP_041232906.1	041232906_Contig_3601_Len642	642	46.5732087227
CYLST_RS04290_WP_015206481.1	015206481_Contig_4273_Len495	495	46.4646464646
CYLST_RS23520_WP_015210244.1	015210244_Contig_3064_Len774	774	46.7700258398
CYLST_RS11105_WP_015207821.1	015207821_Contig_5884_Len210	210	37.619047619
CYLST_RS24465_WP_015210430.1	015210430_Contig_570_Len1920	1920	42.7604166667
CYLST_RS12700_WP_015208129.1	015208129_Contig_2027_Len1077	1077	41.6898792943
CYLST_RS14110_WP_015208394.1	015208394_Contig_4001_Len558	558	43.1899641577
CYLST_RS23945_WP_015210325.1	015210325_Contig_148_Len3159	3159	41.9119974676
