Original Name	New Name	Seq Length	 Seq GC
C7B70_RS17705_WP_106370323.1	106370323_Contig_871_Len1323	1323	43.4618291761
C7B70_RS24095_WP_106371453.1	106371453_Contig_2703_Len633	633	45.4976303318
C7B70_RS11790_WP_106369245.1	106369245_Contig_2860_Len585	585	42.2222222222
C7B70_RS20080_WP_106370768.1	106370768_Contig_3203_Len498	498	38.5542168675
C7B70_RS19915_WP_106370739.1	106370739_Contig_4306_Len240	240	43.3333333333
C7B70_RS20875_WP_106370897.1	106370897_Contig_4595_Len189	189	38.6243386243
C7B70_RS25140_WP_106371605.1	106371605_Contig_4283_Len246	246	45.1219512195
C7B70_RS06785_WP_106368296.1	106368296_Contig_2516_Len687	687	44.3959243086
C7B70_RS14840_WP_106369802.1	106369802_Contig_470_Len1686	1686	42.7046263345
C7B70_RS08985_WP_106368714.1	106368714_Contig_379_Len1842	1842	44.9511400651
C7B70_RS23850_WP_106371413.1	106371413_Contig_4641_Len168	168	45.2380952381
C7B70_RS22135_WP_106371114.1	106371114_Contig_877_Len1320	1320	36.5151515152
C7B70_RS01040_WP_106367203.1	106367203_Contig_3237_Len492	492	38.4146341463
C7B70_RS15230_WP_106369868.1	106369868_Contig_393_Len1812	1812	44.646799117
C7B70_RS06945_WP_106368338.1	106368338_Contig_3184_Len501	501	41.5169660679
C7B70_RS15185_WP_106369861.1	106369861_Contig_794_Len1371	1371	45.587162655
C7B70_RS02670_WP_106367533.1	106367533_Contig_1801_Len903	903	42.5249169435
C7B70_RS11045_WP_106369095.1	106369095_Contig_508_Len1641	1641	45.0335161487
C7B70_RS21840_WP_106371060.1	106371060_Contig_227_Len2211	2211	46.3591135233
C7B70_RS12900_WP_106369442.1	106369442_Contig_4008_Len306	306	45.4248366013
C7B70_RS11990_WP_106369282.1	106369282_Contig_763_Len1392	1392	45.9051724138
C7B70_RS04275_WP_106367835.1	106367835_Contig_4160_Len270	270	42.2222222222
C7B70_RS11040_WP_106369094.1	106369094_Contig_3790_Len360	360	40.8333333333
C7B70_RS22305_WP_106371145.1	106371145_Contig_2139_Len795	795	45.9119496855
C7B70_RS05115_WP_106367990.1	106367990_Contig_2000_Len840	840	41.5476190476
C7B70_RS08115_WP_106368560.1	106368560_Contig_1650_Len957	957	45.5590386625
C7B70_RS07470_WP_106368432.1	106368432_Contig_801_Len1365	1365	44.3956043956
C7B70_RS14160_WP_106369674.1	106369674_Contig_3900_Len333	333	46.5465465465
C7B70_RS18325_WP_106370443.1	106370443_Contig_1262_Len1125	1125	40.6222222222
C7B70_RS12495_WP_106369367.1	106369367_Contig_3834_Len348	348	41.3793103448
C7B70_RS14560_WP_106369751.1	106369751_Contig_1961_Len849	849	40.1648998822
C7B70_RS12890_WP_106369440.1	106369440_Contig_51_Len3333	3333	46.5946594659
C7B70_RS16300_WP_106370069.1	106370069_Contig_262_Len2136	2136	44.5224719101
C7B70_RS02975_WP_106367586.1	106367586_Contig_3195_Len501	501	46.5069860279
C7B70_RS06475_WP_106368241.1	106368241_Contig_2756_Len615	615	45.3658536585
C7B70_RS11400_WP_106369169.1	106369169_Contig_4043_Len297	297	38.3838383838
C7B70_RS02840_WP_106367563.1	106367563_Contig_2840_Len591	591	40.6091370558
C7B70_RS09355_WP_106368786.1	106368786_Contig_4575_Len192	192	36.4583333333
C7B70_RS05220_WP_106368005.1	106368005_Contig_1743_Len924	924	46.7532467532
C7B70_RS16975_WP_106370194.1	106370194_Contig_3656_Len390	390	44.8717948718
C7B70_RS20770_WP_106370877.1	106370877_Contig_4091_Len285	285	40.701754386
C7B70_RS03700_WP_106367724.1	106367724_Contig_1725_Len930	930	38.1720430108
C7B70_RS11720_WP_106369231.1	106369231_Contig_4234_Len252	252	45.2380952381
C7B70_RS08045_WP_106368546.1	106368546_Contig_364_Len1863	1863	44.9812130972
C7B70_RS09935_WP_009634254.1	009634254_Contig_3966_Len315	315	44.126984127
C7B70_RS05860_WP_106368125.1	106368125_Contig_3596_Len405	405	32.8395061728
C7B70_RS14565_WP_106369752.1	106369752_Contig_2679_Len639	639	40.8450704225
C7B70_RS04420_WP_106367861.1	106367861_Contig_3685_Len384	384	39.3229166667
C7B70_RS18445_WP_106370471.1	106370471_Contig_1759_Len918	918	44.0087145969
C7B70_RS14680_WP_106369771.1	106369771_Contig_2469_Len699	699	43.7768240343
C7B70_RS22725_WP_106371221.1	106371221_Contig_334_Len1929	1929	42.7164333852
C7B70_RS14030_WP_106369653.1	106369653_Contig_2060_Len822	822	44.2822384428
