,Am,Ba,EE,Ex,Op,Pl,Sr,sr,Za,
OG5_130027,42,185,24,10,16,15,185,0,6,
OG5_131515,7,445,8,0,2,15,25,0,14,
OG5_131516,16,50,8,6,10,9,20,0,0,
OG5_133272,4,0,4,1,1,0,6,0,0,
OG5_129015,32,64,13,10,15,21,59,0,0,
OG5_129016,48,0,15,9,22,33,107,0,0,
OG5_136986,20,0,12,1,2,15,60,0,0,
OG5_130332,43,10,33,10,24,26,92,0,0,
OG5_144932,29,0,18,5,0,30,18,0,0,
OG5_144936,34,4,22,3,7,24,56,0,0,
OG5_130335,53,117,11,6,13,11,15,0,10,
OG5_146377,68,0,17,8,28,0,53,0,0,
OG5_138100,1,46,0,0,0,0,0,0,0,
OG5_137580,58,0,6,5,10,0,12,0,0,
OG5_133005,9,0,13,5,14,15,17,0,0,
OG5_137211,14,1,8,2,2,17,102,0,0,
OG5_126577,71,3,40,14,40,39,164,0,0,
OG5_126573,79,0,36,21,34,45,226,0,0,
OG5_126570,46,0,24,15,26,33,186,0,0,
OG5_126773,54,211,46,21,36,43,183,0,3,
OG5_126772,59,110,39,23,36,48,181,0,8,
OG5_126775,68,293,36,22,31,43,189,0,46,
OG5_126776,75,514,44,26,39,51,218,0,92,
OG5_127118,79,0,42,24,39,33,192,0,0,
OG5_127119,51,0,9,7,16,8,14,0,0,
OG5_127350,37,0,30,9,21,34,140,0,0,
OG5_127351,55,151,22,15,30,31,138,0,93,
OG5_127352,67,0,36,21,41,44,189,0,90,
OG5_127353,92,0,47,26,40,47,226,0,0,
OG5_127354,77,0,43,20,28,40,201,0,0,
OG5_127427,49,0,30,15,28,40,146,0,0,
OG5_127424,74,0,38,22,33,42,209,0,32,
OG5_127428,73,0,46,24,42,45,198,0,1,
OG5_133681,27,0,9,3,9,5,44,0,0,
OG5_132356,18,0,22,4,10,4,73,0,0,
OG5_132607,37,0,14,4,5,7,46,0,0,
OG5_126820,92,505,49,26,48,59,230,0,92,
OG5_127114,91,0,48,28,48,55,233,0,90,
OG5_127516,91,10,47,28,48,51,224,0,1,
OG5_127514,92,0,47,24,44,53,231,0,1,
OG5_127513,47,0,23,18,27,29,137,0,90,
OG5_128751,24,0,14,11,19,23,73,0,91,
OG5_128753,64,0,26,14,23,29,44,0,0,
OG5_128752,45,0,20,9,25,33,138,0,24,
OG5_128756,68,0,31,6,21,20,6,0,0,
OG5_132990,3,0,15,4,7,3,46,0,0,
OG5_127224,38,126,20,10,27,28,103,0,12,
OG5_127225,71,15,42,19,34,43,190,0,2,
OG5_127226,36,309,34,16,28,33,141,0,29,
OG5_127227,66,70,37,21,34,43,192,0,83,
OG5_144385,15,0,3,2,1,0,20,0,0,
OG5_127730,77,0,45,23,37,43,203,0,0,
OG5_127731,55,0,22,11,25,31,115,0,0,
OG5_126601,81,154,44,24,36,52,210,0,22,
OG5_126600,89,115,47,19,39,51,242,0,0,
OG5_126605,83,0,47,31,51,54,255,0,0,
OG5_126607,81,5,46,28,31,41,250,0,3,
OG5_127739,72,0,41,16,31,51,226,0,2,
OG5_149867,9,0,2,1,0,19,10,0,0,
OG5_126593,85,418,41,27,47,45,234,0,79,
OG5_126595,79,1,47,28,53,50,244,0,5,
OG5_126596,42,364,32,13,33,35,161,0,21,
OG5_133358,41,1,23,12,14,13,136,0,1,
OG5_138825,23,103,10,7,6,3,38,0,9,
OG5_128629,29,8,9,13,15,5,78,0,0,
OG5_142729,46,0,14,9,5,1,28,0,0,
OG5_128997,61,0,39,16,17,42,114,0,0,
OG5_132518,64,0,25,16,8,14,92,0,0,
