Original Name	New Name	Seq Length	 Seq GC
PSE7429_RS03215_WP_009625616.1	009625616_Contig_4203_Len219	219	38.3561643836
PSE7429_RS08505_WP_009626729.1	009626729_Contig_2020_Len846	846	41.9621749409
PSE7429_RS16575_WP_009628430.1	009628430_Contig_1207_Len1182	1182	45.6852791878
PSE7429_RS11835_WP_083888401.1	083888401_Contig_2999_Len537	537	38.5474860335
PSE7429_RS16835_WP_009628488.1	009628488_Contig_406_Len1935	1935	44.2377260982
PSE7429_RS20340_WP_009629235.1	009629235_Contig_4334_Len189	189	43.3862433862
PSE7429_RS21015_WP_009629379.1	009629379_Contig_3775_Len330	330	42.7272727273
PSE7429_RS14715_WP_009628030.1	009628030_Contig_2193_Len786	786	46.9465648855
PSE7429_RS10475_WP_100228926.1	100228926_Contig_4223_Len216	216	42.5925925926
PSE7429_RS19250_WP_009629009.1	009629009_Contig_2613_Len648	648	43.9814814815
PSE7429_RS12145_WP_100228934.1	100228934_Contig_720_Len1536	1536	46.7447916667
PSE7429_RS11785_WP_052017702.1	052017702_Contig_495_Len1788	1788	49.6644295302
PSE7429_RS03855_WP_009625746.1	009625746_Contig_3953_Len276	276	46.3768115942
PSE7429_RS08605_WP_009626751.1	009626751_Contig_3641_Len360	360	42.5
PSE7429_RS12410_WP_009627548.1	009627548_Contig_1059_Len1269	1269	48.6997635934
PSE7429_RS19050_WP_052017754.1	052017754_Contig_1641_Len993	993	47.2306143001
PSE7429_RS22540_WP_040690387.1	040690387_Contig_3413_Len423	423	39.243498818
PSE7429_RS00945_WP_040686899.1	040686899_Contig_284_Len2235	2235	47.4272930649
PSE7429_RS13075_WP_009627691.1	009627691_Contig_1684_Len975	975	44.8205128205
PSE7429_RS23265_WP_009625618.1	009625618_Contig_201_Len2496	2496	43.8701923077
PSE7429_RS00540_WP_009625072.1	009625072_Contig_1340_Len1113	1113	46.6307277628
PSE7429_RS02575_WP_009625487.1	009625487_Contig_1953_Len867	867	51.2110726644
PSE7429_RS14815_WP_009628052.1	009628052_Contig_1639_Len993	993	40.6847935549
PSE7429_RS02005_WP_009625370.1	009625370_Contig_395_Len1953	1953	36.3031233999
PSE7429_RS06775_WP_009626359.1	009626359_Contig_62_Len3564	3564	47.7272727273
PSE7429_RS09100_WP_009626853.1	009626853_Contig_3268_Len459	459	42.7015250545
