Original Name	New Name	Seq Length	 Seq GC
CYAN10605_RS14425_WP_041922539.1	041922539_Contig_2581_Len447	447	27.74049217
CYAN10605_RS06595_WP_015219162.1	015219162_Contig_772_Len1320	1320	32.1212121212
CYAN10605_RS05335_WP_015218915.1	015218915_Contig_596_Len1470	1470	35.9863945578
CYAN10605_RS15620_WP_015220913.1	015220913_Contig_616_Len1455	1455	33.9518900344
CYAN10605_RS11250_WP_015220063.1	015220063_Contig_3320_Len207	207	28.0193236715
CYAN10605_RS07005_WP_015219240.1	015219240_Contig_1341_Len987	987	39.5136778116
CYAN10605_RS06320_WP_015219107.1	015219107_Contig_335_Len1833	1833	35.4609929078
CYAN10605_RS11770_WP_015220170.1	015220170_Contig_40_Len3552	3552	41.1880630631
CYAN10605_RS17975_WP_051018166.1	051018166_Contig_3211_Len240	240	31.25
CYAN10605_RS08505_WP_041922756.1	041922756_Contig_584_Len1482	1482	36.6396761134
CYAN10605_RS07080_WP_015219254.1	015219254_Contig_288_Len1959	1959	40.3266972945
CYAN10605_RS09390_WP_015219706.1	015219706_Contig_648_Len1428	1428	39.7759103641
CYAN10605_RS16115_WP_015221008.1	015221008_Contig_2901_Len336	336	31.5476190476
CYAN10605_RS11385_WP_015220090.1	015220090_Contig_2190_Len597	597	38.1909547739
CYAN10605_RS06370_WP_015219117.1	015219117_Contig_391_Len1743	1743	27.0797475617
CYAN10605_RS08325_WP_041922459.1	041922459_Contig_3254_Len225	225	46.2222222222
CYAN10605_RS08880_WP_015219608.1	015219608_Contig_228_Len2169	2169	36.2840018442
CYAN10605_RS14610_WP_015220717.1	015220717_Contig_1278_Len1014	1014	30.6706114398
CYAN10605_RS13190_WP_015220447.1	015220447_Contig_793_Len1305	1305	38.0842911877
CYAN10605_RS17755_WP_015218748.1	015218748_Contig_191_Len2259	2259	39.3979637008
CYAN10605_RS15375_WP_015220867.1	015220867_Contig_3066_Len285	285	35.0877192982
CYAN10605_RS07995_WP_015219433.1	015219433_Contig_3004_Len303	303	29.702970297
CYAN10605_RS02010_WP_015218266.1	015218266_Contig_2390_Len516	516	37.7906976744
CYAN10605_RS16700_WP_015221123.1	015221123_Contig_2127_Len630	630	34.9206349206
CYAN10605_RS04665_WP_015218792.1	015218792_Contig_1787_Len771	771	32.0363164721
CYAN10605_RS15700_WP_015220929.1	015220929_Contig_2280_Len564	564	38.6524822695
CYAN10605_RS07985_WP_015219431.1	015219431_Contig_21_Len4152	4152	33.6705202312
CYAN10605_RS10315_WP_041922812.1	041922812_Contig_809_Len1296	1296	39.6604938272
CYAN10605_RS03455_WP_015218554.1	015218554_Contig_481_Len1602	1602	38.8264669164
CYAN10605_RS06865_WP_015219213.1	015219213_Contig_1664_Len828	828	31.4009661836
CYAN10605_RS13305_WP_015220471.1	015220471_Contig_3264_Len222	222	34.6846846847
CYAN10605_RS06300_WP_015219103.1	015219103_Contig_1472_Len912	912	33.8815789474
CYAN10605_RS05955_WP_015219037.1	015219037_Contig_547_Len1521	1521	31.1637080868
CYAN10605_RS06775_WP_015219198.1	015219198_Contig_1007_Len1155	1155	36.6233766234
CYAN10605_RS05685_WP_015218982.1	015218982_Contig_1455_Len924	924	36.4718614719
CYAN10605_RS15555_WP_041922951.1	041922951_Contig_1298_Len1005	1005	40.5970149254
CYAN10605_RS10210_WP_015219861.1	015219861_Contig_2964_Len315	315	39.0476190476
CYAN10605_RS00380_WP_015217966.1	015217966_Contig_23_Len4041	4041	42.9101707498
CYAN10605_RS10010_WP_015219825.1	015219825_Contig_2391_Len516	516	37.5968992248
CYAN10605_RS17885_WP_015220155.1	015220155_Contig_2084_Len642	642	36.9158878505
CYAN10605_RS15325_WP_015220856.1	015220856_Contig_45_Len3405	3405	36.6813509545
CYAN10605_RS11925_WP_015220201.1	015220201_Contig_2846_Len354	354	29.6610169492
CYAN10605_RS06740_WP_015219191.1	015219191_Contig_1571_Len870	870	37.816091954
CYAN10605_RS17420_WP_015221256.1	015221256_Contig_3014_Len300	300	36.0
CYAN10605_RS15745_WP_015220938.1	015220938_Contig_93_Len2799	2799	37.8706680957
CYAN10605_RS00330_WP_015217957.1	015217957_Contig_2564_Len450	450	41.1111111111
CYAN10605_RS03115_WP_041922412.1	041922412_Contig_2773_Len375	375	34.1333333333
CYAN10605_RS17225_WP_051018170.1	051018170_Contig_2951_Len321	321	29.5950155763
CYAN10605_RS14140_WP_015220631.1	015220631_Contig_2126_Len630	630	35.0793650794
CYAN10605_RS03995_WP_015218660.1	015218660_Contig_538_Len1530	1530	41.2418300654
CYAN10605_RS11045_WP_015220024.1	015220024_Contig_2228_Len585	585	36.9230769231
CYAN10605_RS13680_WP_015220541.1	015220541_Contig_1963_Len699	699	35.3361945637
CYAN10605_RS08920_WP_015219616.1	015219616_Contig_2536_Len459	459	35.0762527233
CYAN10605_RS14955_WP_083887267.1	083887267_Contig_446_Len1647	1647	25.9866423801
CYAN10605_RS07055_WP_015219249.1	015219249_Contig_137_Len2526	2526	38.0839271576
CYAN10605_RS11245_WP_015220062.1	015220062_Contig_2189_Len597	597	34.5058626466
CYAN10605_RS06265_WP_015219099.1	015219099_Contig_3148_Len255	255	37.6470588235
CYAN10605_RS07585_WP_015219352.1	015219352_Contig_503_Len1581	1581	33.3965844402
CYAN10605_RS07120_WP_015219262.1	015219262_Contig_1180_Len1062	1062	36.7231638418
CYAN10605_RS12730_WP_015220360.1	015220360_Contig_2527_Len465	465	26.6666666667
CYAN10605_RS02820_WP_015218428.1	015218428_Contig_3305_Len210	210	37.1428571429
CYAN10605_RS03540_WP_015218573.1	015218573_Contig_2609_Len435	435	37.0114942529
CYAN10605_RS06635_WP_015219170.1	015219170_Contig_434_Len1668	1668	42.206235012
CYAN10605_RS07135_WP_015219265.1	015219265_Contig_1838_Len753	753	29.8804780876
CYAN10605_RS01525_WP_015218176.1	015218176_Contig_3249_Len225	225	36.0
CYAN10605_RS07610_WP_015219356.1	015219356_Contig_1711_Len807	807	42.8748451053
CYAN10605_RS02530_WP_015218369.1	015218369_Contig_3212_Len237	237	41.3502109705
CYAN10605_RS01495_WP_015218170.1	015218170_Contig_2088_Len639	639	35.3677621283
CYAN10605_RS12080_WP_041922860.1	041922860_Contig_2123_Len630	630	23.6507936508
CYAN10605_RS16920_WP_015221166.1	015221166_Contig_3055_Len288	288	36.4583333333
CYAN10605_RS06535_WP_015219150.1	015219150_Contig_1405_Len954	954	38.9937106918
CYAN10605_RS13900_WP_015220580.1	015220580_Contig_1213_Len1047	1047	42.1203438395
CYAN10605_RS09420_WP_015219710.1	015219710_Contig_2538_Len459	459	33.7690631808
CYAN10605_RS02735_WP_015218409.1	015218409_Contig_2599_Len438	438	34.703196347
CYAN10605_RS11160_WP_015220047.1	015220047_Contig_1628_Len843	843	34.4009489917
CYAN10605_RS03560_WP_015218578.1	015218578_Contig_1196_Len1053	1053	37.1320037987
CYAN10605_RS06550_WP_015219153.1	015219153_Contig_2174_Len603	603	32.1724709784
CYAN10605_RS12160_WP_015220249.1	015220249_Contig_3036_Len294	294	40.1360544218
CYAN10605_RS14595_WP_015220714.1	015220714_Contig_2528_Len465	465	32.4731182796
CYAN10605_RS09820_WP_015219787.1	015219787_Contig_698_Len1389	1389	28.1497480202
CYAN10605_RS08850_WP_015219602.1	015219602_Contig_2203_Len591	591	34.6869712352
CYAN10605_RS04070_WP_015218674.1	015218674_Contig_2619_Len432	432	28.0092592593
CYAN10605_RS15340_WP_015220860.1	015220860_Contig_1580_Len867	867	35.6401384083
CYAN10605_RS02185_WP_015218302.1	015218302_Contig_2420_Len504	504	27.9761904762
CYAN10605_RS08860_WP_015219604.1	015219604_Contig_2936_Len324	324	33.950617284
CYAN10605_RS09285_WP_015219688.1	015219688_Contig_2485_Len480	480	37.7083333333
CYAN10605_RS02315_WP_015218326.1	015218326_Contig_651_Len1425	1425	39.7894736842
CYAN10605_RS12355_WP_015220286.1	015220286_Contig_2448_Len495	495	36.1616161616
CYAN10605_RS16545_WP_015221093.1	015221093_Contig_968_Len1185	1185	42.7004219409
CYAN10605_RS12085_WP_015220234.1	015220234_Contig_2133_Len624	624	21.7948717949
CYAN10605_RS09765_WP_015219775.1	015219775_Contig_237_Len2139	2139	30.6217858813
CYAN10605_RS13115_WP_041922889.1	041922889_Contig_457_Len1632	1632	39.1544117647
CYAN10605_RS06600_WP_015219163.1	015219163_Contig_433_Len1668	1668	38.3693045564
CYAN10605_RS12680_WP_015220350.1	015220350_Contig_190_Len2265	2265	35.8498896247
CYAN10605_RS10300_WP_015219879.1	015219879_Contig_2237_Len582	582	35.2233676976
CYAN10605_RS12050_WP_015220229.1	015220229_Contig_2769_Len378	378	33.8624338624
CYAN10605_RS12070_WP_041922501.1	041922501_Contig_3143_Len258	258	29.0697674419
CYAN10605_RS09915_WP_015219806.1	015219806_Contig_2567_Len450	450	28.8888888889
CYAN10605_RS08215_WP_015219478.1	015219478_Contig_2263_Len570	570	34.2105263158
CYAN10605_RS01165_WP_015218112.1	015218112_Contig_371_Len1770	1770	38.418079096
CYAN10605_RS16770_WP_015221137.1	015221137_Contig_1738_Len789	789	39.0367553866
