Original Name	New Name	Seq Length	 Seq GC
NPUN_RS02025_WP_012407203.1	012407203_Contig_3222_Len837	837	36.678614098
NPUN_RS05900_WP_012407906.1	012407906_Contig_3331_Len813	813	44.7724477245
NPUN_RS17125_WP_148220336.1	148220336_Contig_2163_Len1110	1110	39.9099099099
NPUN_RS30140_WP_012412189.1	012412189_Contig_2339_Len1062	1062	47.9284369115
NPUN_RS28000_WP_012411784.1	012411784_Contig_4201_Len627	627	44.6570972887
NPUN_RS17405_WP_012409827.1	012409827_Contig_3106_Len867	867	40.0230680507
NPUN_RS33785_WP_012412921.1	012412921_Contig_5930_Len306	306	43.137254902
NPUN_RS07520_WP_052304561.1	052304561_Contig_640_Len1992	1992	38.8052208835
NPUN_RS25370_WP_012411315.1	012411315_Contig_4868_Len486	486	43.8271604938
NPUN_RS06515_WP_012408021.1	012408021_Contig_1866_Len1203	1203	39.0689941812
NPUN_RS14430_WP_012409362.1	012409362_Contig_2232_Len1092	1092	38.36996337
NPUN_RS21620_WP_012410622.1	012410622_Contig_6093_Len276	276	33.3333333333
NPUN_RS28330_WP_012411849.1	012411849_Contig_1777_Len1233	1233	43.1467964315
NPUN_RS09855_WP_012408614.1	012408614_Contig_1637_Len1284	1284	46.261682243
NPUN_RS18800_WP_012410082.1	012410082_Contig_1155_Len1512	1512	45.2380952381
NPUN_RS32130_WP_041566531.1	041566531_Contig_4413_Len579	579	46.6321243523
NPUN_RS29385_WP_012412044.1	012412044_Contig_6305_Len246	246	43.9024390244
NPUN_RS22230_WP_012410736.1	012410736_Contig_6670_Len195	195	43.5897435897
NPUN_RS26150_WP_012411454.1	012411454_Contig_5562_Len369	369	43.3604336043
NPUN_RS34080_WP_012412969.1	012412969_Contig_472_Len2256	2256	44.2819148936
NPUN_RS20105_WP_012410330.1	012410330_Contig_701_Len1902	1902	44.7423764458
NPUN_RS04830_WP_012407705.1	012407705_Contig_3915_Len684	684	39.9122807018
NPUN_RS31425_WP_012412409.1	012412409_Contig_6411_Len231	231	36.3636363636
NPUN_RS02920_WP_148220236.1	148220236_Contig_5921_Len306	306	52.2875816993
NPUN_RS20430_WP_012410394.1	012410394_Contig_3252_Len831	831	40.0722021661
NPUN_RS21235_WP_012410549.1	012410549_Contig_1093_Len1548	1548	42.4418604651
NPUN_RS01310_WP_148220398.1	148220398_Contig_2764_Len948	948	41.3502109705
NPUN_RS25745_WP_012411381.1	012411381_Contig_6430_Len228	228	41.6666666667
NPUN_RS20225_WP_012410353.1	012410353_Contig_6762_Len183	183	41.5300546448
NPUN_RS36335_WP_148220505.1	148220505_Contig_6548_Len213	213	38.0281690141
NPUN_RS23170_WP_012410909.1	012410909_Contig_3832_Len705	705	37.5886524823
NPUN_RS25860_WP_012411402.1	012411402_Contig_996_Len1605	1605	46.5420560748
NPUN_RS11975_WP_012408945.1	012408945_Contig_4999_Len462	462	34.1991341991
NPUN_RS22040_WP_012410701.1	012410701_Contig_5668_Len351	351	47.8632478632
NPUN_RS01435_WP_012407090.1	012407090_Contig_3161_Len852	852	40.6103286385
NPUN_RS06040_WP_012407934.1	012407934_Contig_3176_Len849	849	44.8763250883
NPUN_RS05610_WP_012407849.1	012407849_Contig_6334_Len240	240	44.5833333333
NPUN_RS02940_WP_012407364.1	012407364_Contig_3504_Len774	774	57.6227390181
NPUN_RS06650_WP_012408041.1	012408041_Contig_4194_Len627	627	46.2519936204
NPUN_RS07920_WP_041565990.1	041565990_Contig_2675_Len969	969	44.169246646
NPUN_RS02540_WP_012407298.1	012407298_Contig_6361_Len237	237	48.1012658228
NPUN_RS06465_WP_012408012.1	012408012_Contig_1618_Len1290	1290	42.2480620155
NPUN_RS34075_WP_012412968.1	012412968_Contig_372_Len2505	2505	37.005988024
NPUN_RS00120_WP_012406853.1	012406853_Contig_5092_Len447	447	40.7158836689
NPUN_RS19655_WP_012410243.1	012410243_Contig_4046_Len657	657	45.8143074581
NPUN_RS07130_WP_012408128.1	012408128_Contig_4387_Len585	585	43.0769230769
NPUN_RS19125_WP_012410143.1	012410143_Contig_5002_Len462	462	42.2077922078
NPUN_RS17025_WP_012409763.1	012409763_Contig_17_Len6633	6633	46.9772350369
NPUN_RS09140_WP_012408482.1	012408482_Contig_255_Len2928	2928	46.174863388
NPUN_RS30755_WP_012412300.1	012412300_Contig_4289_Len609	609	45.1559934319
NPUN_RS04480_WP_012407641.1	012407641_Contig_6051_Len282	282	43.6170212766
NPUN_RS05305_WP_012407789.1	012407789_Contig_3981_Len672	672	43.005952381
NPUN_RS22135_WP_012410720.1	012410720_Contig_5632_Len357	357	50.1400560224
NPUN_RS27220_WP_012411643.1	012411643_Contig_5996_Len294	294	34.693877551
NPUN_RS37855_WP_012410938.1	012410938_Contig_1063_Len1569	1569	43.7858508604
NPUN_RS17590_WP_012409859.1	012409859_Contig_5154_Len438	438	38.8127853881
NPUN_RS09645_WP_041566030.1	041566030_Contig_4208_Len624	624	43.5897435897
NPUN_RS32235_WP_012412559.1	012412559_Contig_560_Len2130	2130	37.558685446
NPUN_RS20315_WP_041566315.1	041566315_Contig_1433_Len1362	1362	46.7694566814
NPUN_RS01220_WP_012407049.1	012407049_Contig_3328_Len813	813	41.8204182042
NPUN_RS25505_WP_012411337.1	012411337_Contig_5523_Len375	375	43.2
NPUN_RS07765_WP_012408237.1	012408237_Contig_1597_Len1299	1299	42.8791377983
NPUN_RS02765_WP_012407331.1	012407331_Contig_2160_Len1110	1110	41.5315315315
NPUN_RS13140_WP_012409155.1	012409155_Contig_2702_Len963	963	44.8598130841
NPUN_RS24470_WP_041566398.1	041566398_Contig_169_Len3324	3324	46.4801444043
NPUN_RS22985_WP_012409998.1	012409998_Contig_2366_Len1056	1056	51.1363636364
NPUN_RS27075_WP_012411616.1	012411616_Contig_4840_Len492	492	42.6829268293
NPUN_RS28080_WP_041565681.1	041565681_Contig_2492_Len1020	1020	45.8823529412
NPUN_RS13785_WP_041565397.1	041565397_Contig_2426_Len1038	1038	44.7976878613
NPUN_RS02510_WP_012407292.1	012407292_Contig_2484_Len1020	1020	48.137254902
NPUN_RS08585_WP_012408380.1	012408380_Contig_2244_Len1089	1089	40.3122130395
NPUN_RS01830_WP_012407165.1	012407165_Contig_3260_Len828	828	35.9903381643
NPUN_RS00765_WP_012406972.1	012406972_Contig_2465_Len1023	1023	28.1524926686
NPUN_RS09710_WP_041565300.1	041565300_Contig_4723_Len513	513	51.0721247563
NPUN_RS28995_WP_012411971.1	012411971_Contig_4412_Len579	579	39.896373057
NPUN_RS33390_WP_012412758.1	012412758_Contig_4346_Len597	597	43.0485762144
NPUN_RS29835_WP_012412133.1	012412133_Contig_1284_Len1443	1443	41.7186417186
NPUN_RS20355_WP_012410380.1	012410380_Contig_1655_Len1281	1281	45.3551912568
NPUN_RS03180_WP_012407407.1	012407407_Contig_1498_Len1335	1335	34.1573033708
NPUN_RS19585_WP_012410230.1	012410230_Contig_4434_Len573	573	43.1064572426
NPUN_RS26055_WP_012411436.1	012411436_Contig_583_Len2094	2094	40.7831900669
NPUN_RS18510_WP_041565505.1	041565505_Contig_2922_Len906	906	39.9558498896
NPUN_RS40405_WP_148220406.1	148220406_Contig_5938_Len303	303	42.5742574257
NPUN_RS26195_WP_012411462.1	012411462_Contig_198_Len3207	3207	42.2513252261
NPUN_RS11735_WP_012408908.1	012408908_Contig_110_Len3939	3939	43.6405178979
NPUN_RS18920_WP_012410105.1	012410105_Contig_881_Len1695	1695	41.9469026549
NPUN_RS06170_WP_012407956.1	012407956_Contig_297_Len2730	2730	38.3516483516
NPUN_RS27835_WP_012411751.1	012411751_Contig_2202_Len1101	1101	40.5086285195
NPUN_RS10735_WP_012408743.1	012408743_Contig_683_Len1920	1920	35.2604166667
NPUN_RS29895_WP_012412143.1	012412143_Contig_718_Len1887	1887	47.2178060413
NPUN_RS20770_WP_012410460.1	012410460_Contig_3443_Len786	786	38.5496183206
NPUN_RS18285_WP_012409983.1	012409983_Contig_1446_Len1356	1356	43.7315634218
NPUN_RS09375_WP_012408524.1	012408524_Contig_1589_Len1302	1302	35.7142857143
NPUN_RS20670_WP_012410441.1	012410441_Contig_1601_Len1299	1299	45.8814472671
NPUN_RS15740_WP_012409570.1	012409570_Contig_1845_Len1209	1209	48.0562448304
NPUN_RS34755_WP_148220481.1	148220481_Contig_3360_Len807	807	44.3618339529
NPUN_RS34630_WP_012413060.1	012413060_Contig_1449_Len1356	1356	44.1002949853
NPUN_RS08270_WP_041565268.1	041565268_Contig_708_Len1893	1893	39.7253037507
NPUN_RS20030_WP_041565526.1	041565526_Contig_4618_Len540	540	47.7777777778
NPUN_RS24785_WP_012411209.1	012411209_Contig_3169_Len852	852	42.2535211268
NPUN_RS02700_WP_012407324.1	012407324_Contig_6062_Len279	279	34.4086021505
NPUN_RS21870_WP_012410670.1	012410670_Contig_3049_Len882	882	44.10430839
NPUN_RS06025_WP_012407931.1	012407931_Contig_851_Len1719	1719	43.339150669
NPUN_RS34450_WP_012413030.1	012413030_Contig_4964_Len471	471	43.7367303609
NPUN_RS19340_WP_012410184.1	012410184_Contig_4059_Len654	654	43.4250764526
NPUN_RS29475_WP_012412062.1	012412062_Contig_2403_Len1047	1047	34.4794651385
NPUN_RS04435_WP_012407633.1	012407633_Contig_1373_Len1392	1392	43.4626436782
NPUN_RS30045_WP_041566493.1	041566493_Contig_5279_Len417	417	46.5227817746
NPUN_RS11000_WP_012408789.1	012408789_Contig_3289_Len822	822	42.4574209246
NPUN_RS21940_WP_012406904.1	012406904_Contig_2984_Len894	894	46.644295302
NPUN_RS38935_WP_012409025.1	012409025_Contig_6857_Len108	108	40.7407407407
NPUN_RS06065_WP_012407939.1	012407939_Contig_1998_Len1167	1167	47.2150814053
NPUN_RS12470_WP_083782470.1	083782470_Contig_256_Len2922	2922	48.0150581793
NPUN_RS09290_WP_012408510.1	012408510_Contig_1856_Len1206	1206	44.8590381426
NPUN_RS31290_WP_012412384.1	012412384_Contig_4066_Len654	654	46.7889908257
NPUN_RS13860_WP_012409275.1	012409275_Contig_5897_Len312	312	45.8333333333
NPUN_RS24875_WP_041565603.1	041565603_Contig_3352_Len810	810	44.4444444444
NPUN_RS02930_WP_012407362.1	012407362_Contig_3637_Len744	744	44.623655914
NPUN_RS20720_WP_012410450.1	012410450_Contig_3829_Len705	705	43.6879432624
NPUN_RS22580_WP_012410798.1	012410798_Contig_1591_Len1302	1302	36.7895545315
NPUN_RS00130_WP_012406855.1	012406855_Contig_4054_Len654	654	45.1070336391
NPUN_RS07940_WP_012408272.1	012408272_Contig_1980_Len1170	1170	39.8290598291
NPUN_RS03080_WP_041565880.1	041565880_Contig_5934_Len303	303	34.9834983498
NPUN_RS38070_WP_012413067.1	012413067_Contig_4320_Len603	603	31.3432835821
NPUN_RS09925_WP_148220280.1	148220280_Contig_5073_Len450	450	37.7777777778
NPUN_RS20625_WP_012410432.1	012410432_Contig_1732_Len1251	1251	37.8896882494
NPUN_RS03190_WP_012407409.1	012407409_Contig_1513_Len1329	1329	39.2776523702
NPUN_RS28510_WP_012411881.1	012411881_Contig_3923_Len684	684	41.3742690058
NPUN_RS27875_WP_012411759.1	012411759_Contig_2624_Len984	984	42.0731707317
NPUN_RS25655_WP_012411365.1	012411365_Contig_4091_Len648	648	44.9074074074
NPUN_RS04630_WP_012407669.1	012407669_Contig_6660_Len195	195	45.1282051282
NPUN_RS06725_WP_041565238.1	041565238_Contig_3249_Len831	831	48.0144404332
NPUN_RS33440_WP_041565802.1	041565802_Contig_6702_Len192	192	43.2291666667
NPUN_RS25980_WP_012411422.1	012411422_Contig_3597_Len756	756	43.9153439153
NPUN_RS32875_WP_012412667.1	012412667_Contig_1583_Len1308	1308	39.6024464832
NPUN_RS31505_WP_012412425.1	012412425_Contig_3870_Len699	699	36.0515021459
NPUN_RS14285_WP_012409333.1	012409333_Contig_4877_Len483	483	38.5093167702
NPUN_RS22995_WP_012410876.1	012410876_Contig_869_Len1707	1707	46.7486818981
NPUN_RS36885_WP_012413355.1	012413355_Contig_4825_Len495	495	37.5757575758
NPUN_RS35310_WP_041566663.1	041566663_Contig_6679_Len195	195	48.7179487179
NPUN_RS40845_WP_148220331.1	148220331_Contig_6295_Len246	246	37.8048780488
NPUN_RS10845_WP_012408762.1	012408762_Contig_770_Len1824	1824	47.3684210526
NPUN_RS22725_WP_012410825.1	012410825_Contig_6694_Len192	192	47.3958333333
NPUN_RS06355_WP_041565226.1	041565226_Contig_4274_Len609	609	40.2298850575
NPUN_RS16130_WP_012409624.1	012409624_Contig_5536_Len372	372	38.9784946237
NPUN_RS31745_WP_012412472.1	012412472_Contig_5677_Len351	351	45.2991452991
NPUN_RS15210_WP_012409494.1	012409494_Contig_3510_Len774	774	46.6408268734
NPUN_RS15070_WP_012409477.1	012409477_Contig_1598_Len1299	1299	37.7213240955
NPUN_RS33380_WP_012412756.1	012412756_Contig_3522_Len774	774	43.1524547804
NPUN_RS13305_WP_012409180.1	012409180_Contig_3888_Len693	693	43.0014430014
NPUN_RS04590_WP_012407661.1	012407661_Contig_1260_Len1449	1449	43.823326432
NPUN_RS22100_WP_012410713.1	012410713_Contig_4560_Len549	549	46.2659380692
NPUN_RS09350_WP_041565293.1	041565293_Contig_705_Len1896	1896	49.0506329114
NPUN_RS16300_WP_148220328.1	148220328_Contig_2156_Len1113	1113	39.7124887691
NPUN_RS03530_WP_012407473.1	012407473_Contig_1874_Len1200	1200	49.0
NPUN_RS21945_WP_012410682.1	012410682_Contig_2936_Len903	903	44.8504983389
NPUN_RS01880_WP_012407174.1	012407174_Contig_6140_Len267	267	39.3258426966
NPUN_RS29725_WP_012412111.1	012412111_Contig_3125_Len864	864	42.2453703704
NPUN_RS11065_WP_012408802.1	012408802_Contig_3592_Len756	756	46.0317460317
NPUN_RS03870_WP_012407534.1	012407534_Contig_1491_Len1338	1338	44.8430493274
NPUN_RS25135_WP_012411270.1	012411270_Contig_1933_Len1185	1185	49.1983122363
NPUN_RS17665_WP_012409873.1	012409873_Contig_3843_Len702	702	45.4415954416
NPUN_RS26835_WP_012411576.1	012411576_Contig_3869_Len699	699	39.7711015737
NPUN_RS15680_WP_012409563.1	012409563_Contig_5480_Len381	381	44.094488189
NPUN_RS21105_WP_012410525.1	012410525_Contig_792_Len1788	1788	44.3512304251
NPUN_RS36345_WP_012413341.1	012413341_Contig_5528_Len375	375	42.1333333333
NPUN_RS05210_WP_012407775.1	012407775_Contig_2170_Len1107	1107	47.5158084914
NPUN_RS22160_WP_012410725.1	012410725_Contig_4162_Len633	633	46.6034755134
NPUN_RS37150_WP_012412824.1	012412824_Contig_5110_Len447	447	43.6241610738
NPUN_RS04080_WP_012407567.1	012407567_Contig_6050_Len282	282	41.8439716312
NPUN_RS33965_WP_012412951.1	012412951_Contig_1228_Len1467	1467	46.7620995228
NPUN_RS15720_WP_012409566.1	012409566_Contig_1653_Len1281	1281	39.1100702576
NPUN_RS24915_WP_012411229.1	012411229_Contig_6042_Len285	285	43.8596491228
NPUN_RS28895_WP_012411956.1	012411956_Contig_854_Len1719	1719	41.9429901105
NPUN_RS21715_WP_012406904.1	012406904_Contig_2983_Len894	894	46.7561521253
NPUN_RS26230_WP_012411469.1	012411469_Contig_3017_Len888	888	44.2567567568
NPUN_RS14760_WP_012409420.1	012409420_Contig_5293_Len414	414	41.5458937198
NPUN_RS03885_WP_012407537.1	012407537_Contig_271_Len2847	2847	38.5669125395
NPUN_RS12850_WP_148220432.1	148220432_Contig_874_Len1701	1701	47.6778365667
NPUN_RS00600_WP_012406944.1	012406944_Contig_2546_Len1005	1005	45.9701492537
NPUN_RS12505_WP_041565354.1	041565354_Contig_5381_Len399	399	59.649122807
NPUN_RS09825_WP_012408608.1	012408608_Contig_1538_Len1320	1320	46.1363636364
NPUN_RS36495_WP_012412860.1	012412860_Contig_3235_Len837	837	39.4265232975
NPUN_RS34540_WP_012413047.1	012413047_Contig_2878_Len918	918	48.4749455338
NPUN_RS01890_WP_012407176.1	012407176_Contig_2700_Len963	963	47.2481827622
NPUN_RS22935_WP_083782425.1	083782425_Contig_3216_Len840	840	45.9523809524
NPUN_RS01860_WP_086000616.1	086000616_Contig_1909_Len1188	1188	39.4781144781
NPUN_RS04515_WP_012407648.1	012407648_Contig_4916_Len477	477	39.8322851153
NPUN_RS25185_WP_012411280.1	012411280_Contig_5225_Len426	426	40.6103286385
NPUN_RS21600_WP_012410619.1	012410619_Contig_804_Len1770	1770	49.0960451977
NPUN_RS08435_WP_012408352.1	012408352_Contig_5291_Len414	414	44.9275362319
NPUN_RS25620_WP_012411358.1	012411358_Contig_2864_Len921	921	44.4082519001
NPUN_RS20865_WP_012410480.1	012410480_Contig_943_Len1647	1647	42.8658166363
NPUN_RS25390_WP_012411319.1	012411319_Contig_5694_Len348	348	43.6781609195
NPUN_RS37710_WP_012409684.1	012409684_Contig_221_Len3060	3060	42.1568627451
NPUN_RS23460_WP_012410964.1	012410964_Contig_413_Len2376	2376	47.8114478114
NPUN_RS33590_WP_012412793.1	012412793_Contig_339_Len2610	2610	37.3180076628
NPUN_RS10165_WP_086000621.1	086000621_Contig_736_Len1860	1860	41.935483871
NPUN_RS29330_WP_012412033.1	012412033_Contig_3650_Len744	744	40.8602150538
NPUN_RS11145_WP_012408816.1	012408816_Contig_2499_Len1017	1017	38.249754179
NPUN_RS16935_WP_148220332.1	148220332_Contig_4542_Len552	552	31.7028985507
NPUN_RS27715_WP_012411730.1	012411730_Contig_2096_Len1134	1134	44.0035273369
NPUN_RS19950_WP_012410298.1	012410298_Contig_3996_Len669	669	45.1420029895
NPUN_RS09355_WP_041565294.1	041565294_Contig_706_Len1896	1896	44.9367088608
NPUN_RS30700_WP_012412295.1	012412295_Contig_457_Len2286	2286	33.6832895888
NPUN_RS22855_WP_012410852.1	012410852_Contig_2401_Len1047	1047	45.8452722063
NPUN_RS37415_WP_012408355.1	012408355_Contig_294_Len2736	2736	44.3347953216
NPUN_RS08950_WP_041566018.1	041566018_Contig_1126_Len1524	1524	42.782152231
NPUN_RS21530_WP_012410605.1	012410605_Contig_4438_Len573	573	36.6492146597
NPUN_RS04610_WP_012407665.1	012407665_Contig_1787_Len1230	1230	42.7642276423
NPUN_RS21450_WP_012410590.1	012410590_Contig_513_Len2205	2205	45.4875283447
NPUN_RS38605_WP_012407980.1	012407980_Contig_6829_Len147	147	41.4965986395
NPUN_RS18655_WP_012410053.1	012410053_Contig_3119_Len864	864	32.7546296296
NPUN_RS30605_WP_012412278.1	012412278_Contig_1586_Len1305	1305	47.8927203065
NPUN_RS10495_WP_012408709.1	012408709_Contig_3566_Len762	762	38.188976378
NPUN_RS24095_WP_012411078.1	012411078_Contig_244_Len2970	2970	45.4545454545
NPUN_RS23785_WP_012411025.1	012411025_Contig_1130_Len1524	1524	46.1942257218
NPUN_RS01145_WP_012407036.1	012407036_Contig_508_Len2208	2208	48.3695652174
NPUN_RS09395_WP_012408528.1	012408528_Contig_2440_Len1032	1032	40.6976744186
NPUN_RS18860_WP_012410094.1	012410094_Contig_2086_Len1137	1137	39.1380826737
NPUN_RS29970_WP_083782448.1	083782448_Contig_4715_Len516	516	40.503875969
NPUN_RS37085_WP_012413391.1	012413391_Contig_5230_Len426	426	42.9577464789
NPUN_RS39765_WP_083782510.1	083782510_Contig_6816_Len159	159	42.1383647799
NPUN_RS09585_WP_041565297.1	041565297_Contig_4696_Len519	519	30.2504816956
NPUN_RS26155_WP_012411455.1	012411455_Contig_4301_Len606	606	43.5643564356
NPUN_RS33605_WP_012412794.1	012412794_Contig_2407_Len1047	1047	48.1375358166
NPUN_RS12490_WP_012409043.1	012409043_Contig_6714_Len189	189	38.6243386243
NPUN_RS35640_WP_148220496.1	148220496_Contig_5423_Len393	393	37.6590330789
NPUN_RS34385_WP_012413021.1	012413021_Contig_3039_Len885	885	47.6836158192
NPUN_RS24020_WP_012411065.1	012411065_Contig_5223_Len426	426	43.1924882629
NPUN_RS27515_WP_012411693.1	012411693_Contig_421_Len2358	2358	37.6590330789
NPUN_RS28050_WP_012411793.1	012411793_Contig_1505_Len1335	1335	37.5280898876
NPUN_RS34960_WP_012413114.1	012413114_Contig_1337_Len1413	1413	45.4352441614
NPUN_RS01265_WP_012407057.1	012407057_Contig_2324_Len1065	1065	47.6056338028
NPUN_RS10210_WP_012408664.1	012408664_Contig_3387_Len798	798	43.984962406
NPUN_RS07390_WP_012408176.1	012408176_Contig_1431_Len1365	1365	45.4945054945
NPUN_RS34850_WP_012413095.1	012413095_Contig_5709_Len345	345	39.7101449275
NPUN_RS12020_WP_012408953.1	012408953_Contig_441_Len2319	2319	47.1323846486
NPUN_RS36860_WP_012412791.1	012412791_Contig_1034_Len1587	1587	39.0044108381
NPUN_RS24910_WP_012411228.1	012411228_Contig_3596_Len756	756	43.9153439153
NPUN_RS14590_WP_041565411.1	041565411_Contig_5787_Len330	330	42.4242424242
NPUN_RS34400_WP_083782505.1	083782505_Contig_5210_Len429	429	44.0559440559
NPUN_RS25605_WP_041565622.1	041565622_Contig_4564_Len549	549	40.8014571949
NPUN_RS07525_WP_012408196.1	012408196_Contig_3028_Len885	885	39.209039548
NPUN_RS33200_WP_012412724.1	012412724_Contig_1068_Len1569	1569	45.5066921606
NPUN_RS12835_WP_012409104.1	012409104_Contig_1833_Len1215	1215	47.0781893004
NPUN_RS27755_WP_012411738.1	012411738_Contig_5191_Len432	432	36.3425925926
NPUN_RS02135_WP_012407223.1	012407223_Contig_1841_Len1209	1209	46.1538461538
NPUN_RS32160_WP_012412546.1	012412546_Contig_1782_Len1233	1233	46.796431468
NPUN_RS21335_WP_041566343.1	041566343_Contig_1156_Len1512	1512	44.9074074074
NPUN_RS10050_WP_012408642.1	012408642_Contig_3612_Len750	750	48.2666666667
NPUN_RS26705_WP_012411552.1	012411552_Contig_4400_Len582	582	42.2680412371
NPUN_RS28210_WP_012411826.1	012411826_Contig_3679_Len738	738	45.1219512195
NPUN_RS12320_WP_012409009.1	012409009_Contig_428_Len2343	2343	45.4545454545
NPUN_RS28525_WP_012411884.1	012411884_Contig_4803_Len498	498	38.5542168675
NPUN_RS03185_WP_012407408.1	012407408_Contig_836_Len1728	1728	45.8912037037
NPUN_RS29590_WP_012412086.1	012412086_Contig_2357_Len1059	1059	42.9650613787
NPUN_RS32625_WP_012412628.1	012412628_Contig_550_Len2148	2148	41.6201117318
NPUN_RS19290_WP_012410175.1	012410175_Contig_4956_Len471	471	34.3949044586
NPUN_RS26940_WP_012411594.1	012411594_Contig_2574_Len999	999	46.046046046
NPUN_RS01710_WP_012407143.1	012407143_Contig_1012_Len1596	1596	42.6691729323
NPUN_RS24900_WP_012411226.1	012411226_Contig_4643_Len534	534	37.8277153558
NPUN_RS11905_WP_012408931.1	012408931_Contig_1825_Len1218	1218	45.4022988506
NPUN_RS26690_WP_086000611.1	086000611_Contig_1146_Len1515	1515	36.0396039604
NPUN_RS04740_WP_012407688.1	012407688_Contig_4175_Len630	630	35.873015873
NPUN_RS32655_WP_012412633.1	012412633_Contig_2313_Len1071	1071	44.070961718
NPUN_RS11725_WP_012408906.1	012408906_Contig_1540_Len1320	1320	45.5303030303
NPUN_RS12640_WP_012409068.1	012409068_Contig_2550_Len1005	1005	43.3830845771
NPUN_RS14850_WP_012409437.1	012409437_Contig_2278_Len1080	1080	44.8148148148
NPUN_RS08115_WP_012408307.1	012408307_Contig_5426_Len390	390	33.3333333333
NPUN_RS09130_WP_012408480.1	012408480_Contig_3861_Len699	699	41.9170243205
NPUN_RS29795_WP_012412124.1	012412124_Contig_2774_Len948	948	42.5105485232
NPUN_RS06615_WP_012408034.1	012408034_Contig_1855_Len1206	1206	41.6252072968
NPUN_RS05575_WP_012407842.1	012407842_Contig_5288_Len414	414	45.1690821256
