Original Name	New Name	Seq Length	 Seq GC
B5D77_RS14355_WP_008205864.1	008205864_Contig_4434_Len153	153	33.3333333333
B5D77_RS15105_WP_008206659.1	008206659_Contig_2718_Len543	543	39.0423572744
B5D77_RS13280_WP_008205518.1	008205518_Contig_2459_Len627	627	34.7687400319
B5D77_RS20760_WP_106909569.1	106909569_Contig_2297_Len681	681	41.1160058737
B5D77_RS06165_WP_106908482.1	106908482_Contig_149_Len2349	2349	49.0847169008
B5D77_RS09200_WP_106908709.1	106908709_Contig_1953_Len798	798	45.2380952381
B5D77_RS14695_WP_039900634.1	039900634_Contig_1471_Len990	990	40.5050505051
B5D77_RS09735_WP_008202527.1	008202527_Contig_2979_Len459	459	44.6623093682
B5D77_RS24850_WP_106909871.1	106909871_Contig_841_Len1296	1296	36.6512345679
B5D77_RS10315_WP_002798302.1	002798302_Contig_4172_Len210	210	37.619047619
B5D77_RS14240_WP_106909066.1	106909066_Contig_648_Len1428	1428	47.268907563
B5D77_RS23240_WP_106909732.1	106909732_Contig_3172_Len408	408	38.2352941176
B5D77_RS25050_WP_106909888.1	106909888_Contig_3219_Len396	396	36.6161616162
B5D77_RS05975_WP_106908465.1	106908465_Contig_4114_Len216	216	37.962962963
B5D77_RS19390_WP_008197096.1	008197096_Contig_745_Len1365	1365	49.010989011
B5D77_RS22035_WP_106909655.1	106909655_Contig_345_Len1770	1770	45.8192090395
B5D77_RS13635_WP_103111899.1	103111899_Contig_3689_Len285	285	45.2631578947
B5D77_RS18100_WP_016515147.1	016515147_Contig_1830_Len840	840	38.6904761905
B5D77_RS18915_WP_106909435.1	106909435_Contig_199_Len2160	2160	37.1759259259
B5D77_RS24490_WP_106909835.1	106909835_Contig_198_Len2163	2163	47.4341192788
B5D77_RS05390_WP_008198105.1	008198105_Contig_4249_Len198	198	33.8383838384
B5D77_RS02440_WP_106908212.1	106908212_Contig_1606_Len933	933	35.1554126474
B5D77_RS13275_WP_106908990.1	106908990_Contig_232_Len2049	2049	38.6041971694
B5D77_RS22330_WP_106909674.1	106909674_Contig_2922_Len474	474	44.7257383966
B5D77_RS21830_WP_106909643.1	106909643_Contig_1734_Len882	882	46.9387755102
B5D77_RS14365_WP_008205860.1	008205860_Contig_441_Len1650	1650	48.7878787879
B5D77_RS08240_WP_008197790.1	008197790_Contig_1589_Len942	942	42.3566878981
B5D77_RS04320_WP_106908343.1	106908343_Contig_3717_Len279	279	41.935483871
B5D77_RS08095_WP_106908611.1	106908611_Contig_624_Len1446	1446	44.1908713693
B5D77_RS02770_WP_008200891.1	008200891_Contig_916_Len1248	1248	45.2724358974
B5D77_RS22195_WP_008198834.1	008198834_Contig_2997_Len456	456	43.8596491228
B5D77_RS08445_WP_008197884.1	008197884_Contig_3754_Len273	273	44.3223443223
B5D77_RS11020_WP_106908827.1	106908827_Contig_1833_Len837	837	41.4575866189
B5D77_RS06585_WP_002776122.1	002776122_Contig_2326_Len669	669	48.2810164425
B5D77_RS04355_WP_106908346.1	106908346_Contig_1772_Len864	864	30.6712962963
B5D77_RS13575_WP_008205640.1	008205640_Contig_2425_Len639	639	49.2957746479
B5D77_RS18115_WP_002733331.1	002733331_Contig_4152_Len213	213	40.3755868545
B5D77_RS10205_WP_106908769.1	106908769_Contig_2754_Len528	528	51.1363636364
B5D77_RS24265_WP_106909818.1	106909818_Contig_332_Len1812	1812	42.2737306843
B5D77_RS12265_WP_106908907.1	106908907_Contig_1668_Len909	909	48.6248624862
B5D77_RS04725_WP_008198229.1	008198229_Contig_1849_Len831	831	48.9771359807
B5D77_RS13935_WP_008206019.1	008206019_Contig_2874_Len489	489	44.1717791411
B5D77_RS10905_WP_008203407.1	008203407_Contig_903_Len1257	1257	47.0962609387
B5D77_RS05675_WP_106908449.1	106908449_Contig_976_Len1215	1215	40.0823045267
B5D77_RS14080_WP_106909052.1	106909052_Contig_291_Len1899	1899	44.813059505
B5D77_RS06285_WP_106908490.1	106908490_Contig_1287_Len1065	1065	33.3333333333
B5D77_RS24545_WP_106909842.1	106909842_Contig_1180_Len1113	1113	47.7088948787
B5D77_RS12445_WP_106908923.1	106908923_Contig_2435_Len636	636	48.1132075472
B5D77_RS16450_WP_008206132.1	008206132_Contig_2389_Len651	651	34.1013824885
B5D77_RS03750_WP_106908309.1	106908309_Contig_1397_Len1017	1017	35.1032448378
B5D77_RS05365_WP_008198090.1	008198090_Contig_826_Len1305	1305	48.7356321839
B5D77_RS03895_WP_002800346.1	002800346_Contig_4010_Len231	231	38.961038961
B5D77_RS17035_WP_106909265.1	106909265_Contig_1184_Len1110	1110	34.3243243243
B5D77_RS24590_WP_106909846.1	106909846_Contig_2589_Len588	588	52.7210884354
B5D77_RS21650_WP_081504653.1	081504653_Contig_3758_Len273	273	38.8278388278
B5D77_RS00660_WP_106908078.1	106908078_Contig_4206_Len204	204	45.5882352941
B5D77_RS18675_WP_002732104.1	002732104_Contig_3409_Len345	345	39.7101449275
B5D77_RS18555_WP_106909405.1	106909405_Contig_2053_Len771	771	43.0609597925
B5D77_RS14055_WP_002762579.1	002762579_Contig_3269_Len384	384	35.9375
B5D77_RS04205_WP_106908339.1	106908339_Contig_449_Len1641	1641	42.2912858013
B5D77_RS17845_WP_106909342.1	106909342_Contig_4364_Len186	186	36.5591397849
B5D77_RS03940_WP_079208871.1	079208871_Contig_3801_Len264	264	46.9696969697
B5D77_RS03585_WP_008200471.1	008200471_Contig_3523_Len318	318	50.0
B5D77_RS25160_WP_008200234.1	008200234_Contig_2661_Len564	564	39.5390070922
B5D77_RS11605_WP_106908864.1	106908864_Contig_57_Len3102	3102	40.8768536428
B5D77_RS24605_WP_002759486.1	002759486_Contig_3559_Len312	312	51.9230769231
B5D77_RS18330_WP_106909386.1	106909386_Contig_641_Len1434	1434	37.1687587169
B5D77_RS17810_WP_106909336.1	106909336_Contig_886_Len1269	1269	34.5153664303
B5D77_RS03210_WP_008200738.1	008200738_Contig_588_Len1485	1485	47.9461279461
B5D77_RS23115_WP_106909721.1	106909721_Contig_4202_Len207	207	36.7149758454
B5D77_RS23930_WP_008199613.1	008199613_Contig_4070_Len225	225	43.5555555556
B5D77_RS17430_WP_008203287.1	008203287_Contig_1966_Len795	795	40.0
B5D77_RS09160_WP_106908703.1	106908703_Contig_2304_Len678	678	49.4100294985
B5D77_RS00215_WP_008201977.1	008201977_Contig_2492_Len612	612	50.8169934641
B5D77_RS13755_WP_106909022.1	106909022_Contig_1945_Len801	801	50.6866416979
B5D77_RS07735_WP_002745897.1	002745897_Contig_4466_Len108	108	41.6666666667
B5D77_RS14915_WP_002756907.1	002756907_Contig_4038_Len228	228	40.350877193
B5D77_RS06190_WP_106908485.1	106908485_Contig_4398_Len180	180	34.4444444444
B5D77_RS25275_WP_081504661.1	081504661_Contig_2925_Len474	474	43.2489451477
B5D77_RS16385_WP_008206156.1	008206156_Contig_2824_Len504	504	43.253968254
B5D77_RS12010_WP_106908891.1	106908891_Contig_4307_Len192	192	48.9583333333
B5D77_RS23680_WP_002763635.1	002763635_Contig_3677_Len288	288	45.8333333333
B5D77_RS13310_WP_008205523.1	008205523_Contig_2004_Len783	783	44.061302682
B5D77_RS04145_WP_106908332.1	106908332_Contig_2562_Len591	591	48.2233502538
B5D77_RS04815_WP_002792732.1	002792732_Contig_3924_Len243	243	34.5679012346
B5D77_RS15645_WP_106909166.1	106909166_Contig_2347_Len663	663	47.6621417798
B5D77_RS09340_WP_008195985.1	008195985_Contig_3425_Len342	342	42.9824561404
B5D77_RS02680_WP_002775309.1	002775309_Contig_3349_Len357	357	33.3333333333
B5D77_RS15670_WP_106909169.1	106909169_Contig_930_Len1242	1242	39.5330112721
B5D77_RS01480_WP_008201466.1	008201466_Contig_406_Len1680	1680	49.5238095238
B5D77_RS08265_WP_106908629.1	106908629_Contig_2763_Len522	522	36.9731800766
B5D77_RS06825_WP_008200556.1	008200556_Contig_1587_Len942	942	47.7707006369
B5D77_RS18545_WP_106909404.1	106909404_Contig_3591_Len303	303	41.2541254125
B5D77_RS03905_WP_106908318.1	106908318_Contig_3359_Len354	354	38.1355932203
B5D77_RS11235_WP_008206876.1	008206876_Contig_2883_Len486	486	47.9423868313
B5D77_RS15900_WP_008206357.1	008206357_Contig_160_Len2313	2313	43.4500648508
B5D77_RS01205_WP_008201594.1	008201594_Contig_2978_Len459	459	44.8801742919
B5D77_RS23845_WP_008199580.1	008199580_Contig_2130_Len744	744	50.9408602151
B5D77_RS14835_WP_071989091.1	071989091_Contig_4233_Len201	201	42.2885572139
B5D77_RS18900_WP_106909432.1	106909432_Contig_3260_Len387	387	38.2428940568
B5D77_RS16705_WP_039900529.1	039900529_Contig_4197_Len207	207	37.1980676329
B5D77_RS14680_WP_039900635.1	039900635_Contig_4194_Len207	207	43.4782608696
B5D77_RS07245_WP_002736659.1	002736659_Contig_4073_Len222	222	36.4864864865
B5D77_RS09570_WP_106908736.1	106908736_Contig_1916_Len810	810	36.1728395062
B5D77_RS08695_WP_008202949.1	008202949_Contig_22_Len4173	4173	51.1861969806
B5D77_RS11385_WP_071989094.1	071989094_Contig_3700_Len282	282	45.390070922
B5D77_RS04160_WP_106908335.1	106908335_Contig_3193_Len399	399	48.8721804511
B5D77_RS22465_WP_106908062.1	106908062_Contig_1105_Len1158	1158	35.5785837651
B5D77_RS05920_WP_106908462.1	106908462_Contig_553_Len1512	1512	38.0291005291
B5D77_RS22940_WP_106909709.1	106909709_Contig_2489_Len615	615	39.3495934959
B5D77_RS22150_WP_002773869.1	002773869_Contig_3061_Len435	435	32.6436781609
B5D77_RS21755_WP_008198678.1	008198678_Contig_2039_Len777	777	48.6486486486
B5D77_RS14500_WP_008205812.1	008205812_Contig_4061_Len225	225	44.0
B5D77_RS06790_WP_008200546.1	008200546_Contig_1076_Len1170	1170	40.1709401709
B5D77_RS00715_WP_008201789.1	008201789_Contig_2465_Len624	624	52.4038461538
B5D77_RS14380_WP_106909078.1	106909078_Contig_743_Len1365	1365	47.032967033
B5D77_RS21255_WP_106909601.1	106909601_Contig_906_Len1257	1257	39.3794749403
B5D77_RS17010_WP_106909260.1	106909260_Contig_612_Len1464	1464	45.9699453552
B5D77_RS03690_WP_008200421.1	008200421_Contig_2259_Len693	693	43.5786435786
B5D77_RS10300_WP_106908778.1	106908778_Contig_1535_Len963	963	47.3520249221
B5D77_RS10230_WP_106908772.1	106908772_Contig_2327_Len669	669	49.0284005979
B5D77_RS00620_WP_106908074.1	106908074_Contig_3173_Len405	405	47.1604938272
B5D77_RS03440_WP_008200635.1	008200635_Contig_852_Len1287	1287	43.2012432012
B5D77_RS03115_WP_106909945.1	106909945_Contig_180_Len2226	2226	44.474393531
B5D77_RS24170_WP_106909809.1	106909809_Contig_3884_Len252	252	32.5396825397
B5D77_RS12120_WP_002757689.1	002757689_Contig_3949_Len240	240	40.8333333333
B5D77_RS02560_WP_002754172.1	002754172_Contig_3271_Len381	381	44.6194225722
B5D77_RS25010_WP_106909884.1	106909884_Contig_987_Len1215	1215	47.5720164609
B5D77_RS00980_WP_106908102.1	106908102_Contig_3119_Len417	417	41.0071942446
B5D77_RS13620_WP_106909008.1	106909008_Contig_482_Len1593	1593	36.974262398
B5D77_RS15780_WP_008206410.1	008206410_Contig_2331_Len669	669	47.2346786248
B5D77_RS18165_WP_106909368.1	106909368_Contig_2209_Len711	711	42.8973277075
B5D77_RS16265_WP_106909205.1	106909205_Contig_1931_Len807	807	42.2552664188
B5D77_RS03215_WP_008200729.1	008200729_Contig_968_Len1218	1218	49.5894909688
B5D77_RS13705_WP_106909016.1	106909016_Contig_2068_Len765	765	40.6535947712
B5D77_RS16535_WP_002739877.1	002739877_Contig_1080_Len1170	1170	48.8034188034
B5D77_RS00590_WP_008201833.1	008201833_Contig_1485_Len984	984	41.7682926829
B5D77_RS24705_WP_106909854.1	106909854_Contig_2436_Len636	636	43.5534591195
B5D77_RS06745_WP_008200530.1	008200530_Contig_2670_Len558	558	42.6523297491
B5D77_RS03490_WP_039899881.1	039899881_Contig_2421_Len639	639	41.4710485133
