Original Name	New Name	Seq Length	 Seq GC
AS151_RS10145_WP_071516938.1	071516938_Contig_264_Len2244	2244	48.9304812834
AS151_RS02305_WP_071515452.1	071515452_Contig_3304_Len318	318	48.7421383648
AS151_RS13710_WP_071517619.1	071517619_Contig_2363_Len663	663	53.2428355958
AS151_RS08350_WP_071516579.1	071516579_Contig_503_Len1725	1725	51.768115942
AS151_RS12740_WP_071517443.1	071517443_Contig_2628_Len555	555	40.9009009009
AS151_RS15155_WP_071517896.1	071517896_Contig_1574_Len978	978	48.6707566462
AS151_RS16595_WP_071518183.1	071518183_Contig_1327_Len1089	1089	53.5353535354
AS151_RS16790_WP_071518221.1	071518221_Contig_1883_Len855	855	53.8011695906
AS151_RS20815_WP_084639567.1	084639567_Contig_3638_Len222	222	47.2972972973
AS151_RS09010_WP_071516717.1	071516717_Contig_741_Len1446	1446	55.8091286307
AS151_RS00370_WP_071515092.1	071515092_Contig_1105_Len1206	1206	52.5704809287
AS151_RS19555_WP_071518750.1	071518750_Contig_3570_Len240	240	48.75
AS151_RS12040_WP_084639544.1	084639544_Contig_2849_Len474	474	50.4219409283
AS151_RS18600_WP_084639742.1	084639742_Contig_1630_Len957	957	50.9926854754
AS151_RS14295_WP_071517735.1	071517735_Contig_476_Len1761	1761	48.2680295287
AS151_RS14180_WP_071517715.1	071517715_Contig_2491_Len618	618	46.925566343
AS151_RS07225_WP_071516377.1	071516377_Contig_1437_Len1035	1035	49.5652173913
AS151_RS07775_WP_071516496.1	071516496_Contig_1626_Len957	957	50.052246604
AS151_RS00575_WP_071515130.1	071515130_Contig_489_Len1740	1740	46.724137931
AS151_RS13915_WP_071517663.1	071517663_Contig_3113_Len381	381	44.094488189
AS151_RS16480_WP_071518161.1	071518161_Contig_1477_Len1020	1020	49.4117647059
AS151_RS02640_WP_084639354.1	084639354_Contig_2326_Len672	672	46.875
AS151_RS17040_WP_071518266.1	071518266_Contig_2024_Len798	798	51.7543859649
AS151_RS00090_WP_071515036.1	071515036_Contig_3142_Len366	366	43.7158469945
AS151_RS15115_WP_071517892.1	071517892_Contig_676_Len1506	1506	51.1288180611
AS151_RS15950_WP_071518054.1	071518054_Contig_3180_Len357	357	47.8991596639
AS151_RS15555_WP_071517981.1	071517981_Contig_1109_Len1206	1206	52.9021558872
AS151_RS10445_WP_071517005.1	071517005_Contig_851_Len1371	1371	50.9846827133
AS151_RS13435_WP_071517569.1	071517569_Contig_2344_Len669	669	47.533632287
AS151_RS03760_WP_071515724.1	071515724_Contig_1056_Len1236	1236	48.9482200647
AS151_RS17060_WP_071518269.1	071518269_Contig_2065_Len783	783	57.4712643678
AS151_RS02205_WP_071515437.1	071515437_Contig_182_Len2529	2529	50.4547251878
AS151_RS20445_WP_084639316.1	084639316_Contig_3873_Len120	120	50.8333333333
AS151_RS12835_WP_071517459.1	071517459_Contig_2926_Len447	447	47.2035794183
AS151_RS10505_WP_084639509.1	084639509_Contig_1374_Len1065	1065	55.117370892
AS151_RS04850_WP_071515923.1	071515923_Contig_613_Len1575	1575	47.746031746
AS151_RS16280_WP_071518123.1	071518123_Contig_3222_Len342	342	48.5380116959
AS151_RS04980_WP_071515948.1	071515948_Contig_107_Len2877	2877	54.9878345499
AS151_RS14880_WP_071517848.1	071517848_Contig_2635_Len552	552	40.7608695652
AS151_RS03390_WP_071515661.1	071515661_Contig_2178_Len729	729	48.9711934156
AS151_RS07600_WP_071516443.1	071516443_Contig_968_Len1293	1293	53.596287703
AS151_RS04310_WP_071515822.1	071515822_Contig_1383_Len1059	1059	45.2313503305
AS151_RS17165_WP_084639685.1	084639685_Contig_381_Len1944	1944	51.646090535
AS151_RS06280_WP_071516197.1	071516197_Contig_3274_Len327	327	39.4495412844
AS151_RS01470_WP_071515300.1	071515300_Contig_1417_Len1044	1044	56.0344827586
AS151_RS10365_WP_071516981.1	071516981_Contig_1806_Len882	882	48.9795918367
AS151_RS05810_WP_071516102.1	071516102_Contig_3028_Len411	411	48.6618004866
AS151_RS17210_WP_071518299.1	071518299_Contig_1225_Len1137	1137	52.1547933157
AS151_RS05555_WP_071516060.1	071516060_Contig_1624_Len957	957	52.2466039707
AS151_RS06350_WP_071516211.1	071516211_Contig_2536_Len600	600	49.8333333333
AS151_RS14205_WP_071517718.1	071517718_Contig_3619_Len228	228	51.3157894737
AS151_RS17205_WP_071518298.1	071518298_Contig_2895_Len459	459	52.0697167756
AS151_RS04240_WP_071515815.1	071515815_Contig_223_Len2367	2367	53.2741867343
AS151_RS07040_WP_071516340.1	071516340_Contig_1828_Len873	873	54.0664375716
