Original Name	New Name	Seq Length	 Seq GC
C1752_RS03300_WP_110984632.1	110984632_Contig_1816_Len1011	1011	55.1928783383
C1752_RS08515_WP_110985634.1	110985634_Contig_2982_Len675	675	45.6296296296
C1752_RS22235_WP_110988259.1	110988259_Contig_5231_Len183	183	49.1803278689
C1752_RS14365_WP_110986763.1	110986763_Contig_1450_Len1149	1149	57.8764142733
C1752_RS19410_WP_110987786.1	110987786_Contig_1962_Len963	963	38.8369678089
C1752_RS01115_WP_110984203.1	110984203_Contig_2007_Len948	948	51.2658227848
C1752_RS21110_WP_110988040.1	110988040_Contig_5059_Len216	216	50.0
C1752_RS21805_WP_110988165.1	110988165_Contig_831_Len1479	1479	51.9945909398
C1752_RS01650_WP_110984301.1	110984301_Contig_3694_Len501	501	50.8982035928
C1752_RS14610_WP_110986806.1	110986806_Contig_4817_Len267	267	54.6816479401
C1752_RS01635_WP_110984298.1	110984298_Contig_826_Len1479	1479	52.1298174442
C1752_RS02355_WP_110984431.1	110984431_Contig_2584_Len780	780	50.7692307692
C1752_RS16095_WP_110987078.1	110987078_Contig_5171_Len192	192	45.8333333333
C1752_RS27210_WP_110989178.1	110989178_Contig_3160_Len630	630	45.5555555556
C1752_RS12495_WP_110986412.1	110986412_Contig_5114_Len204	204	49.5098039216
C1752_RS11415_WP_110986199.1	110986199_Contig_3269_Len600	600	50.8333333333
C1752_RS08485_WP_110985630.1	110985630_Contig_1557_Len1101	1101	54.4959128065
C1752_RS22275_WP_110988314.1	110988314_Contig_3987_Len444	444	50.4504504505
C1752_RS20325_WP_110987888.1	110987888_Contig_3352_Len579	579	49.3955094991
C1752_RS01890_WP_110984345.1	110984345_Contig_2110_Len912	912	50.3289473684
C1752_RS07360_WP_110985397.1	110985397_Contig_2667_Len759	759	44.1370223979
C1752_RS25410_WP_110988851.1	110988851_Contig_4840_Len264	264	52.6515151515
C1752_RS01220_WP_110984222.1	110984222_Contig_535_Len1749	1749	52.3727844483
C1752_RS12240_WP_110986344.1	110986344_Contig_2199_Len891	891	51.7396184063
C1752_RS02395_WP_110984437.1	110984437_Contig_4686_Len291	291	41.5807560137
