Original Name	New Name	Seq Length	 Seq GC
ACIR131C_RS0102035_WP_028084935.1	028084935_Contig_2563_Len516	516	40.1162790698
ACIR131C_RS0103560_WP_028089091.1	028089091_Contig_1906_Len753	753	37.9814077025
ACIR131C_RS0118435_WP_028091380.1	028091380_Contig_231_Len2016	2016	32.1924603175
ACIR131C_RS0114575_WP_028090800.1	028090800_Contig_2271_Len624	624	34.2948717949
ACIR131C_RS0110465_WP_028090149.1	028090149_Contig_127_Len2472	2472	47.9368932039
ACIR131C_RS0114550_WP_028090795.1	028090795_Contig_1973_Len729	729	42.9355281207
ACIR131C_RS0101930_WP_028083321.1	028083321_Contig_3154_Len336	336	30.0595238095
ACIR131C_RS0119840_WP_028091573.1	028091573_Contig_338_Len1725	1725	42.6086956522
ACIR131C_RS21625_WP_051347465.1	051347465_Contig_1794_Len789	789	40.6844106464
ACIR131C_RS0114610_WP_028090806.1	028090806_Contig_1872_Len768	768	41.6666666667
ACIR131C_RS0109940_WP_028084912.1	028084912_Contig_3560_Len231	231	39.8268398268
ACIR131C_RS0120555_WP_028091668.1	028091668_Contig_591_Len1416	1416	41.5254237288
ACIR131C_RS0107565_WP_028089712.1	028089712_Contig_1449_Len936	936	38.7820512821
ACIR131C_RS0114070_WP_028090717.1	028090717_Contig_2926_Len405	405	33.8271604938
ACIR131C_RS0103475_WP_028089079.1	028089079_Contig_924_Len1191	1191	30.5625524769
ACIR131C_RS0108540_WP_028089850.1	028089850_Contig_1945_Len741	741	38.7314439946
ACIR131C_RS0112825_WP_028090518.1	028090518_Contig_1544_Len891	891	38.9450056117
ACIR131C_RS0110345_WP_028090129.1	028090129_Contig_1071_Len1119	1119	43.163538874
ACIR131C_RS0108950_WP_028089913.1	028089913_Contig_1350_Len981	981	42.2018348624
ACIR131C_RS0112045_WP_028090395.1	028090395_Contig_921_Len1194	1194	38.3584589615
ACIR131C_RS0116640_WP_028091115.1	028091115_Contig_141_Len2382	2382	41.0579345088
ACIR131C_RS0100415_WP_028088649.1	028088649_Contig_1245_Len1026	1026	36.7446393762
ACIR131C_RS0117425_WP_028091235.1	028091235_Contig_449_Len1554	1554	40.1544401544
ACIR131C_RS0103250_WP_028089041.1	028089041_Contig_1376_Len969	969	41.1764705882
ACIR131C_RS0117720_WP_028091274.1	028091274_Contig_514_Len1485	1485	43.7037037037
ACIR131C_RS0109865_WP_028090057.1	028090057_Contig_2976_Len390	390	39.7435897436
ACIR131C_RS0107595_WP_028083563.1	028083563_Contig_1436_Len942	942	42.7813163482
ACIR131C_RS0102085_WP_028088870.1	028088870_Contig_2835_Len426	426	37.0892018779
ACIR131C_RS0109700_WP_028090036.1	028090036_Contig_3327_Len285	285	40.701754386
ACIR131C_RS0112930_WP_028090537.1	028090537_Contig_1910_Len753	753	42.363877822
ACIR131C_RS0113975_WP_028090704.1	028090704_Contig_1613_Len864	864	38.0787037037
ACIR131C_RS0105640_WP_035368182.1	035368182_Contig_3202_Len324	324	29.6296296296
ACIR131C_RS0108580_WP_028089904.1	028089904_Contig_3409_Len264	264	29.1666666667
ACIR131C_RS0111285_WP_028090281.1	028090281_Contig_2047_Len702	702	38.1766381766
ACIR131C_RS0119685_WP_028091551.1	028091551_Contig_1741_Len810	810	41.4814814815
ACIR131C_RS0113640_WP_028090651.1	028090651_Contig_1732_Len813	813	44.6494464945
ACIR131C_RS0115100_WP_028090873.1	028090873_Contig_3653_Len207	207	40.0966183575
ACIR131C_RS0119525_WP_028091525.1	028091525_Contig_1228_Len1035	1035	42.1256038647
ACIR131C_RS0110040_WP_028090081.1	028090081_Contig_3689_Len198	198	30.303030303
ACIR131C_RS21660_WP_035371366.1	035371366_Contig_2412_Len577	577	48.3535528596
ACIR131C_RS0100065_WP_028088601.1	028088601_Contig_1134_Len1083	1083	31.8559556787
ACIR131C_RS0103435_WP_028089074.1	028089074_Contig_2588_Len507	507	33.7278106509
ACIR131C_RS0100295_WP_028082734.1	028082734_Contig_3250_Len312	312	49.6794871795
ACIR131C_RS0120025_WP_028091594.1	028091594_Contig_499_Len1503	1503	35.6620093147
ACIR131C_RS0102790_WP_027402734.1	027402734_Contig_3645_Len207	207	37.6811594203
ACIR131C_RS0111115_WP_028090251.1	028090251_Contig_3391_Len267	267	30.7116104869
ACIR131C_RS0104535_WP_028089240.1	028089240_Contig_1926_Len747	747	40.6961178046
ACIR131C_RS22290_WP_035371722.1	035371722_Contig_155_Len2277	2277	35.0900307422
ACIR131C_RS0110700_WP_028090181.1	028090181_Contig_2995_Len384	384	35.9375
ACIR131C_RS0110185_WP_028090105.1	028090105_Contig_2022_Len714	714	38.3753501401
ACIR131C_RS0110395_WP_028090138.1	028090138_Contig_2107_Len678	678	40.7079646018
ACIR131C_RS0110795_WP_028090199.1	028090199_Contig_363_Len1686	1686	41.8742586002
ACIR131C_RS0111550_WP_028090316.1	028090316_Contig_1745_Len807	807	39.5291201983
ACIR131C_RS0120125_WP_028091606.1	028091606_Contig_2480_Len552	552	36.7753623188
ACIR131C_RS0102645_WP_028088961.1	028088961_Contig_959_Len1173	1173	36.9138959932
ACIR131C_RS0111485_WP_035371905.1	035371905_Contig_618_Len1392	1392	41.5948275862
ACIR131C_RS0118760_WP_035372461.1	035372461_Contig_299_Len1815	1815	36.6391184573
ACIR131C_RS0110510_WP_028090157.1	028090157_Contig_2465_Len558	558	36.917562724
ACIR131C_RS0114005_WP_028084627.1	028084627_Contig_3148_Len339	339	38.9380530973
ACIR131C_RS0116410_WP_028091081.1	028091081_Contig_932_Len1188	1188	39.898989899
ACIR131C_RS0110665_WP_028090177.1	028090177_Contig_1111_Len1095	1095	36.7123287671
ACIR131C_RS0111100_WP_028084223.1	028084223_Contig_2745_Len456	456	39.6929824561
ACIR131C_RS0114515_WP_051347572.1	051347572_Contig_3060_Len366	366	37.7049180328
ACIR131C_RS0111835_WP_028090362.1	028090362_Contig_2830_Len429	429	44.5221445221
ACIR131C_RS0106270_WP_028089514.1	028089514_Contig_419_Len1593	1593	42.2473320778
ACIR131C_RS0110170_WP_028090102.1	028090102_Contig_1002_Len1152	1152	43.8368055556
ACIR131C_RS0111315_WP_028090285.1	028090285_Contig_425_Len1590	1590	40.7547169811
ACIR131C_RS0110730_WP_028090187.1	028090187_Contig_3605_Len219	219	39.7260273973
ACIR131C_RS0107740_WP_028083587.1	028083587_Contig_3646_Len207	207	37.1980676329
ACIR131C_RS0102150_WP_035368328.1	035368328_Contig_2196_Len648	648	31.0185185185
ACIR131C_RS0106020_WP_028089475.1	028089475_Contig_2208_Len645	645	32.2480620155
ACIR131C_RS0110110_WP_028090092.1	028090092_Contig_2417_Len576	576	36.9791666667
ACIR131C_RS0110705_WP_028090182.1	028090182_Contig_617_Len1392	1392	39.9425287356
ACIR131C_RS23415_WP_035372534.1	035372534_Contig_945_Len1182	1182	38.4940778342
ACIR131C_RS0103650_WP_028089106.1	028089106_Contig_1942_Len741	741	36.4372469636
ACIR131C_RS0101885_WP_028088845.1	028088845_Contig_2002_Len720	720	37.7777777778
ACIR131C_RS0116370_WP_028091076.1	028091076_Contig_1568_Len882	882	42.0634920635
ACIR131C_RS0110100_WP_028083310.1	028083310_Contig_3660_Len204	204	40.6862745098
ACIR131C_RS0117920_WP_028091300.1	028091300_Contig_1553_Len888	888	32.0945945946
ACIR131C_RS0107705_WP_028089731.1	028089731_Contig_984_Len1161	1161	38.5874246339
ACIR131C_RS0117630_WP_028091261.1	028091261_Contig_2145_Len666	666	42.3423423423
ACIR131C_RS0112340_WP_028090441.1	028090441_Contig_1601_Len870	870	33.7931034483
ACIR131C_RS0108295_WP_028084503.1	028084503_Contig_2122_Len672	672	44.1964285714
ACIR131C_RS0101070_WP_028088724.1	028088724_Contig_3677_Len201	201	37.8109452736
ACIR131C_RS0108335_WP_028089821.1	028089821_Contig_595_Len1410	1410	40.9929078014
ACIR131C_RS0104595_WP_028089251.1	028089251_Contig_948_Len1179	1179	28.4987277354
ACIR131C_RS0104725_WP_028089269.1	028089269_Contig_2483_Len549	549	41.7122040073
ACIR131C_RS0112600_WP_028090489.1	028090489_Contig_2065_Len693	693	39.8268398268
ACIR131C_RS0110760_WP_028090192.1	028090192_Contig_3544_Len234	234	31.1965811966
ACIR131C_RS0113740_WP_028090668.1	028090668_Contig_3283_Len300	300	41.6666666667
ACIR131C_RS0103580_WP_035371462.1	035371462_Contig_10_Len4311	4311	31.4544189283
