Original Name	New Name	Seq Length	 Seq GC
AVR62_RS21565_WP_058882356.1	058882356_Contig_116_Len3300	3300	54.7272727273
AVR62_RS24965_WP_058867303.1	058867303_Contig_1798_Len1227	1227	61.695191524
AVR62_RS21175_WP_058883208.1	058883208_Contig_1597_Len1299	1299	50.9622786759
AVR62_RS17485_WP_058882553.1	058882553_Contig_4362_Len585	585	56.4102564103
AVR62_RS27390_WP_058880875.1	058880875_Contig_46_Len3969	3969	62.0559334845
AVR62_RS16845_WP_058882006.1	058882006_Contig_4073_Len645	645	56.2790697674
AVR62_RS09540_WP_058867737.1	058867737_Contig_2084_Len1143	1143	51.7935258093
AVR62_RS27885_WP_058868342.1	058868342_Contig_4874_Len459	459	58.605664488
AVR62_RS02190_WP_058881979.1	058881979_Contig_1960_Len1176	1176	54.5068027211
AVR62_RS22880_WP_058867677.1	058867677_Contig_436_Len2220	2220	63.2432432432
AVR62_RS27425_WP_058866684.1	058866684_Contig_1718_Len1257	1257	66.507557677
AVR62_RS18175_WP_058883797.1	058883797_Contig_1969_Len1173	1173	53.3674339301
AVR62_RS27700_WP_058866726.1	058866726_Contig_3513_Len777	777	68.8545688546
AVR62_RS13815_WP_058883133.1	058883133_Contig_3133_Len867	867	58.0161476355
AVR62_RS30745_WP_058883411.1	058883411_Contig_4047_Len654	654	54.2813455657
AVR62_RS01050_WP_058881186.1	058881186_Contig_5429_Len324	324	58.6419753086
AVR62_RS27085_WP_058866623.1	058866623_Contig_3343_Len813	813	58.7945879459
AVR62_RS29765_WP_058881010.1	058881010_Contig_3919_Len687	687	54.4395924309
AVR62_RS05000_WP_058881785.1	058881785_Contig_3207_Len849	849	57.8327444052
AVR62_RS19580_WP_058882301.1	058882301_Contig_820_Len1710	1710	58.7134502924
AVR62_RS02845_WP_058882768.1	058882768_Contig_1540_Len1323	1323	50.2645502646
AVR62_RS28500_WP_063897069.1	063897069_Contig_2501_Len1023	1023	54.4477028348
AVR62_RS14710_WP_114579762.1	114579762_Contig_4738_Len492	492	64.837398374
AVR62_RS24195_WP_058867440.1	058867440_Contig_5769_Len231	231	66.6666666667
AVR62_RS03460_WP_058881506.1	058881506_Contig_2690_Len981	981	56.7787971458
AVR62_RS02895_WP_058882777.1	058882777_Contig_729_Len1809	1809	58.7064676617
AVR62_RS21910_WP_058883513.1	058883513_Contig_1295_Len1416	1416	53.6016949153
AVR62_RS13890_WP_058883145.1	058883145_Contig_597_Len1950	1950	54.3076923077
AVR62_RS10430_WP_058868205.1	058868205_Contig_3442_Len792	792	63.1313131313
AVR62_RS24580_WP_058867372.1	058867372_Contig_3285_Len828	828	65.5797101449
AVR62_RS10195_WP_058868244.1	058868244_Contig_5654_Len264	264	62.5
AVR62_RS24585_WP_058867371.1	058867371_Contig_3402_Len798	798	67.4185463659
AVR62_RS03530_WP_058881516.1	058881516_Contig_592_Len1959	1959	59.213884635
AVR62_RS09990_WP_114579750.1	114579750_Contig_3913_Len687	687	60.9898107715
AVR62_RS04980_WP_114579739.1	114579739_Contig_1243_Len1437	1437	57.8983994433
AVR62_RS28365_WP_082695321.1	082695321_Contig_1242_Len1437	1437	55.3235908142
AVR62_RS12675_WP_058880962.1	058880962_Contig_119_Len3291	3291	64.0230932847
AVR62_RS29995_WP_058881097.1	058881097_Contig_5248_Len369	369	52.0325203252
AVR62_RS27020_WP_082671007.1	082671007_Contig_3168_Len858	858	61.8881118881
AVR62_RS12495_WP_058868472.1	058868472_Contig_4834_Len468	468	65.811965812
AVR62_RS17805_WP_058881322.1	058881322_Contig_2338_Len1068	1068	50.5617977528
AVR62_RS10715_WP_058868160.1	058868160_Contig_4301_Len600	600	63.6666666667
AVR62_RS13555_WP_082695534.1	082695534_Contig_162_Len3033	3033	52.3244312562
AVR62_RS14465_WP_058866250.1	058866250_Contig_2972_Len909	909	62.3762376238
AVR62_RS25425_WP_058866315.1	058866315_Contig_1158_Len1482	1482	61.4035087719
AVR62_RS22495_WP_058883715.1	058883715_Contig_5001_Len432	432	51.6203703704
AVR62_RS07540_WP_058880673.1	058880673_Contig_5074_Len414	414	61.1111111111
AVR62_RS03545_WP_058881519.1	058881519_Contig_5700_Len252	252	46.0317460317
AVR62_RS20855_WP_058882932.1	058882932_Contig_4057_Len651	651	52.380952381
AVR62_RS14530_WP_058866089.1	058866089_Contig_2410_Len1047	1047	62.2731614136
AVR62_RS04890_WP_058881769.1	058881769_Contig_3797_Len714	714	53.081232493
AVR62_RS11275_WP_058882641.1	058882641_Contig_2620_Len995	995	58.0904522613
AVR62_RS05240_WP_058880619.1	058880619_Contig_3665_Len747	747	61.5796519411
AVR62_RS12935_WP_058868394.1	058868394_Contig_3810_Len708	708	60.593220339
AVR62_RS12165_WP_058868528.1	058868528_Contig_4049_Len651	651	59.9078341014
AVR62_RS20780_WP_058883271.1	058883271_Contig_564_Len2001	2001	56.6216891554
AVR62_RS01555_WP_058883106.1	058883106_Contig_2450_Len1038	1038	55.7803468208
AVR62_RS18820_WP_058883925.1	058883925_Contig_16_Len5199	5199	58.530486632
AVR62_RS14855_WP_082670928.1	082670928_Contig_91_Len3519	3519	65.3878942882
AVR62_RS06490_WP_082671065.1	082671065_Contig_3961_Len675	675	62.2222222222
AVR62_RS11500_WP_082695423.1	082695423_Contig_3936_Len681	681	59.4713656388
AVR62_RS25200_WP_058866753.1	058866753_Contig_2334_Len1068	1068	62.0786516854
