Original Name	New Name	Seq Length	 Seq GC
PRO9006_RS25750_WP_017711826.1	017711826_Contig_1646_Len987	987	65.8561296859
PRO9006_RS0115240_WP_017713204.1	017713204_Contig_4181_Len195	195	49.7435897436
PRO9006_RS0109185_WP_017712236.1	017712236_Contig_380_Len1959	1959	55.5895865237
PRO9006_RS0112735_WP_026099560.1	026099560_Contig_3137_Len459	459	53.3769063181
PRO9006_RS32350_WP_081599458.1	081599458_Contig_4269_Len180	180	43.3333333333
PRO9006_RS0120745_WP_017714103.1	017714103_Contig_1298_Len1143	1143	57.7427821522
PRO9006_RS0121655_WP_017714262.1	017714262_Contig_657_Len1551	1551	54.4809800129
PRO9006_RS32685_WP_081599540.1	081599540_Contig_3357_Len393	393	53.68956743
PRO9006_RS0113000_WP_016923762.1	016923762_Contig_1812_Len924	924	59.4155844156
PRO9006_RS0113715_WP_017712958.1	017712958_Contig_215_Len2454	2454	52.0374898126
PRO9006_RS0115900_WP_016925522.1	016925522_Contig_2411_Len702	702	57.4074074074
PRO9006_RS0120400_WP_017714046.1	017714046_Contig_3545_Len336	336	33.3333333333
PRO9006_RS0116670_WP_044077074.1	044077074_Contig_392_Len1929	1929	39.5541731467
PRO9006_RS27635_WP_017713466.1	017713466_Contig_3581_Len327	327	54.128440367
PRO9006_RS0118435_WP_017713718.1	017713718_Contig_3620_Len318	318	51.2578616352
PRO9006_RS0101855_WP_017711027.1	017711027_Contig_2043_Len837	837	54.8387096774
PRO9006_RS31790_WP_081599375.1	081599375_Contig_148_Len2790	2790	55.4121863799
PRO9006_RS30830_WP_081599165.1	081599165_Contig_3984_Len231	231	59.3073593074
PRO9006_RS32575_WP_081599522.1	081599522_Contig_4281_Len168	168	36.9047619048
PRO9006_RS0123130_WP_017714497.1	017714497_Contig_3835_Len264	264	65.1515151515
PRO9006_RS27070_WP_016923821.1	016923821_Contig_4029_Len222	222	32.4324324324
PRO9006_RS26955_WP_081599330.1	081599330_Contig_371_Len1974	1974	61.1955420466
PRO9006_RS24935_WP_017711097.1	017711097_Contig_1713_Len963	963	56.8016614746
PRO9006_RS0108240_WP_026099430.1	026099430_Contig_2409_Len702	702	56.8376068376
PRO9006_RS30880_WP_081599174.1	081599174_Contig_2576_Len648	648	59.8765432099
PRO9006_RS0100280_WP_017710772.1	017710772_Contig_1078_Len1242	1242	51.4492753623
PRO9006_RS0101475_WP_026099222.1	026099222_Contig_3769_Len279	279	51.9713261649
PRO9006_RS0103190_WP_016922913.1	016922913_Contig_3518_Len342	342	57.6023391813
PRO9006_RS0108950_WP_016923013.1	016923013_Contig_2610_Len639	639	60.7198748044
PRO9006_RS0111050_WP_017712530.1	017712530_Contig_3114_Len468	468	53.8461538462
PRO9006_RS0123310_WP_026099889.1	026099889_Contig_2574_Len651	651	56.9892473118
PRO9006_RS29940_WP_081599446.1	081599446_Contig_1849_Len909	909	52.9152915292
PRO9006_RS28655_WP_081599524.1	081599524_Contig_2745_Len600	600	60.5
PRO9006_RS0104715_WP_017711508.1	017711508_Contig_4094_Len210	210	61.9047619048
PRO9006_RS0116140_WP_017713350.1	017713350_Contig_3945_Len240	240	56.25
PRO9006_RS30975_WP_017711782.1	017711782_Contig_4307_Len135	135	61.4814814815
PRO9006_RS0108275_WP_017712091.1	017712091_Contig_1974_Len864	864	61.4583333333
PRO9006_RS0115435_WP_017713234.1	017713234_Contig_239_Len2352	2352	56.5901360544
PRO9006_RS0102135_WP_017711074.1	017711074_Contig_1919_Len885	885	56.4971751412
PRO9006_RS0120005_WP_017713982.1	017713982_Contig_424_Len1869	1869	58.6944890316
PRO9006_RS0117790_WP_017713615.1	017713615_Contig_947_Len1323	1323	59.1080876795
PRO9006_RS0105510_WP_017711645.1	017711645_Contig_3770_Len279	279	49.8207885305
PRO9006_RS0112315_WP_017712733.1	017712733_Contig_1648_Len987	987	55.9270516717
PRO9006_RS0103095_WP_017711247.1	017711247_Contig_1908_Len888	888	51.5765765766
PRO9006_RS27640_WP_017713473.1	017713473_Contig_1004_Len1287	1287	62.4708624709
PRO9006_RS0118295_WP_017713697.1	017713697_Contig_1754_Len948	948	59.8101265823
PRO9006_RS31190_WP_081599240.1	081599240_Contig_3915_Len246	246	57.7235772358
PRO9006_RS0100065_WP_016925615.1	016925615_Contig_2973_Len519	519	52.6011560694
PRO9006_RS0102305_WP_016923553.1	016923553_Contig_3458_Len360	360	53.6111111111
PRO9006_RS0112675_WP_017712792.1	017712792_Contig_1667_Len981	981	50.8664627931
PRO9006_RS0111875_WP_026099532.1	026099532_Contig_1321_Len1131	1131	60.2122015915
PRO9006_RS0121555_WP_017714245.1	017714245_Contig_1736_Len954	954	59.4339622642
PRO9006_RS31050_WP_081599211.1	081599211_Contig_3680_Len300	300	49.0
PRO9006_RS0105070_WP_017711566.1	017711566_Contig_69_Len3477	3477	45.9303997699
PRO9006_RS0112415_WP_017712749.1	017712749_Contig_3651_Len306	306	53.2679738562
PRO9006_RS31485_WP_081599296.1	081599296_Contig_4100_Len210	210	34.2857142857
PRO9006_RS0118055_WP_017713658.1	017713658_Contig_247_Len2307	2307	51.6254876463
PRO9006_RS0114635_WP_016923057.1	016923057_Contig_2823_Len570	570	45.9649122807
PRO9006_RS27290_WP_017713168.1	017713168_Contig_2785_Len585	585	57.094017094
PRO9006_RS0102245_WP_081599126.1	081599126_Contig_948_Len1320	1320	60.4545454545
PRO9006_RS0122210_WP_016924760.1	016924760_Contig_3655_Len306	306	48.0392156863
PRO9006_RS0100975_WP_017710883.1	017710883_Contig_448_Len1809	1809	59.314538419
PRO9006_RS0124080_WP_016922590.1	016922590_Contig_1161_Len1206	1206	53.0679933665
PRO9006_RS0112570_WP_017712774.1	017712774_Contig_156_Len2751	2751	58.2697201018
PRO9006_RS0113350_WP_017712907.1	017712907_Contig_2305_Len738	738	55.8265582656
PRO9006_RS30945_WP_081599184.1	081599184_Contig_4111_Len207	207	57.4879227053
PRO9006_RS0121390_WP_017714216.1	017714216_Contig_1395_Len1101	1101	61.3987284287
PRO9006_RS0110995_WP_017712522.1	017712522_Contig_3011_Len504	504	58.1349206349
PRO9006_RS0120675_WP_017714092.1	017714092_Contig_4132_Len204	204	58.8235294118
PRO9006_RS26375_WP_017712284.1	017712284_Contig_2258_Len756	756	54.4973544974
PRO9006_RS0108820_WP_081599246.1	081599246_Contig_2440_Len693	693	55.266955267
PRO9006_RS29355_WP_017711827.1	017711827_Contig_186_Len2583	2583	55.9427022842
PRO9006_RS0113810_WP_017712973.1	017712973_Contig_3628_Len315	315	51.1111111111
PRO9006_RS0102280_WP_017711101.1	017711101_Contig_987_Len1296	1296	51.774691358
PRO9006_RS0106320_WP_017711780.1	017711780_Contig_305_Len2133	2133	62.5410220347
PRO9006_RS0105765_WP_016923696.1	016923696_Contig_3040_Len492	492	54.4715447154
PRO9006_RS0108825_WP_017712178.1	017712178_Contig_1189_Len1188	1188	60.5218855219
PRO9006_RS0111635_WP_017712627.1	017712627_Contig_2453_Len690	690	40.4347826087
PRO9006_RS29350_WP_017711820.1	017711820_Contig_282_Len2196	2196	56.0109289617
PRO9006_RS0107260_WP_017711929.1	017711929_Contig_3881_Len252	252	42.4603174603
PRO9006_RS0115375_WP_017713225.1	017713225_Contig_194_Len2562	2562	55.1522248244
PRO9006_RS0100020_WP_017710732.1	017710732_Contig_486_Len1755	1755	57.6638176638
PRO9006_RS0108050_WP_017712055.1	017712055_Contig_1327_Len1128	1128	56.4716312057
PRO9006_RS0110290_WP_017712416.1	017712416_Contig_1940_Len876	876	56.0502283105
PRO9006_RS0117510_WP_016923030.1	016923030_Contig_1601_Len1002	1002	54.9900199601
PRO9006_RS30615_WP_081599127.1	081599127_Contig_3550_Len333	333	49.2492492492
PRO9006_RS0123025_WP_026099882.1	026099882_Contig_2706_Len609	609	56.8144499179
PRO9006_RS32700_WP_081599543.1	081599543_Contig_4078_Len216	216	54.6296296296
PRO9006_RS0121090_WP_017714162.1	017714162_Contig_1090_Len1239	1239	63.8418079096
PRO9006_RS0122995_WP_016922675.1	016922675_Contig_979_Len1302	1302	51.6129032258
PRO9006_RS26690_WP_016924273.1	016924273_Contig_2640_Len630	630	47.4603174603
PRO9006_RS0102040_WP_081599122.1	081599122_Contig_2224_Len768	768	43.8802083333
PRO9006_RS0112260_WP_017712723.1	017712723_Contig_3857_Len258	258	48.4496124031
PRO9006_RS0118895_WP_017713798.1	017713798_Contig_993_Len1296	1296	50.1543209877
PRO9006_RS0103080_WP_017711244.1	017711244_Contig_1742_Len951	951	57.8338590957
PRO9006_RS0102685_WP_017711174.1	017711174_Contig_4155_Len198	198	65.6565656566
PRO9006_RS0115610_WP_026099649.1	026099649_Contig_464_Len1794	1794	54.8494983278
PRO9006_RS0119310_WP_044077106.1	044077106_Contig_1462_Len1074	1074	56.052141527
PRO9006_RS31240_WP_081599243.1	081599243_Contig_4302_Len138	138	56.5217391304
PRO9006_RS0119025_WP_017713823.1	017713823_Contig_886_Len1362	1362	62.0411160059
PRO9006_RS0114620_WP_017713107.1	017713107_Contig_3390_Len381	381	40.9448818898
PRO9006_RS0108230_WP_017712083.1	017712083_Contig_1610_Len999	999	56.8568568569
PRO9006_RS0107980_WP_016925449.1	016925449_Contig_4159_Len198	198	55.5555555556
PRO9006_RS0108060_WP_016922736.1	016922736_Contig_2276_Len750	750	53.6
PRO9006_RS0123410_WP_017714542.1	017714542_Contig_2271_Len753	753	60.5577689243
PRO9006_RS0110015_WP_017712369.1	017712369_Contig_1505_Len1053	1053	56.3152896486
PRO9006_RS0107190_WP_016925516.1	016925516_Contig_3737_Len288	288	58.6805555556
PRO9006_RS0101810_WP_017711019.1	017711019_Contig_3949_Len237	237	46.4135021097
PRO9006_RS0119165_WP_017713846.1	017713846_Contig_3062_Len483	483	55.2795031056
PRO9006_RS0101160_WP_026099209.1	026099209_Contig_2517_Len666	666	56.3063063063
PRO9006_RS0110265_WP_026099491.1	026099491_Contig_2242_Len762	762	57.0866141732
PRO9006_RS0123895_WP_017714620.1	017714620_Contig_1227_Len1176	1176	60.6292517007
PRO9006_RS24980_WP_017711137.1	017711137_Contig_3424_Len369	369	50.6775067751
PRO9006_RS0119940_WP_016925253.1	016925253_Contig_2612_Len639	639	54.7730829421
PRO9006_RS0113795_WP_017712970.1	017712970_Contig_4244_Len183	183	58.4699453552
PRO9006_RS0106450_WP_017711804.1	017711804_Contig_1008_Len1284	1284	57.9439252336
PRO9006_RS0124010_WP_017714640.1	017714640_Contig_3495_Len351	351	53.5612535613
PRO9006_RS0114660_WP_016924242.1	016924242_Contig_3833_Len264	264	40.9090909091
