Original Name	New Name	Seq Length	 Seq GC
C7Y66_RS26915_WP_106547946.1	106547946_Contig_979_Len1422	1422	45.4992967651
C7Y66_RS04415_WP_106544625.1	106544625_Contig_1272_Len1284	1284	43.4579439252
C7Y66_RS16010_WP_106546361.1	106546361_Contig_600_Len1704	1704	39.9647887324
C7Y66_RS29655_WP_015156510.1	015156510_Contig_4475_Len411	411	39.1727493917
C7Y66_RS07995_WP_106545150.1	106545150_Contig_2126_Len981	981	47.50254842
C7Y66_RS13690_WP_106546000.1	106546000_Contig_2722_Len825	825	41.9393939394
C7Y66_RS20120_WP_106546957.1	106546957_Contig_4927_Len315	315	35.2380952381
C7Y66_RS07855_WP_106545128.1	106545128_Contig_2324_Len924	924	45.9956709957
C7Y66_RS12480_WP_106545820.1	106545820_Contig_2117_Len984	984	45.5284552846
C7Y66_RS29955_WP_106548323.1	106548323_Contig_3001_Len756	756	51.5873015873
C7Y66_RS14680_WP_106546160.1	106546160_Contig_5359_Len225	225	54.6666666667
C7Y66_RS01725_WP_015155214.1	015155214_Contig_4129_Len486	486	41.975308642
C7Y66_RS19475_WP_015156053.1	015156053_Contig_4492_Len405	405	45.1851851852
C7Y66_RS09780_WP_106545427.1	106545427_Contig_3989_Len519	519	54.1425818882
C7Y66_RS27140_WP_015152282.1	015152282_Contig_5638_Len114	114	37.7192982456
C7Y66_RS19540_WP_106546860.1	106546860_Contig_324_Len2193	2193	49.5668034656
C7Y66_RS09665_WP_106545409.1	106545409_Contig_3593_Len609	609	51.3957307061
C7Y66_RS11305_WP_106545687.1	106545687_Contig_3245_Len696	696	45.4022988506
C7Y66_RS07360_WP_106545061.1	106545061_Contig_3365_Len666	666	46.5465465465
C7Y66_RS28290_WP_106548117.1	106548117_Contig_5115_Len273	273	51.2820512821
C7Y66_RS01665_WP_106544240.1	106544240_Contig_954_Len1434	1434	45.9553695955
C7Y66_RS07185_WP_106545034.1	106545034_Contig_392_Len2055	2055	48.2238442822
C7Y66_RS25865_WP_106547791.1	106547791_Contig_3864_Len546	546	56.2271062271
C7Y66_RS08295_WP_106545202.1	106545202_Contig_4489_Len405	405	48.1481481481
C7Y66_RS28750_WP_106548172.1	106548172_Contig_1501_Len1194	1194	36.7671691792
C7Y66_RS16430_WP_106546424.1	106546424_Contig_1285_Len1281	1281	37.6268540203
C7Y66_RS09100_WP_106545318.1	106545318_Contig_4183_Len474	474	41.9831223629
C7Y66_RS28675_WP_015154009.1	015154009_Contig_4835_Len336	336	48.5119047619
C7Y66_RS12000_WP_106545747.1	106545747_Contig_4952_Len309	309	48.5436893204
C7Y66_RS30225_WP_106548360.1	106548360_Contig_2600_Len855	855	47.8362573099
C7Y66_RS24500_WP_106547580.1	106547580_Contig_4829_Len336	336	50.5952380952
C7Y66_RS20750_WP_106547045.1	106547045_Contig_1466_Len1209	1209	46.8982630273
C7Y66_RS09900_WP_106545478.1	106545478_Contig_1552_Len1179	1179	51.22985581
C7Y66_RS19620_WP_106546870.1	106546870_Contig_2183_Len969	969	46.2332301342
C7Y66_RS27035_WP_106547963.1	106547963_Contig_2716_Len825	825	49.4545454545
C7Y66_RS18250_WP_106546679.1	106546679_Contig_938_Len1443	1443	48.9951489951
C7Y66_RS22090_WP_015153738.1	015153738_Contig_4349_Len435	435	46.6666666667
C7Y66_RS00595_WP_106544091.1	106544091_Contig_981_Len1422	1422	48.5935302391
C7Y66_RS29680_WP_106548286.1	106548286_Contig_4661_Len372	372	47.5806451613
C7Y66_RS03270_WP_106544447.1	106544447_Contig_1253_Len1293	1293	46.3263727765
C7Y66_RS19095_WP_106546785.1	106546785_Contig_1092_Len1365	1365	37.4358974359
C7Y66_RS19395_WP_106546833.1	106546833_Contig_62_Len3417	3417	48.9903424056
C7Y66_RS27320_WP_106547988.1	106547988_Contig_2654_Len840	840	52.5
C7Y66_RS03775_WP_015153118.1	015153118_Contig_1872_Len1059	1059	45.2313503305
C7Y66_RS03555_WP_106544494.1	106544494_Contig_3908_Len540	540	45.9259259259
C7Y66_RS02295_WP_015157098.1	015157098_Contig_2431_Len897	897	48.7179487179
C7Y66_RS05715_WP_106544818.1	106544818_Contig_1676_Len1134	1134	49.2945326279
C7Y66_RS11670_WP_015154474.1	015154474_Contig_3633_Len600	600	44.6666666667
C7Y66_RS22980_WP_041462584.1	041462584_Contig_4246_Len456	456	43.201754386
C7Y66_RS02040_WP_106544297.1	106544297_Contig_1543_Len1182	1182	39.6785109983
C7Y66_RS24855_WP_106547631.1	106547631_Contig_1310_Len1269	1269	38.219070134
C7Y66_RS26530_WP_106547884.1	106547884_Contig_2577_Len861	861	47.9674796748
C7Y66_RS04310_WP_106544607.1	106544607_Contig_3176_Len711	711	45.7102672293
C7Y66_RS04880_WP_106544698.1	106544698_Contig_1860_Len1065	1065	37.3708920188
C7Y66_RS07130_WP_106545024.1	106545024_Contig_5036_Len291	291	46.735395189
C7Y66_RS23520_WP_106547454.1	106547454_Contig_4750_Len351	351	47.0085470085
C7Y66_RS04040_WP_015153178.1	015153178_Contig_1487_Len1197	1197	46.2823725982
C7Y66_RS21930_WP_106547219.1	106547219_Contig_591_Len1716	1716	44.8717948718
C7Y66_RS13570_WP_106545980.1	106545980_Contig_615_Len1686	1686	46.2040332147
C7Y66_RS02000_WP_106544289.1	106544289_Contig_4480_Len408	408	50.0
C7Y66_RS25305_WP_106547704.1	106547704_Contig_2344_Len918	918	44.5533769063
C7Y66_RS17430_WP_106546563.1	106546563_Contig_1412_Len1230	1230	46.8292682927
C7Y66_RS13825_WP_106546014.1	106546014_Contig_3271_Len690	690	48.4057971014
C7Y66_RS15995_WP_106546360.1	106546360_Contig_2841_Len798	798	36.8421052632
C7Y66_RS08620_WP_106545254.1	106545254_Contig_2187_Len966	966	48.2401656315
C7Y66_RS04905_WP_106544702.1	106544702_Contig_1221_Len1305	1305	37.0881226054
C7Y66_RS20675_WP_106547037.1	106547037_Contig_5081_Len282	282	47.1631205674
C7Y66_RS02690_WP_106544399.1	106544399_Contig_4131_Len486	486	40.5349794239
C7Y66_RS08990_WP_041462701.1	041462701_Contig_4709_Len360	360	35.2777777778
C7Y66_RS26015_WP_106547824.1	106547824_Contig_292_Len2268	2268	50.3968253968
C7Y66_RS17115_WP_015155419.1	015155419_Contig_2991_Len762	762	45.1443569554
C7Y66_RS13860_WP_106546044.1	106546044_Contig_2632_Len846	846	41.9621749409
C7Y66_RS20785_WP_106547050.1	106547050_Contig_3250_Len696	696	38.9367816092
C7Y66_RS25595_WP_106547748.1	106547748_Contig_2866_Len789	789	33.9670468948
C7Y66_RS02260_WP_015157104.1	015157104_Contig_609_Len1695	1695	50.8554572271
C7Y66_RS12135_WP_106545764.1	106545764_Contig_1044_Len1389	1389	47.5161987041
C7Y66_RS05710_WP_015157278.1	015157278_Contig_4557_Len390	390	48.9743589744
C7Y66_RS15825_WP_106546332.1	106546332_Contig_327_Len2181	2181	46.5841357176
C7Y66_RS14190_WP_106546073.1	106546073_Contig_645_Len1650	1650	48.4848484848
C7Y66_RS23440_WP_106547444.1	106547444_Contig_1073_Len1371	1371	38.0743982495
C7Y66_RS15005_WP_106546212.1	106546212_Contig_4997_Len300	300	37.3333333333
C7Y66_RS11165_WP_106545638.1	106545638_Contig_2107_Len987	987	47.0111448835
C7Y66_RS11210_WP_106545651.1	106545651_Contig_1940_Len1038	1038	48.0732177264
C7Y66_RS07950_WP_106545142.1	106545142_Contig_3328_Len675	675	48.1481481481
C7Y66_RS20230_WP_015156239.1	015156239_Contig_4389_Len429	429	44.9883449883
C7Y66_RS10660_WP_106545555.1	106545555_Contig_272_Len2316	2316	50.0
C7Y66_RS21030_WP_106547106.1	106547106_Contig_5045_Len288	288	39.2361111111
C7Y66_RS01475_WP_106544213.1	106544213_Contig_2453_Len891	891	38.0471380471
C7Y66_RS15680_WP_106546310.1	106546310_Contig_3707_Len585	585	38.9743589744
C7Y66_RS17625_WP_106546593.1	106546593_Contig_4569_Len390	390	45.1282051282
C7Y66_RS30135_WP_015153756.1	015153756_Contig_3797_Len564	564	50.0
C7Y66_RS14965_WP_106546206.1	106546206_Contig_5404_Len216	216	40.2777777778
C7Y66_RS29405_WP_106548258.1	106548258_Contig_3099_Len732	732	46.0382513661
