Original Name	New Name	Seq Length	 Seq GC
DO97_RS17330_WP_036535862.1	036535862_Contig_2967_Len243	243	45.2674897119
DO97_RS22335_WP_072016454.1	072016454_Contig_3163_Len195	195	49.2307692308
DO97_RS10775_WP_052128629.1	052128629_Contig_25_Len3339	3339	48.8170110812
DO97_RS14970_WP_052128786.1	052128786_Contig_377_Len1455	1455	51.5463917526
DO97_RS20170_WP_036536079.1	036536079_Contig_3190_Len186	186	43.5483870968
DO97_RS14000_WP_036534475.1	036534475_Contig_873_Len1047	1047	52.435530086
DO97_RS20815_WP_081980666.1	081980666_Contig_1967_Len546	546	51.6483516484
DO97_RS04085_WP_036531287.1	036531287_Contig_1544_Len717	717	54.3933054393
DO97_RS11140_WP_036533372.1	036533372_Contig_1520_Len726	726	47.3829201102
DO97_RS11595_WP_036533557.1	036533557_Contig_1113_Len906	906	56.5121412804
DO97_RS00160_WP_036530124.1	036530124_Contig_2242_Len456	456	47.149122807
DO97_RS11085_WP_052128643.1	052128643_Contig_1106_Len909	909	46.7546754675
DO97_RS11705_WP_036533589.1	036533589_Contig_1100_Len912	912	51.9736842105
DO97_RS12585_WP_052128695.1	052128695_Contig_2775_Len297	297	50.5050505051
DO97_RS11720_WP_036533593.1	036533593_Contig_582_Len1236	1236	54.6116504854
DO97_RS02685_WP_036530944.1	036530944_Contig_2094_Len504	504	50.5952380952
DO97_RS07700_WP_052128510.1	052128510_Contig_854_Len1056	1056	51.8939393939
DO97_RS12130_WP_036533860.1	036533860_Contig_538_Len1281	1281	49.8048399688
DO97_RS07455_WP_081980677.1	081980677_Contig_1844_Len591	591	55.3299492386
DO97_RS04800_WP_036531431.1	036531431_Contig_2553_Len363	363	49.0358126722
DO97_RS00530_WP_052128197.1	052128197_Contig_2113_Len498	498	52.2088353414
DO97_RS12755_WP_036534024.1	036534024_Contig_1633_Len678	678	39.5280235988
DO97_RS08440_WP_052128534.1	052128534_Contig_2350_Len417	417	52.5179856115
DO97_RS02495_WP_081980591.1	081980591_Contig_2707_Len318	318	52.2012578616
DO97_RS18305_WP_036536239.1	036536239_Contig_2580_Len354	354	48.0225988701
DO97_RS08605_WP_036532515.1	036532515_Contig_1961_Len549	549	40.6193078324
DO97_RS00855_WP_036530438.1	036530438_Contig_2699_Len318	318	50.6289308176
DO97_RS08150_WP_052128523.1	052128523_Contig_2439_Len390	390	55.8974358974
DO97_RS00445_WP_036530219.1	036530219_Contig_1717_Len639	639	56.9640062598
DO97_RS10425_WP_052128617.1	052128617_Contig_1377_Len789	789	56.2737642586
DO97_RS09225_WP_036532661.1	036532661_Contig_746_Len1116	1116	51.3440860215
DO97_RS16355_WP_036535462.1	036535462_Contig_2854_Len273	273	52.380952381
DO97_RS18015_WP_036536145.1	036536145_Contig_470_Len1347	1347	54.0460282108
DO97_RS12240_WP_036533747.1	036533747_Contig_2224_Len462	462	54.5454545455
DO97_RS03180_WP_036531102.1	036531102_Contig_2978_Len240	240	49.5833333333
DO97_RS20290_WP_036537155.1	036537155_Contig_2154_Len489	489	45.8077709611
DO97_RS06075_WP_036531807.1	036531807_Contig_2731_Len309	309	55.6634304207
DO97_RS18390_WP_036536295.1	036536295_Contig_173_Len1944	1944	57.0987654321
DO97_RS12175_WP_036533722.1	036533722_Contig_1219_Len858	858	53.6130536131
DO97_RS11435_WP_036533485.1	036533485_Contig_1827_Len600	600	52.0
DO97_RS04905_WP_036531523.1	036531523_Contig_2940_Len249	249	52.2088353414
DO97_RS16195_WP_036535385.1	036535385_Contig_2965_Len243	243	48.1481481481
DO97_RS06770_WP_036531992.1	036531992_Contig_558_Len1260	1260	49.5238095238
DO97_RS09160_WP_036532638.1	036532638_Contig_2201_Len471	471	54.9893842887
DO97_RS00555_WP_036530258.1	036530258_Contig_2808_Len285	285	52.6315789474
DO97_RS19850_WP_036536918.1	036536918_Contig_1435_Len765	765	38.8235294118
DO97_RS22865_WP_052128336.1	052128336_Contig_65_Len2676	2676	57.5112107623
DO97_RS01115_WP_036530502.1	036530502_Contig_2515_Len369	369	46.6124661247
DO97_RS07190_WP_036532078.1	036532078_Contig_2738_Len306	306	55.5555555556
DO97_RS17470_WP_036535902.1	036535902_Contig_1250_Len846	846	47.5177304965
DO97_RS04065_WP_036531282.1	036531282_Contig_1276_Len834	834	52.1582733813
DO97_RS15820_WP_036535231.1	036535231_Contig_1004_Len963	963	49.7403946002
DO97_RS10755_WP_052128625.1	052128625_Contig_1184_Len876	876	46.4611872146
DO97_RS23380_WP_081980840.1	081980840_Contig_2283_Len444	444	46.6216216216
DO97_RS07465_WP_052128495.1	052128495_Contig_1853_Len588	588	55.612244898
DO97_RS08405_WP_052128531.1	052128531_Contig_314_Len1548	1548	55.7493540052
DO97_RS15610_WP_081980790.1	081980790_Contig_590_Len1233	1233	57.3398215734
DO97_RS19005_WP_036536510.1	036536510_Contig_340_Len1506	1506	49.8007968127
DO97_RS00115_WP_052128180.1	052128180_Contig_1261_Len837	837	47.7897252091
DO97_RS16665_WP_036535552.1	036535552_Contig_3085_Len213	213	49.2957746479
DO97_RS03505_WP_036531181.1	036531181_Contig_1403_Len780	780	54.7435897436
DO97_RS21475_WP_052128917.1	052128917_Contig_917_Len1014	1014	49.1124260355
DO97_RS16540_WP_081980812.1	081980812_Contig_1390_Len783	783	56.4495530013
DO97_RS01885_WP_036530719.1	036530719_Contig_419_Len1401	1401	50.892219843
DO97_RS20180_WP_036537081.1	036537081_Contig_2884_Len261	261	45.2107279693
DO97_RS19350_WP_036536682.1	036536682_Contig_1259_Len840	840	56.4285714286
DO97_RS20085_WP_036537030.1	036537030_Contig_557_Len1263	1263	46.3182897862
DO97_RS06790_WP_036531997.1	036531997_Contig_1442_Len759	759	57.1805006588
DO97_RS23350_WP_081980814.1	081980814_Contig_2991_Len237	237	56.5400843882
DO97_RS09705_WP_036532924.1	036532924_Contig_3031_Len225	225	48.0
DO97_RS18890_WP_036536518.1	036536518_Contig_516_Len1302	1302	53.6866359447
DO97_RS10300_WP_036533111.1	036533111_Contig_420_Len1398	1398	60.0143061516
DO97_RS01480_WP_036530591.1	036530591_Contig_1912_Len564	564	53.3687943262
DO97_RS19460_WP_036536707.1	036536707_Contig_2241_Len459	459	53.5947712418
DO97_RS01915_WP_036530726.1	036530726_Contig_365_Len1470	1470	52.7210884354
DO97_RS20550_WP_052128344.1	052128344_Contig_1540_Len720	720	42.2222222222
DO97_RS08470_WP_036532473.1	036532473_Contig_1536_Len720	720	53.3333333333
DO97_RS16510_WP_052128867.1	052128867_Contig_2431_Len393	393	49.3638676845
DO97_RS15320_WP_052128810.1	052128810_Contig_1075_Len927	927	52.9665587918
DO97_RS01210_WP_036530535.1	036530535_Contig_602_Len1218	1218	57.3070607553
DO97_RS07770_WP_036532243.1	036532243_Contig_874_Len1044	1044	52.5862068966
DO97_RS05560_WP_036531623.1	036531623_Contig_2111_Len501	501	56.6866267465
DO97_RS10790_WP_036533286.1	036533286_Contig_2418_Len396	396	45.7070707071
DO97_RS14720_WP_036534808.1	036534808_Contig_3002_Len234	234	39.7435897436
DO97_RS05855_WP_036531731.1	036531731_Contig_159_Len2004	2004	54.5409181637
DO97_RS10880_WP_036533303.1	036533303_Contig_3199_Len183	183	53.0054644809
DO97_RS06995_WP_036532042.1	036532042_Contig_885_Len1035	1035	52.270531401
DO97_RS12620_WP_036533965.1	036533965_Contig_429_Len1392	1392	54.7413793103
DO97_RS13445_WP_081980751.1	081980751_Contig_1587_Len696	696	51.724137931
DO97_RS20925_WP_081980700.1	081980700_Contig_889_Len1032	1032	34.7868217054
DO97_RS17635_WP_081980830.1	081980830_Contig_2507_Len372	372	46.5053763441
DO97_RS15360_WP_036535039.1	036535039_Contig_2708_Len318	318	55.0314465409
DO97_RS00455_WP_036530356.1	036530356_Contig_967_Len984	984	55.9959349593
DO97_RS19715_WP_036536853.1	036536853_Contig_1880_Len576	576	46.3541666667
DO97_RS03060_WP_052128318.1	052128318_Contig_279_Len1626	1626	57.5030750308
DO97_RS11700_WP_036533587.1	036533587_Contig_810_Len1080	1080	47.037037037
DO97_RS15210_WP_036535009.1	036535009_Contig_992_Len972	972	55.3497942387
DO97_RS01390_WP_036530650.1	036530650_Contig_1112_Len906	906	53.0905077263
DO97_RS17335_WP_036535865.1	036535865_Contig_2397_Len405	405	47.6543209877
DO97_RS12260_WP_036533751.1	036533751_Contig_1861_Len585	585	48.2051282051
DO97_RS01450_WP_081980582.1	081980582_Contig_2862_Len270	270	53.7037037037
DO97_RS08865_WP_036532567.1	036532567_Contig_1943_Len555	555	50.6306306306
DO97_RS02945_WP_036531003.1	036531003_Contig_2579_Len354	354	47.4576271186
DO97_RS22080_WP_081980665.1	081980665_Contig_3239_Len138	138	47.8260869565
DO97_RS08925_WP_052128548.1	052128548_Contig_1131_Len897	897	52.1739130435
DO97_RS00370_WP_036530196.1	036530196_Contig_638_Len1191	1191	45.1721242653
DO97_RS05900_WP_036531750.1	036531750_Contig_432_Len1389	1389	49.0280777538
DO97_RS11850_WP_052128668.1	052128668_Contig_2947_Len246	246	50.406504065
DO97_RS21485_WP_052128921.1	052128921_Contig_1771_Len621	621	52.4959742351
DO97_RS11030_WP_036533347.1	036533347_Contig_624_Len1200	1200	51.5
DO97_RS08250_WP_036532341.1	036532341_Contig_608_Len1212	1212	50.6600660066
DO97_RS04360_WP_036531331.1	036531331_Contig_671_Len1176	1176	53.656462585
DO97_RS17235_WP_081980826.1	081980826_Contig_629_Len1197	1197	43.2748538012
DO97_RS17530_WP_036535926.1	036535926_Contig_2455_Len387	387	50.3875968992
DO97_RS20400_WP_052128212.1	052128212_Contig_1459_Len753	753	52.3240371846
DO97_RS18065_WP_036536164.1	036536164_Contig_2550_Len363	363	44.3526170799
DO97_RS10765_WP_081980718.1	081980718_Contig_1768_Len621	621	44.2834138486
DO97_RS20945_WP_081980707.1	081980707_Contig_97_Len2379	2379	54.0563261875
DO97_RS17185_WP_036535781.1	036535781_Contig_1805_Len609	609	54.6798029557
DO97_RS06125_WP_036531808.1	036531808_Contig_3212_Len180	180	53.8888888889
DO97_RS15785_WP_036535222.1	036535222_Contig_1802_Len609	609	53.3661740558
DO97_RS06625_WP_036531955.1	036531955_Contig_2585_Len351	351	54.415954416
DO97_RS00065_WP_081980570.1	081980570_Contig_2371_Len411	411	44.5255474453
DO97_RS08765_WP_036532553.1	036532553_Contig_1419_Len771	771	53.8261997406
DO97_RS19355_WP_072016516.1	072016516_Contig_499_Len1317	1317	55.960516325
DO97_RS16445_WP_036535567.1	036535567_Contig_770_Len1104	1104	55.4347826087
DO97_RS13070_WP_036534133.1	036534133_Contig_1855_Len588	588	53.231292517
DO97_RS02105_WP_036530778.1	036530778_Contig_2873_Len267	267	45.3183520599
DO97_RS09135_WP_036532631.1	036532631_Contig_976_Len981	981	55.0458715596
DO97_RS09320_WP_036532684.1	036532684_Contig_523_Len1293	1293	54.4470224285
DO97_RS10205_WP_036533039.1	036533039_Contig_1631_Len678	678	55.8997050147
DO97_RS01165_WP_036530522.1	036530522_Contig_1365_Len792	792	52.5252525253
DO97_RS07975_WP_036532398.1	036532398_Contig_2244_Len456	456	50.0
DO97_RS04875_WP_081980625.1	081980625_Contig_862_Len1053	1053	56.1253561254
DO97_RS07600_WP_036532369.1	036532369_Contig_439_Len1383	1383	50.686912509
DO97_RS13945_WP_072016455.1	072016455_Contig_2718_Len315	315	54.2857142857
DO97_RS18660_WP_036531668.1	036531668_Contig_3007_Len234	234	52.9914529915
DO97_RS07365_WP_052128491.1	052128491_Contig_1897_Len570	570	53.3333333333
DO97_RS18540_WP_036533894.1	036533894_Contig_851_Len1059	1059	54.0132200189
DO97_RS20200_WP_036537095.1	036537095_Contig_1151_Len888	888	43.1306306306
DO97_RS21230_WP_052128762.1	052128762_Contig_733_Len1128	1128	60.1063829787
DO97_RS11960_WP_052128674.1	052128674_Contig_848_Len1059	1059	52.9745042493
DO97_RS14175_WP_036534575.1	036534575_Contig_2841_Len276	276	48.9130434783
DO97_RS22860_WP_081980604.1	081980604_Contig_1082_Len924	924	54.6536796537
DO97_RS03780_WP_036531225.1	036531225_Contig_2827_Len282	282	51.0638297872
DO97_RS18130_WP_052128935.1	052128935_Contig_3207_Len183	183	42.6229508197
DO97_RS07120_WP_036532059.1	036532059_Contig_694_Len1155	1155	53.3333333333
DO97_RS00060_WP_036530325.1	036530325_Contig_2697_Len318	318	47.7987421384
DO97_RS07660_WP_036532223.1	036532223_Contig_366_Len1467	1467	56.1690524881
DO97_RS03840_WP_036531240.1	036531240_Contig_2615_Len345	345	47.2463768116
DO97_RS05640_WP_036531637.1	036531637_Contig_1841_Len594	594	53.0303030303
DO97_RS01790_WP_036530704.1	036530704_Contig_2804_Len288	288	53.8194444444
DO97_RS21415_WP_052128874.1	052128874_Contig_592_Len1230	1230	52.9268292683
DO97_RS21465_WP_052128911.1	052128911_Contig_2726_Len312	312	50.9615384615
DO97_RS00265_WP_036530164.1	036530164_Contig_1141_Len894	894	55.033557047
DO97_RS05000_WP_081980631.1	081980631_Contig_180_Len1911	1911	51.4913657771
DO97_RS17375_WP_036535878.1	036535878_Contig_1907_Len567	567	50.7936507937
DO97_RS05580_WP_036531701.1	036531701_Contig_979_Len981	981	55.0458715596
DO97_RS19780_WP_036536881.1	036536881_Contig_2828_Len282	282	47.1631205674
DO97_RS15950_WP_052128840.1	052128840_Contig_1079_Len924	924	52.4891774892
DO97_RS16440_WP_036535490.1	036535490_Contig_1173_Len882	882	49.2063492063
DO97_RS10910_WP_036533307.1	036533307_Contig_1237_Len849	849	56.5371024735
DO97_RS21405_WP_052128871.1	052128871_Contig_2071_Len510	510	51.1764705882
DO97_RS09625_WP_052128586.1	052128586_Contig_707_Len1143	1143	42.08223972
DO97_RS16905_WP_036535666.1	036535666_Contig_2170_Len483	483	39.9585921325
DO97_RS09115_WP_052128552.1	052128552_Contig_2222_Len462	462	51.7316017316
DO97_RS15635_WP_052128825.1	052128825_Contig_85_Len2481	2481	45.6670697299
DO97_RS15875_WP_036535284.1	036535284_Contig_74_Len2622	2622	52.2120518688
DO97_RS12205_WP_036533739.1	036533739_Contig_2292_Len438	438	51.598173516
DO97_RS21030_WP_052128648.1	052128648_Contig_519_Len1299	1299	48.6528098537
DO97_RS09795_WP_036532942.1	036532942_Contig_923_Len1008	1008	51.8849206349
DO97_RS06420_WP_036531881.1	036531881_Contig_2261_Len450	450	50.4444444444
DO97_RS11305_WP_036533449.1	036533449_Contig_702_Len1149	1149	49.5213228895
DO97_RS18965_WP_036536527.1	036536527_Contig_1292_Len828	828	50.2415458937
DO97_RS06610_WP_036531952.1	036531952_Contig_2596_Len348	348	55.7471264368
DO97_RS06580_WP_036531944.1	036531944_Contig_447_Len1371	1371	58.7162654996
DO97_RS03980_WP_036531268.1	036531268_Contig_1316_Len816	816	54.4117647059
DO97_RS08775_WP_036532557.1	036532557_Contig_754_Len1113	1113	54.9865229111
DO97_RS14895_WP_081980768.1	081980768_Contig_1422_Len771	771	52.3994811933
DO97_RS23070_WP_081980692.1	081980692_Contig_2641_Len333	333	56.1561561562
DO97_RS01940_WP_036530737.1	036530737_Contig_2703_Len318	318	51.2578616352
DO97_RS18590_WP_036536349.1	036536349_Contig_3051_Len222	222	50.9009009009
DO97_RS02800_WP_036530967.1	036530967_Contig_2187_Len477	477	49.4758909853
DO97_RS07880_WP_036532259.1	036532259_Contig_2609_Len345	345	52.7536231884
DO97_RS17630_WP_052128912.1	052128912_Contig_2386_Len408	408	43.6274509804
DO97_RS02785_WP_036531029.1	036531029_Contig_2811_Len285	285	58.5964912281
DO97_RS19730_WP_081980889.1	081980889_Contig_2658_Len330	330	53.0303030303
DO97_RS07460_WP_036532357.1	036532357_Contig_853_Len1056	1056	56.5340909091
DO97_RS02360_WP_036530820.1	036530820_Contig_1913_Len564	564	47.5177304965
DO97_RS15815_WP_036535229.1	036535229_Contig_475_Len1341	1341	53.9895600298
DO97_RS04540_WP_036531396.1	036531396_Contig_161_Len2004	2004	56.3872255489
DO97_RS11045_WP_052128640.1	052128640_Contig_1594_Len693	693	58.8744588745
DO97_RS17690_WP_036536010.1	036536010_Contig_2108_Len501	501	54.4910179641
DO97_RS18855_WP_036536468.1	036536468_Contig_2182_Len480	480	44.375
DO97_RS06320_WP_036531864.1	036531864_Contig_3113_Len204	204	52.9411764706
DO97_RS12515_WP_081980739.1	081980739_Contig_171_Len1950	1950	51.3333333333
DO97_RS08205_WP_036532332.1	036532332_Contig_1726_Len636	636	50.786163522
DO97_RS08600_WP_036532512.1	036532512_Contig_496_Len1317	1317	55.125284738
DO97_RS09300_WP_036532676.1	036532676_Contig_2141_Len489	489	48.2617586912
