Original Name	New Name	Seq Length	 Seq GC
CWATDRAFT_RS29465_WP_007308383.1	007308383_Contig_4347_Len279	279	39.0681003584
CWATDRAFT_RS31540_WP_050018327.1	050018327_Contig_4473_Len258	258	45.3488372093
CWATDRAFT_RS16395_WP_007306071.1	007306071_Contig_595_Len1521	1521	35.7001972387
CWATDRAFT_RS22840_WP_042712201.1	042712201_Contig_2713_Len603	603	41.7910447761
CWATDRAFT_RS36290_WP_085961767.1	085961767_Contig_4423_Len267	267	34.456928839
CWATDRAFT_RS09035_WP_007304830.1	007304830_Contig_1111_Len1200	1200	36.0833333333
CWATDRAFT_RS22275_WP_007303064.1	007303064_Contig_3238_Len495	495	40.0
CWATDRAFT_RS14510_WP_007303072.1	007303072_Contig_3742_Len396	396	35.3535353535
CWATDRAFT_RS16390_WP_007306070.1	007306070_Contig_1697_Len918	918	47.7124183007
CWATDRAFT_RS09245_WP_007303067.1	007303067_Contig_2873_Len582	582	43.1271477663
CWATDRAFT_RS00480_WP_007303124.1	007303124_Contig_67_Len2880	2880	37.3263888889
CWATDRAFT_RS00590_WP_081450901.1	081450901_Contig_488_Len1545	1545	31.9741100324
CWATDRAFT_RS07470_WP_007304430.1	007304430_Contig_3380_Len468	468	36.3247863248
CWATDRAFT_RS04140_WP_007303809.1	007303809_Contig_5010_Len168	168	34.5238095238
CWATDRAFT_RS23270_WP_007307302.1	007307302_Contig_1490_Len1002	1002	37.7245508982
CWATDRAFT_RS24190_WP_007307468.1	007307468_Contig_2079_Len774	774	34.6253229974
CWATDRAFT_RS30550_WP_007308575.1	007308575_Contig_3860_Len375	375	38.6666666667
CWATDRAFT_RS28885_WP_007308297.1	007308297_Contig_1862_Len849	849	32.6266195524
CWATDRAFT_RS09280_WP_021834646.1	021834646_Contig_1786_Len882	882	44.3310657596
CWATDRAFT_RS20025_WP_042711971.1	042711971_Contig_1370_Len1059	1059	33.3333333333
CWATDRAFT_RS14835_WP_007305783.1	007305783_Contig_3739_Len396	396	34.8484848485
CWATDRAFT_RS13685_WP_007305577.1	007305577_Contig_683_Len1479	1479	44.0162271805
CWATDRAFT_RS26530_WP_007304123.1	007304123_Contig_3712_Len396	396	35.101010101
CWATDRAFT_RS14380_WP_007305699.1	007305699_Contig_1407_Len1044	1044	33.0459770115
CWATDRAFT_RS19335_WP_007306634.1	007306634_Contig_4293_Len291	291	35.0515463918
CWATDRAFT_RS02210_WP_007303452.1	007303452_Contig_1251_Len1128	1128	31.5602836879
CWATDRAFT_RS27715_WP_007308099.1	007308099_Contig_4421_Len267	267	29.9625468165
CWATDRAFT_RS06610_WP_007304280.1	007304280_Contig_3299_Len489	489	36.1963190184
CWATDRAFT_RS19860_WP_007306723.1	007306723_Contig_1631_Len942	942	34.3949044586
CWATDRAFT_RS00860_WP_007303196.1	007303196_Contig_3662_Len405	405	34.5679012346
CWATDRAFT_RS04730_WP_007303924.1	007303924_Contig_3298_Len489	489	34.9693251534
CWATDRAFT_RS11765_WP_007305211.1	007305211_Contig_1681_Len924	924	43.3982683983
CWATDRAFT_RS11555_WP_007305158.1	007305158_Contig_1194_Len1158	1158	46.6321243523
CWATDRAFT_RS22580_WP_007307181.1	007307181_Contig_1541_Len978	978	36.9120654397
CWATDRAFT_RS27180_WP_007308004.1	007308004_Contig_189_Len2112	2112	45.0757575758
CWATDRAFT_RS33670_WP_035824761.1	035824761_Contig_4947_Len186	186	48.3870967742
CWATDRAFT_RS02015_WP_007303417.1	007303417_Contig_1139_Len1185	1185	42.447257384
CWATDRAFT_RS21185_WP_007306946.1	007306946_Contig_3937_Len360	360	44.7222222222
CWATDRAFT_RS34960_WP_007308308.1	007308308_Contig_4465_Len258	258	37.984496124
CWATDRAFT_RS14990_WP_007305806.1	007305806_Contig_3573_Len423	423	40.4255319149
CWATDRAFT_RS09395_WP_007304735.1	007304735_Contig_1474_Len1011	1011	38.2789317507
CWATDRAFT_RS35315_WP_007303134.1	007303134_Contig_4431_Len267	267	39.7003745318
CWATDRAFT_RS03835_WP_007303751.1	007303751_Contig_983_Len1281	1281	40.7494145199
CWATDRAFT_RS26185_WP_007307838.1	007307838_Contig_848_Len1368	1368	37.6461988304
CWATDRAFT_RS13090_WP_007305487.1	007305487_Contig_552_Len1527	1527	33.5952848723
CWATDRAFT_RS29625_WP_007308414.1	007308414_Contig_2296_Len699	699	34.191702432
CWATDRAFT_RS29135_WP_042712814.1	042712814_Contig_4802_Len207	207	35.7487922705
CWATDRAFT_RS01825_WP_007303377.1	007303377_Contig_4395_Len273	273	30.0366300366
CWATDRAFT_RS00605_WP_007303148.1	007303148_Contig_1574_Len969	969	32.0949432405
CWATDRAFT_RS23090_WP_007307274.1	007307274_Contig_3287_Len489	489	35.1738241309
