Original Name	New Name	Seq Length	 Seq GC
NF78_RS08650_WP_035985769.1	035985769_Contig_1731_Len1065	1065	63.5680751174
NF78_RS10635_WP_035986172.1	035986172_Contig_1460_Len1158	1158	64.5077720207
NF78_RS09665_WP_035985932.1	035985932_Contig_3194_Len654	654	63.4556574924
NF78_RS02415_WP_035984680.1	035984680_Contig_4439_Len375	375	67.4666666667
NF78_RS21360_WP_035991489.1	035991489_Contig_5350_Len198	198	56.0606060606
NF78_RS05175_WP_035985167.1	035985167_Contig_2637_Len786	786	61.8320610687
NF78_RS10225_WP_035986044.1	035986044_Contig_984_Len1398	1398	59.4420600858
NF78_RS07495_WP_052049957.1	052049957_Contig_324_Len2127	2127	38.7400094029
NF78_RS09325_WP_052050030.1	052050030_Contig_4257_Len414	414	53.8647342995
NF78_RS27720_WP_072016301.1	072016301_Contig_2942_Len714	714	57.8431372549
NF78_RS20150_WP_081972786.1	081972786_Contig_1284_Len1239	1239	65.2945924132
NF78_RS26350_WP_035994307.1	035994307_Contig_2820_Len744	744	57.2580645161
NF78_RS03000_WP_035984821.1	035984821_Contig_3359_Len609	609	59.934318555
NF78_RS28005_WP_052049806.1	052049806_Contig_1824_Len1035	1035	65.1207729469
NF78_RS25480_WP_035992831.1	035992831_Contig_1515_Len1137	1137	61.0378188215
NF78_RS27200_WP_035994628.1	035994628_Contig_3123_Len672	672	61.0119047619
NF78_RS07445_WP_035985567.1	035985567_Contig_4201_Len426	426	59.6244131455
NF78_RS02115_WP_035984608.1	035984608_Contig_5167_Len228	228	65.350877193
NF78_RS23340_WP_035992094.1	035992094_Contig_3422_Len597	597	57.9564489112
NF78_RS18210_WP_035993222.1	035993222_Contig_2984_Len702	702	61.9658119658
NF78_RS07175_WP_081972539.1	081972539_Contig_3110_Len672	672	57.7380952381
NF78_RS12140_WP_035986678.1	035986678_Contig_293_Len2205	2205	62.5850340136
NF78_RS17800_WP_035990475.1	035990475_Contig_2831_Len741	741	62.7530364372
NF78_RS00890_WP_072016109.1	072016109_Contig_1788_Len1047	1047	61.1270296084
NF78_RS22735_WP_052050853.1	052050853_Contig_3497_Len582	582	62.5429553265
NF78_RS21695_WP_035991589.1	035991589_Contig_1044_Len1368	1368	64.9122807018
NF78_RS21855_WP_035991632.1	035991632_Contig_1472_Len1155	1155	59.9134199134
NF78_RS20160_WP_035991189.1	035991189_Contig_2226_Len909	909	60.8360836084
