,Am,Ba,EE,Ex,Op,Pl,Sr,Za,
OG5_141485,678,0,243,31,40,43,666,0,
OG5_127854,77,0,63,17,46,58,263,0,
OG5_164044,1763,3,745,84,22,94,2700,0,
OG5_130851,304,1,52,19,17,77,289,0,
OG5_127869,97,0,45,23,33,52,253,0,
OG5_128940,108,0,32,6,24,61,178,0,
OG5_127251,151,0,79,22,56,65,466,0,
OG5_135403,109,0,38,6,18,27,186,0,
OG5_135286,100,0,23,0,9,8,99,0,
OG5_135051,787,0,60,44,23,32,588,0,
OG5_128785,137,40,56,30,34,41,413,0,
OG5_128253,90,0,46,24,30,57,244,0,
OG5_129886,865,4,119,74,53,60,1132,1,
OG5_129476,73,5,45,3,29,49,228,0,
OG5_127065,189,2380,92,10,30,46,1109,66,
OG5_131029,1307,0,100,186,134,92,717,0,
OG5_128737,67,0,21,11,42,13,231,0,
OG5_129145,81,0,40,14,21,44,267,0,
OG5_135159,1430,0,123,51,111,10,287,0,
OG5_129156,537,925,21,14,12,24,105,84,
OG5_128283,1290,2,219,101,69,76,1914,0,
OG5_135657,15,87,27,22,1,3,61,1,
OG5_128154,321,0,61,17,45,21,418,0,
OG5_127887,381,848,114,54,49,83,643,84,
OG5_127450,127,0,64,24,42,92,411,0,
OG5_149618,99,1299,36,10,5,5,312,115,
OG5_127800,208,1,148,241,51,72,1220,0,
OG5_137115,100,0,12,26,10,8,68,0,
OG5_129337,49,0,16,8,21,46,41,0,
OG5_133358,357,1,89,27,18,44,561,1,
OG5_131900,72,0,42,19,14,121,1604,0,
OG5_128538,172,0,87,10,44,40,259,0,
OG5_133543,151,0,26,6,72,235,237,0,
OG5_127149,110,893,67,26,44,79,314,205,
OG5_127118,223,0,72,44,60,104,464,0,
OG5_128391,155,0,51,10,49,42,158,0,
OG5_132891,385,0,148,40,89,63,874,0,
OG5_130414,95,0,46,5,12,24,25,0,
OG5_128369,162,0,104,29,43,74,356,0,
OG5_150385,49,35,28,6,2,4,32,0,
OG5_129277,112,5,99,78,28,41,568,0,
OG5_127331,216,0,107,33,58,90,581,0,
OG5_130267,58,0,66,28,28,21,304,0,
OG5_127327,104,608,30,17,38,81,253,146,
OG5_133609,520,0,76,7,53,3,26,0,
OG5_146335,812,76,619,238,218,284,3310,30,
OG5_132466,71,0,20,21,17,8,420,0,
OG5_136758,7,45,2,4,1,0,5,0,
OG5_127758,205,0,100,32,37,75,660,0,
OG5_135776,52,0,9,2,2,1,56,0,
OG5_127189,75,146,76,21,53,86,277,27,
OG5_128447,116,0,70,42,42,53,319,0,
OG5_130251,1283,3,295,51,175,240,816,0,
OG5_149295,310,1,216,40,2,67,948,0,
OG5_133875,56,0,16,4,14,6,39,0,
