Original Name	New Name	Seq Length	 Seq GC
CSQ79_RS00975_WP_099699340.1	099699340_Contig_1219_Len1230	1230	32.1138211382
CSQ79_RS13020_WP_099701599.1	099701599_Contig_750_Len1503	1503	43.7791084498
CSQ79_RS16690_WP_099702300.1	099702300_Contig_2944_Len699	699	37.6251788269
CSQ79_RS13775_WP_099701756.1	099701756_Contig_752_Len1503	1503	40.252827678
CSQ79_RS17770_WP_099702496.1	099702496_Contig_486_Len1773	1773	39.5375070502
CSQ79_RS20835_WP_015328523.1	015328523_Contig_4029_Len414	414	41.5458937198
CSQ79_RS18600_WP_099702653.1	099702653_Contig_487_Len1773	1773	35.5893965031
CSQ79_RS07100_WP_099700482.1	099700482_Contig_891_Len1401	1401	41.6845110635
CSQ79_RS08970_WP_099700850.1	099700850_Contig_4267_Len357	357	34.1736694678
CSQ79_RS21060_WP_099703185.1	099703185_Contig_4953_Len192	192	45.3125
CSQ79_RS20635_WP_099703017.1	099703017_Contig_231_Len2373	2373	46.3548251159
CSQ79_RS21220_WP_073551402.1	073551402_Contig_4429_Len318	318	38.3647798742
CSQ79_RS04285_WP_099699961.1	099699961_Contig_4414_Len324	324	38.5802469136
CSQ79_RS21030_WP_099703086.1	099703086_Contig_528_Len1722	1722	40.9988385598
CSQ79_RS18680_WP_099702667.1	099702667_Contig_1157_Len1263	1263	34.045922407
CSQ79_RS08015_WP_099700635.1	099700635_Contig_1650_Len1056	1056	48.9583333333
CSQ79_RS24285_WP_099703690.1	099703690_Contig_3089_Len660	660	45.9090909091
CSQ79_RS19215_WP_099702759.1	099702759_Contig_2259_Len879	879	40.9556313993
CSQ79_RS17140_WP_099702436.1	099702436_Contig_2858_Len720	720	45.5555555556
CSQ79_RS12875_WP_099701575.1	099701575_Contig_1134_Len1278	1278	41.5492957746
CSQ79_RS18360_WP_099702600.1	099702600_Contig_2370_Len849	849	42.0494699647
CSQ79_RS01195_WP_099699380.1	099699380_Contig_2012_Len951	951	44.6898002103
CSQ79_RS17905_WP_099702522.1	099702522_Contig_189_Len2538	2538	43.5382190701
CSQ79_RS08405_WP_099700747.1	099700747_Contig_8_Len5367	5367	39.8174026458
CSQ79_RS21405_WP_099703148.1	099703148_Contig_1520_Len1101	1101	42.0526793824
CSQ79_RS05860_WP_099700237.1	099700237_Contig_1830_Len1005	1005	43.3830845771
CSQ79_RS08455_WP_099700757.1	099700757_Contig_874_Len1410	1410	39.1489361702
CSQ79_RS18195_WP_099702572.1	099702572_Contig_1114_Len1284	1284	41.9781931464
CSQ79_RS23680_WP_099703575.1	099703575_Contig_332_Len2088	2088	48.0363984674
CSQ79_RS24575_WP_099703746.1	099703746_Contig_1725_Len1032	1032	45.9302325581
CSQ79_RS25445_WP_099703906.1	099703906_Contig_3274_Len606	606	33.3333333333
CSQ79_RS11475_WP_099701297.1	099701297_Contig_3840_Len462	462	45.2380952381
CSQ79_RS12290_WP_099701475.1	099701475_Contig_1870_Len993	993	41.7925478348
CSQ79_RS13925_WP_099701784.1	099701784_Contig_3740_Len486	486	44.8559670782
CSQ79_RS13460_WP_099701675.1	099701675_Contig_3694_Len498	498	43.3734939759
CSQ79_RS11935_WP_006276978.1	006276978_Contig_4803_Len225	225	38.6666666667
CSQ79_RS06580_WP_099700675.1	099700675_Contig_4521_Len294	294	40.4761904762
CSQ79_RS02825_WP_099699660.1	099699660_Contig_4766_Len231	231	42.8571428571
CSQ79_RS23525_WP_099703546.1	099703546_Contig_3782_Len477	477	38.9937106918
CSQ79_RS21265_WP_099703123.1	099703123_Contig_4851_Len213	213	47.4178403756
CSQ79_RS02530_WP_099699611.1	099699611_Contig_4562_Len282	282	38.6524822695
CSQ79_RS19260_WP_099702784.1	099702784_Contig_3132_Len648	648	41.3580246914
CSQ79_RS01275_WP_099699394.1	099699394_Contig_1447_Len1131	1131	39.5225464191
CSQ79_RS17220_WP_099702384.1	099702384_Contig_4088_Len399	399	41.1027568922
CSQ79_RS10770_WP_099701176.1	099701176_Contig_2752_Len747	747	45.2476572959
CSQ79_RS24865_WP_099703798.1	099703798_Contig_1208_Len1236	1236	39.8867313916
CSQ79_RS26285_WP_099704060.1	099704060_Contig_1840_Len1002	1002	38.4231536926
CSQ79_RS26320_WP_099704067.1	099704067_Contig_3884_Len450	450	42.2222222222
CSQ79_RS21400_WP_099703147.1	099703147_Contig_1499_Len1107	1107	36.9467028004
CSQ79_RS20940_WP_099703069.1	099703069_Contig_3141_Len645	645	45.1162790698
CSQ79_RS16225_WP_099702206.1	099702206_Contig_564_Len1683	1683	42.9590017825
CSQ79_RS19420_WP_099702807.1	099702807_Contig_4584_Len273	273	38.0952380952
CSQ79_RS00060_WP_099699184.1	099699184_Contig_4145_Len384	384	40.625
CSQ79_RS19840_WP_099702885.1	099702885_Contig_3003_Len681	681	45.3744493392
CSQ79_RS06900_WP_099700445.1	099700445_Contig_1269_Len1203	1203	42.0615128845
CSQ79_RS08945_WP_099700847.1	099700847_Contig_3108_Len657	657	43.5312024353
CSQ79_RS13900_WP_099701779.1	099701779_Contig_3822_Len468	468	38.6752136752
