Original Name	New Name	Seq Length	 Seq GC
AAZO_RS01990_WP_013189990.1	013189990_Contig_220_Len1893	1893	43.6872688854
AAZO_RS17465_WP_013192245.1	013192245_Contig_2331_Len408	408	39.4607843137
AAZO_RS07810_WP_013190821.1	013190821_Contig_2954_Len252	252	39.6825396825
AAZO_RS19115_WP_041641430.1	041641430_Contig_3137_Len228	228	36.4035087719
AAZO_RS05945_WP_013190558.1	013190558_Contig_992_Len1023	1023	42.2287390029
AAZO_RS07145_WP_013190722.1	013190722_Contig_289_Len1698	1698	40.2237926973
AAZO_RS13285_WP_013191653.1	013191653_Contig_3073_Len237	237	46.835443038
AAZO_RS05650_WP_013190507.1	013190507_Contig_2077_Len495	495	40.8080808081
AAZO_RS32410_WP_013193232.1	013193232_Contig_3423_Len195	195	46.6666666667
AAZO_RS06450_WP_013190616.1	013190616_Contig_2710_Len300	300	40.3333333333
AAZO_RS23445_WP_013193064.1	013193064_Contig_873_Len1101	1101	36.6030881017
AAZO_RS18580_WP_013192430.1	013192430_Contig_542_Len1362	1362	40.1615271659
AAZO_RS11415_WP_013191354.1	013191354_Contig_3497_Len186	186	43.0107526882
AAZO_RS04590_WP_013190355.1	013190355_Contig_1476_Len768	768	42.96875
AAZO_RS07710_WP_013190804.1	013190804_Contig_1842_Len597	597	42.5460636516
AAZO_RS19645_WP_041643494.1	041643494_Contig_285_Len1713	1713	42.3234092236
AAZO_RS08850_WP_013190978.1	013190978_Contig_312_Len1659	1659	45.0874020494
AAZO_RS01605_WP_013189940.1	013189940_Contig_2086_Len492	492	36.9918699187
AAZO_RS17695_WP_013192278.1	013192278_Contig_271_Len1749	1749	44.0251572327
AAZO_RS23195_WP_041641943.1	041641943_Contig_415_Len1506	1506	36.1885790173
AAZO_RS17220_WP_013192207.1	013192207_Contig_1856_Len591	591	44.6700507614
AAZO_RS16795_WP_013192149.1	013192149_Contig_168_Len2073	2073	33.0438977328
AAZO_RS06355_WP_013190606.1	013190606_Contig_2453_Len369	369	41.4634146341
AAZO_RS07585_WP_013190783.1	013190783_Contig_394_Len1527	1527	37.721021611
AAZO_RS20840_WP_013192717.1	013192717_Contig_3385_Len198	198	33.3333333333
AAZO_RS01810_WP_013189967.1	013189967_Contig_3100_Len231	231	34.632034632
AAZO_RS04985_WP_013190408.1	013190408_Contig_1196_Len906	906	46.0264900662
AAZO_RS07820_WP_013190823.1	013190823_Contig_181_Len2013	2013	46.1997019374
AAZO_RS05310_WP_013190466.1	013190466_Contig_2021_Len519	519	44.1233140655
AAZO_RS07190_WP_013190727.1	013190727_Contig_1558_Len726	726	44.0771349862
AAZO_RS10885_WP_013191279.1	013191279_Contig_3439_Len192	192	38.5416666667
AAZO_RS18625_WP_013192440.1	013192440_Contig_643_Len1266	1266	39.0995260664
AAZO_RS23835_WP_013193129.1	013193129_Contig_557_Len1350	1350	44.8148148148
AAZO_RS04755_WP_041639485.1	041639485_Contig_3369_Len198	198	33.3333333333
AAZO_RS08395_WP_013190910.1	013190910_Contig_2851_Len270	270	40.3703703704
AAZO_RS07435_WP_013190760.1	013190760_Contig_1197_Len906	906	39.9558498896
AAZO_RS32675_WP_041639239.1	041639239_Contig_2845_Len270	270	35.1851851852
AAZO_RS17560_WP_013192259.1	013192259_Contig_737_Len1191	1191	43.3249370277
AAZO_RS18505_WP_013192415.1	013192415_Contig_2050_Len507	507	35.5029585799
AAZO_RS32885_WP_085940215.1	085940215_Contig_3450_Len192	192	27.6041666667
AAZO_RS24545_WP_013193217.1	013193217_Contig_711_Len1215	1215	40.4938271605
AAZO_RS16610_WP_041643328.1	041643328_Contig_1547_Len732	732	38.1147540984
AAZO_RS08440_WP_013190918.1	013190918_Contig_765_Len1170	1170	37.9487179487
AAZO_RS07300_WP_013190745.1	013190745_Contig_1521_Len741	741	41.8353576248
AAZO_RS25470_WP_013193322.1	013193322_Contig_23_Len3510	3510	39.8290598291
AAZO_RS16470_WP_013192105.1	013192105_Contig_839_Len1125	1125	38.0444444444
