Original Name	New Name	Seq Length	 Seq GC
WN50_RS18195_WP_082172486.1	082172486_Contig_499_Len1956	1956	43.5071574642
WN50_RS13980_WP_046278381.1	046278381_Contig_2814_Len819	819	37.6068376068
WN50_RS02765_WP_082172270.1	082172270_Contig_1754_Len1143	1143	40.3324584427
WN50_RS01440_WP_046279101.1	046279101_Contig_5360_Len225	225	46.2222222222
WN50_RS08470_WP_082172379.1	082172379_Contig_3260_Len690	690	48.8405797101
WN50_RS14030_WP_049559505.1	049559505_Contig_1530_Len1218	1218	42.3645320197
WN50_RS21930_WP_049560149.1	049560149_Contig_5240_Len249	249	44.1767068273
WN50_RS05895_WP_046280708.1	046280708_Contig_2069_Len1035	1035	40.9661835749
WN50_RS00470_WP_046280848.1	046280848_Contig_3676_Len591	591	47.2081218274
WN50_RS09455_WP_049558876.1	049558876_Contig_105_Len3555	3555	42.2503516174
WN50_RS32710_WP_072075633.1	072075633_Contig_3355_Len666	666	36.036036036
WN50_RS15350_WP_046280005.1	046280005_Contig_5646_Len183	183	40.9836065574
WN50_RS13485_WP_049559449.1	049559449_Contig_729_Len1695	1695	46.3126843658
WN50_RS23150_WP_046280783.1	046280783_Contig_4169_Len474	474	31.8565400844
WN50_RS21550_WP_049560682.1	049560682_Contig_364_Len2253	2253	42.3879272082
WN50_RS06645_WP_046277552.1	046277552_Contig_4006_Len510	510	38.8235294118
WN50_RS23280_WP_049560911.1	049560911_Contig_3992_Len515	515	45.8252427184
WN50_RS18710_WP_072075605.1	072075605_Contig_2408_Len933	933	37.1918542337
WN50_RS21680_WP_046278429.1	046278429_Contig_2968_Len774	774	40.180878553
WN50_RS15520_WP_046277209.1	046277209_Contig_2621_Len870	870	38.7356321839
WN50_RS02745_WP_046282405.1	046282405_Contig_3593_Len606	606	41.2541254125
WN50_RS18645_WP_046278581.1	046278581_Contig_4965_Len303	303	46.8646864686
WN50_RS09875_WP_046277968.1	046277968_Contig_2200_Len993	993	33.836858006
WN50_RS28595_WP_046279013.1	046279013_Contig_1608_Len1197	1197	39.5989974937
WN50_RS09160_WP_082172390.1	082172390_Contig_2103_Len1026	1026	42.9824561404
WN50_RS32325_WP_072075593.1	072075593_Contig_5479_Len210	210	40.4761904762
WN50_RS06125_WP_049558407.1	049558407_Contig_3681_Len591	591	33.1641285956
WN50_RS18550_WP_049560177.1	049560177_Contig_136_Len3254	3254	35.1259987707
WN50_RS15795_WP_046281158.1	046281158_Contig_1198_Len1365	1365	43.0036630037
WN50_RS13580_WP_046280717.1	046280717_Contig_5028_Len291	291	40.206185567
WN50_RS08885_WP_049558793.1	049558793_Contig_1680_Len1173	1173	40.4092071611
WN50_RS22935_WP_082172531.1	082172531_Contig_4168_Len474	474	38.1856540084
WN50_RS05020_WP_046281725.1	046281725_Contig_4685_Len363	363	47.1074380165
WN50_RS14530_WP_053221519.1	053221519_Contig_3968_Len519	519	40.2697495183
WN50_RS06325_WP_046280559.1	046280559_Contig_303_Len2394	2394	41.5622389307
WN50_RS02930_WP_046279284.1	046279284_Contig_4363_Len429	429	36.5967365967
WN50_RS20395_WP_046278251.1	046278251_Contig_1355_Len1293	1293	37.0456303171
WN50_RS00825_WP_046278554.1	046278554_Contig_3176_Len711	711	40.0843881857
WN50_RS19975_WP_046277612.1	046277612_Contig_2549_Len891	891	48.2603815937
WN50_RS30560_WP_046277814.1	046277814_Contig_4449_Len417	417	48.4412470024
WN50_RS19385_WP_046277254.1	046277254_Contig_4931_Len312	312	38.141025641
WN50_RS19765_WP_046277515.1	046277515_Contig_907_Len1530	1530	49.6732026144
WN50_RS11140_WP_046277781.1	046277781_Contig_426_Len2097	2097	43.8721983786
WN50_RS21390_WP_046276605.1	046276605_Contig_3624_Len603	603	47.7611940299
WN50_RS12665_WP_049559301.1	049559301_Contig_4190_Len468	468	41.0256410256
WN50_RS17520_WP_046277690.1	046277690_Contig_2063_Len1038	1038	41.1368015414
WN50_RS07385_WP_046279651.1	046279651_Contig_4792_Len342	342	37.134502924
WN50_RS12750_WP_046277423.1	046277423_Contig_1430_Len1254	1254	46.4114832536
WN50_RS24430_WP_046277635.1	046277635_Contig_4156_Len477	477	40.8805031447
WN50_RS19905_WP_046278500.1	046278500_Contig_894_Len1539	1539	47.3684210526
WN50_RS11135_WP_082172415.1	082172415_Contig_2526_Len897	897	42.6978818283
WN50_RS05195_WP_046278523.1	046278523_Contig_3391_Len657	657	42.9223744292
WN50_RS22205_WP_046282395.1	046282395_Contig_1571_Len1209	1209	41.852770885
WN50_RS24435_WP_046277634.1	046277634_Contig_1573_Len1209	1209	42.1009098428
WN50_RS24035_WP_046282432.1	046282432_Contig_4138_Len480	480	42.2916666667
WN50_RS23970_WP_049561006.1	049561006_Contig_2218_Len990	990	38.3838383838
WN50_RS22340_WP_046281608.1	046281608_Contig_1948_Len1077	1077	45.4967502321
WN50_RS08290_WP_046276889.1	046276889_Contig_3617_Len603	603	38.9718076285
WN50_RS02365_WP_046276874.1	046276874_Contig_5195_Len255	255	43.9215686275
WN50_RS12950_WP_046276459.1	046276459_Contig_3585_Len609	609	43.6781609195
WN50_RS24395_WP_046279011.1	046279011_Contig_3611_Len606	606	39.603960396
WN50_RS07365_WP_046279647.1	046279647_Contig_1772_Len1137	1137	40.0175901495
WN50_RS03050_WP_046278209.1	046278209_Contig_5278_Len240	240	38.75
WN50_RS10560_WP_049559040.1	049559040_Contig_348_Len2271	2271	34.9185380889
WN50_RS12215_WP_046280587.1	046280587_Contig_3528_Len624	624	39.9038461538
WN50_RS23615_WP_082172537.1	082172537_Contig_1955_Len1074	1074	36.9646182495
WN50_RS13810_WP_046276764.1	046276764_Contig_117_Len3429	3429	37.7077865267
WN50_RS14800_WP_046279102.1	046279102_Contig_1532_Len1218	1218	37.5205254516
WN50_RS11595_WP_046279760.1	046279760_Contig_2141_Len1011	1011	42.4332344214
WN50_RS00410_WP_046278634.1	046278634_Contig_5508_Len204	204	43.6274509804
WN50_RS13320_WP_046282065.1	046282065_Contig_5553_Len198	198	43.9393939394
WN50_RS14505_WP_046277821.1	046277821_Contig_508_Len1941	1941	41.4219474498
WN50_RS22675_WP_049560835.1	049560835_Contig_611_Len1821	1821	40.5820977485
WN50_RS07535_WP_046280223.1	046280223_Contig_2474_Len909	909	37.9537953795
WN50_RS22915_WP_046280163.1	046280163_Contig_2646_Len864	864	40.2777777778
WN50_RS25590_WP_046277070.1	046277070_Contig_431_Len2094	2094	48.5195797517
WN50_RS27215_WP_046281347.1	046281347_Contig_824_Len1599	1599	45.2782989368
WN50_RS28675_WP_046279009.1	046279009_Contig_2005_Len1056	1056	45.5492424242
WN50_RS16935_WP_049559912.1	049559912_Contig_1146_Len1392	1392	39.7988505747
WN50_RS13960_WP_049559501.1	049559501_Contig_4275_Len447	447	34.6756152125
WN50_RS06705_WP_046279376.1	046279376_Contig_4989_Len297	297	43.4343434343
WN50_RS20960_WP_072075622.1	072075622_Contig_3687_Len591	591	40.4399323181
WN50_RS27070_WP_049561321.1	049561321_Contig_235_Len2634	2634	39.0280941534
WN50_RS15330_WP_046280002.1	046280002_Contig_3954_Len522	522	40.4214559387
WN50_RS11575_WP_046280273.1	046280273_Contig_1391_Len1275	1275	41.8039215686
WN50_RS18825_WP_053221551.1	053221551_Contig_2146_Len1011	1011	36.7952522255
