Original Name	New Name	Seq Length	 Seq GC
C7H19_RS13495_WP_106457407.1	106457407_Contig_4737_Len147	147	34.693877551
C7H19_RS06825_WP_106456145.1	106456145_Contig_1583_Len1044	1044	45.4980842912
C7H19_RS11925_WP_106457103.1	106457103_Contig_2396_Len765	765	40.7843137255
C7H19_RS11775_WP_106457076.1	106457076_Contig_931_Len1365	1365	42.9304029304
C7H19_RS05180_WP_106455826.1	106455826_Contig_3423_Len462	462	41.9913419913
C7H19_RS22310_WP_106459128.1	106459128_Contig_1713_Len984	984	38.3130081301
C7H19_RS18835_WP_106458472.1	106458472_Contig_4725_Len174	174	39.6551724138
C7H19_RS14440_WP_106457588.1	106457588_Contig_3351_Len480	480	37.9166666667
C7H19_RS18865_WP_106458478.1	106458478_Contig_4232_Len279	279	30.4659498208
C7H19_RS20395_WP_106458763.1	106458763_Contig_2428_Len753	753	43.160690571
C7H19_RS09040_WP_106456554.1	106456554_Contig_434_Len1878	1878	35.5165069223
C7H19_RS12050_WP_106457124.1	106457124_Contig_3033_Len573	573	33.6823734729
C7H19_RS21210_WP_106458917.1	106458917_Contig_3512_Len441	441	37.4149659864
C7H19_RS00280_WP_106454886.1	106454886_Contig_2226_Len816	816	32.8431372549
C7H19_RS07335_WP_106456243.1	106456243_Contig_1359_Len1137	1137	41.600703606
C7H19_RS18605_WP_106458425.1	106458425_Contig_2628_Len693	693	39.8268398268
C7H19_RS05595_WP_106455901.1	106455901_Contig_3914_Len345	345	32.4637681159
C7H19_RS19695_WP_106458673.1	106458673_Contig_1661_Len1008	1008	42.8571428571
C7H19_RS19895_WP_106458668.1	106458668_Contig_3488_Len450	450	38.6666666667
C7H19_RS16220_WP_106457969.1	106457969_Contig_1712_Len987	987	43.0597771023
C7H19_RS08135_WP_106456374.1	106456374_Contig_2023_Len882	882	41.4965986395
C7H19_RS06455_WP_106456073.1	106456073_Contig_2600_Len702	702	40.7407407407
C7H19_RS13000_WP_106457310.1	106457310_Contig_261_Len2283	2283	44.1086289969
C7H19_RS08360_WP_106456413.1	106456413_Contig_3144_Len540	540	40.1851851852
C7H19_RS17720_WP_106458259.1	106458259_Contig_1510_Len1074	1074	40.0372439479
