Original Name	New Name	Seq Length	 Seq GC
GEI7407_RS00340_WP_015170139.1	015170139_Contig_3198_Len381	381	62.7296587927
GEI7407_RS05310_WP_015171108.1	015171108_Contig_1393_Len1059	1059	62.7006610009
GEI7407_RS05010_WP_015171049.1	015171049_Contig_720_Len1455	1455	67.4914089347
GEI7407_RS10075_WP_015172049.1	015172049_Contig_99_Len2997	2997	63.1965298632
GEI7407_RS09235_WP_015171879.1	015171879_Contig_903_Len1323	1323	63.0385487528
GEI7407_RS09940_WP_015172021.1	015172021_Contig_803_Len1398	1398	54.7925608011
GEI7407_RS18000_WP_015173646.1	015173646_Contig_938_Len1299	1299	61.3548883757
GEI7407_RS07305_WP_081587295.1	081587295_Contig_2326_Len684	684	51.6081871345
GEI7407_RS13665_WP_015172781.1	015172781_Contig_3740_Len186	186	56.9892473118
GEI7407_RS02615_WP_015170572.1	015170572_Contig_186_Len2469	2469	60.1458080194
GEI7407_RS04140_WP_015170871.1	015170871_Contig_3286_Len351	351	55.2706552707
GEI7407_RS16625_WP_015173365.1	015173365_Contig_1786_Len888	888	61.3738738739
GEI7407_RS09530_WP_081587314.1	081587314_Contig_247_Len2250	2250	60.4888888889
GEI7407_RS01695_WP_015170400.1	015170400_Contig_3781_Len117	117	52.9914529915
GEI7407_RS18825_WP_015173807.1	015173807_Contig_3676_Len207	207	55.0724637681
GEI7407_RS01305_WP_015170321.1	015170321_Contig_2273_Len699	699	57.5107296137
GEI7407_RS15805_WP_015173208.1	015173208_Contig_2461_Len636	636	63.9937106918
GEI7407_RS08030_WP_015171644.1	015171644_Contig_2105_Len762	762	59.186351706
GEI7407_RS20260_WP_015172354.1	015172354_Contig_2349_Len675	675	38.3703703704
GEI7407_RS18835_WP_015173809.1	015173809_Contig_1424_Len1044	1044	62.4521072797
GEI7407_RS06120_WP_015171266.1	015171266_Contig_48_Len3672	3672	65.1688453159
GEI7407_RS04325_WP_015170908.1	015170908_Contig_3779_Len120	120	49.1666666667
GEI7407_RS19245_WP_015170407.1	015170407_Contig_3_Len6699	6699	68.3833407971
GEI7407_RS06015_WP_015171248.1	015171248_Contig_1508_Len1002	1002	63.4730538922
GEI7407_RS11030_WP_015172249.1	015172249_Contig_123_Len2769	2769	65.1859877212
GEI7407_RS04000_WP_015170846.1	015170846_Contig_1079_Len1212	1212	61.3861386139
GEI7407_RS16710_WP_015173384.1	015173384_Contig_3741_Len186	186	54.8387096774
GEI7407_RS03085_WP_015170665.1	015170665_Contig_3653_Len213	213	55.8685446009
GEI7407_RS03535_WP_015170754.1	015170754_Contig_3263_Len360	360	57.7777777778
GEI7407_RS09185_WP_015171867.1	015171867_Contig_3110_Len411	411	55.7177615572
GEI7407_RS08295_WP_015171698.1	015171698_Contig_1540_Len990	990	62.2222222222
GEI7407_RS12730_WP_015172594.1	015172594_Contig_1554_Len984	984	58.9430894309
GEI7407_RS18050_WP_015173655.1	015173655_Contig_995_Len1263	1263	63.8163103721
GEI7407_RS06165_WP_015171274.1	015171274_Contig_2554_Len603	603	59.2039800995
GEI7407_RS03350_WP_041268256.1	041268256_Contig_3537_Len258	258	51.5503875969
GEI7407_RS16950_WP_015173433.1	015173433_Contig_3153_Len399	399	55.6390977444
GEI7407_RS12980_WP_015172644.1	015172644_Contig_302_Len2052	2052	56.2378167641
GEI7407_RS16000_WP_015173246.1	015173246_Contig_3675_Len207	207	51.2077294686
GEI7407_RS00760_WP_015170220.1	015170220_Contig_2737_Len534	534	62.5468164794
GEI7407_RS03235_WP_015170696.1	015170696_Contig_2629_Len573	573	57.0680628272
GEI7407_RS05025_WP_071880801.1	071880801_Contig_1182_Len1164	1164	65.3780068729
GEI7407_RS01505_WP_015170361.1	015170361_Contig_2786_Len516	516	60.2713178295
GEI7407_RS06580_WP_015171354.1	015171354_Contig_2770_Len522	522	55.5555555556
GEI7407_RS03450_WP_015170737.1	015170737_Contig_2561_Len600	600	61.6666666667
GEI7407_RS20005_WP_081587303.1	081587303_Contig_97_Len3015	3015	49.4195688226
GEI7407_RS13510_WP_015172750.1	015172750_Contig_1281_Len1113	1113	59.0296495957
GEI7407_RS14420_WP_015172934.1	015172934_Contig_659_Len1515	1515	64.6864686469
GEI7407_RS15800_WP_015173207.1	015173207_Contig_1841_Len864	864	66.087962963
GEI7407_RS05060_WP_015171059.1	015171059_Contig_1315_Len1095	1095	61.2785388128
GEI7407_RS00775_WP_051030650.1	051030650_Contig_2477_Len630	630	56.3492063492
GEI7407_RS08250_WP_015171689.1	015171689_Contig_2442_Len642	642	61.9937694704
GEI7407_RS02080_WP_041268236.1	041268236_Contig_3658_Len210	210	60.0
GEI7407_RS05935_WP_015171233.1	015171233_Contig_1827_Len867	867	60.3229527105
GEI7407_RS19480_WP_081587315.1	081587315_Contig_304_Len2049	2049	54.1727672035
GEI7407_RS03515_WP_015170750.1	015170750_Contig_540_Len1644	1644	61.3746958637
GEI7407_RS15150_WP_015173080.1	015173080_Contig_3351_Len327	327	63.9143730887
GEI7407_RS08035_WP_015171645.1	015171645_Contig_2164_Len735	735	61.768707483
GEI7407_RS14070_WP_015172864.1	015172864_Contig_3082_Len420	420	58.0952380952
GEI7407_RS19005_WP_015173843.1	015173843_Contig_2595_Len591	591	60.9137055838
GEI7407_RS04940_WP_015171035.1	015171035_Contig_531_Len1656	1656	62.7415458937
GEI7407_RS14260_WP_015172903.1	015172903_Contig_2918_Len474	474	58.4388185654
GEI7407_RS01675_WP_015170395.1	015170395_Contig_3559_Len249	249	51.0040160643
GEI7407_RS19705_WP_015173163.1	015173163_Contig_1489_Len1011	1011	61.2265084075
GEI7407_RS08665_WP_041268350.1	041268350_Contig_3215_Len375	375	60.5333333333
GEI7407_RS19620_WP_015172623.1	015172623_Contig_40_Len3753	3753	62.829736211
GEI7407_RS09270_WP_015171886.1	015171886_Contig_2137_Len747	747	60.5087014726
GEI7407_RS16320_WP_015173308.1	015173308_Contig_2321_Len687	687	52.69286754
GEI7407_RS09670_WP_015171966.1	015171966_Contig_3738_Len186	186	57.5268817204
GEI7407_RS00835_WP_015170235.1	015170235_Contig_2668_Len558	558	61.8279569892
