Original Name	New Name	Seq Length	 Seq GC
NIES1031_RS09645_WP_015188793.1	015188793_Contig_4174_Len180	180	43.8888888889
NIES1031_RS09590_WP_073549196.1	073549196_Contig_23_Len3600	3600	41.8055555556
NIES1031_RS09850_WP_073549236.1	073549236_Contig_2772_Len597	597	38.1909547739
NIES1031_RS02905_WP_073548115.1	073548115_Contig_2643_Len639	639	49.6087636933
NIES1031_RS00515_WP_073547817.1	073547817_Contig_1813_Len906	906	44.2604856512
NIES1031_RS13295_WP_084544343.1	084544343_Contig_713_Len1431	1431	39.1334730957
NIES1031_RS18540_WP_073551034.1	073551034_Contig_278_Len2034	2034	42.9695181908
NIES1031_RS02050_WP_073547871.1	073547871_Contig_2642_Len639	639	46.9483568075
NIES1031_RS22355_WP_073551640.1	073551640_Contig_464_Len1680	1680	48.630952381
NIES1031_RS10860_WP_073549590.1	073549590_Contig_2367_Len723	723	47.1645919779
NIES1031_RS14330_WP_073550211.1	073550211_Contig_1696_Len948	948	47.6793248945
NIES1031_RS20645_WP_073551373.1	073551373_Contig_2169_Len783	783	44.061302682
NIES1031_RS09810_WP_073549229.1	073549229_Contig_2688_Len627	627	46.5709728868
NIES1031_RS09875_WP_073549241.1	073549241_Contig_3253_Len450	450	33.5555555556
NIES1031_RS13560_WP_015189886.1	015189886_Contig_345_Len1875	1875	47.52
NIES1031_RS06370_WP_073548638.1	073548638_Contig_419_Len1731	1731	45.2339688042
NIES1031_RS08955_WP_073549077.1	073549077_Contig_553_Len1575	1575	46.9841269841
NIES1031_RS14600_WP_084544368.1	084544368_Contig_959_Len1284	1284	40.5763239875
NIES1031_RS17680_WP_015187652.1	015187652_Contig_3795_Len297	297	41.0774410774
NIES1031_RS00140_WP_073547557.1	073547557_Contig_2715_Len612	612	49.0196078431
NIES1031_RS01835_WP_073547840.1	073547840_Contig_3728_Len315	315	46.9841269841
NIES1031_RS07215_WP_015188896.1	015188896_Contig_4171_Len180	180	46.1111111111
NIES1031_RS21835_WP_073551550.1	073551550_Contig_927_Len1299	1299	46.3433410316
NIES1031_RS18295_WP_073550927.1	073550927_Contig_3136_Len483	483	43.0641821946
NIES1031_RS07150_WP_015188883.1	015188883_Contig_3924_Len255	255	40.0
