Original Name	New Name	Seq Length	 Seq GC
MIC7126_RS0104670_WP_017651964.1	017651964_Contig_4250_Len306	306	49.0196078431
MIC7126_RS0119315_WP_017654816.1	017654816_Contig_2145_Len864	864	37.7314814815
MIC7126_RS0100315_WP_017651120.1	017651120_Contig_546_Len1686	1686	41.221826809
MIC7126_RS0125075_WP_017655879.1	017655879_Contig_892_Len1377	1377	39.7240377633
MIC7126_RS0124235_WP_017655717.1	017655717_Contig_2715_Len693	693	46.6089466089
MIC7126_RS0102825_WP_017651604.1	017651604_Contig_3587_Len462	462	35.2813852814
MIC7126_RS0125370_WP_017655938.1	017655938_Contig_3069_Len594	594	38.5521885522
MIC7126_RS29395_WP_081603028.1	081603028_Contig_4886_Len183	183	50.2732240437
MIC7126_RS0115870_WP_017654146.1	017654146_Contig_3874_Len393	393	46.5648854962
MIC7126_RS0103375_WP_026100002.1	026100002_Contig_3617_Len456	456	41.6666666667
MIC7126_RS27350_WP_017652981.1	017652981_Contig_2310_Len810	810	38.024691358
MIC7126_RS0110140_WP_017653029.1	017653029_Contig_3767_Len420	420	47.380952381
MIC7126_RS0125790_WP_017656022.1	017656022_Contig_2261_Len825	825	37.2121212121
MIC7126_RS0113695_WP_017653728.1	017653728_Contig_2967_Len621	621	38.9694041868
MIC7126_RS0100810_WP_017651214.1	017651214_Contig_3922_Len381	381	50.656167979
MIC7126_RS0101620_WP_026099958.1	026099958_Contig_1028_Len1296	1296	44.4444444444
MIC7126_RS0109775_WP_040630103.1	040630103_Contig_278_Len2193	2193	34.6557227542
MIC7126_RS0102600_WP_017651562.1	017651562_Contig_193_Len2469	2469	50.2227622519
MIC7126_RS0109525_WP_017652907.1	017652907_Contig_335_Len2079	2079	48.2443482443
MIC7126_RS0102220_WP_017651488.1	017651488_Contig_4871_Len186	186	46.2365591398
MIC7126_RS0124390_WP_026100499.1	026100499_Contig_2462_Len768	768	47.5260416667
MIC7126_RS0123520_WP_040630526.1	040630526_Contig_2087_Len879	879	41.9795221843
MIC7126_RS0109085_WP_017652827.1	017652827_Contig_2803_Len666	666	39.7897897898
MIC7126_RS0103905_WP_017651813.1	017651813_Contig_2719_Len690	690	43.1884057971
MIC7126_RS0101915_WP_017651427.1	017651427_Contig_3526_Len477	477	46.5408805031
MIC7126_RS0121575_WP_017655237.1	017655237_Contig_637_Len1590	1590	44.4025157233
MIC7126_RS0123955_WP_017655669.1	017655669_Contig_1711_Len1014	1014	44.8717948718
MIC7126_RS0121915_WP_017655303.1	017655303_Contig_1957_Len921	921	39.1965255157
MIC7126_RS0116640_WP_017654296.1	017654296_Contig_1860_Len954	954	40.6708595388
MIC7126_RS0115290_WP_017654033.1	017654033_Contig_2049_Len891	891	32.0987654321
MIC7126_RS0109275_WP_026100139.1	026100139_Contig_2155_Len858	858	41.4918414918
MIC7126_RS0117860_WP_017654532.1	017654532_Contig_3756_Len423	423	38.5342789598
MIC7126_RS0102160_WP_017651476.1	017651476_Contig_4628_Len228	228	39.9122807018
MIC7126_RS0105000_WP_017652030.1	017652030_Contig_3388_Len510	510	46.0784313725
MIC7126_RS0105710_WP_017652171.1	017652171_Contig_2818_Len660	660	44.0909090909
MIC7126_RS0104810_WP_026100041.1	026100041_Contig_4425_Len270	270	35.5555555556
MIC7126_RS0101230_WP_017651295.1	017651295_Contig_3429_Len498	498	41.7670682731
MIC7126_RS0110360_WP_026100162.1	026100162_Contig_2570_Len735	735	44.7619047619
MIC7126_RS0108335_WP_017652684.1	017652684_Contig_3320_Len531	531	46.1393596987
MIC7126_RS0126270_WP_017656115.1	017656115_Contig_2034_Len897	897	47.0457079153
MIC7126_RS0105675_WP_017652164.1	017652164_Contig_1584_Len1062	1062	41.5254237288
MIC7126_RS0115885_WP_017654149.1	017654149_Contig_1290_Len1176	1176	48.0442176871
MIC7126_RS0107770_WP_017652574.1	017652574_Contig_2641_Len714	714	44.5378151261
MIC7126_RS0116345_WP_017654240.1	017654240_Contig_3701_Len438	438	42.0091324201
MIC7126_RS0117095_WP_017654383.1	017654383_Contig_3945_Len378	378	43.6507936508
MIC7126_RS0106380_WP_017652302.1	017652302_Contig_3108_Len582	582	44.6735395189
