Original Name	New Name	Seq Length	 Seq GC
AMR42_RS18225_WP_099535117.1	099535117_Contig_576_Len1533	1533	57.7951728637
AMR42_RS01070_WP_099531672.1	099531672_Contig_2179_Len663	663	52.1870286576
AMR42_RS08935_WP_099533109.1	099533109_Contig_1053_Len1173	1173	63.5976129582
AMR42_RS06895_WP_099532724.1	099532724_Contig_702_Len1422	1422	56.7510548523
AMR42_RS03160_WP_099532027.1	099532027_Contig_2147_Len675	675	61.9259259259
AMR42_RS12610_WP_099533956.1	099533956_Contig_736_Len1398	1398	59.0128755365
AMR42_RS07810_WP_099532901.1	099532901_Contig_1509_Len948	948	60.2320675105
AMR42_RS03435_WP_099532073.1	099532073_Contig_2006_Len729	729	56.6529492455
AMR42_RS10510_WP_099533402.1	099533402_Contig_1887_Len774	774	55.8139534884
AMR42_RS18530_WP_099535212.1	099535212_Contig_686_Len1437	1437	47.2512178149
AMR42_RS02735_WP_099531945.1	099531945_Contig_2315_Len612	612	45.5882352941
AMR42_RS15420_WP_099534548.1	099534548_Contig_1632_Len894	894	58.5011185682
AMR42_RS11725_WP_099533742.1	099533742_Contig_2816_Len429	429	48.4848484848
AMR42_RS15310_WP_099534529.1	099534529_Contig_420_Len1764	1764	62.5283446712
AMR42_RS02235_WP_099531826.1	099531826_Contig_2054_Len714	714	50.2801120448
AMR42_RS10010_WP_099533310.1	099533310_Contig_1280_Len1059	1059	59.6789423985
AMR42_RS14075_WP_099534300.1	099534300_Contig_1328_Len1032	1032	58.5271317829
AMR42_RS07140_WP_099532771.1	099532771_Contig_3605_Len195	195	52.3076923077
AMR42_RS14765_WP_099534430.1	099534430_Contig_1862_Len780	780	59.8717948718
AMR42_RS02325_WP_099531867.1	099531867_Contig_776_Len1362	1362	59.8384728341
AMR42_RS19060_WP_099535415.1	099535415_Contig_3582_Len201	201	45.2736318408
AMR42_RS03520_WP_099532092.1	099532092_Contig_1880_Len777	777	57.6576576577
AMR42_RS03845_WP_099532202.1	099532202_Contig_2013_Len729	729	62.962962963
AMR42_RS10060_WP_099533321.1	099533321_Contig_1835_Len795	795	60.6289308176
AMR42_RS08610_WP_099533046.1	099533046_Contig_975_Len1209	1209	57.1546732837
AMR42_RS00720_WP_099531558.1	099531558_Contig_410_Len1776	1776	46.5653153153
AMR42_RS03830_WP_099532144.1	099532144_Contig_3569_Len204	204	54.4117647059
AMR42_RS04505_WP_099532278.1	099532278_Contig_2270_Len627	627	50.8771929825
AMR42_RS00540_WP_099531525.1	099531525_Contig_1020_Len1188	1188	59.0067340067
AMR42_RS14460_WP_099534373.1	099534373_Contig_3277_Len276	276	61.231884058
AMR42_RS01520_WP_099531709.1	099531709_Contig_277_Len2070	2070	63.9130434783
AMR42_RS02535_WP_099531901.1	099531901_Contig_2009_Len729	729	56.1042524005
AMR42_RS04925_WP_099532350.1	099532350_Contig_3305_Len270	270	54.8148148148
AMR42_RS14625_WP_099534405.1	099534405_Contig_3246_Len285	285	52.2807017544
AMR42_RS17835_WP_099535008.1	099535008_Contig_1329_Len1032	1032	53.488372093
AMR42_RS04390_WP_099532255.1	099532255_Contig_1028_Len1185	1185	59.4092827004
AMR42_RS08315_WP_099532988.1	099532988_Contig_2537_Len531	531	51.9774011299
AMR42_RS18020_WP_099535038.1	099535038_Contig_503_Len1632	1632	56.8014705882
AMR42_RS05580_WP_099532471.1	099532471_Contig_1812_Len807	807	61.4622057001
AMR42_RS13710_WP_099534224.1	099534224_Contig_1802_Len810	810	47.2839506173
AMR42_RS03140_WP_099532023.1	099532023_Contig_1517_Len945	945	60.1058201058
