,am,ba,ee,ex,op,pl,sr,za,
OG5_133110,11,431,4,1,0,4,28,0,
OG5_132145,14,91,3,2,2,5,15,0,
OG5_177080,28,114,5,2,1,0,15,1,
OG5_144421,11,90,0,0,0,3,1,8,
OG5_137879,12,84,2,1,0,2,8,2,
OG5_142681,28,79,3,1,0,2,18,1,
OG5_141434,22,108,0,1,2,5,20,0,
OG5_158682,18,77,4,1,1,1,11,0,
OG5_143180,16,168,1,0,1,2,21,0,
OG5_133712,10,91,5,1,4,2,15,0,
OG5_159638,13,79,2,0,4,0,6,0,
OG5_141265,15,82,1,3,0,0,10,0,
OG5_144108,20,75,2,0,3,5,26,0,
OG5_145737,15,78,5,0,1,3,19,1,
OG5_138822,30,193,4,2,0,0,4,1,
OG5_139405,27,100,2,1,4,0,24,5,
OG5_127720,10,92,0,0,2,0,11,1,
OG5_134501,11,126,2,0,5,1,10,0,
OG5_134240,13,96,0,3,4,0,9,2,
