Original Name	New Name	Seq Length	 Seq GC
gll3853_NP_926799.1	926799_Contig_2413_Len711	711	63.4317862166
glr2964_NP_925910.1	925910_Contig_3326_Len456	456	58.1140350877
gll4388_NP_927334.1	927334_Contig_1855_Len894	894	67.6733780761
gvip573_NP_927365.1	927365_Contig_3544_Len402	402	64.9253731343
glr0287_NP_923233.1	923233_Contig_2573_Len669	669	60.0896860987
glr3832_NP_926778.1	926778_Contig_2412_Len711	711	63.994374121
gsr4085_NP_927031.1	927031_Contig_4202_Len237	237	57.3839662447
gll1037_NP_923983.1	923983_Contig_3276_Len468	468	61.9658119658
glr3442_NP_926388.1	926388_Contig_1606_Len987	987	62.7152988855
gvip038_NP_923352.1	923352_Contig_2046_Len834	834	69.3045563549
gvip166_NP_924152.1	924152_Contig_2102_Len810	810	65.0617283951
gvip044_NP_923367.1	923367_Contig_596_Len1572	1572	62.786259542
glr1460_NP_924406.1	924406_Contig_1906_Len879	879	60.7508532423
glr0489_NP_923435.1	923435_Contig_2658_Len645	645	54.7286821705
glr1500_NP_924446.1	924446_Contig_1992_Len852	852	60.5633802817
gvip055_NP_923475.1	923475_Contig_2727_Len627	627	65.2312599681
glr2507_NP_925453.1	925453_Contig_2267_Len756	756	65.873015873
gvip302_NP_925114.1	925114_Contig_1884_Len885	885	62.7118644068
glr3264_NP_926210.1	926210_Contig_2352_Len729	729	63.1001371742
gsr3527_NP_926473.1	926473_Contig_4175_Len243	243	54.3209876543
glr3236_NP_926182.1	926182_Contig_2321_Len738	738	65.4471544715
gvip167_NP_924157.1	924157_Contig_2619_Len657	657	63.6225266362
gvip416_NP_925984.1	925984_Contig_2966_Len561	561	61.3190730838
glr1208_NP_924154.1	924154_Contig_2478_Len693	693	56.4213564214
glr0797_NP_923743.1	923743_Contig_3452_Len423	423	60.756501182
gvip404_NP_925857.1	925857_Contig_3531_Len405	405	55.0617283951
glr0201_NP_923147.1	923147_Contig_2517_Len684	684	59.2105263158
gll1894_NP_924840.1	924840_Contig_1454_Len1044	1044	62.7394636015
gvip221_NP_924526.1	924526_Contig_2660_Len645	645	61.0852713178
gvip132_NP_923949.1	923949_Contig_420_Len1809	1809	63.5710337203
glr3427_NP_926373.1	926373_Contig_26_Len3633	3633	67.6300578035
