Original Name	New Name	Seq Length	 Seq GC
AM1_RS12160_WP_012163141.1	012163141_Contig_7016_Len189	189	48.6772486772
AM1_RS01470_WP_012161010.1	012161010_Contig_619_Len1902	1902	51.4195583596
AM1_RS12320_WP_012163170.1	012163170_Contig_5985_Len345	345	49.2753623188
AM1_RS31645_WP_012167172.1	012167172_Contig_4171_Len633	633	48.8151658768
AM1_RS37245_WP_012168498.1	012168498_Contig_88_Len3756	3756	49.2545260916
AM1_RS25465_WP_041660512.1	041660512_Contig_3440_Len777	777	50.5791505792
AM1_RS08200_WP_012162360.1	012162360_Contig_3080_Len855	855	51.8128654971
AM1_RS37590_WP_049783724.1	049783724_Contig_968_Len1581	1581	51.6129032258
AM1_RS08625_WP_012162450.1	012162450_Contig_3847_Len693	693	53.6796536797
AM1_RS15735_WP_012163865.1	012163865_Contig_6869_Len210	210	46.1904761905
AM1_RS12490_WP_012163208.1	012163208_Contig_4541_Len561	561	45.0980392157
AM1_RS10225_WP_041659601.1	041659601_Contig_4284_Len609	609	37.7668308703
AM1_RS09485_WP_012162618.1	012162618_Contig_4679_Len537	537	44.3202979516
AM1_RS29320_WP_012166629.1	012166629_Contig_2629_Len957	957	51.4106583072
AM1_RS17030_WP_049783748.1	049783748_Contig_1149_Len1461	1461	48.4599589322
AM1_RS08020_WP_012162325.1	012162325_Contig_502_Len2076	2076	46.676300578
AM1_RS32260_WP_012167321.1	012167321_Contig_5196_Len459	459	32.8976034858
AM1_RS13675_WP_012163443.1	012163443_Contig_2044_Len1119	1119	46.6487935657
AM1_RS15365_WP_012163786.1	012163786_Contig_288_Len2544	2544	47.9166666667
AM1_RS06120_WP_012161940.1	012161940_Contig_1166_Len1452	1452	47.3829201102
AM1_RS35065_WP_012167950.1	012167950_Contig_3395_Len789	789	47.5285171103
AM1_RS07190_WP_012162159.1	012162159_Contig_3752_Len711	711	44.1631504923
AM1_RS15395_WP_012163793.1	012163793_Contig_1621_Len1266	1266	50.2369668246
AM1_RS32525_WP_012167388.1	012167388_Contig_4550_Len561	561	33.6898395722
AM1_RS17770_WP_012164265.1	012164265_Contig_3424_Len780	780	34.4871794872
AM1_RS26920_WP_049783795.1	049783795_Contig_3530_Len756	756	44.1798941799
AM1_RS23605_WP_012165433.1	012165433_Contig_1111_Len1479	1479	48.275862069
AM1_RS19000_WP_012164517.1	012164517_Contig_2035_Len1122	1122	43.3155080214
AM1_RS35250_WP_012167906.1	012167906_Contig_4885_Len501	501	45.5089820359
AM1_RS30780_WP_012166973.1	012166973_Contig_3813_Len702	702	45.584045584
AM1_RS02840_WP_012161288.1	012161288_Contig_1362_Len1359	1359	51.2877115526
AM1_RS28920_WP_041661125.1	041661125_Contig_1866_Len1179	1179	36.556403732
AM1_RS28830_WP_012166512.1	012166512_Contig_5479_Len417	417	47.4820143885
AM1_RS11765_WP_012163064.1	012163064_Contig_6444_Len273	273	46.8864468864
AM1_RS29760_WP_012166729.1	012166729_Contig_42_Len4659	4659	51.5132002576
AM1_RS39670_WP_083776698.1	083776698_Contig_102_Len3606	3606	51.996672213
